Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,12.25,12.65,11.9,12.39,101371,5849
2005-02-28,12.59,12.85,12.42,12.7,84484,5849
2005-03-01,12.63,12.79,12.0,12.64,63116,5849
2005-03-02,12.32,13.09,12.03,12.78,129040,5849
2005-03-03,12.96,12.96,12.53,12.55,41033,5849
2005-03-04,12.5,12.6,12.4,12.47,19764,5849
2005-03-07,12.4,12.72,12.39,12.7,74617,5849
2005-03-08,12.75,14.1,12.75,14.0,327617,5849
2005-03-09,13.81,14.07,13.52,13.73,141105,5849
2005-03-10,13.74,13.95,13.55,13.71,148789,5849
2005-03-11,13.74,14.5,13.52,13.91,189985,5849
2005-03-14,13.95,13.95,13.72,13.75,73351,5849
2005-03-15,14.0,14.1,13.58,13.9,126101,5849
2005-03-16,14.21,14.75,13.82,14.64,220131,5849
2005-03-17,14.32,14.64,13.73,14.4,142538,5849
2005-03-18,14.54,14.78,14.29,14.34,96986,5849
2005-03-21,14.29,14.36,13.08,13.31,177278,5849
2005-03-22,13.11,13.3,12.55,12.8,120239,5849
2005-03-23,12.8,12.88,12.44,12.55,38967,5849
2005-03-24,12.5,12.65,11.77,12.36,119278,5849
2005-03-28,12.77,13.09,12.35,12.73,63304,5849
2005-03-29,12.75,12.94,12.44,12.68,35863,5849
2005-03-30,12.83,13.0,12.5,12.91,26849,5849
2005-03-31,12.78,13.13,12.78,13.04,39098,5849
2005-04-01,13.53,14.41,13.5,14.24,353467,5849
2005-04-04,14.03,14.24,13.26,13.39,184426,5849
2005-04-05,13.35,14.2,13.35,14.0,138976,5849
2005-04-06,14.29,14.29,13.5,14.0,98874,5849
2005-04-07,14.0,14.1,13.5,13.75,110111,5849
2005-04-08,13.78,13.99,13.77,13.89,35043,5849
2005-04-11,13.77,14.0,13.52,13.95,59903,5849
2005-04-12,13.85,14.24,13.72,14.1,131557,5849
2005-04-13,14.35,15.48,14.22,15.35,676378,5849
2005-04-14,15.35,15.49,14.2,14.25,228962,5849
2005-04-15,14.11,15.15,14.1,14.44,174562,5849
2005-04-18,14.33,14.44,13.29,13.33,219917,5849
2005-04-19,13.52,14.18,13.52,14.02,122182,5849
2005-04-20,13.95,14.25,13.85,14.15,107300,5849
2005-04-21,14.29,14.78,14.0,14.78,110067,5849
2005-04-22,14.56,14.84,14.25,14.5,40716,5849
2005-04-25,14.58,15.01,14.58,14.95,67376,5849
2005-04-26,14.66,14.67,14.0,14.07,114151,5849
2005-04-27,13.93,13.93,13.31,13.5,112747,5849
2005-04-28,13.43,13.75,12.34,12.39,135661,5849
2005-04-29,12.42,12.53,9.95,11.75,511905,5849
2005-05-02,11.84,12.11,11.4,12.06,83418,5849
2005-05-03,12.03,12.03,11.57,11.68,50808,5849
2005-05-04,11.56,11.7,10.74,11.06,124696,5849
2005-05-05,11.25,11.25,10.66,10.95,124949,5849
2005-05-06,10.83,11.21,10.78,11.11,86953,5849
2005-05-09,11.11,11.43,10.89,11.02,51189,5849
2005-05-10,11.0,11.23,10.88,11.21,40386,5849
2005-05-11,11.25,12.0,11.25,11.44,92962,5849
2005-05-12,11.7,12.0,11.44,11.97,90776,5849
2005-05-13,11.9,12.0,11.5,11.9,121559,5849
2005-05-16,11.72,12.21,11.69,11.96,81963,5849
2005-05-17,11.79,12.12,11.68,11.92,42650,5849
2005-05-18,11.91,12.49,11.82,12.3,38171,5849
2005-05-19,12.89,14.1,12.89,13.73,412384,5849
2005-05-20,13.89,14.35,13.51,13.78,92522,5849
2005-05-23,13.64,13.64,12.5,12.53,245171,5849
2005-05-24,12.34,12.59,12.02,12.08,150942,5849
2005-05-25,12.02,12.16,11.55,11.79,52010,5849
2005-05-26,11.64,12.25,11.64,11.98,92980,5849
2005-05-27,12.48,12.48,12.09,12.3,28652,5849
2005-05-31,12.3,12.38,12.02,12.05,85607,5849
2005-06-01,12.18,12.18,11.5,11.5,90043,5849
2005-06-02,11.55,12.55,11.32,12.09,115639,5849
2005-06-03,12.06,12.49,11.9,12.3,35000,5849
2005-06-06,12.28,12.53,12.25,12.38,46650,5849
2005-06-07,12.3,12.35,12.05,12.05,37585,5849
2005-06-08,12.03,12.75,12.03,12.63,66568,5849
2005-06-09,12.64,12.69,12.37,12.69,45691,5849
2005-06-10,12.47,13.0,12.47,13.0,30913,5849
2005-06-13,13.0,13.0,12.45,12.45,57348,5849
2005-06-14,12.35,12.8,12.19,12.38,184081,5849
2005-06-15,12.41,12.8,12.17,12.24,70913,5849
2005-06-16,12.8,13.35,12.6,12.96,175591,5849
2005-06-17,13.0,13.29,12.59,13.29,87793,5849
2005-06-20,13.35,13.35,12.81,12.99,39340,5849
2005-06-21,12.74,15.89,12.74,13.18,1332402,5849
2005-06-22,13.27,13.41,12.6,12.97,349016,5849
2005-06-23,12.93,13.05,12.65,12.77,72376,5849
2005-06-24,12.7,12.9,12.7,12.86,43049,5849
2005-06-27,12.86,13.1,12.65,13.05,43167,5849
2005-06-28,13.0,13.49,12.73,13.21,171533,5849
2005-06-29,13.13,13.7,13.02,13.65,65077,5849
2005-06-30,13.78,13.85,13.61,13.82,84260,5849
2005-07-01,13.82,14.19,13.7,14.05,118096,5849
