Date,Open,High,Low,Close,Volume,stock_id
2012-04-19,25.0,25.5,23.333,23.333,1098,4771
2012-04-20,23.667,25.5,23.667,24.0,1267,4771
2012-04-23,23.0,23.0,21.333,21.333,1530,4771
2012-04-24,21.667,21.667,21.333,21.333,570,4771
2012-04-25,22.6,22.667,21.333,22.567,530,4771
2012-04-27,23.333,23.333,23.333,23.333,300,4771
2012-05-01,24.0,24.0,23.333,23.333,90,4771
2012-05-02,23.133,23.133,22.6,22.6,300,4771
2012-05-07,20.0,20.0,20.0,20.0,360,4771
2012-05-08,23.333,23.333,20.0,20.0,600,4771
2012-05-15,17.5,17.5,17.5,17.5,1500,4771
2012-05-18,16.667,16.667,15.667,16.133,960,4771
2012-05-21,15.0,15.0,15.0,15.0,120,4771
2012-05-23,15.667,15.667,15.667,15.667,300,4771
2012-05-25,14.967,14.967,13.7,13.7,330,4771
2012-05-29,12.967,12.967,12.5,12.5,360,4771
2012-05-31,15.633,15.633,14.667,15.433,927,4771
2012-06-01,24.967,24.967,14.433,19.2,3521,4771
2012-06-04,19.167,19.167,16.167,16.167,792,4771
2012-06-05,15.033,16.267,15.033,16.133,618,4771
2012-06-06,13.533,14.667,13.5,14.667,420,4771
2012-06-07,13.4,13.4,13.333,13.333,833,4771
2012-06-08,13.133,14.867,13.133,14.867,1132,4771
2012-06-11,14.667,16.667,14.667,14.667,270,4771
2012-06-12,14.667,14.667,11.833,12.833,1685,4771
2012-06-13,13.633,14.333,13.6,14.333,480,4771
2012-06-14,13.333,14.333,12.033,12.033,1905,4771
2012-06-15,12.533,12.733,12.533,12.7,255,4771
2012-06-18,12.033,12.167,12.033,12.033,212,4771
2012-06-20,11.767,11.767,11.667,11.667,105,4771
2012-06-21,11.333,13.9,7.3667,13.9,676,4771
2012-06-26,10.833,10.833,10.833,10.833,45,4771
2012-06-27,10.833,10.833,10.7,10.7,407,4771
2012-06-28,10.667,10.667,10.667,10.667,330,4771
2012-06-29,15.667,15.733,11.3,15.3,792,4771
2012-07-02,14.767,15.3,11.3,11.767,780,4771
2012-07-03,12.467,12.5,12.467,12.5,90,4771
2012-07-05,11.7,13.333,11.7,11.7,1515,4771
2012-07-06,13.233,13.233,13.0,13.0,60,4771
2012-07-10,13.267,13.267,13.267,13.267,675,4771
2012-07-11,11.767,13.233,10.0,13.0,3520,4771
2012-07-12,13.133,13.133,11.667,11.667,607,4771
2012-07-13,11.167,11.533,7.3667,10.767,3356,4771
2012-07-16,11.333,11.667,10.5,10.5,390,4771
2012-07-17,10.5,12.0,10.5,10.667,449,4771
2012-07-23,11.967,12.0,11.967,12.0,618,4771
2012-07-24,12.5,13.229,12.5,13.229,390,4771
2012-07-25,15.633,15.633,13.0,13.333,330,4771
2012-07-31,12.767,14.667,11.667,12.067,871,4771
2012-08-02,12.033,12.033,11.683,11.9,240,4771
2012-08-03,11.667,11.667,11.667,11.667,90,4771
2012-08-07,11.667,11.733,11.667,11.667,540,4771
2012-08-13,11.667,11.667,11.667,11.667,75,4771
2012-08-14,11.867,13.301,11.867,13.301,279,4771
2012-08-17,11.8,11.8,11.733,11.733,150,4771
2012-08-20,12.333,12.333,12.333,12.333,204,4771
2012-08-27,13.0,13.5,13.0,13.333,1287,4771
2012-08-28,13.5,13.833,13.5,13.5,627,4771
2012-08-29,14.033,14.567,14.0,14.533,1738,4771
2012-08-30,14.533,14.533,14.433,14.433,330,4771
2012-08-31,14.067,14.067,14.067,14.067,60,4771
2012-09-04,14.233,14.233,14.167,14.167,266,4771
2012-09-05,14.133,14.333,14.133,14.333,484,4771
2012-09-07,15.633,15.633,14.433,14.666,1824,4771
2012-09-10,15.3,15.3,15.3,15.3,62,4771
2012-09-12,15.633,17.333,15.0,16.667,3600,4771
2012-09-13,16.567,16.667,16.567,16.667,240,4771
2012-09-14,15.9,18.333,15.9,18.333,450,4771
2012-09-17,16.833,20.0,16.833,20.0,210,4771
2012-09-18,23.2,23.2,17.167,20.0,1078,4771
2012-09-19,20.667,20.667,17.333,19.333,2220,4771
2012-09-20,19.0,19.0,19.0,19.0,60,4771
2012-09-21,19.0,19.467,19.0,19.333,962,4771
2012-09-24,22.333,22.333,20.5,21.559,3605,4771
2012-09-25,20.833,20.833,19.367,20.333,485,4771
2012-09-26,17.5,17.5,17.5,17.5,30,4771
2012-09-27,16.0,16.034,16.0,16.034,1500,4771
2012-09-28,21.167,21.167,18.667,19.167,424,4771
2012-10-01,22.6,22.6,18.667,21.666,1442,4771
2012-10-02,20.7,20.733,20.0,20.0,521,4771
2012-10-03,18.433,22.0,18.4,21.833,300,4771
2012-10-04,20.833,20.833,16.013,20.333,1368,4771
2012-10-05,20.0,20.0,17.0,19.667,773,4771
2012-10-08,19.333,19.667,18.333,18.567,947,4771
2012-10-09,18.5,18.733,18.067,18.067,1040,4771
2012-10-10,18.3,18.3,18.3,18.3,300,4771
2012-10-15,16.033,16.667,16.0,16.467,928,4771
2012-10-16,15.667,15.667,13.5,14.667,1588,4771
2012-10-17,15.567,15.567,15.567,15.567,53,4771
2012-10-19,15.633,15.633,15.0,15.0,664,4771
2012-10-25,14.9,14.9,14.0,14.0,360,4771
2012-10-26,14.0,14.0,14.0,14.0,30,4771
2012-10-31,13.267,13.267,11.467,11.68,1410,4771
2012-11-02,12.567,12.667,11.7,12.5,1276,4771
2012-11-07,13.334,13.334,13.233,13.233,180,4771
2012-11-08,14.233,14.233,14.233,14.233,60,4771
2012-11-27,13.7,14.032,13.467,13.7,1841,4771
2012-11-28,13.667,14.2,12.867,13.333,1477,4771
2012-11-29,13.333,13.333,13.2,13.233,773,4771
2012-11-30,13.333,13.333,13.267,13.267,660,4771
2012-12-03,13.033,13.333,12.833,13.333,780,4771
2012-12-05,12.8,13.2,12.0,12.0,1620,4771
2012-12-06,12.333,13.1,12.067,12.133,1200,4771
2012-12-07,12.133,12.133,12.133,12.133,570,4771
2012-12-10,12.167,12.167,12.1,12.1,60,4771
2012-12-11,12.1,12.1,12.1,12.1,30,4771
2012-12-18,12.133,12.133,12.033,12.033,90,4771
2012-12-20,12.133,12.133,11.567,11.567,1099,4771
2012-12-21,11.7,11.7,11.5,11.5,120,4771
2013-01-02,12.467,12.5,11.5,12.333,1057,4771
