Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,7.0567,7.0663,7.0227,7.0385,161030,2489
2005-02-28,7.0567,7.0567,6.9778,7.0022,196980,2489
2005-03-01,7.0177,7.0385,6.9862,7.028,139716,2489
2005-03-02,7.0022,7.0758,7.0022,7.0523,210991,2489
2005-03-03,7.1601,7.1601,7.085,7.1001,210378,2489
2005-03-04,7.121,7.1315,7.0803,7.1054,131385,2489
2005-03-07,7.1463,7.1802,7.0952,7.1105,161438,2489
2005-03-08,7.1372,7.1601,7.1054,7.1372,157782,2489
2005-03-09,7.0892,7.0952,6.9095,6.9299,246931,2489
2005-03-10,6.9299,6.972,6.9095,6.9196,164892,2489
2005-03-11,6.9045,6.9095,6.8547,6.8547,187021,2489
2005-03-14,6.8404,6.8786,6.6927,6.6927,290794,2489
2005-03-15,6.6483,6.786,6.6385,6.6673,254851,2489
2005-03-16,6.6673,6.6877,6.5739,6.6722,317397,2489
2005-03-17,6.6877,6.7169,6.6385,6.6578,165700,2489
2005-03-18,6.6776,6.6877,6.6084,6.6435,145203,2489
2005-03-21,6.6334,6.6334,6.4807,6.5199,214441,2489
2005-03-22,6.4955,6.5247,6.4752,6.4752,140525,2489
2005-03-23,6.4263,6.4263,6.1655,6.2885,442898,2489
2005-03-24,6.2738,6.451,6.2687,6.3817,287339,2489
2005-03-28,6.3622,6.4019,6.2931,6.3127,240234,2489
2005-03-29,6.2985,6.3477,6.2985,6.323,196980,2489
2005-03-30,6.3524,6.4407,6.338,6.421,140930,2489
2005-03-31,6.451,6.5247,6.451,6.4853,215050,2489
2005-04-01,6.5199,6.6084,6.505,6.5104,101123,2489
2005-04-04,6.5446,6.6578,6.505,6.6084,233528,2489
2005-04-05,6.6084,6.6084,6.4955,6.5199,184800,2489
2005-04-06,6.5446,6.5694,6.4853,6.4955,118182,2489
2005-04-07,6.5104,6.5495,6.4752,6.5199,103363,2489
2005-04-08,6.5199,6.5446,6.4853,6.5104,93817,2489
2005-04-11,6.4955,6.6334,6.4955,6.5345,90565,2489
2005-04-12,6.5199,6.5495,6.4752,6.5104,135239,2489
2005-04-13,6.4903,6.5345,6.4752,6.4853,105188,2489
2005-04-14,6.4407,6.4955,6.4263,6.4263,102546,2489
2005-04-15,6.4461,6.451,6.4114,6.4313,99094,2489
2005-04-18,6.4752,6.4903,6.4167,6.451,111488,2489
2005-04-19,6.451,6.5247,6.4407,6.4752,112092,2489
2005-04-20,6.4752,6.5446,6.4654,6.4853,132402,2489
2005-04-21,6.5199,6.5446,6.451,6.505,195553,2489
2005-04-22,6.4955,6.5104,6.4407,6.4955,145809,2489
2005-04-25,6.5104,6.589,6.4853,6.5495,126718,2489
2005-04-26,6.579,6.579,6.5199,6.5546,144985,2489
2005-04-27,6.5594,6.5838,6.5199,6.5838,99300,2489
2005-04-28,6.589,6.6084,6.5446,6.564,127122,2489
2005-04-29,6.5446,6.589,6.5149,6.5495,193728,2489
2005-05-02,6.5546,6.5594,6.505,6.5546,82651,2489
2005-05-03,6.5199,6.6483,6.5104,6.5988,262779,2489
2005-05-04,6.6483,6.6483,6.5739,6.6038,127937,2489
2005-05-05,6.6334,6.6334,6.5838,6.6038,146413,2489
2005-05-06,6.6189,6.6534,6.589,6.6287,155145,2489
2005-05-09,6.6483,6.6722,6.6189,6.6673,144179,2489
2005-05-10,6.6673,6.7124,6.6534,6.6927,167943,2489
