Date,Open,High,Low,Close,Volume,stock_id
2014-05-23,22.3,22.64,21.19,22.2,22290120,4621
2014-05-27,22.31,23.42,22.31,22.68,2194968,4621
2014-05-28,23.49,23.62,22.8,23.33,2235952,4621
2014-05-29,23.57,24.05,22.77,23.89,1708587,4621
2014-05-30,24.03,24.18,23.53,23.77,687708,4621
2014-06-02,24.0,24.35,23.5,24.32,1146776,4621
2014-06-03,24.3,25.45,24.0,24.73,1236826,4621
2014-06-04,25.34,25.35,24.53,24.83,1002087,4621
2014-06-05,25.0,25.22,24.77,25.16,657310,4621
2014-06-06,25.1,25.41,24.6,25.0,1425918,4621
2014-06-09,25.09,25.1,24.07,24.73,1039482,4621
2014-06-10,24.93,25.0,24.61,24.76,529500,4621
2014-06-11,24.8,25.02,24.62,24.96,549699,4621
2014-06-12,25.02,25.7,24.8,24.99,1340592,4621
2014-06-13,25.15,25.18,24.5,24.6,686611,4621
2014-06-16,25.36,25.36,23.5,23.62,1427023,4621
2014-06-17,23.96,24.02,22.3,22.59,2404374,4621
2014-06-18,22.8,23.46,22.5,23.12,1597714,4621
2014-06-19,23.58,24.07,22.95,23.54,1525233,4621
2014-06-20,23.71,24.01,23.14,23.23,1426072,4621
2014-06-23,23.26,23.86,22.55,22.69,1550489,4621
2014-06-24,22.8,23.19,21.8,22.11,1869865,4621
2014-06-25,22.13,23.2,22.1,23.1,1263474,4621
2014-06-26,23.08,24.0,22.91,23.92,1006525,4621
2014-06-27,24.05,24.33,23.28,23.73,5331569,4621
2014-06-30,23.67,24.15,23.55,24.07,874756,4621
2014-07-01,24.03,24.06,23.36,23.39,1252487,4621
2014-07-02,23.42,23.6,22.8,23.12,1081200,4621
2014-07-03,23.01,23.05,22.54,22.62,464223,4621
2014-07-07,22.6,23.15,22.4,22.95,2047597,4621
2014-07-08,22.77,23.62,22.39,23.43,983893,4621
2014-07-09,23.49,24.0,23.26,23.78,1001432,4621
2014-07-10,23.15,24.0,23.07,23.74,761503,4621
2014-07-11,23.75,23.75,23.14,23.21,1039987,4621
2014-07-14,23.33,23.48,23.03,23.19,391207,4621
2014-07-15,23.16,23.19,22.44,22.61,2021452,4621
2014-07-16,22.78,22.91,22.51,22.71,462517,4621
2014-07-17,22.85,23.69,22.59,23.35,1011359,4621
2014-07-18,23.29,23.47,22.87,23.29,896237,4621
2014-07-21,23.28,24.16,23.07,23.85,633687,4621
2014-07-22,23.99,24.1,23.63,23.81,596080,4621
2014-07-23,23.8,24.0,23.46,23.95,445576,4621
2014-07-24,23.97,24.06,23.5,23.81,483696,4621
2014-07-25,23.55,23.78,23.02,23.31,511532,4621
2014-07-28,23.44,23.61,22.93,23.38,969599,4621
2014-07-29,23.26,24.23,23.1,23.86,1072579,4621
2014-07-30,23.9,24.08,23.25,23.31,868489,4621
2014-07-31,23.16,23.28,22.52,22.57,978484,4621
2014-08-01,22.51,22.76,21.26,21.55,2206146,4621
2014-08-04,21.63,22.52,21.37,22.21,766428,4621
2014-08-05,22.0,22.2,21.64,21.91,597720,4621
2014-08-06,21.75,22.35,21.68,21.76,383371,4621
2014-08-07,21.89,22.01,21.27,21.42,1029209,4621
2014-08-08,21.44,21.73,21.06,21.15,895603,4621
2014-08-11,21.43,22.48,21.25,22.22,1912544,4621
2014-08-12,22.12,22.22,21.6,21.97,729071,4621
2014-08-13,23.0,23.0,20.86,20.96,2438778,4621
2014-08-14,21.0,21.13,19.29,19.89,2804340,4621
2014-08-15,20.08,20.47,19.63,20.43,1640232,4621
2014-08-18,20.48,21.18,20.22,20.95,871750,4621
2014-08-19,20.87,21.23,20.19,20.32,1315203,4621
2014-08-20,20.21,20.44,19.8,20.34,826319,4621
2014-08-21,20.32,20.41,19.57,20.08,1818304,4621
2014-08-22,19.98,20.34,19.85,20.02,872592,4621
2014-08-25,20.05,20.25,19.95,20.16,579057,4621
2014-08-26,20.62,21.6,20.53,20.99,2220968,4621
2014-08-27,20.92,21.09,20.63,20.93,613102,4621
2014-08-28,20.78,22.0,20.78,21.55,1492904,4621
2014-08-29,21.51,21.94,21.34,21.92,992489,4621
2014-09-02,21.77,22.41,21.64,21.93,1685053,4621
2014-09-03,22.01,22.3,21.5,21.58,647423,4621
2014-09-04,21.58,21.87,20.8,20.83,841172,4621
2014-09-05,21.0,21.24,20.73,20.95,1037467,4621
2014-09-08,20.87,21.0,20.49,20.7,1011644,4621
2014-09-09,20.67,21.17,20.62,20.78,1613145,4621
2014-09-10,20.71,20.8,20.54,20.63,1260286,4621
2014-09-11,20.43,20.87,20.28,20.76,1425964,4621
2014-09-12,20.76,20.76,20.45,20.51,784118,4621
2014-09-15,20.55,20.86,20.31,20.69,1187372,4621
2014-09-16,20.71,21.35,20.52,21.2,1049856,4621
2014-09-17,21.32,22.03,21.08,21.28,1645114,4621
2014-09-18,21.34,21.54,20.81,21.0,1605462,4621
2014-09-19,21.04,21.29,20.61,20.74,3893968,4621
2014-09-22,20.6,20.77,20.15,20.26,1191019,4621
2014-09-23,20.21,20.57,20.01,20.41,874526,4621
2014-09-24,20.37,20.71,20.03,20.66,494993,4621
2014-09-25,20.62,20.62,20.01,20.32,846561,4621
2014-09-26,20.26,20.73,20.09,20.51,763723,4621
2014-09-29,20.86,21.7,20.81,21.37,1825306,4621
2014-09-30,21.25,21.57,20.77,21.33,2134181,4621
2014-10-01,21.38,21.85,20.79,21.03,1546559,4621
2014-10-02,20.84,20.85,19.63,20.35,2565120,4621
2014-10-03,20.57,20.57,19.21,19.3,1136524,4621
2014-10-06,19.26,19.77,18.95,19.48,1089425,4621
2014-10-07,19.35,20.05,19.24,19.28,980071,4621
2014-10-08,19.49,19.82,18.54,19.79,1194572,4621
2014-10-09,19.67,19.68,18.61,18.87,887349,4621
2014-10-10,18.65,19.59,18.52,18.69,1140107,4621
2014-10-13,18.7,18.91,16.8,16.88,1918052,4621
2014-10-14,17.1,17.77,16.21,16.4,1674737,4621
2014-10-15,15.92,17.49,15.16,17.18,2308607,4621
2014-10-16,17.0,18.24,16.56,17.99,1684956,4621
2014-10-17,18.22,18.89,17.64,18.03,2424637,4621
2014-10-20,18.02,18.25,17.75,17.94,812873,4621
2014-10-21,18.12,18.39,17.38,18.25,1364886,4621
2014-10-22,18.35,18.48,17.03,17.07,1329924,4621
2014-10-23,17.35,17.7,16.76,17.49,1588421,4621
2014-10-24,17.36,17.53,17.12,17.31,688616,4621
2014-10-27,16.48,16.48,14.87,16.01,2225377,4621
2014-10-28,16.1,16.85,16.0,16.71,890971,4621
2014-10-29,16.83,17.32,16.67,17.13,905347,4621
2014-10-30,16.94,17.22,16.52,16.89,1023487,4621
2014-10-31,16.82,17.13,16.43,16.97,1244273,4621
2014-11-03,17.0,17.69,16.48,16.6,1260929,4621
2014-11-04,16.28,16.36,15.09,15.46,1055820,4621
2014-11-05,15.64,15.88,15.2,15.83,1180202,4621
2014-11-06,15.69,15.89,15.34,15.82,722154,4621
2014-11-07,15.88,16.78,15.82,16.42,1391046,4621
2014-11-10,16.61,16.96,16.31,16.46,1035708,4621
2014-11-11,16.46,16.67,16.08,16.44,1401255,4621
2014-11-12,17.37,18.72,16.94,17.91,4460929,4621
2014-11-13,17.77,18.18,17.36,17.65,1627064,4621
2014-11-14,17.74,18.41,17.65,17.95,1444269,4621
2014-11-17,17.84,18.0,16.69,16.86,1205190,4621
2014-11-18,16.89,17.22,16.26,16.51,1426902,4621
2014-11-19,16.55,16.94,16.18,16.55,1370004,4621
2014-11-20,16.54,17.76,16.39,17.7,1384767,4621
2014-11-21,17.9,18.26,17.83,17.9,1490927,4621
2014-11-24,17.84,17.89,17.1,17.5,1451147,4621
2014-11-25,17.54,17.78,17.16,17.33,1182783,4621
2014-11-26,17.25,17.45,16.69,16.83,709211,4621
2014-11-28,15.28,15.49,12.6,12.64,2269840,4621
2014-12-01,12.41,12.77,12.31,12.7,3436950,4621
2014-12-02,12.55,13.22,12.46,12.96,1896965,4621
2014-12-03,13.05,14.05,12.9,13.72,1863172,4621
2014-12-04,13.5,13.75,13.02,13.14,1471048,4621
2014-12-05,13.1,13.26,12.5,12.63,1142810,4621
2014-12-08,12.47,12.63,11.11,11.26,1300980,4621
2014-12-09,11.18,12.55,11.15,12.49,1834593,4621
2014-12-10,12.06,12.37,11.76,11.9,2089760,4621
2014-12-11,11.83,12.24,11.67,11.75,2161676,4621
2014-12-12,11.4,11.87,11.24,11.51,2664006,4621
2014-12-15,11.67,11.85,11.51,11.64,1310024,4621
2014-12-16,11.48,12.55,11.4,12.37,1960454,4621
2014-12-17,12.28,14.75,12.28,13.71,2112502,4621
2014-12-18,13.92,14.78,13.53,14.59,2662518,4621
2014-12-19,14.61,15.99,13.9,15.92,3690304,4621
2014-12-22,15.5,16.37,15.15,15.93,1739351,4621
2014-12-23,15.97,16.47,15.77,16.39,1398144,4621
2014-12-24,16.1,16.23,15.53,16.02,586772,4621
2014-12-26,16.13,16.48,15.91,16.27,505559,4621
2014-12-29,16.2,16.68,15.96,16.41,1161090,4621
2014-12-30,16.27,16.37,15.38,15.63,1189010,4621
2014-12-31,15.58,16.0,15.0,15.96,1167366,4621
2015-01-02,15.92,16.5,15.39,16.02,1092541,4621
2015-01-05,15.76,15.84,14.35,14.89,1588609,4621
2015-01-06,14.7,15.13,13.91,14.06,1483996,4621
2015-01-07,14.07,14.62,13.5,13.63,1727277,4621
2015-01-08,13.77,14.87,13.71,14.5,1650570,4621
2015-01-09,14.53,14.69,13.69,14.3,1613081,4621
2015-01-12,14.3,14.48,13.43,13.73,1262106,4621
2015-01-13,13.69,14.33,13.38,13.86,1559855,4621
2015-01-14,13.75,15.04,13.44,14.97,2074729,4621
2015-01-15,15.44,15.62,14.6,14.66,1651089,4621
2015-01-16,14.77,15.81,14.67,15.72,1298677,4621
2015-01-20,15.47,15.72,15.0,15.65,1201828,4621
2015-01-21,15.65,17.07,15.63,16.62,2415494,4621
2015-01-22,16.91,16.93,15.96,16.69,1336343,4621
2015-01-23,16.65,17.04,16.34,16.83,1164923,4621
2015-01-26,16.62,17.14,15.8,17.11,1938224,4621
2015-01-27,16.73,17.71,16.33,17.09,1793665,4621
2015-01-28,16.91,16.91,15.85,16.01,1223832,4621
2015-01-29,16.22,16.61,14.89,16.55,1809032,4621
2015-01-30,16.12,17.1,15.66,16.77,1564029,4621
2015-02-02,16.66,17.39,16.04,17.11,2125759,4621
2015-02-03,17.75,18.34,16.99,18.29,2721109,4621
2015-02-04,17.25,17.8,16.87,17.71,1837874,4621
2015-02-05,17.85,18.26,17.38,17.62,1057562,4621
2015-02-06,17.65,18.22,15.88,17.59,7686821,4621
2015-02-09,17.44,17.73,16.61,16.65,1594887,4621
2015-02-10,16.65,16.8,15.5,16.31,2686409,4621
2015-02-11,16.19,16.9,15.39,16.2,2587376,4621
2015-02-12,16.61,17.25,16.12,16.48,2032806,4621
2015-02-13,16.55,17.33,16.49,17.28,1375383,4621
2015-02-17,17.12,17.37,16.19,16.97,944484,4621
2015-02-18,16.68,17.24,16.41,16.47,725152,4621
2015-02-19,15.83,17.16,15.83,16.75,1066938,4621
2015-02-20,16.75,16.99,16.23,16.36,724066,4621
2015-02-23,16.05,16.65,15.95,16.16,712760,4621
2015-02-24,16.36,16.39,15.62,15.91,835286,4621
2015-02-25,15.91,16.4,15.64,16.25,1038165,4621
2015-02-26,16.02,16.13,15.35,15.71,2854611,4621
2015-02-27,15.99,16.0,14.75,14.89,1933765,4621
2015-03-02,14.81,14.83,14.01,14.65,1865000,4621
2015-03-03,14.64,14.89,14.4,14.52,916100,4621
2015-03-04,14.49,14.68,14.05,14.49,1427200,4621
2015-03-05,14.51,14.73,14.1,14.25,1031500,4621
2015-03-06,14.1,14.39,13.39,13.5,1436500,4621
2015-03-09,13.5,14.38,13.41,13.91,2032300,4621
2015-03-10,13.68,14.45,13.68,14.31,1149600,4621
2015-03-11,14.28,14.54,13.91,14.33,2160200,4621
2015-03-12,14.49,14.94,14.18,14.57,1429800,4621
2015-03-13,14.38,14.69,13.86,14.61,1515000,4621
2015-03-16,14.47,15.07,14.06,14.99,1455100,4621
2015-03-17,15.09,15.61,14.96,15.02,1544700,4621
2015-03-18,14.79,15.42,14.4,15.05,1636100,4621
2015-03-19,14.71,14.9,13.9,14.6,2556000,4621
2015-03-20,14.8,15.06,14.46,14.84,1134800,4621
2015-03-23,14.81,15.25,14.46,14.54,864200,4621
2015-03-24,14.84,15.2,14.5,15.15,1610400,4621
2015-03-25,16.15,16.46,15.48,15.87,2183800,4621
2015-03-26,16.26,16.5,15.74,16.24,1660200,4621
2015-03-27,16.16,16.25,15.58,15.9,1508400,4621
2015-03-30,15.71,16.11,15.52,16.05,1183900,4621
2015-03-31,16.05,16.28,15.69,15.98,1091700,4621
