Date,Open,High,Low,Close,Volume,stock_id
2013-05-09,17.724,18.831,17.627,18.549,6701370,306
2013-05-10,18.52,19.433,18.316,19.035,383673,306
2013-05-13,19.559,19.618,18.588,18.753,654175,306
2013-05-14,18.598,19.346,18.54,18.947,289860,306
2013-05-15,18.938,19.229,18.841,19.142,87770,306
2013-05-16,19.161,19.54,19.161,19.452,185972,306
2013-05-17,19.618,19.676,19.414,19.423,373988,306
2013-05-20,19.763,21.463,19.666,21.035,477842,306
2013-05-21,21.22,22.143,21.065,21.803,293284,306
2013-05-22,21.9,22.657,21.006,21.016,399180,306
2013-05-23,20.997,21.57,20.307,21.443,286445,306
2013-05-24,21.424,21.424,20.909,21.045,261687,306
2013-05-28,21.366,21.366,20.89,20.899,293541,306
2013-05-29,20.783,20.812,20.375,20.579,336900,306
2013-05-30,20.54,21.414,20.414,21.346,193928,306
2013-05-31,21.22,21.356,21.026,21.171,127265,306
2013-06-03,21.366,21.366,20.249,20.53,156975,306
2013-06-04,20.53,20.89,20.191,20.822,69534,306
2013-06-05,20.832,20.88,20.54,20.773,37143,306
2013-06-06,20.773,20.773,20.356,20.394,32835,306
2013-06-07,20.424,20.443,19.627,19.889,160188,306
2013-06-10,19.812,19.889,19.579,19.86,130738,306
2013-06-11,19.666,19.909,19.52,19.812,81300,306
2013-06-12,19.909,20.472,19.909,20.404,132270,306
2013-06-13,20.365,20.424,19.909,20.424,293565,306
2013-06-14,20.394,20.589,20.317,20.414,45066,306
2013-06-17,20.462,21.162,20.462,20.987,83935,306
2013-06-18,20.967,21.269,20.967,21.22,140384,306
2013-06-19,21.201,21.502,21.123,21.171,119294,306
2013-06-20,20.948,21.016,20.598,20.802,116973,306
2013-06-21,20.87,20.929,20.589,20.725,301595,306
2013-06-24,20.54,20.744,20.356,20.404,127202,306
2013-06-25,20.54,20.637,20.356,20.492,108501,306
2013-06-26,20.589,20.589,19.909,20.181,126086,306
2013-06-27,20.346,20.55,20.132,20.424,102297,306
2013-06-28,20.433,20.705,20.2,20.657,1051591,306
2013-07-01,20.676,20.734,20.385,20.608,109412,306
2013-07-02,20.55,20.725,20.453,20.696,62967,306
2013-07-03,20.53,20.676,20.424,20.54,36938,306
2013-07-05,20.637,20.686,19.909,20.006,51029,306
2013-07-08,20.016,20.064,19.656,19.821,80519,306
2013-07-09,19.88,20.229,19.841,20.142,61161,306
2013-07-10,20.093,20.152,20.006,20.123,53056,306
2013-07-11,20.424,20.424,20.123,20.297,51239,306
2013-07-12,20.297,20.297,19.754,19.754,33253,306
2013-07-15,19.734,19.754,19.045,19.569,95145,306
2013-07-16,19.598,19.666,19.316,19.423,57509,306
2013-07-17,19.433,19.482,19.287,19.355,89769,306
2013-07-18,19.375,19.472,19.239,19.375,56141,306
2013-07-19,19.326,19.482,19.326,19.394,37256,306
2013-07-22,19.355,19.491,19.287,19.394,54421,306
2013-07-23,19.268,19.375,19.074,19.278,103087,306
2013-07-24,19.278,19.375,19.074,19.278,100776,306
2013-07-25,19.307,19.52,19.161,19.326,169368,306
2013-07-26,19.258,19.268,18.549,18.569,113233,306
2013-07-29,18.569,19.054,18.452,19.025,43315,306
2013-07-30,19.113,19.113,18.714,18.899,38713,306
2013-07-31,18.909,19.122,18.724,19.035,62532,306
2013-08-01,19.151,19.423,19.015,19.394,61697,306
2013-08-02,19.404,19.423,19.151,19.19,42695,306
2013-08-05,19.064,19.336,18.947,19.229,41855,306
