Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,27.43,28.0,27.36,28.0,1700,5491
2005-02-28,28.47,29.0,28.47,29.0,1600,5491
2005-03-01,29.63,29.63,29.63,29.63,100,5491
2005-03-02,29.62,29.62,29.62,29.62,1000,5491
2005-03-03,28.91,29.35,28.91,29.35,1100,5491
2005-03-04,29.6,30.0,29.35,30.0,9400,5491
2005-03-08,29.72,29.84,29.72,29.84,1761,5491
2005-03-11,29.71,29.71,29.61,29.61,500,5491
2005-03-14,29.64,29.75,29.64,29.75,910,5491
2005-03-15,29.95,29.95,29.95,29.95,1000,5491
2005-03-18,29.0,29.2,29.0,29.0,1312,5491
2005-03-23,29.27,29.6,29.13,29.45,600,5491
2005-03-24,29.1,29.1,27.95,28.9,400,5491
2005-03-29,29.0,29.02,29.0,29.02,1395,5491
2005-03-30,29.01,29.02,29.01,29.02,200,5491
2005-03-31,29.46,30.11,29.41,30.11,3720,5491
2005-04-01,30.02,30.08,29.81,30.07,1580,5491
2005-04-04,30.25,30.25,30.18,30.18,2600,5491
2005-04-07,29.89,29.89,29.68,29.89,700,5491
2005-04-08,30.1,30.1,30.1,30.1,200,5491
2005-04-12,29.98,30.28,29.98,30.02,800,5491
2005-04-13,30.5,30.5,30.16,30.16,3500,5491
2005-04-14,29.84,29.84,29.84,29.84,200,5491
2005-04-15,29.88,29.89,29.88,29.89,200,5491
2005-04-18,29.4,29.67,29.4,29.67,1000,5491
2005-04-22,29.0,29.6,29.0,29.01,1100,5491
2005-04-28,29.1,29.4,29.1,29.1,400,5491
2005-04-29,29.0,29.02,29.0,29.02,400,5491
2005-05-05,29.0,29.0,29.0,29.0,100,5491
2005-05-09,29.01,29.01,29.01,29.01,100,5491
2005-05-10,29.0,29.0,29.0,29.0,100,5491
2005-05-13,29.65,29.65,29.0,29.0,825,5491
2005-05-16,29.0,29.0,29.0,29.0,100,5491
2005-05-17,29.0,29.0,28.82,28.82,1757,5491
2005-05-19,30.0,30.0,30.0,30.0,200,5491
