Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,9.2121,9.2782,9.2121,9.2782,98117,2380
2005-02-28,9.3183,9.332,9.2851,9.2977,118153,2380
2005-03-01,9.3389,9.3389,9.2309,9.2309,197829,2380
2005-03-02,9.2309,9.2656,9.2043,9.2416,150189,2380
2005-03-03,9.2475,9.2851,9.2416,9.2656,88968,2380
2005-03-04,9.2704,9.3253,9.2656,9.2782,71144,2380
2005-03-07,9.2782,9.3253,9.2704,9.3253,121785,2380
2005-03-08,9.332,9.3507,9.3183,9.3507,79028,2380
2005-03-09,9.2309,9.2475,9.0835,9.088,175743,2380
2005-03-10,9.1023,9.1722,9.1023,9.1722,92759,2380
2005-03-11,9.1918,9.1918,9.0945,9.1081,45275,2380
2005-03-14,9.1146,9.1146,9.0531,9.088,96549,2380
2005-03-15,9.1272,9.1272,9.0326,9.0326,113107,2380
2005-03-16,9.0326,9.0598,8.9769,9.026,78090,2380
2005-03-17,9.0204,9.088,9.0204,9.088,44963,2380
2005-03-18,9.0945,9.1272,9.0326,9.1272,128569,2380
2005-03-21,9.1023,9.1414,9.0665,9.1081,208238,2380
2005-03-22,9.1272,9.1272,9.0465,9.0665,46532,2380
2005-03-23,9.0598,9.0598,8.8862,8.899,198614,2380
2005-03-24,8.9631,9.0204,8.9252,8.9819,66887,2380
2005-03-28,8.9696,9.0071,8.9383,8.9631,117366,2380
2005-03-29,9.0005,9.0071,8.9176,8.9769,95917,2380
2005-03-30,8.9122,9.026,8.9122,9.0071,85820,2380
2005-03-31,9.026,9.0713,9.026,9.0665,62941,2380
2005-04-01,9.1482,9.2241,9.1146,9.1414,83139,2380
2005-04-04,9.1606,9.3056,9.1606,9.2241,135667,2380
2005-04-05,9.2851,9.2851,9.185,9.1918,76197,2380
2005-04-06,9.1918,9.2241,9.185,9.2179,41176,2380
2005-04-07,9.2179,9.2241,9.0531,9.0598,112325,2380
2005-04-08,9.0665,9.088,9.0204,9.0598,90080,2380
2005-04-11,9.0713,9.1023,9.0465,9.0598,88348,2380
2005-04-12,9.0531,9.1414,9.0531,9.1272,76511,2380
2005-04-13,9.0713,9.1557,9.0665,9.1023,63103,2380
2005-04-14,9.1023,9.1557,9.0531,9.1023,134404,2380
2005-04-15,9.1146,9.1337,9.088,9.1272,77771,2380
2005-04-18,9.1482,9.1482,9.0598,9.1146,156176,2380
2005-04-19,9.0665,9.1606,9.0665,9.1557,72877,2380
2005-04-20,9.088,9.2043,9.088,9.1674,169435,2380
2005-04-21,9.1606,9.2121,9.1557,9.185,61207,2380
2005-04-22,9.1081,9.1995,9.1081,9.1783,105380,2380
2005-04-25,9.1918,9.2475,9.1722,9.2475,79190,2380
2005-04-26,9.2851,9.2851,9.2179,9.2241,76511,2380
2005-04-27,9.2241,9.3134,9.2179,9.2782,37394,2380
2005-04-28,9.2656,9.3389,9.2552,9.2704,123360,2380
2005-04-29,9.3183,9.3449,9.2782,9.3253,67048,2380
2005-05-02,9.3449,9.3507,9.3134,9.332,64207,2380
2005-05-03,9.3134,9.3751,9.3134,9.332,54893,2380
2005-05-04,9.3654,9.4202,9.332,9.4132,112800,2380
2005-05-05,9.4459,9.4459,9.4008,9.4008,43851,2380
2005-05-06,9.428,9.428,9.332,9.3389,87078,2380
2005-05-09,9.3449,9.4132,9.332,9.4132,89604,2380
2005-05-10,9.4459,9.4598,9.3928,9.3928,86450,2380
2005-05-11,9.3507,9.3928,9.3389,9.3449,61371,2380
2005-05-12,9.3574,9.3928,9.332,9.3449,66410,2380
2005-05-13,9.3507,9.3574,9.3056,9.3056,101438,2380
2005-05-16,9.3449,9.3574,9.2782,9.3183,103647,2380
2005-05-17,9.3183,9.3449,9.2977,9.3449,46058,2380
2005-05-18,9.3574,9.4008,9.3449,9.3507,144024,2380
2005-05-19,9.3654,9.3879,9.3389,9.3879,102072,2380
