Date,Open,High,Low,Close,Volume,stock_id
1984-07-19,7.1363,7.1902,7.0902,7.1363,102620,578
1984-07-20,7.1363,7.1363,6.99,7.1363,226933,578
1984-07-23,7.0902,7.0902,6.99,7.0902,54426,578
1984-07-24,7.0362,7.0362,6.8823,7.0362,163673,578
1984-07-25,7.0362,7.0902,6.9362,6.99,81575,578
1984-07-26,6.7283,6.7822,6.6823,6.7283,106259,578
1984-07-27,6.8362,6.8362,6.6823,6.7822,152887,578
1984-07-30,6.6823,6.6823,6.6823,6.6823,253691,578
1984-07-31,6.7283,6.7283,6.5283,6.6281,255510,578
1984-08-01,6.6281,6.6823,6.5283,6.5819,135613,578
1984-08-02,6.8362,6.8362,6.8362,6.8362,317469,578
1984-08-03,6.8362,7.2441,6.8362,7.2441,286558,578
1984-08-06,7.1902,7.3982,7.1902,7.2902,270190,578
1984-08-07,7.2902,7.3442,7.1363,7.2902,158343,578
1984-08-08,7.3442,7.3442,7.2441,7.2902,173023,578
1984-08-09,7.2902,7.3982,7.2441,7.3442,150944,578
1984-08-10,7.3982,7.3982,7.3982,7.3982,98201,578
1984-08-13,7.2902,7.2902,7.2441,7.2902,232519,578
1984-08-14,7.3442,7.3982,7.2441,7.3442,105739,578
1984-08-15,7.3442,7.3982,7.2902,7.3442,111971,578
1984-08-16,7.3982,7.3982,7.3442,7.3982,48061,578
1984-08-17,7.3442,7.3982,7.2441,7.3442,66768,578
1984-08-20,7.2902,7.3982,7.2902,7.3442,61187,578
1984-08-21,7.4441,7.4982,7.4441,7.4441,91842,578
1984-08-22,7.4982,7.5982,7.4982,7.5443,100801,578
1984-08-23,7.4982,7.6985,7.4982,7.5982,119896,578
1984-08-24,7.5982,7.5982,7.5443,7.5982,83787,578
1984-08-27,7.5443,7.5443,7.4441,7.4982,57674,578
1984-08-28,7.4982,7.5443,7.4441,7.4982,56117,578
1984-08-29,7.4441,7.5443,7.4441,7.4441,173675,578
1984-08-30,7.4441,7.5443,7.4441,7.4441,198092,578
1984-08-31,7.4982,7.5443,7.4441,7.5443,115481,578
1984-09-04,7.5443,7.5443,7.4982,7.4982,60662,578
1984-09-05,7.4982,7.4982,7.4982,7.4982,72355,578
1984-09-06,7.5443,7.5443,7.4982,7.4982,56117,578
1984-09-07,7.4982,7.5443,7.4982,7.4982,76249,578
1984-09-10,7.4441,7.5443,7.4441,7.5443,61571,578
1984-09-11,7.5443,7.5982,7.4982,7.4982,144185,578
1984-09-12,7.5443,7.5443,7.3982,7.4441,129509,578
1984-09-13,7.7524,7.7524,7.4441,7.7524,345919,578
1984-09-14,7.7524,8.1064,7.7524,7.9524,328125,578
1984-09-17,7.9524,8.0064,7.9524,7.9524,179911,578
1984-09-18,7.9524,8.1064,7.9524,8.0604,476726,578
1984-09-19,8.0604,8.2142,8.0064,8.1603,359948,578
1984-09-20,8.1064,8.2603,8.1064,8.2603,420867,578
1984-09-21,8.1603,8.2142,8.1064,8.1064,126000,578
1984-09-24,8.1064,8.1603,8.0064,8.0064,93784,578
1984-09-25,7.9524,8.0604,7.9524,8.0604,181078,578
1984-09-26,8.0064,8.1064,8.0064,8.0604,164060,578
1984-09-27,8.1064,8.2603,8.1064,8.1064,716515,578
