Date,Open,High,Low,Close,Volume,stock_id
2014-10-22,11.3,12.0,10.0,10.03,679352,5950
2014-10-23,10.0,10.36,10.0,10.0,243543,5950
2014-10-24,10.0,10.1,10.0,10.0,39799,5950
2014-10-27,10.0,10.09,10.0,10.0,48696,5950
2014-10-28,10.02,10.08,10.0,10.0,59030,5950
2014-10-29,10.0,10.09,10.0,10.01,101846,5950
2014-10-30,10.07,10.111,10.0,10.0,53130,5950
2014-10-31,10.1,10.44,10.0,10.0,83170,5950
2014-11-03,10.05,10.39,10.02,10.2,55585,5950
2014-11-04,10.4,10.4,10.1,10.25,20108,5950
2014-11-05,10.5,10.62,10.15,10.24,52417,5950
2014-11-06,10.47,10.47,10.15,10.24,44543,5950
2014-11-07,10.1,10.41,10.0,10.15,47000,5950
2014-11-10,10.0,10.19,10.0,10.09,15829,5950
2014-11-11,10.05,10.25,10.0,10.1,51029,5950
2014-11-12,10.01,10.1,10.0,10.04,32105,5950
2014-11-13,10.01,10.1,10.0,10.0,51724,5950
2014-11-14,10.021,10.241,10.01,10.098,31431,5950
2014-11-17,10.21,10.45,10.01,10.36,154984,5950
2014-11-18,10.6,10.64,10.06,10.31,101260,5950
2014-11-19,10.36,10.37,10.2,10.28,14257,5950
2014-11-20,10.2,10.25,10.15,10.22,16608,5950
2014-11-21,10.15,10.34,10.06,10.34,17008,5950
2014-11-24,10.26,10.49,10.05,10.45,20562,5950
2014-11-25,10.31,10.65,10.07,10.41,23887,5950
2014-11-26,10.57,10.65,10.22,10.64,23032,5950
2014-11-28,10.66,10.66,10.371,10.542,7494,5950
2014-12-01,10.52,10.6,10.22,10.41,23504,5950
2014-12-02,10.27,10.34,10.05,10.05,18150,5950
2014-12-03,10.061,10.086,8.62,9.01,45368,5950
2014-12-04,9.0,9.77,8.76,9.05,69563,5950
2014-12-05,9.26,9.26,8.62,8.77,71391,5950
2014-12-08,8.75,9.43,8.57,8.95,27518,5950
2014-12-09,9.09,10.35,9.09,10.26,26472,5950
2014-12-10,10.35,10.59,10.01,10.27,30080,5950
2014-12-11,9.89,10.64,9.603,9.86,26987,5950
2014-12-12,9.78,10.24,9.0001,9.79,27272,5950
