Date,Open,High,Low,Close,Volume,stock_id
2012-05-14,21.706,21.706,21.512,21.583,464555,469
2012-05-15,21.591,21.591,21.512,21.512,1194021,469
2012-05-16,21.522,21.547,21.495,21.512,592521,469
2012-05-17,21.522,21.53,21.311,21.443,372939,469
2012-05-18,21.407,21.443,21.346,21.39,116841,469
2012-05-21,21.478,21.566,21.381,21.512,164556,469
2012-05-22,21.512,21.644,21.424,21.468,213294,469
2012-05-23,21.468,21.723,21.468,21.566,123869,469
2012-05-24,21.635,21.715,21.53,21.671,165762,469
2012-05-25,21.733,21.794,21.688,21.733,148170,469
2012-05-29,21.75,21.819,21.635,21.635,99333,469
2012-05-30,21.679,21.733,21.671,21.688,102139,469
2012-05-31,21.733,21.873,21.723,21.873,281324,469
2012-06-01,21.776,21.838,21.697,21.819,66966,469
2012-06-04,21.819,21.819,21.635,21.697,58138,469
2012-06-05,21.811,21.811,21.715,21.75,63913,469
2012-06-06,21.767,21.811,21.758,21.776,96711,469
2012-06-07,21.776,21.811,21.741,21.741,43602,469
2012-06-08,21.811,21.811,21.715,21.75,52778,469
2012-06-11,21.644,21.733,21.609,21.679,52122,469
2012-06-12,21.733,21.811,21.671,21.802,68483,469
2012-06-13,21.802,21.819,21.767,21.785,122381,469
2012-06-14,21.785,21.785,21.679,21.776,114915,469
2012-06-15,21.819,21.864,21.785,21.855,105071,469
2012-06-18,21.855,21.934,21.819,21.934,164132,469
2012-06-19,21.907,21.952,21.864,21.89,244328,469
2012-06-20,21.917,22.03,21.899,21.952,866230,469
2012-06-21,21.987,22.022,21.961,21.996,307865,469
2012-06-22,22.022,22.083,21.969,22.083,139064,469
2012-06-25,22.074,22.127,22.03,22.127,153065,469
2012-06-26,22.162,22.162,22.057,22.118,223680,469
2012-06-27,22.127,22.127,22.04,22.127,117757,469
2012-06-28,22.083,22.172,22.049,22.127,165986,469
2012-06-29,22.127,22.215,22.11,22.215,89564,469
2012-07-02,22.233,22.268,22.18,22.241,99536,469
2012-07-03,22.224,22.303,22.224,22.25,114070,469
2012-07-05,22.285,22.391,22.241,22.382,104633,469
2012-07-06,22.364,22.469,22.356,22.391,110556,469
2012-07-09,22.452,22.496,22.391,22.461,135180,469
2012-07-10,22.522,22.557,22.417,22.435,255642,469
2012-07-11,22.435,22.522,22.346,22.479,411347,469
2012-07-12,22.408,22.469,22.373,22.435,118827,469
2012-07-13,22.444,22.505,22.312,22.417,179979,469
2012-07-16,22.408,22.435,22.364,22.417,76418,469
2012-07-17,22.408,22.452,22.277,22.356,205017,469
2012-07-18,22.356,22.364,22.241,22.268,202460,469
2012-07-19,22.338,22.469,22.277,22.346,244548,469
2012-07-20,22.391,22.425,22.18,22.224,88028,469
2012-07-23,22.189,22.189,22.057,22.154,127889,469
2012-07-24,22.162,22.233,22.11,22.215,247442,469
2012-07-25,22.224,22.303,22.154,22.303,205123,469
2012-07-26,22.285,22.338,22.259,22.303,53443,469
