Date,Open,High,Low,Close,Volume,stock_id
2012-09-17,21.91,21.91,21.681,21.779,229025,4505
2012-09-18,21.761,21.865,21.742,21.787,130024,4505
2012-09-19,21.787,21.813,21.734,21.734,178787,4505
2012-09-20,21.742,21.751,21.708,21.742,200645,4505
2012-09-21,21.77,21.779,21.742,21.761,66691,4505
2012-09-24,21.787,21.813,21.751,21.813,62134,4505
2012-09-25,21.787,21.787,21.673,21.69,178141,4505
2012-09-26,21.69,21.699,21.656,21.69,75242,4505
2012-09-27,21.681,21.742,21.663,21.742,115729,4505
2012-09-28,21.734,21.849,21.726,21.849,111839,4505
2012-10-01,21.857,21.857,21.813,21.831,113402,4505
2012-10-02,21.841,21.857,21.77,21.822,135302,4505
2012-10-03,21.865,21.893,21.831,21.865,118215,4505
2012-10-04,21.902,21.936,21.874,21.902,87734,4505
2012-10-05,21.945,21.945,21.893,21.936,127379,4505
2012-10-08,21.972,22.042,21.918,21.989,394776,4505
2012-10-09,21.972,21.997,21.936,21.962,188945,4505
2012-10-10,21.962,22.006,21.962,21.989,147817,4505
2012-10-11,22.016,22.05,21.972,22.033,228784,4505
2012-10-12,22.033,22.077,22.024,22.068,125939,4505
2012-10-15,22.059,22.095,22.006,22.059,197085,4505
2012-10-16,22.068,22.095,22.05,22.085,96318,4505
2012-10-17,22.085,22.095,22.059,22.077,249918,4505
2012-10-18,22.085,22.129,22.068,22.068,90813,4505
2012-10-19,22.129,22.27,22.05,22.139,322175,4505
2012-10-22,22.182,22.182,22.068,22.068,131443,4505
2012-10-23,22.085,22.085,21.972,22.05,72978,4505
2012-10-24,22.059,22.104,22.016,22.033,83281,4505
2012-10-25,22.05,22.085,22.006,22.006,75853,4505
2012-10-26,22.042,22.042,21.954,21.962,37197,4505
2012-10-31,22.05,22.05,21.962,21.981,45792,4505
2012-11-01,22.033,22.095,22.006,22.05,51143,4505
2012-11-02,22.024,22.077,22.024,22.05,19172,4505
2012-11-05,22.077,22.077,21.997,22.006,58195,4505
2012-11-06,22.059,22.068,22.016,22.05,49062,4505
2012-11-07,22.085,22.085,22.006,22.05,89940,4505
2012-11-08,22.085,22.085,21.989,21.997,50676,4505
2012-11-09,22.042,22.042,21.954,22.024,58792,4505
2012-11-12,22.042,22.112,22.016,22.059,60224,4505
2012-11-13,22.095,22.129,21.981,21.989,57776,4505
2012-11-14,22.024,22.042,21.787,21.787,143154,4505
2012-11-15,21.831,21.884,21.663,21.742,71268,4505
2012-11-16,21.849,21.962,21.718,21.874,38589,4505
2012-11-19,21.918,22.05,21.918,21.997,48905,4505
2012-11-20,21.989,22.033,21.918,21.928,75536,4505
2012-11-21,22.024,22.05,21.981,22.05,35482,4505
2012-11-23,22.033,22.068,21.997,22.033,10416,4505
2012-11-26,22.016,22.068,21.902,22.05,44204,4505
2012-11-27,22.05,22.068,21.954,22.05,50829,4505
2012-11-28,22.033,22.05,21.884,21.962,40968,4505
2012-11-29,21.972,22.042,21.918,22.024,35789,4505
2012-11-30,22.024,22.068,21.981,22.033,43293,4505
2012-12-03,22.016,22.12,21.972,22.12,22789,4505
2012-12-04,22.12,22.173,22.059,22.129,39423,4505
2012-12-05,22.165,22.165,22.059,22.085,22610,4505
2012-12-06,22.129,22.173,22.068,22.173,39957,4505
2012-12-07,22.173,22.252,22.173,22.182,78215,4505
2012-12-10,21.831,21.945,21.751,21.751,21258,4505
2012-12-11,21.841,21.841,21.549,21.69,69973,4505
2012-12-12,21.69,21.77,21.656,21.656,37986,4505
2012-12-13,21.69,21.726,21.656,21.726,42356,4505
2012-12-14,21.708,21.787,21.656,21.787,25365,4505
2012-12-17,21.787,21.874,21.734,21.779,47848,4505
2012-12-18,21.857,21.857,21.787,21.857,48163,4505
2012-12-19,21.874,21.936,21.822,21.928,31890,4505
2012-12-20,21.936,21.954,21.893,21.945,25601,4505
2012-12-21,21.91,21.954,21.874,21.954,19839,4505
2012-12-24,21.954,21.954,21.831,21.849,15693,4505
2012-12-26,21.928,21.928,21.822,21.822,45819,4505
2012-12-27,21.962,21.962,21.813,21.918,46119,4505
2012-12-28,21.962,21.962,21.822,21.841,51648,4505
2012-12-31,21.831,21.962,21.831,21.962,59107,4505
2013-01-02,21.962,22.016,21.945,22.016,72579,4505
2013-01-03,22.016,22.042,21.936,22.024,42345,4505
2013-01-04,22.042,22.077,21.972,22.006,57738,4505
2013-01-07,22.077,22.077,22.006,22.006,46152,4505
2013-01-08,22.042,22.042,22.006,22.042,27477,4505
2013-01-09,22.05,22.112,22.016,22.033,28937,4505
2013-01-10,22.129,22.156,22.006,22.033,51056,4505
2013-01-11,22.085,22.156,22.05,22.085,17667,4505
2013-01-14,22.139,22.139,22.077,22.104,21645,4505
2013-01-15,22.139,22.139,22.05,22.139,34144,4505
2013-01-16,22.095,22.104,22.042,22.104,40916,4505
2013-01-17,22.147,22.182,22.085,22.182,42088,4505
2013-01-18,22.182,22.227,22.112,22.227,38156,4505
2013-01-22,22.227,22.227,22.068,22.208,54702,4505
2013-01-23,22.208,22.208,22.129,22.129,31985,4505
2013-01-24,22.139,22.191,22.068,22.147,45627,4505
2013-01-25,22.147,22.261,22.077,22.261,96733,4505
2013-01-28,22.261,22.261,22.112,22.208,31782,4505
2013-01-29,22.2,22.2,22.006,22.033,85538,4505
2013-01-30,22.024,22.095,21.989,22.016,37926,4505
2013-01-31,22.129,22.129,21.962,22.006,28876,4505
2013-02-01,22.059,22.085,21.981,22.033,30566,4505
2013-02-04,21.981,22.033,21.918,21.928,50541,4505
2013-02-05,21.981,22.006,21.954,21.972,44701,4505
2013-02-06,21.962,21.989,21.928,21.936,93204,4505
2013-02-07,21.962,21.972,21.874,21.962,34796,4505
2013-02-08,21.981,21.981,21.945,21.981,27997,4505
2013-02-11,21.997,22.05,21.989,21.989,41131,4505
2013-02-12,21.997,22.033,21.981,21.989,16242,4505
2013-02-13,22.05,22.05,21.945,21.945,32569,4505
2013-02-14,21.989,22.05,21.962,22.006,231336,4505
2013-02-15,22.095,22.129,22.059,22.112,24078,4505
2013-02-19,22.139,22.165,22.05,22.12,28973,4505
2013-02-20,22.173,22.173,21.997,22.05,21243,4505
2013-02-21,22.077,22.112,22.024,22.068,26097,4505
2013-02-22,22.129,22.191,22.129,22.191,11765,4505
2013-02-25,22.2,22.2,22.095,22.095,28338,4505
2013-02-26,22.068,22.139,22.016,22.05,55783,4505
2013-02-27,22.05,22.085,22.016,22.085,23276,4505
2013-02-28,22.095,22.139,22.024,22.059,31889,4505
2013-03-01,22.059,22.2,22.033,22.085,15752,4505
2013-03-04,22.2,22.244,22.104,22.129,45940,4505
2013-03-05,22.227,22.227,22.156,22.2,73769,4505
2013-03-06,22.191,22.27,22.165,22.261,52179,4505
2013-03-07,22.27,22.27,22.173,22.261,33715,4505
2013-03-08,22.252,22.252,22.165,22.191,27173,4505
2013-03-11,22.276,22.286,22.152,22.161,47287,4505
2013-03-12,22.249,22.286,22.214,22.267,44344,4505
2013-03-13,22.286,22.303,22.259,22.286,17277,4505
2013-03-14,22.286,22.286,22.259,22.276,12945,4505
2013-03-15,22.286,22.286,22.214,22.259,18468,4505
2013-03-18,22.286,22.286,22.259,22.276,38914,4505
2013-03-19,22.276,22.276,22.205,22.214,26599,4505
2013-03-20,22.276,22.312,22.241,22.312,49844,4505
2013-03-21,22.267,22.312,22.223,22.303,30341,4505
2013-03-22,22.321,22.321,22.223,22.267,20318,4505
2013-03-25,22.267,22.329,22.241,22.267,31776,4505
2013-03-26,22.321,22.366,22.276,22.303,24127,4505
2013-03-27,22.295,22.42,22.267,22.42,59679,4505
2013-03-28,22.535,22.561,22.411,22.428,33076,4505
2013-04-01,22.401,22.526,22.358,22.358,13770,4505
2013-04-02,22.348,22.473,22.339,22.401,7958,4505
2013-04-03,22.482,22.482,22.358,22.358,20212,4505
2013-04-04,22.428,22.499,22.401,22.482,11092,4505
2013-04-05,22.464,22.464,22.384,22.401,13306,4505
2013-04-08,22.454,22.464,22.374,22.401,16937,4505
2013-04-09,22.464,22.464,22.401,22.428,21150,4505
2013-04-10,22.428,22.482,22.384,22.401,24456,4505
2013-04-11,22.428,22.473,22.411,22.428,18938,4505
2013-04-12,22.392,22.464,22.392,22.411,11243,4505
2013-04-15,22.411,22.482,22.401,22.482,15903,4505
2013-04-16,22.464,22.499,22.428,22.499,25969,4505
2013-04-17,22.492,22.499,22.392,22.392,23797,4505
2013-04-18,22.401,22.464,22.401,22.437,18545,4505
2013-04-19,22.401,22.517,22.286,22.517,64637,4505
2013-04-22,22.499,22.508,22.249,22.454,46730,4505
2013-04-23,22.454,22.499,22.411,22.492,14913,4505
2013-04-24,22.482,22.492,22.454,22.492,13487,4505
2013-04-25,22.492,22.508,22.473,22.508,16890,4505
2013-04-26,22.508,22.508,22.473,22.508,6719,4505
2013-04-29,22.508,22.641,22.508,22.616,19849,4505
