Date,Open,High,Low,Close,Volume,stock_id
2016-09-28,25.628,25.628,24.797,24.797,7176,6514
2016-09-30,24.847,24.847,24.847,24.847,100,6514
2016-10-03,24.747,24.747,24.747,24.747,802,6514
2016-10-04,24.64,24.64,24.64,24.64,1011,6514
2016-10-05,24.817,24.818,24.817,24.818,2021,6514
2016-10-06,24.709,24.709,24.709,24.709,110,6514
2016-11-01,23.778,23.778,23.778,23.778,304,6514
2016-11-02,24.738,24.738,23.412,23.412,9530,6514
2016-11-09,24.62,24.62,24.605,24.605,3097,6514
2016-11-10,25.027,25.027,25.027,25.027,353,6514
2016-11-14,25.876,25.876,25.876,25.876,4893,6514
2016-11-16,27.093,27.093,27.093,27.093,304,6514
2016-11-21,26.461,26.461,26.461,26.461,329,6514
2016-11-22,26.648,26.777,26.648,26.777,384,6514
2016-11-23,27.073,27.073,27.073,27.073,240,6514
2016-11-28,27.281,27.281,26.766,26.766,6672,6514
2016-11-29,26.806,26.806,26.806,26.806,758,6514
2016-12-01,26.96,26.96,26.96,26.96,707,6514
2016-12-02,26.708,26.708,26.495,26.609,607,6514
2016-12-05,25.451,26.599,25.451,26.599,203,6514
2016-12-08,27.843,27.875,27.843,27.875,304,6514
2016-12-12,28.192,28.192,27.875,27.875,255,6514
2016-12-14,27.589,27.677,27.589,27.606,2319,6514
2016-12-15,27.697,27.697,27.637,27.637,8947,6514
2016-12-16,27.757,27.757,27.637,27.637,3423,6514
2016-12-19,27.608,27.608,27.608,27.608,100,6514
2016-12-20,27.885,27.885,27.885,27.885,889,6514
2016-12-21,27.895,27.895,27.816,27.816,259,6514
2016-12-22,27.816,27.816,27.529,27.569,1495,6514
2016-12-23,27.628,27.628,27.628,27.628,718,6514
2016-12-28,27.653,27.653,27.653,27.653,168,6514
2016-12-29,27.484,27.484,27.484,27.484,974,6514
2016-12-30,27.454,27.454,27.437,27.437,418,6514
2017-01-03,27.404,27.404,27.404,27.404,100,6514
2017-01-09,27.454,27.454,27.454,27.454,102,6514
2017-01-10,27.713,27.713,27.713,27.713,257,6514
2017-01-13,27.802,27.802,27.693,27.693,358,6514
2017-01-17,27.403,27.403,27.403,27.403,200,6514
2017-01-18,27.295,27.385,27.295,27.384,574,6514
2017-01-24,27.355,27.355,27.355,27.355,303,6514
2017-01-25,27.743,27.743,27.554,27.554,1496,6514
2017-01-30,27.226,27.226,27.226,27.226,102,6514
2017-02-01,27.444,27.444,27.405,27.405,725,6514
2017-02-02,27.354,27.355,27.354,27.355,491,6514
2017-02-03,27.802,27.802,27.802,27.802,2559,6514
2017-02-06,27.554,27.554,27.554,27.554,554,6514
2017-02-08,27.295,27.295,27.295,27.295,202,6514
2017-02-09,27.881,27.881,27.881,27.881,554,6514
2017-02-10,28.04,28.09,27.921,28.085,2589,6514
2017-02-14,28.1,28.1,28.1,28.1,100,6514
2017-02-15,28.16,28.324,28.16,28.324,1188,6514
2017-02-16,28.299,28.299,28.299,28.299,303,6514
2017-02-17,28.309,28.309,28.287,28.287,265,6514
2017-02-21,29.778,29.778,28.447,28.537,2432,6514
2017-02-23,28.299,28.299,28.12,28.209,1572,6514
2017-02-27,28.249,28.437,28.249,28.437,484,6514
2017-02-28,28.209,28.209,27.969,27.99,1976,6514
2017-03-01,28.566,28.566,28.566,28.566,252,6514
2017-03-03,28.199,28.199,28.11,28.15,478,6514
2017-03-08,27.861,27.861,27.802,27.802,368,6514
2017-03-09,27.822,27.822,27.703,27.703,252,6514
2017-03-10,27.593,27.623,27.581,27.622,3948,6514
2017-03-13,27.782,27.782,27.782,27.782,180,6514
2017-03-14,27.703,27.703,27.703,27.703,197,6514
2017-03-16,28.12,28.15,28.12,28.14,2044,6514
2017-03-17,28.249,28.249,28.249,28.249,1003,6514
2017-03-20,28.249,28.249,28.04,28.08,2014,6514
2017-03-24,27.574,27.703,27.574,27.663,1881,6514
2017-03-27,27.564,27.564,27.564,27.564,378,6514
2017-03-31,28.259,28.259,28.259,28.259,681,6514
2017-04-11,27.874,27.874,27.735,27.853,465,6514
2017-04-20,27.993,28.113,27.993,28.113,337,6514
2017-04-25,28.761,28.79,28.761,28.79,261,6514
2017-04-27,28.91,28.91,28.9,28.9,3140,6514
2017-05-01,28.621,28.621,28.621,28.621,190,6514
2017-05-02,28.621,28.621,28.621,28.621,502,6514
2017-05-04,28.362,28.362,28.263,28.263,861,6514
2017-05-09,28.423,28.423,28.372,28.372,824,6514
2017-05-17,27.886,27.886,27.566,27.566,1415,6514
2017-05-18,27.755,27.755,27.755,27.755,916,6514
2017-05-22,28.043,28.043,28.043,28.043,649,6514
2017-05-24,28.173,28.173,28.075,28.075,304,6514
2017-05-25,28.342,28.342,28.203,28.203,1942,6514
2017-05-26,28.342,28.342,28.342,28.342,1708,6514
2017-05-30,28.089,28.089,28.089,28.089,204,6514
2017-06-02,28.74,28.84,28.711,28.84,536,6514
2017-06-06,28.441,28.671,28.441,28.631,2402,6514
2017-06-08,28.756,28.756,28.729,28.729,227,6514
2017-06-09,29.128,29.128,29.128,29.128,803,6514
2017-06-12,28.94,28.94,28.94,28.94,21677,6514
2017-06-13,29.057,29.057,29.057,29.057,201,6514
2017-06-15,28.81,29.039,28.81,29.039,1747,6514
2017-06-20,28.81,28.81,28.628,28.628,703,6514
2017-06-28,28.153,28.979,28.153,28.979,522,6514
2017-06-29,29.068,29.068,29.029,29.029,2988,6514
2017-06-30,28.79,28.79,28.76,28.76,302,6514
2017-07-03,28.774,28.774,28.774,28.774,100,6514
2017-07-05,28.669,28.669,28.669,28.669,200,6514
2017-07-06,28.539,28.599,28.539,28.599,1172,6514
2017-07-07,28.749,28.749,28.749,28.749,331,6514
2017-07-11,28.619,28.729,28.559,28.589,5890,6514
2017-07-18,28.869,28.998,28.869,28.998,381,6514
2017-07-27,29.288,29.288,29.288,29.288,3005,6514
2017-07-31,29.018,29.029,29.018,29.029,501,6514
2017-08-03,28.739,28.739,28.739,28.739,171,6514
2017-08-07,28.659,28.789,28.659,28.739,301,6514
2017-08-11,27.889,27.889,27.821,27.858,1087,6514
2017-08-21,27.561,27.561,27.561,27.561,200,6514
2017-08-28,27.881,27.881,27.839,27.839,301,6514
2017-09-06,28.1,28.139,28.1,28.139,215,6514
2017-09-25,29.13,29.13,29.13,29.13,351,6514
2017-09-28,29.977,30.017,29.977,29.997,5411,6514
2017-09-29,30.057,30.205,30.057,30.145,735,6514
2017-10-02,30.24,30.28,30.24,30.28,1142,6514
2017-10-13,30.1687,30.1687,30.1687,30.1687,195,6514
2017-10-17,30.087,30.087,30.087,30.087,213,6514
