Date,Open,High,Low,Close,Volume,stock_id
2010-11-29,13.893,13.916,13.872,13.899,41944,5061
2010-11-30,13.869,13.884,13.869,13.869,64842,5061
2010-12-01,13.876,13.881,13.872,13.872,21182,5061
2010-12-02,13.881,13.909,13.881,13.899,8470,5061
2010-12-03,13.876,13.893,13.872,13.893,21345,5061
2010-12-06,13.893,13.893,13.872,13.872,33462,5061
2010-12-07,13.899,13.899,13.872,13.872,25894,5061
2010-12-08,13.881,13.888,13.872,13.872,25267,5061
2010-12-09,13.872,13.881,13.872,13.872,48162,5061
2010-12-10,13.876,13.958,13.872,13.899,26836,5061
2010-12-13,13.876,13.876,13.872,13.872,16410,5061
2010-12-14,13.872,13.893,13.872,13.893,32583,5061
2010-12-15,13.899,13.899,13.872,13.872,80357,5061
2010-12-16,13.873,13.877,13.873,13.877,41676,5061
2010-12-17,13.888,13.893,13.872,13.872,43258,5061
2010-12-20,13.876,13.952,13.872,13.952,57917,5061
2010-12-21,13.94,13.952,13.876,13.927,85172,5061
2010-12-22,13.927,13.927,13.872,13.876,29236,5061
2010-12-23,13.872,13.927,13.872,13.927,698201,5061
2010-12-27,13.881,13.893,13.872,13.872,155481,5061
2010-12-28,13.872,13.899,13.872,13.872,99750,5061
2010-12-29,13.838,13.869,13.706,13.864,134422,5061
2010-12-30,13.788,13.852,13.775,13.775,114894,5061
2010-12-31,13.773,13.806,13.773,13.773,41992,5061
2011-01-03,13.775,13.909,13.775,13.861,57088,5061
2011-01-04,13.801,13.982,13.775,13.899,151904,5061
2011-01-05,13.899,13.958,13.401,13.866,94573,5061
2011-01-06,13.85,13.922,13.775,13.916,77281,5061
2011-01-07,13.837,13.927,13.647,13.866,66118,5061
2011-01-10,13.806,13.872,13.75,13.844,19771,5061
2011-01-11,13.841,13.872,13.775,13.82,40174,5061
2011-01-12,13.927,13.927,13.806,13.866,52820,5061
2011-01-13,13.854,13.866,13.801,13.844,28809,5061
2011-01-14,13.861,13.982,13.788,13.899,31209,5061
2011-01-18,13.854,13.899,13.788,13.899,23452,5061
2011-01-19,13.872,13.922,13.844,13.85,46069,5061
2011-01-20,13.872,13.909,13.82,13.824,26893,5061
2011-01-21,13.82,13.934,13.82,13.844,42211,5061
2011-01-24,13.83,13.85,13.62,13.665,52562,5061
2011-01-25,13.672,13.761,13.485,13.59,36160,5061
2011-01-26,13.567,13.643,13.567,13.62,23277,5061
2011-01-27,13.623,13.704,13.623,13.704,30808,5061
2011-01-28,13.704,13.704,13.607,13.607,31525,5061
2011-01-31,13.767,13.78,13.567,13.585,28214,5061
2011-02-01,13.677,13.872,13.585,13.806,46877,5061
2011-02-02,13.665,13.893,13.665,13.844,28436,5061
2011-02-03,13.788,13.899,13.761,13.876,24403,5061
2011-02-04,13.82,13.927,13.766,13.927,17706,5061
2011-02-07,13.872,13.927,13.775,13.927,28647,5061
2011-02-08,13.841,13.922,13.82,13.899,40657,5061
2011-02-09,13.922,13.927,13.876,13.888,24477,5061
2011-02-10,13.873,13.924,13.873,13.882,59688,5061
2011-02-11,13.909,13.927,13.876,13.927,35898,5061
2011-02-14,13.967,13.973,13.83,13.841,43426,5061
2011-02-15,13.801,13.893,13.77,13.866,48781,5061
2011-02-16,13.788,13.899,13.788,13.872,77853,5061
2011-02-18,13.916,13.916,13.844,13.872,24842,5061
2011-02-22,13.872,13.872,13.756,13.788,30025,5061
2011-02-23,13.795,13.927,13.788,13.927,37906,5061
2011-02-24,13.922,13.922,13.795,13.909,67959,5061
2011-02-25,13.911,13.964,13.906,13.906,46342,5061
2011-02-28,13.907,13.952,13.869,13.926,32894,5061
2011-03-01,13.965,13.975,13.851,13.9,55763,5061
2011-03-02,13.889,13.968,13.837,13.845,41269,5061
2011-03-03,13.874,13.969,13.855,13.889,18413,5061
2011-03-04,13.948,13.948,13.882,13.929,28195,5061
2011-03-07,13.909,13.934,13.872,13.934,22614,5061
2011-03-08,13.877,13.948,13.877,13.889,24806,5061
2011-03-09,13.889,13.9,13.855,13.895,59819,5061
2011-03-10,13.895,13.975,13.855,13.9,51597,5061
2011-03-11,13.984,14.041,13.877,13.895,27000,5061
2011-03-14,13.877,13.911,13.863,13.863,40556,5061
2011-03-15,13.851,13.882,13.622,13.733,56291,5061
2011-03-16,13.851,14.02,13.801,13.855,37955,5061
2011-03-17,13.838,13.967,13.77,13.915,19906,5061
2011-03-18,13.968,13.984,13.906,13.968,19505,5061
2011-03-21,13.968,14.061,13.906,14.061,40815,5061
2011-03-22,14.327,14.327,13.911,13.996,52451,5061
2011-03-23,14.045,14.249,13.911,13.974,34970,5061
2011-03-24,13.968,13.968,13.855,13.895,41173,5061
2011-03-25,13.851,13.889,13.587,13.743,206501,5061
2011-03-28,13.744,13.807,13.665,13.788,72089,5061
2011-03-29,13.831,13.882,13.606,13.717,73741,5061
2011-03-30,13.672,13.783,13.672,13.783,60888,5061
2011-03-31,13.744,13.894,13.744,13.881,46201,5061
2011-04-01,13.906,13.906,13.75,13.851,23043,5061
2011-04-04,13.796,13.837,13.703,13.717,68208,5061
2011-04-05,13.801,13.801,13.713,13.776,57305,5061
2011-04-06,13.761,13.831,13.728,13.801,36579,5061
2011-04-07,13.863,13.912,13.76,13.825,36995,5061
2011-04-08,13.851,13.874,13.77,13.855,15312,5061
2011-04-11,13.874,13.955,13.863,13.936,46347,5061
2011-04-12,13.915,13.957,13.874,13.884,31275,5061
2011-04-13,13.895,13.912,13.581,13.743,76309,5061
2011-04-14,13.77,13.775,13.631,13.675,48823,5061
2011-04-15,13.713,13.846,13.641,13.825,66947,5061
2011-04-18,13.702,13.895,13.702,13.895,55437,5061
2011-04-19,13.93,13.975,13.795,13.918,53754,5061
2011-04-20,13.846,13.943,13.82,13.943,62210,5061
2011-04-21,13.846,13.925,13.621,13.727,101601,5061
2011-04-25,13.727,13.75,13.451,13.563,208989,5061
2011-04-26,13.487,13.487,13.262,13.342,193795,5061
