Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,66.0,66.0,64.0,64.0,632,5063
2005-02-28,66.0,66.0,64.0,64.0,177,5063
2005-03-01,60.0,64.0,58.0,62.0,343,5063
2005-03-02,60.0,60.0,60.0,60.0,0,5063
2005-03-03,60.0,62.0,60.0,60.0,83,5063
2005-03-04,60.0,60.0,54.0,54.0,505,5063
2005-03-07,54.0,62.0,54.0,60.0,244,5063
2005-03-08,60.0,61.0,60.0,60.0,271,5063
2005-03-09,59.0,60.0,58.0,60.0,265,5063
2005-03-10,60.0,60.0,58.0,58.0,92,5063
2005-03-11,60.0,60.0,54.0,58.0,232,5063
2005-03-14,60.0,60.0,50.0,54.0,627,5063
2005-03-15,54.0,57.0,52.0,52.0,275,5063
2005-03-16,52.0,56.0,52.0,54.0,162,5063
2005-03-17,54.0,60.0,52.0,60.0,635,5063
2005-03-18,56.0,60.0,56.0,60.0,349,5063
2005-03-21,60.0,63.8,60.0,63.8,166,5063
2005-03-22,62.0,63.0,54.0,57.0,411,5063
2005-03-23,55.0,59.98,55.0,58.0,455,5063
2005-03-24,54.0,70.0,54.0,62.0,2255,5063
2005-03-28,62.0,62.0,60.0,60.0,411,5063
2005-03-29,60.0,64.0,56.2,58.0,1331,5063
2005-03-30,60.0,60.0,56.0,60.0,110,5063
2005-03-31,56.0,58.0,56.0,56.0,113,5063
2005-04-01,56.0,56.0,55.0,56.0,121,5063
2005-04-04,58.0,58.0,56.0,56.0,32,5063
2005-04-05,56.0,56.0,54.0,54.0,214,5063
2005-04-06,52.0,56.0,52.0,56.0,257,5063
2005-04-07,56.0,56.0,48.0,54.0,422,5063
2005-04-11,54.0,54.0,54.0,54.0,25,5063
2005-04-12,54.0,54.0,54.0,54.0,10,5063
2005-04-13,50.0,70.0,50.0,50.0,195,5063
2005-04-14,50.0,50.0,48.0,50.0,41,5063
2005-04-15,50.0,50.0,42.0,44.0,1261,5063
2005-04-18,44.0,44.0,44.0,44.0,20,5063
2005-04-19,42.0,45.8,42.0,45.8,145,5063
2005-04-20,42.0,46.0,42.0,45.8,74,5063
2005-04-21,45.8,45.8,42.0,45.4,40,5063
2005-04-22,42.0,44.0,40.0,40.0,70,5063
2005-04-25,40.0,42.0,40.0,40.0,107,5063
2005-04-26,42.0,44.0,41.98,44.0,60,5063
2005-04-27,44.0,44.0,43.0,43.0,74,5063
2005-04-28,44.0,44.0,44.0,44.0,10,5063
2005-04-29,42.0,45.4,41.0,45.4,364,5063
2005-05-02,40.0,40.0,40.0,40.0,88,5063
2005-05-03,39.0,41.0,38.2,38.4,482,5063
2005-05-04,38.4,40.0,38.4,40.0,95,5063
2005-05-05,40.0,40.0,39.0,39.0,88,5063
2005-05-06,38.4,38.4,38.4,38.4,55,5063
2005-05-09,40.0,40.0,38.4,40.0,65,5063
2005-05-10,38.6,39.0,38.0,38.0,186,5063
2005-05-11,36.2,38.0,36.2,36.4,146,5063
2005-05-12,36.4,36.4,36.4,36.4,139,5063
2005-05-13,36.4,36.4,34.2,34.4,681,5063
2005-05-16,36.0,39.0,36.0,39.0,187,5063
2005-05-17,45.4,45.4,42.0,44.0,241,5063
2005-05-18,44.0,46.0,44.0,46.0,188,5063
2005-05-19,41.4,41.4,38.0,38.0,30,5063
2005-05-20,44.0,48.0,44.0,48.0,154,5063
2005-05-23,48.0,54.0,48.0,52.0,388,5063
2005-05-24,50.0,50.0,46.2,48.0,144,5063
2005-05-25,50.0,50.0,50.0,50.0,38,5063
2005-05-26,44.2,44.2,40.0,42.0,240,5063
2005-05-31,50.0,52.0,44.0,50.2,278,5063
2005-06-01,44.0,46.0,43.0,43.0,140,5063
2005-06-02,43.0,43.0,43.0,43.0,2,5063
2005-06-03,43.0,43.0,41.0,41.0,190,5063
2005-06-06,41.0,44.2,41.0,44.2,43,5063
2005-06-07,41.0,44.2,41.0,41.0,62,5063
