Date,Open,High,Low,Close,Volume,stock_id
2015-11-03,4.3,4.3,4.05,4.05,1100,5622
2015-11-04,3.0,3.0,2.4,2.729,3738,5622
2015-11-05,3.24,3.35,2.77,3.05,2200,5622
2015-11-06,3.0,3.12,3.0,3.02,3100,5622
2015-11-09,2.96,2.96,2.7,2.7866,1139,5622
2015-11-10,2.77,2.77,2.7,2.7,900,5622
2015-11-11,2.55,3.0,2.55,3.0,600,5622
2015-11-12,2.52,2.52,2.52,2.52,200,5622
2015-11-13,2.76,2.79,2.76,2.79,700,5622
2015-11-16,2.75,2.79,2.5,2.5,3400,5622
2015-11-17,2.5,2.59,2.35,2.37,3100,5622
2015-11-18,2.4,2.9,2.4,2.63,3400,5622
2015-11-19,2.4,2.64,2.3,2.3,4600,5622
2015-11-20,2.47,2.85,2.4,2.4,500,5622
2015-11-23,2.5,2.5,2.27,2.3,3900,5622
2015-11-24,2.3,2.64,2.15,2.23,2500,5622
2015-11-25,2.15,2.15,2.1,2.15,900,5622
2015-11-27,2.5,2.5,2.1,2.1,1000,5622
2015-11-30,2.05,2.07,2.05,2.05,1600,5622
2015-12-02,2.0501,2.0501,2.0,2.0,854,5622
2015-12-04,2.0,2.0,1.52,1.8,9900,5622
2015-12-07,1.7,1.7,1.7,1.7,1700,5622
2015-12-08,1.661,2.06,1.5799,1.71,116589,5622
2015-12-09,1.87,2.0,1.67,1.7,5200,5622
2015-12-10,1.85,2.2,1.7,2.2,11300,5622
2015-12-11,2.15,3.37,1.8,2.88,96300,5622
2015-12-14,3.05,3.05,1.85,2.01,44697,5622
2015-12-15,2.25,2.25,1.66,2.0,31300,5622
2015-12-16,2.31,2.31,1.74,1.74,2200,5622
2015-12-17,1.73,1.92,1.73,1.73,11100,5622
2015-12-18,1.75,2.1,1.73,1.75,46800,5622
2015-12-21,1.56,1.97,1.56,1.61,12800,5622
2015-12-22,1.61,1.9,1.61,1.71,2356,5622
2015-12-23,1.75,1.75,1.69,1.72,900,5622
2015-12-28,1.96,1.96,1.64,1.9,2282,5622
2015-12-29,1.7499,1.85,1.7,1.7,8000,5622
2015-12-30,1.69,1.9974,1.41,1.5981,32015,5622
2015-12-31,1.55,1.66,1.26,1.26,6822,5622
2016-01-04,1.17,1.25,1.05,1.25,3615,5622
2016-01-05,1.1804,1.1899,1.08,1.1899,1356,5622
2016-01-06,1.0901,1.27,1.003,1.27,4455,5622
2016-01-07,1.27,1.44,1.0,1.32,7913,5622
2016-01-08,1.1501,1.16,0.87,0.87,5986,5622
2016-01-11,1.36,1.36,0.87,0.87,26274,5622
2016-01-12,0.87,0.87,0.625,0.68,6540,5622
2016-01-13,0.68,0.79,0.5463,0.75,92649,5622
