Date,Open,High,Low,Close,Volume,stock_id
2007-01-25,12.197,12.197,12.197,12.197,0,5141
2007-01-26,12.258,12.258,12.197,12.197,31696,5141
2007-01-29,12.258,12.258,12.197,12.197,17295,5141
2007-01-30,12.204,12.258,12.197,12.258,64123,5141
2007-01-31,12.197,12.258,12.197,12.21,13766,5141
2007-02-01,12.197,13.419,12.197,12.258,29973,5141
2007-02-02,12.571,12.571,12.35,12.35,24075,5141
2007-02-05,12.204,12.505,12.197,12.321,23157,5141
2007-02-06,12.505,12.505,12.197,12.197,72793,5141
2007-02-07,12.197,12.505,12.13,12.24,32067,5141
2007-02-08,12.44,12.44,12.197,12.283,30792,5141
2007-02-09,13.265,13.265,12.489,12.522,71100,5141
2007-02-12,12.505,13.356,12.356,12.515,18434,5141
2007-02-13,12.539,12.808,12.35,12.472,17554,5141
2007-02-14,12.594,12.594,12.35,12.38,20728,5141
2007-02-15,12.594,12.594,12.38,12.497,16517,5141
2007-02-16,12.686,12.686,12.289,12.343,29654,5141
2007-02-20,12.258,12.321,12.197,12.204,27995,5141
2007-02-21,12.197,12.38,12.197,12.343,116561,5141
2007-02-22,13.052,13.052,12.35,12.44,36769,5141
2007-02-23,12.35,12.35,12.197,12.289,25624,5141
2007-02-26,12.046,12.258,12.015,12.197,88278,5141
2007-02-27,12.197,12.315,12.197,12.197,223833,5141
2007-02-28,12.472,12.472,12.197,12.204,101338,5141
2007-03-01,12.197,12.216,12.197,12.197,77257,5141
2007-03-02,12.107,12.204,12.107,12.204,125986,5141
2007-03-05,12.13,12.289,12.123,12.197,271281,5141
2007-03-06,12.197,12.258,12.197,12.197,80642,5141
2007-03-07,12.197,12.251,12.197,12.197,33348,5141
2007-03-08,12.197,12.266,12.197,12.197,22923,5141
2007-03-09,12.197,12.251,12.197,12.197,13567,5141
2007-03-12,12.289,12.289,12.197,12.204,12298,5141
2007-03-13,12.197,12.24,12.197,12.197,16889,5141
2007-03-14,12.197,12.251,12.167,12.197,21053,5141
2007-03-15,12.197,12.197,12.137,12.18,7545,5141
2007-03-16,12.197,12.271,12.197,12.271,7213,5141
2007-03-19,12.289,12.289,12.064,12.18,23459,5141
2007-03-20,12.075,12.204,12.075,12.197,59184,5141
2007-03-21,12.137,12.229,12.137,12.197,41606,5141
2007-03-22,12.258,12.258,12.137,12.167,19560,5141
2007-03-23,12.137,12.167,12.137,12.161,19218,5141
2007-03-26,12.161,12.222,11.906,11.984,148605,5141
2007-03-27,12.064,12.088,11.892,12.058,39388,5141
2007-03-28,11.935,12.026,11.788,11.874,28036,5141
2007-03-29,11.781,12.064,11.772,11.832,31077,5141
2007-03-30,11.96,11.96,11.781,11.788,6577,5141
2007-04-02,11.739,11.953,11.691,11.739,42535,5141
2007-04-03,11.863,12.009,11.717,11.863,49248,5141
2007-04-04,11.781,11.972,11.781,11.795,49596,5141
2007-04-05,11.781,12.107,11.781,12.015,26808,5141
2007-04-09,12.289,12.321,12.204,12.307,131199,5141
2007-04-10,12.489,12.489,12.278,12.374,80919,5141
2007-04-11,12.477,12.477,12.197,12.251,60343,5141
2007-04-12,12.197,12.35,12.197,12.222,54268,5141
2007-04-13,12.392,12.392,12.204,12.222,56716,5141
2007-04-16,12.477,12.477,12.21,12.24,76225,5141
2007-04-17,12.24,12.283,12.197,12.229,83443,5141
2007-04-18,12.21,12.229,12.197,12.197,45659,5141
2007-04-19,12.197,12.204,12.167,12.173,66368,5141
2007-04-20,12.167,12.234,12.046,12.094,71044,5141
2007-04-23,12.191,12.197,12.075,12.113,63649,5141
2007-04-24,12.186,12.186,12.046,12.064,55580,5141
2007-04-25,12.197,12.246,11.984,12.004,120512,5141
2007-04-26,12.046,12.088,11.923,11.984,43415,5141
2007-04-27,11.949,12.07,11.923,12.046,32400,5141
2007-04-30,12.032,12.032,11.911,11.949,38708,5141
2007-05-01,11.892,11.967,11.807,11.923,80054,5141
2007-05-02,11.906,12.039,11.892,11.923,87998,5141
2007-05-03,11.826,12.052,11.826,11.949,49811,5141
2007-05-04,11.869,12.161,11.869,12.154,87045,5141
2007-05-07,12.186,12.197,12.015,12.12,107751,5141
2007-05-08,12.107,12.197,11.953,12.039,86673,5141
2007-05-09,12.123,12.191,12.032,12.167,88018,5141
2007-05-10,12.173,12.197,11.967,12.197,91126,5141
2007-05-11,12.197,12.434,11.984,12.039,49404,5141
2007-05-14,12.075,12.094,11.953,11.984,63008,5141
2007-05-15,11.984,12.094,11.892,11.923,56620,5141
2007-05-16,11.898,11.917,11.807,11.838,51024,5141
2007-05-17,11.807,11.892,11.588,11.624,101550,5141
2007-05-18,11.624,11.923,11.624,11.888,48698,5141
2007-05-21,11.826,11.949,11.727,11.82,90495,5141
2007-05-22,11.754,11.953,11.739,11.888,84385,5141
2007-05-23,11.99,12.052,11.722,11.733,126172,5141
