Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,3.7,3.84,3.51,3.59,94225,5082
2005-02-28,3.59,3.81,3.59,3.67,112585,5082
2005-03-01,3.73,3.76,3.55,3.64,93899,5082
2005-03-02,3.59,4.2,3.59,4.03,527372,5082
2005-03-03,4.01,4.09,4.0,4.08,166194,5082
2005-03-04,3.97,4.22,3.97,4.08,393444,5082
2005-03-07,4.17,4.18,4.08,4.17,152743,5082
2005-03-08,4.18,4.23,4.1,4.19,115707,5082
2005-03-09,4.15,4.22,3.87,3.97,154187,5082
2005-03-10,3.95,4.0,3.83,3.85,71954,5082
2005-03-11,3.77,3.84,3.61,3.73,118528,5082
2005-03-14,3.73,3.85,3.64,3.81,54950,5082
2005-03-15,3.91,3.91,3.65,3.65,63362,5082
2005-03-16,3.62,3.68,3.61,3.65,50552,5082
2005-03-17,3.61,3.69,3.32,3.36,168801,5082
2005-03-18,3.4,3.58,3.3,3.46,97974,5082
2005-03-21,3.49,3.49,3.28,3.28,11600,5082
2005-03-22,3.26,3.32,3.16,3.28,52279,5082
2005-03-23,3.15,3.4,3.15,3.37,35985,5082
2005-03-24,3.33,3.48,3.3,3.3,94831,5082
2005-03-28,3.2,3.33,3.2,3.28,36206,5082
2005-03-29,3.37,3.5,3.2,3.25,51521,5082
2005-03-30,3.26,3.42,3.25,3.25,52709,5082
2005-03-31,3.21,3.45,3.21,3.42,14390,5082
2005-04-01,3.5,3.52,3.42,3.51,33202,5082
2005-04-04,3.52,3.52,3.33,3.44,30407,5082
2005-04-05,3.41,3.45,3.27,3.3,103200,5082
2005-04-06,3.35,3.4,3.19,3.23,39890,5082
2005-04-07,3.24,3.43,3.21,3.37,230210,5082
2005-04-08,3.41,3.41,3.25,3.29,56697,5082
2005-04-11,3.22,3.29,3.22,3.27,7050,5082
2005-04-12,3.3,3.48,3.3,3.45,31300,5082
2005-04-13,3.5,3.5,3.22,3.22,27598,5082
2005-04-14,3.3,3.48,3.28,3.32,33450,5082
2005-04-15,3.22,3.27,2.95,3.15,83835,5082
2005-04-18,3.19,3.27,3.15,3.25,63449,5082
2005-04-19,3.15,3.3,3.15,3.29,66614,5082
2005-04-20,3.3,3.34,3.17,3.22,45800,5082
2005-04-21,3.14,3.34,3.14,3.22,59231,5082
2005-04-22,3.2,3.25,3.15,3.16,55800,5082
2005-04-25,3.16,3.2,3.15,3.17,16726,5082
2005-04-26,3.15,3.2,3.06,3.18,57200,5082
2005-04-27,3.2,3.29,3.12,3.29,109070,5082
2005-04-28,3.46,3.94,3.46,3.68,406323,5082
2005-04-29,3.69,3.69,3.51,3.58,95258,5082
2005-05-02,3.6,3.65,3.42,3.48,36440,5082
2005-05-03,3.44,3.5,3.32,3.34,77925,5082
2005-05-04,3.39,3.48,3.26,3.39,60000,5082
2005-05-05,3.39,3.43,3.31,3.31,70229,5082
2005-05-06,3.36,3.37,3.28,3.31,32537,5082
2005-05-09,3.33,3.65,3.32,3.64,190425,5082
2005-05-10,3.64,3.71,3.6,3.6,155059,5082
2005-05-11,3.61,3.62,3.36,3.5,84592,5082
2005-05-12,3.41,3.64,3.41,3.47,37050,5082
2005-05-13,3.46,3.67,3.43,3.53,57154,5082
2005-05-16,3.53,3.53,3.41,3.5,80202,5082
2005-05-17,3.4,3.5,3.4,3.5,51644,5082
2005-05-18,3.45,3.66,3.45,3.58,172132,5082
2005-05-19,3.61,3.88,3.61,3.78,214790,5082
2005-05-20,3.76,3.85,3.74,3.79,115773,5082
2005-05-23,3.96,3.98,3.76,3.8,252572,5082
2005-05-24,3.76,3.79,3.54,3.71,46925,5082
2005-05-25,3.63,4.25,3.63,4.2,393341,5082
2005-05-26,4.29,4.3,4.01,4.26,563987,5082
2005-05-27,4.13,4.29,4.01,4.23,134768,5082
2005-05-31,4.26,4.4,4.07,4.37,213217,5082
2005-06-01,4.22,4.51,4.17,4.24,281237,5082
2005-06-02,4.22,4.45,4.22,4.36,129268,5082
2005-06-03,4.36,4.5,4.21,4.38,115655,5082
2005-06-06,4.45,4.45,4.21,4.38,113197,5082
2005-06-07,4.4,4.4,4.25,4.25,63523,5082
2005-06-08,4.23,4.3,4.02,4.08,200637,5082
2005-06-09,4.05,4.18,3.93,4.08,101293,5082
2005-06-10,4.0,4.08,3.96,4.05,53718,5082
2005-06-13,4.1,4.13,4.06,4.12,42446,5082
2005-06-14,4.2,4.2,3.96,4.12,34141,5082
2005-06-15,4.1,4.12,4.04,4.04,35520,5082
2005-06-16,4.01,4.1,4.0,4.1,64085,5082
2005-06-17,4.1,4.24,4.05,4.24,93159,5082
2005-06-20,4.25,4.35,4.16,4.33,108998,5082
2005-06-21,4.35,4.4,4.3,4.34,106878,5082
2005-06-22,4.32,4.36,4.26,4.33,39553,5082
2005-06-23,4.28,4.33,4.05,4.18,63840,5082
2005-06-24,4.1,4.12,3.98,4.0,39176,5082
2005-06-27,3.98,4.0,3.75,3.78,165344,5082
2005-06-28,3.75,4.0,3.75,3.82,54297,5082
2005-06-29,3.85,3.86,3.63,3.71,58618,5082
2005-06-30,3.68,3.74,3.6,3.7,97744,5082
2005-07-01,3.64,3.89,3.63,3.7,51834,5082
2005-07-05,3.67,3.73,3.61,3.65,22136,5082
2005-07-06,3.66,3.86,3.66,3.82,36641,5082
2005-07-07,3.81,3.81,3.66,3.72,17200,5082
2005-07-08,3.75,4.0,3.75,4.0,84476,5082
2005-07-11,4.0,4.2,3.96,4.19,97866,5082
2005-07-12,4.19,4.19,3.92,4.12,183862,5082
2005-07-13,4.12,4.17,3.95,3.95,35100,5082
2005-07-14,3.95,4.04,3.92,3.95,68812,5082
2005-07-15,4.02,4.17,3.92,4.01,44758,5082
2005-07-18,4.08,4.08,3.93,3.96,58337,5082
2005-07-19,3.99,4.06,3.85,3.97,130842,5082
2005-07-20,3.95,4.06,3.88,3.92,68507,5082
2005-07-21,3.85,3.97,3.84,3.97,78578,5082
2005-07-22,3.9,4.0,3.9,4.0,72669,5082
2005-07-25,3.94,3.99,3.74,3.9,111122,5082
2005-07-26,3.93,4.11,3.88,4.07,347107,5082
2005-07-27,4.04,4.34,4.02,4.3,504186,5082
2005-07-28,4.3,4.74,4.2,4.51,939071,5082
2005-07-29,4.42,4.51,4.4,4.45,179379,5082
2005-08-01,4.45,4.45,4.24,4.3,153316,5082
2005-08-02,4.26,4.32,4.1,4.16,148033,5082
2005-08-03,4.15,4.21,4.12,4.19,226956,5082
2005-08-04,4.21,4.21,4.06,4.1,315835,5082
2005-08-05,4.08,4.12,3.89,3.95,280984,5082
2005-08-08,4.0,4.01,3.8,3.86,168928,5082
2005-08-09,3.86,3.99,3.76,3.87,113575,5082
2005-08-10,3.93,3.94,3.75,3.83,92919,5082
2005-08-11,3.84,3.95,3.79,3.86,95036,5082
2005-08-12,3.81,3.9,3.8,3.86,80217,5082
2005-08-15,3.91,4.04,3.8,4.0,61840,5082
2005-08-16,3.93,4.0,3.8,3.88,74680,5082
2005-08-17,3.87,3.89,3.8,3.86,31296,5082
2005-08-18,3.8,3.97,3.8,3.94,35545,5082
2005-08-19,3.89,3.94,3.8,3.87,51087,5082
2005-08-22,3.81,3.86,3.67,3.67,78844,5082
2005-08-23,3.65,3.8,3.55,3.69,180665,5082
2005-08-24,3.63,3.67,3.56,3.59,78212,5082
2005-08-25,3.57,3.7,3.57,3.64,49834,5082
2005-08-26,3.62,3.74,3.45,3.63,100740,5082
2005-08-29,3.56,3.65,3.5,3.61,44950,5082
2005-08-30,3.53,3.65,3.46,3.56,85556,5082
2005-08-31,3.52,3.56,3.47,3.56,42066,5082
2005-09-01,3.52,3.54,3.35,3.39,114924,5082
2005-09-02,3.39,3.39,3.25,3.34,63379,5082
2005-09-06,3.3,3.52,3.26,3.42,271229,5082
2005-09-07,3.37,3.44,3.32,3.35,43523,5082
2005-09-08,3.31,3.62,3.31,3.62,101921,5082
2005-09-09,3.66,3.85,3.52,3.75,208064,5082
2005-09-12,3.75,3.83,3.75,3.8,69373,5082
2005-09-13,3.74,3.83,3.73,3.75,79328,5082
2005-09-14,3.71,3.8,3.71,3.75,68600,5082
2005-09-15,3.7,3.78,3.7,3.74,98585,5082
2005-09-16,3.75,3.78,3.71,3.76,77663,5082
2005-09-19,3.81,3.81,3.66,3.69,25527,5082
2005-09-20,3.71,3.87,3.65,3.71,14876,5082
2005-09-21,3.76,3.85,3.7,3.71,98743,5082
2005-09-22,3.71,3.85,3.71,3.72,10592,5082
2005-09-23,3.7,3.7,3.62,3.63,25490,5082
2005-09-26,3.61,3.73,3.56,3.58,42987,5082
2005-09-27,3.52,3.64,3.5,3.61,31392,5082
2005-09-28,3.61,3.96,3.61,3.72,171401,5082
2005-09-29,3.89,3.9,3.5,3.54,90541,5082
2005-09-30,3.55,3.61,3.52,3.52,69201,5082
2005-10-03,3.5,3.61,3.5,3.53,48480,5082
2005-10-04,3.69,3.69,3.45,3.5,30900,5082
2005-10-05,3.5,3.54,3.4,3.45,24688,5082
2005-10-06,3.41,3.45,3.13,3.15,177066,5082
2005-10-07,3.1,3.3,3.1,3.25,129841,5082
2005-10-10,3.25,3.27,3.19,3.25,134510,5082
2005-10-11,3.25,3.27,3.1,3.15,85240,5082
2005-10-12,3.15,3.15,2.85,2.94,217731,5082
2005-10-13,3.02,3.09,2.91,2.95,77992,5082
2005-10-14,2.97,3.3,2.95,3.2,90342,5082
2005-10-17,3.26,3.4,3.23,3.35,49520,5082
2005-10-18,3.4,3.45,3.28,3.45,67461,5082
2005-10-19,3.45,3.45,3.3,3.3,66072,5082
2005-10-20,3.37,3.43,3.27,3.37,30346,5082
2005-10-21,3.43,3.43,3.11,3.22,194999,5082
2005-10-24,3.24,3.54,3.12,3.37,90874,5082
2005-10-25,3.38,3.49,3.3,3.45,51437,5082
2005-10-26,3.51,3.63,3.47,3.53,146406,5082
2005-10-27,3.53,3.53,3.26,3.3,565446,5082
2005-10-28,3.4,3.5,3.31,3.41,143848,5082
2005-10-31,3.31,3.48,3.31,3.45,49248,5082
2005-11-01,3.44,3.5,3.32,3.32,43262,5082
2005-11-02,3.36,3.36,3.27,3.3,61858,5082
2005-11-03,3.27,3.46,3.27,3.42,76840,5082
2005-11-04,3.38,3.5,3.35,3.39,73149,5082
2005-11-07,3.37,3.46,3.35,3.45,53877,5082
2005-11-08,3.4,3.64,3.29,3.63,126258,5082
2005-11-09,3.63,3.96,3.6,3.91,410747,5082
2005-11-10,3.92,3.95,3.76,3.77,202169,5082
2005-11-11,3.83,3.88,3.76,3.84,153171,5082
2005-11-14,3.88,3.88,3.8,3.85,245649,5082
2005-11-15,3.75,3.9,3.72,3.72,213835,5082
2005-11-16,3.8,3.8,3.43,3.55,101921,5082
2005-11-17,3.51,3.8,3.51,3.77,64485,5082
2005-11-18,3.8,3.8,3.55,3.74,96790,5082
2005-11-21,3.66,3.85,3.61,3.7,118437,5082
2005-11-22,3.67,3.85,3.6,3.75,66132,5082
2005-11-23,3.75,3.86,3.75,3.86,85121,5082
2005-11-25,3.86,3.89,3.75,3.81,55913,5082
