Date,Open,High,Low,Close,Volume,stock_id
2017-06-16,24.763,24.804,24.763,24.804,427,6645
2017-06-19,24.893,25.001,24.893,25.001,1913,6645
2017-06-21,24.654,24.654,24.654,24.654,306,6645
2017-06-22,24.763,24.763,24.725,24.734,502,6645
2017-06-27,24.923,24.923,24.923,24.923,3666,6645
2017-07-06,24.938,24.938,24.938,24.938,301,6645
2017-07-18,25.252,25.301,25.252,25.276,861,6645
2017-07-28,25.361,25.411,25.361,25.411,316,6645
2017-07-31,25.474,25.474,25.474,25.474,643,6645
2017-08-10,24.923,24.967,24.923,24.967,603,6645
2017-08-14,25.162,25.199,25.162,25.199,333,6645
2017-08-18,25.202,25.202,25.202,25.202,620,6645
2017-09-12,25.202,25.202,25.202,25.202,201,6645
2017-09-22,25.88,25.88,25.858,25.858,500,6645
2017-09-27,26.17,26.17,26.17,26.17,1571,6645
2017-09-29,26.2757,26.309,26.2565,26.2565,888,6645
2017-10-02,26.358,26.358,26.358,26.358,300,6645
2017-10-05,26.54,26.54,26.53,26.53,380,6645
2017-10-10,26.4803,26.4803,26.4803,26.4803,200,6645
2017-10-17,26.502,26.502,26.502,26.502,330,6645
2017-10-24,26.88,26.88,26.8,26.85,940,6645
2017-11-06,26.37,26.385,26.36,26.385,1325,6645
