Date,Open,High,Low,Close,Volume,stock_id
2017-01-31,24.65,24.7498,24.64,24.7498,6751,2531
2017-02-01,24.7698,24.7698,24.68,24.68,1523,2531
2017-02-02,24.74,24.74,24.74,24.74,279235,2531
2017-02-03,24.93,25.05,24.93,25.05,149980,2531
2017-02-06,25.1,25.1592,24.95,24.95,72203,2531
2017-02-07,24.97,24.97,24.8304,24.8304,43624,2531
2017-02-08,24.96,24.96,24.96,24.96,10436,2531
2017-02-09,25.145,25.19,25.101,25.101,3720,2531
2017-02-10,25.24,25.24,25.2399,25.2399,1355,2531
2017-02-13,25.35,25.35,25.28,25.2801,17325,2531
2017-02-14,25.52,25.52,25.3,25.3,34013,2531
2017-02-15,25.3,25.3,25.3,25.3,0,2531
2017-02-16,25.3,25.3,25.3,25.3,0,2531
2017-02-17,25.37,25.37,25.37,25.37,7965,2531
2017-02-21,25.52,25.52,25.52,25.52,14532,2531
2017-02-22,25.44,25.44,25.42,25.42,8889,2531
2017-02-23,25.41,25.41,25.41,25.41,323,2531
2017-02-24,25.26,25.2979,25.26,25.2979,3432,2531
2017-02-27,25.2979,25.2979,25.2979,25.2979,0,2531
2017-02-28,25.3456,25.3787,25.25,25.3003,13014,2531
2017-03-01,25.5347,25.56,25.5347,25.5417,8847,2531
2017-03-02,25.3152,25.3152,25.3152,25.3152,113,2531
2017-03-03,25.32,25.32,25.32,25.32,300,2531
2017-03-06,25.2699,25.2699,25.2466,25.2466,760,2531
2017-03-07,25.1899,25.1899,25.16,25.16,5158,2531
2017-03-08,25.1899,25.1899,25.13,25.13,1668,2531
2017-03-09,25.14,25.14,25.14,25.14,100,2531
2017-03-10,25.07,25.07,25.07,25.07,118,2531
2017-03-13,25.13,25.13,25.1299,25.1299,618,2531
2017-03-14,25.045,25.045,25.045,25.045,268,2531
2017-03-15,25.31,25.31,25.31,25.31,499,2531
2017-03-16,25.3239,25.3239,25.3239,25.3239,806,2531
2017-03-17,25.3239,25.3239,25.3239,25.3239,0,2531
2017-03-20,25.3239,25.3239,25.3239,25.3239,0,2531
2017-03-21,24.93,24.93,24.87,24.87,3534,2531
2017-03-22,24.6,24.879,24.6,24.879,4424,2531
2017-03-23,24.78,24.78,24.78,24.78,5150,2531
2017-03-24,24.8106,24.8106,24.8106,24.8106,200,2531
2017-03-27,24.8295,24.8942,24.8111,24.8942,894,2531
2017-03-28,24.9001,25.06,24.9001,25.06,7110,2531
2017-03-29,25.07,25.1653,25.07,25.1653,612,2531
2017-03-30,25.0701,25.16,25.0701,25.16,601,2531
2017-03-31,25.26,25.29,25.26,25.29,18490,2531
2017-04-03,25.0101,25.0524,25.01,25.0524,3127,2531
2017-04-05,24.97,25.045,24.97,25.04,694,2531
2017-04-06,24.8,25.0048,24.8,25.0048,732,2531
2017-04-07,24.96,24.96,24.96,24.96,19735,2531
2017-04-10,24.96,24.96,24.96,24.96,0,2531
2017-04-11,23.83,23.83,23.83,23.83,33,2531
2017-04-12,25.1199,25.1199,25.0,25.0,1265,2531
2017-04-13,24.795,24.795,24.795,24.795,100,2531
2017-04-17,24.94,24.94,24.94,24.94,2984,2531
2017-04-18,24.94,24.94,24.94,24.94,0,2531
2017-04-19,25.04,25.04,24.88,24.8807,11974,2531
2017-04-20,25.13,25.13,25.13,25.13,214,2531
2017-04-21,25.1248,25.1248,25.1149,25.1149,791,2531
2017-04-24,25.3158,25.3158,25.3158,25.3158,133,2531
2017-04-25,25.3401,25.4147,25.3401,25.4147,648,2531
2017-04-26,25.4147,25.4147,25.4147,25.4147,0,2531
2017-04-27,25.4201,25.4201,25.4201,25.4201,646,2531
2017-04-28,25.4,25.4,25.4,25.4,2134,2531
2017-05-01,25.5581,25.5581,25.5581,25.5581,200,2531
2017-05-02,25.5403,25.6299,25.5403,25.6299,873,2531
2017-05-03,25.5,25.5,25.4864,25.4864,5494,2531
2017-05-04,25.4864,25.4864,25.4864,25.4864,0,2531
2017-05-05,25.4864,25.4864,25.4864,25.4864,1,2531
2017-05-08,25.6998,25.6998,25.6998,25.6998,100,2531
2017-05-09,25.6592,25.7,25.6592,25.6999,2345,2531
2017-05-10,25.6527,25.6527,25.6527,25.6527,371,2531
2017-05-11,25.54,25.63,25.54,25.63,682,2531
2017-05-12,25.63,25.63,25.63,25.63,0,2531
2017-05-15,25.63,25.63,25.63,25.63,0,2531
2017-05-16,25.62,25.74,25.62,25.74,5217,2531
2017-05-17,25.28,25.28,25.28,25.28,100,2531
2017-05-18,25.31,25.3101,25.31,25.3101,2855,2531
2017-05-19,25.6203,25.66,25.6203,25.66,2998,2531
2017-05-22,25.6408,25.75,25.62,25.75,1331,2531
2017-05-23,25.75,25.75,25.75,25.75,0,2531
