Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,11.28,11.28,10.92,11.04,3840,4817
2005-02-28,10.02,10.92,10.02,10.5,12192,4817
2005-03-01,10.44,10.44,9.72,10.2,12191,4817
2005-03-02,9.96,10.14,9.68,9.84,7752,4817
2005-03-03,10.26,10.26,9.96,10.2,3195,4817
2005-03-04,10.08,10.08,9.84,9.84,2050,4817
2005-03-07,9.84,9.9,9.78,9.84,3067,4817
2005-03-08,9.78,9.84,9.36,9.66,5441,4817
2005-03-09,9.6,9.66,9.42,9.66,4882,4817
2005-03-10,9.54,9.78,9.48,9.48,2373,4817
2005-03-11,9.6,9.6,9.3,9.54,4350,4817
2005-03-14,11.28,11.28,10.2,10.32,15243,4817
2005-03-15,10.74,10.8,10.56,10.74,21156,4817
2005-03-16,10.8,10.8,10.36,10.62,11212,4817
2005-03-17,10.8,10.8,10.44,10.56,7377,4817
2005-03-18,10.5,10.62,10.38,10.62,4687,4817
2005-03-21,10.8,10.8,10.5,10.68,6363,4817
2005-03-22,10.74,10.74,10.5,10.5,4361,4817
2005-03-23,10.5,10.98,9.96,10.5,17508,4817
2005-03-24,10.5,10.62,9.78,10.5,5145,4817
2005-03-28,11.16,11.22,9.96,10.5,12353,4817
2005-03-29,10.5,10.62,10.14,10.32,3784,4817
2005-03-30,10.14,10.5,9.96,10.44,2635,4817
2005-03-31,10.44,10.5,9.96,10.14,2158,4817
2005-04-01,10.32,10.5,10.32,10.44,2344,4817
2005-04-04,10.44,11.82,10.02,10.2,31885,4817
2005-04-05,10.74,10.74,9.6,10.08,8953,4817
2005-04-06,10.02,10.02,9.72,9.96,7677,4817
2005-04-07,10.38,10.38,9.66,9.9,5335,4817
2005-04-08,10.08,10.44,9.84,10.2,3550,4817
2005-04-11,10.32,10.5,9.9,10.02,4301,4817
2005-04-12,9.66,10.02,9.66,10.02,2802,4817
2005-04-13,9.96,10.26,9.66,9.9,4455,4817
2005-04-14,10.38,10.38,9.66,9.78,5192,4817
2005-04-15,9.84,10.02,9.54,9.78,4970,4817
2005-04-18,9.96,10.0,9.6,9.6,4142,4817
2005-04-19,9.9,9.9,9.6,9.78,1365,4817
2005-04-20,9.9,9.96,9.36,9.96,5156,4817
2005-04-21,9.36,9.96,8.7,9.36,26717,4817
2005-04-22,9.06,9.54,9.0,9.12,2213,4817
2005-04-25,9.12,9.3,8.88,8.88,2181,4817
2005-04-26,8.94,9.0,8.82,8.82,2971,4817
2005-04-27,9.24,9.24,8.4,8.58,6038,4817
2005-04-28,8.64,9.42,8.64,9.42,2962,4817
2005-04-29,9.54,9.54,8.58,9.18,1972,4817
2005-05-02,9.3,9.3,8.7,8.94,3700,4817
2005-05-03,8.88,9.06,8.52,8.88,7774,4817
2005-05-04,9.0,9.06,8.52,8.76,5003,4817
2005-05-05,8.76,8.88,8.52,8.7,2816,4817
2005-05-06,9.0,9.0,8.52,8.76,1094,4817
2005-05-09,8.82,9.0,8.7,8.76,2588,4817
2005-05-10,9.0,9.0,8.64,8.94,3176,4817
2005-05-11,9.0,9.54,8.88,9.0,4317,4817
2005-05-12,9.18,9.36,8.58,9.24,1958,4817
2005-05-13,9.54,9.54,8.7,9.12,5442,4817
2005-05-16,9.0,9.0,8.52,8.82,2663,4817
2005-05-17,9.0,9.0,8.58,9.0,3064,4817
2005-05-18,9.12,9.42,8.28,9.0,18417,4817
2005-05-19,8.7,9.24,8.46,8.52,10717,4817
2005-05-20,9.0,9.18,8.58,9.0,2707,4817
2005-05-23,9.0,9.0,8.7,8.7,492,4817
2005-05-24,8.94,8.94,8.52,8.76,1942,4817
2005-05-25,8.76,8.76,8.34,8.7,9950,4817
2005-05-26,8.94,9.0,8.52,8.7,6514,4817
2005-05-27,8.94,8.94,8.7,8.88,2177,4817
2005-05-31,9.0,9.0,8.46,8.88,4201,4817
2005-06-01,7.86,8.94,7.86,8.7,3783,4817
2005-06-02,8.28,8.94,8.28,8.46,11323,4817
2005-06-03,8.46,8.46,8.1,8.22,2000,4817
2005-06-06,8.22,8.34,8.1,8.16,4700,4817
2005-06-07,8.16,9.0,8.1,8.52,9045,4817
2005-06-08,8.7,8.94,8.16,8.16,2533,4817
2005-06-09,8.22,8.46,8.04,8.4,10697,4817
2005-06-10,8.34,8.34,7.92,8.04,4233,4817
2005-06-13,8.58,8.58,7.8,8.1,6667,4817
2005-06-14,7.8,8.04,7.5,7.92,3565,4817
2005-06-15,7.5,7.8,7.5,7.74,3059,4817
2005-06-16,7.8,8.04,7.8,8.04,1475,4817
2005-06-17,8.16,8.28,7.92,8.1,6311,4817
2005-06-20,8.16,8.16,7.5,8.04,2073,4817
2005-06-21,7.8,8.34,7.8,7.8,3617,4817
2005-06-22,7.8,8.28,7.74,8.28,2272,4817
2005-06-23,7.86,8.16,7.74,8.04,2019,4817
2005-06-24,8.34,8.34,7.92,7.92,3425,4817
2005-06-27,8.34,8.4,7.2,8.1,4609,4817
2005-06-28,8.1,8.36,8.1,8.16,1225,4817
2005-06-29,8.1,8.1,7.8,8.04,708,4817
2005-06-30,8.04,8.04,7.74,7.98,3042,4817
2005-07-01,7.8,7.8,7.08,7.56,9100,4817
2005-07-05,7.38,7.8,7.32,7.8,2216,4817
2005-07-06,7.5,8.04,7.5,7.74,2751,4817
2005-07-07,8.04,8.04,7.5,8.04,1129,4817
2005-07-08,7.8,8.04,7.62,7.8,1540,4817
2005-07-11,8.16,8.16,7.74,7.98,1703,4817
2005-07-12,7.86,8.16,7.86,7.98,750,4817
2005-07-13,8.16,8.16,7.86,8.1,3750,4817
2005-07-14,8.0,8.34,8.0,8.34,1899,4817
2005-07-15,8.22,8.34,8.22,8.28,183,4817
2005-07-18,7.98,8.34,7.98,8.34,2025,4817
2005-07-19,8.4,9.12,8.16,9.12,11292,4817
2005-07-20,9.0,9.24,8.4,9.12,4640,4817
2005-07-21,9.12,9.12,8.94,9.06,477,4817
2005-07-22,9.06,9.06,8.7,8.88,931,4817
2005-07-25,8.76,8.76,8.52,8.76,1041,4817
2005-07-26,8.4,8.76,8.4,8.52,1872,4817
2005-07-27,8.52,8.52,8.4,8.4,1700,4817
2005-07-28,8.7,9.3,8.4,8.76,21853,4817
2005-07-29,8.94,8.94,8.46,8.64,2354,4817
2005-08-01,8.46,8.58,7.8,8.28,14865,4817
2005-08-02,8.4,8.4,7.86,8.1,1797,4817
2005-08-03,7.92,8.16,7.92,8.16,367,4817
2005-08-04,8.04,8.04,7.86,7.86,1403,4817
2005-08-05,8.4,8.52,7.86,8.4,2577,4817
2005-08-08,7.86,8.1,7.86,7.98,1785,4817
2005-08-09,8.34,8.34,7.86,8.04,2395,4817
2005-08-10,7.92,8.04,7.86,8.04,612,4817
2005-08-11,8.04,8.04,7.86,7.92,2496,4817
2005-08-12,7.92,7.92,7.92,7.92,200,4817
2005-08-15,8.04,8.04,7.86,7.86,1532,4817
2005-08-16,8.04,8.04,7.68,7.98,4242,4817
2005-08-17,7.68,7.86,7.62,7.62,1283,4817
2005-08-18,7.62,7.8,7.62,7.8,967,4817
2005-08-19,7.98,8.1,7.8,7.86,450,4817
2005-08-22,7.62,8.04,7.62,7.92,817,4817
2005-08-23,7.68,7.68,7.68,7.68,658,4817
2005-08-24,7.62,7.84,7.5,7.74,1128,4817
2005-08-25,7.5,7.8,7.5,7.8,362,4817
2005-08-26,7.5,7.68,7.5,7.64,542,4817
2005-08-29,7.68,7.68,7.44,7.5,1535,4817
2005-08-30,7.2,7.68,7.2,7.68,1183,4817
2005-08-31,7.74,7.74,7.74,7.74,1633,4817
2005-09-01,7.74,8.1,7.26,8.1,1680,4817
2005-09-02,7.56,7.86,7.56,7.86,533,4817
2005-09-06,7.5,8.1,7.5,8.1,2014,4817
2005-09-07,8.22,8.22,7.62,7.92,1059,4817
2005-09-08,8.04,8.16,7.98,8.16,1250,4817
2005-09-09,7.8,8.22,7.8,8.16,267,4817
2005-09-12,8.1,8.34,7.92,8.28,3983,4817
2005-09-13,8.28,8.28,8.22,8.22,767,4817
2005-09-14,8.28,8.28,7.92,8.1,2270,4817
2005-09-15,8.1,8.28,8.1,8.28,3426,4817
2005-09-16,7.92,8.94,7.92,8.88,13235,4817
2005-09-19,9.0,9.0,8.7,8.7,1967,4817
2005-09-20,8.76,8.76,8.64,8.64,550,4817
2005-09-21,8.52,8.64,8.1,8.46,5650,4817
2005-09-22,8.1,8.28,8.04,8.04,6695,4817
2005-09-23,7.92,7.98,7.92,7.98,433,4817
2005-09-26,7.92,8.28,7.74,8.04,3420,4817
2005-09-27,8.4,8.4,7.8,8.04,4742,4817
2005-09-28,7.74,7.92,7.62,7.8,5463,4817
2005-09-29,8.04,8.04,7.5,7.74,6773,4817
2005-09-30,7.5,7.8,7.32,7.62,1048,4817
2005-10-03,7.56,8.04,7.38,7.38,6389,4817
2005-10-04,7.44,7.98,7.38,7.98,1739,4817
2005-10-05,7.56,7.56,7.38,7.38,567,4817
2005-10-06,7.44,7.56,7.44,7.56,717,4817
2005-10-07,7.5,7.5,7.5,7.5,63,4817
2005-10-10,7.5,7.74,7.5,7.5,1392,4817
2005-10-11,7.68,7.76,7.38,7.38,2450,4817
2005-10-12,7.38,7.5,7.32,7.5,2051,4817
2005-10-13,7.32,7.68,7.2,7.26,1267,4817
2005-10-14,7.32,7.38,7.2,7.2,1803,4817
2005-10-17,7.44,7.44,7.38,7.38,83,4817
2005-10-18,7.38,7.64,7.38,7.5,850,4817
2005-10-19,7.2,7.44,7.2,7.32,2099,4817
2005-10-20,7.5,7.5,7.32,7.32,300,4817
2005-10-21,7.32,7.32,7.32,7.32,135,4817
2005-10-24,7.2,7.2,7.2,7.2,395,4817
2005-10-25,7.2,7.44,6.72,7.44,3120,4817
2005-10-26,6.78,7.26,6.72,7.26,2083,4817
2005-10-27,7.2,7.2,6.96,7.08,930,4817
2005-10-28,7.08,7.32,7.08,7.2,1518,4817
2005-10-31,6.9,7.44,6.9,7.44,1098,4817
2005-11-01,7.08,7.38,7.02,7.38,858,4817
2005-11-02,7.02,7.26,7.02,7.02,500,4817
2005-11-03,7.02,7.14,7.02,7.14,190,4817
2005-11-04,7.08,7.14,7.02,7.02,1050,4817
2005-11-07,7.14,7.26,6.96,7.02,1202,4817
2005-11-08,7.02,7.2,6.9,7.2,2258,4817
2005-11-09,7.02,7.26,6.6,6.78,6486,4817
2005-11-10,6.84,7.2,6.84,6.9,3883,4817
2005-11-11,6.96,7.02,6.84,6.9,583,4817
2005-11-14,6.96,7.02,6.9,6.9,2923,4817
2005-11-15,7.02,7.08,6.84,6.84,5322,4817
2005-11-16,6.9,7.08,6.9,6.9,2046,4817
2005-11-17,6.84,7.14,6.84,7.08,3458,4817
2005-11-18,7.14,7.2,7.08,7.08,467,4817
2005-11-21,7.08,7.32,7.08,7.14,717,4817
2005-11-22,7.32,7.32,7.08,7.08,3133,4817
2005-11-23,7.08,7.08,7.08,7.08,3444,4817
2005-11-25,7.08,7.08,7.08,7.08,106,4817
2005-11-28,7.08,7.08,6.9,6.9,967,4817
2005-11-29,6.9,6.9,6.9,6.9,441,4817
2005-11-30,7.02,7.08,6.72,6.78,4631,4817
2005-12-01,6.96,7.02,6.9,6.96,2025,4817
2005-12-02,6.96,6.96,6.96,6.96,567,4817
2005-12-05,6.78,7.08,6.78,6.78,2698,4817
2005-12-06,6.78,7.08,6.72,6.9,2291,4817
