Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,0.8,0.8,0.8,0.8,2500,861
2005-02-28,0.8,0.8,0.7,0.74,104625,861
2005-03-01,0.76,0.76,0.76,0.76,2500,861
2005-03-02,0.72,0.82,0.72,0.82,1087,861
2005-03-03,0.82,0.82,0.82,0.82,2500,861
2005-03-04,0.72,0.82,0.64,0.7,82786,861
2005-03-07,0.66,0.82,0.66,0.82,3655,861
2005-03-08,0.7,0.82,0.7,0.7,14113,861
2005-03-09,0.8,0.8,0.48,0.7,76250,861
2005-03-10,0.7,0.74,0.66,0.68,18650,861
2005-03-11,0.7,0.7,0.64,0.66,3487,861
2005-03-14,0.66,0.74,0.64,0.64,17770,861
2005-03-15,0.74,0.74,0.74,0.74,1500,861
2005-03-16,0.7,0.74,0.7,0.74,1125,861
2005-03-18,0.64,0.74,0.64,0.74,3125,861
2005-03-21,0.74,0.74,0.74,0.74,250,861
2005-03-22,0.74,0.8,0.7,0.74,16750,861
2005-03-23,0.8,0.8,0.8,0.8,500,861
2005-03-24,0.8,0.8,0.8,0.8,250,861
2005-03-28,0.7,0.8,0.7,0.8,664,861
2005-03-29,0.7,0.7,0.7,0.7,125,861
2005-03-30,0.7,0.8,0.7,0.8,5750,861
2005-04-01,0.64,0.8,0.64,0.68,2204,861
2005-04-04,0.68,0.8,0.68,0.78,3300,861
2005-04-05,0.72,0.72,0.72,0.72,4000,861
2005-04-06,0.68,0.72,0.68,0.68,5987,861
2005-04-07,0.72,0.72,0.72,0.72,500,861
2005-04-08,0.68,0.72,0.68,0.72,655,861
2005-04-11,0.6,0.8,0.6,0.8,3875,861
2005-04-12,0.64,0.76,0.64,0.76,362,861
2005-04-13,0.64,0.76,0.64,0.76,1100,861
2005-04-14,0.64,0.7,0.64,0.7,3400,861
2005-04-18,0.7,0.7,0.7,0.7,3057,861
2005-04-19,0.64,0.7,0.64,0.7,800,861
2005-04-20,0.64,0.7,0.64,0.7,1350,861
2005-04-21,0.7,0.7,0.64,0.64,3431,861
2005-04-22,0.64,0.74,0.64,0.74,336,861
2005-04-25,0.66,0.66,0.66,0.66,50,861
2005-04-26,0.66,0.74,0.66,0.74,350,861
2005-04-27,0.66,0.74,0.64,0.64,3100,861
2005-04-28,0.74,0.74,0.74,0.74,250,861
2005-04-29,0.74,0.74,0.74,0.74,450,861
2005-05-03,0.66,0.74,0.66,0.66,800,861
2005-05-04,0.66,0.74,0.64,0.74,20500,861
2005-05-06,0.66,0.74,0.66,0.74,375,861
2005-05-10,0.74,0.74,0.66,0.74,1500,861
2005-05-12,0.66,0.7,0.66,0.7,4250,861
2005-05-13,0.72,0.72,0.72,0.72,2725,861
2005-05-16,0.72,0.72,0.72,0.72,125,861
2005-05-17,0.72,0.72,0.52,0.66,44800,861
2005-05-18,0.66,0.66,0.58,0.66,7225,861
2005-05-19,0.58,0.66,0.58,0.66,2000,861
2005-05-20,0.6,0.66,0.6,0.66,7175,861
2005-05-24,0.6,0.64,0.6,0.64,1250,861
2005-05-25,0.66,0.66,0.66,0.66,4000,861
2005-05-26,0.6,0.66,0.6,0.66,1490,861
2005-05-27,0.62,0.72,0.62,0.66,10375,861
2005-05-31,0.66,0.72,0.58,0.72,4165,861
2005-06-02,0.58,0.58,0.58,0.58,5000,861
2005-06-03,0.72,0.72,0.72,0.72,1250,861
2005-06-06,0.64,0.64,0.64,0.64,5000,861
2005-06-07,0.66,0.72,0.66,0.72,325,861
2005-06-08,0.7,0.82,0.7,0.8,23500,861
2005-06-09,0.78,0.86,0.78,0.8,11660,861
2005-06-10,0.8,0.84,0.78,0.84,2073,861
2005-06-13,0.78,0.84,0.78,0.78,1900,861
2005-06-14,0.78,0.78,0.78,0.78,1875,861
2005-06-15,0.78,0.84,0.78,0.84,11000,861
2005-06-16,0.78,0.86,0.78,0.78,4800,861
2005-06-17,0.78,0.86,0.78,0.78,1097,861
2005-06-20,0.78,0.78,0.78,0.78,250,861
2005-06-21,0.82,0.86,0.82,0.82,12123,861
2005-06-22,0.86,0.86,0.86,0.86,250,861
2005-06-23,0.82,0.86,0.82,0.82,3261,861
2005-06-24,0.82,0.86,0.82,0.86,3600,861
2005-06-27,0.86,0.86,0.86,0.86,9998,861
2005-06-28,0.82,0.86,0.82,0.82,392,861
2005-06-29,0.82,0.82,0.82,0.82,475,861
2005-06-30,0.82,0.82,0.78,0.8,31946,861
2005-07-01,0.78,0.86,0.78,0.86,1825,861
2005-07-05,0.78,0.86,0.78,0.86,500,861
2005-07-06,0.86,0.86,0.76,0.78,26000,861
2005-07-07,0.74,0.8,0.74,0.8,273,861
2005-07-11,0.76,0.8,0.76,0.8,1600,861
2005-07-14,0.74,0.8,0.74,0.8,3150,861
2005-07-15,0.8,0.8,0.76,0.76,14750,861
2005-07-18,0.7,0.76,0.6,0.76,5562,861
2005-07-19,0.62,0.76,0.62,0.76,900,861
2005-07-20,0.64,0.7,0.64,0.7,200,861
2005-07-21,0.64,0.64,0.64,0.64,982,861
2005-07-22,0.66,0.7,0.66,0.7,250,861
2005-07-25,0.66,0.76,0.66,0.76,550,861
2005-07-26,0.66,0.7,0.66,0.7,1179,861
2005-07-28,0.7,0.7,0.54,0.62,20121,861
2005-07-29,0.62,0.62,0.62,0.62,5075,861
2005-08-01,0.6,0.64,0.6,0.64,9100,861
2005-08-02,0.72,0.72,0.72,0.72,250,861
2005-08-03,0.62,0.72,0.62,0.72,750,861
2005-08-04,0.62,0.72,0.62,0.62,696,861
2005-08-05,0.72,0.72,0.72,0.72,250,861
2005-08-08,0.6,0.6,0.6,0.6,350,861
2005-08-09,0.6,0.6,0.6,0.6,1000,861
2005-08-10,0.72,0.72,0.72,0.72,5000,861
2005-08-11,0.72,0.72,0.62,0.72,3000,861
2005-08-12,0.7,0.7,0.68,0.68,3750,861
2005-08-15,0.7,0.74,0.68,0.74,3350,861
2005-08-16,0.7,0.74,0.68,0.74,1720,861
2005-08-17,0.7,0.74,0.7,0.72,2250,861
2005-08-18,0.7,0.74,0.68,0.74,4775,861
2005-08-19,0.74,0.74,0.7,0.7,3931,861
2005-08-23,0.7,0.7,0.7,0.7,1300,861
2005-08-24,0.7,0.76,0.68,0.68,8215,861
2005-08-25,0.64,0.74,0.64,0.74,500,861
2005-08-26,0.7,0.74,0.64,0.74,1900,861
2005-08-30,0.7,0.7,0.64,0.7,2450,861
2005-08-31,0.7,0.74,0.64,0.74,862,861
2005-09-01,0.64,0.64,0.64,0.64,4000,861
2005-09-02,0.64,0.64,0.64,0.64,335,861
2005-09-07,0.64,0.64,0.64,0.64,700,861
2005-09-09,0.64,0.64,0.64,0.64,1250,861
2005-09-12,0.64,0.64,0.64,0.64,1250,861
2005-09-14,0.64,0.74,0.64,0.74,10700,861
2005-09-15,0.64,0.64,0.6,0.6,9000,861
2005-09-16,0.6,0.6,0.56,0.58,11582,861
2005-09-19,0.68,0.68,0.6,0.6,15300,861
2005-09-21,0.68,0.76,0.64,0.64,13320,861
2005-09-22,0.64,0.64,0.64,0.64,575,861
2005-09-23,0.66,0.66,0.66,0.66,2750,861
2005-09-26,0.64,0.64,0.64,0.64,100,861
2005-09-27,0.64,0.64,0.64,0.64,83,861
2005-09-28,0.64,0.64,0.64,0.64,1675,861
2005-09-29,0.64,0.68,0.62,0.62,3750,861
2005-09-30,0.68,0.68,0.68,0.68,2500,861
2005-10-05,0.6,0.65,0.6,0.64,12850,861
2005-10-06,0.64,0.7,0.64,0.7,7000,861
2005-10-07,0.7,0.7,0.6,0.7,12300,861
2005-10-11,0.7,0.7,0.64,0.64,8329,861
2005-10-13,0.52,0.68,0.52,0.68,11250,861
2005-10-14,0.7,0.7,0.66,0.68,20350,861
2005-10-17,0.66,0.66,0.66,0.66,50,861
2005-10-18,0.68,0.7,0.64,0.64,33125,861
2005-10-19,0.58,0.6,0.58,0.6,7650,861
2005-10-20,0.6,0.6,0.6,0.6,5000,861
2005-10-21,0.56,0.7,0.56,0.7,15639,861
2005-10-24,0.7,0.74,0.66,0.74,18550,861
2005-10-25,0.78,0.84,0.74,0.84,37374,861
2005-10-27,0.84,0.84,0.84,0.84,3500,861
2005-10-28,0.84,0.86,0.8,0.86,26300,861
2005-10-31,0.76,0.76,0.74,0.74,8804,861
2005-11-01,0.74,0.76,0.72,0.72,11560,861
2005-11-02,0.74,0.74,0.72,0.72,3550,861
2005-11-03,0.78,0.78,0.78,0.78,2500,861
2005-11-04,0.74,0.92,0.74,0.92,58900,861
2005-11-07,0.98,1.18,0.92,1.0,55625,861
2005-11-08,1.02,1.02,0.9,0.9,15550,861
2005-11-09,0.88,1.02,0.88,1.02,89350,861
2005-11-10,1.02,1.04,0.96,1.02,35550,861
2005-11-11,1.0,1.0,0.92,1.0,16500,861
2005-11-14,0.98,1.0,0.98,1.0,4450,861
2005-11-15,1.0,1.02,1.0,1.0,39280,861
2005-11-16,1.0,1.06,1.0,1.04,40035,861
2005-11-17,1.06,1.08,1.0,1.06,125575,861
2005-11-18,1.0,1.06,0.9,0.98,8400,861
2005-11-21,0.94,1.0,0.9,0.96,16270,861
2005-11-23,0.96,1.0,0.88,0.88,18250,861
2005-11-25,0.9,0.9,0.9,0.9,2500,861
2005-11-28,0.98,0.98,0.96,0.96,5900,861
2005-11-29,0.96,0.96,0.84,0.9,15550,861
2005-11-30,0.8,0.9,0.8,0.9,250,861
2005-12-01,0.9,0.9,0.84,0.84,4625,861
2005-12-02,0.9,0.9,0.84,0.84,3050,861
2005-12-05,0.84,0.94,0.82,0.94,31058,861
2005-12-06,0.84,0.84,0.74,0.78,13770,861
2005-12-07,0.8,0.8,0.7,0.78,6750,861
2005-12-09,0.8,0.86,0.78,0.86,14333,861
2005-12-12,0.78,0.78,0.66,0.66,7112,861
2005-12-13,0.76,0.78,0.74,0.76,25350,861
2005-12-14,0.74,0.8,0.68,0.76,84616,861
2005-12-15,0.76,0.76,0.76,0.76,1825,861
2005-12-16,0.76,0.78,0.76,0.78,2450,861
2005-12-19,0.78,0.8,0.78,0.78,5715,861
2005-12-20,0.76,0.8,0.76,0.8,30550,861
2005-12-21,0.74,0.74,0.66,0.72,61389,861
2005-12-22,0.7,0.78,0.7,0.7,6300,861
2005-12-23,0.64,0.64,0.6,0.6,2999,861
2005-12-27,0.6,0.64,0.6,0.64,375,861
2005-12-28,0.64,0.64,0.62,0.62,4225,861
2005-12-29,0.62,0.62,0.54,0.54,32200,861
2005-12-30,0.54,0.54,0.54,0.54,875,861
2006-01-03,0.62,0.62,0.56,0.6,11500,861
2006-01-04,0.62,0.62,0.6,0.6,9045,861
2006-01-05,0.56,0.64,0.56,0.64,3600,861
2006-01-06,0.56,0.64,0.5,0.64,16750,861
2006-01-09,0.52,0.64,0.52,0.52,525,861
2006-01-10,0.64,0.64,0.64,0.64,1500,861
2006-01-11,0.54,0.64,0.54,0.56,5100,861
2006-01-12,0.6,0.6,0.6,0.6,7500,861
2006-01-13,0.58,0.64,0.58,0.64,987,861
2006-01-17,0.6,0.64,0.6,0.64,1500,861
2006-01-18,0.6,0.64,0.6,0.64,32726,861
2006-01-19,0.64,0.64,0.62,0.62,1762,861
2006-01-20,0.6,0.64,0.6,0.64,425,861
2006-01-23,0.6,0.64,0.6,0.64,3575,861
2006-01-24,0.6,0.62,0.6,0.6,41850,861
2006-01-25,0.6,0.6,0.6,0.6,1250,861
2006-01-30,0.68,0.72,0.66,0.72,10183,861
2006-01-31,0.68,0.68,0.68,0.68,5000,861
2006-02-01,0.72,0.8,0.72,0.8,13600,861
2006-02-02,0.8,0.84,0.74,0.74,28225,861
2006-02-03,0.76,0.86,0.76,0.86,27800,861
2006-02-06,0.78,0.78,0.78,0.78,1050,861
2006-02-07,0.8,0.92,0.8,0.9,31725,861
2006-02-08,0.86,0.86,0.84,0.84,26350,861
2006-02-09,0.82,0.82,0.82,0.82,7625,861
2006-02-10,0.82,0.84,0.82,0.84,8900,861
2006-02-13,0.84,0.84,0.78,0.8,32756,861
2006-02-14,0.78,0.78,0.78,0.78,212,861
2006-02-15,0.78,0.78,0.78,0.78,2500,861
2006-02-16,0.8,0.82,0.8,0.8,5375,861
2006-02-21,0.86,0.9,0.84,0.9,4612,861
2006-02-22,0.9,0.96,0.9,0.9,18500,861
2006-02-23,0.9,0.96,0.9,0.96,2525,861
2006-02-24,0.9,0.94,0.9,0.9,24367,861
2006-02-27,0.8,0.82,0.78,0.82,8400,861
2006-02-28,0.8,0.8,0.76,0.78,34164,861
2006-03-01,0.72,0.76,0.72,0.76,200,861
2006-03-02,0.72,0.76,0.72,0.76,8500,861
2006-03-03,0.7,0.76,0.7,0.76,15550,861
2006-03-06,0.78,0.8,0.78,0.78,26250,861
2006-03-07,0.7,0.8,0.7,0.78,13400,861
2006-03-08,0.76,0.76,0.76,0.76,5512,861
2006-03-09,0.74,0.76,0.72,0.76,59050,861
2006-03-10,0.72,0.9,0.72,0.88,313159,861
2006-03-13,0.84,0.84,0.82,0.82,6200,861
2006-03-14,0.76,0.82,0.76,0.76,56050,861
2006-03-15,0.8,0.8,0.72,0.78,12850,861
2006-03-16,0.78,0.8,0.72,0.8,789600,861
2006-03-17,0.82,0.84,0.7,0.84,54433,861
2006-03-20,0.7,0.88,0.7,0.8,14050,861
2006-03-21,0.88,0.88,0.78,0.8,30300,861
2006-03-22,0.72,0.9,0.72,0.9,53300,861
2006-03-23,0.84,1.18,0.84,1.16,251220,861
2006-03-24,1.14,1.14,1.06,1.14,45150,861
2006-03-27,1.1,1.12,1.08,1.12,39725,861
2006-03-28,1.04,1.06,1.0,1.0,59000,861
2006-03-29,1.02,1.02,0.97,0.97,12750,861
2006-03-30,0.98,1.0,0.94,1.0,55460,861
2006-03-31,0.96,1.04,0.9,1.0,42900,861
2006-04-03,1.02,1.5,1.02,1.4,418867,861
2006-04-04,1.42,1.6,1.32,1.6,235102,861
2006-04-05,1.6,1.8,1.6,1.8,403345,861
2006-04-06,1.8,1.84,1.58,1.72,180475,861
2006-04-07,1.72,1.72,1.6,1.66,136250,861
2006-04-10,1.68,1.76,1.58,1.6,147250,861
2006-04-11,1.6,1.64,1.46,1.5,81200,861
2006-04-12,1.5,1.7,1.5,1.56,61304,861
2006-04-13,1.6,1.7,1.6,1.7,44732,861
2006-04-17,1.71,2.02,1.7,2.0,503704,861
2006-04-18,2.02,2.02,1.9,2.0,268030,861
2006-04-19,2.0,2.16,2.0,2.1,101182,861
2006-04-20,2.08,2.4,2.08,2.3,375492,861
2006-04-21,2.3,2.38,2.14,2.3,134588,861
2006-04-24,2.3,2.42,2.28,2.34,203437,861
2006-04-25,2.42,2.42,2.14,2.24,114613,861
2006-04-26,2.26,2.78,2.26,2.78,437284,861
2006-04-27,2.76,2.8,2.6,2.68,465108,861
2006-04-28,2.7,2.76,2.42,2.52,173025,861
2006-05-01,2.42,2.64,2.4,2.6,109293,861
2006-05-02,2.6,2.6,2.46,2.46,152259,861
2006-05-03,2.42,2.6,2.4,2.56,83815,861
2006-05-04,2.56,2.78,2.5,2.7,160547,861
2006-05-05,2.66,2.94,2.66,2.76,209932,861
2006-05-08,2.8,3.02,2.8,3.0,350040,861
2006-05-09,3.0,3.16,2.88,2.92,267533,861
2006-05-10,2.9,3.06,2.9,2.9,66325,861
2006-05-11,2.96,3.04,2.88,3.04,162325,861
2006-05-12,3.04,3.06,2.78,2.98,161015,861
2006-05-15,3.0,3.0,2.84,2.92,43000,861
2006-05-16,2.98,3.06,2.44,2.58,367643,861
2006-05-17,2.5,2.68,2.5,2.6,127791,861
2006-05-18,2.66,3.0,2.62,3.0,162382,861
2006-05-19,3.02,3.02,2.92,2.96,32400,861
2006-05-22,2.96,3.04,2.8,2.9,46270,861
2006-05-23,2.72,2.86,2.68,2.74,31700,861
2006-05-24,2.72,2.84,2.58,2.72,55600,861
2006-05-25,2.8,2.84,2.6,2.74,52850,861
2006-05-26,2.74,2.78,2.6,2.78,5800,861
2006-05-30,2.7,2.78,2.52,2.58,56475,861
2006-05-31,2.58,2.68,2.52,2.54,23625,861
2006-06-01,2.52,2.7,2.5,2.68,133154,861
2006-06-02,2.74,2.86,2.7,2.84,83100,861
2006-06-05,2.86,3.0,2.82,3.0,141600,861
2006-06-06,3.0,3.5,2.92,3.38,289661,861
2006-06-07,3.38,3.5,3.2,3.3,160630,861
2006-06-08,3.3,3.4,3.2,3.32,48900,861
2006-06-09,3.36,3.54,3.36,3.4,81396,861
2006-06-12,3.42,3.46,3.3,3.3,60911,861
2006-06-13,3.3,3.3,2.76,2.8,78215,861
2006-06-14,2.88,3.12,2.8,3.0,81875,861
2006-06-15,3.1,3.36,3.02,3.06,110577,861
2006-06-16,3.14,3.4,3.14,3.4,148709,861
2006-06-19,3.4,3.96,3.4,3.7,272511,861
2006-06-20,3.9,3.98,3.46,3.72,107278,861
2006-06-21,3.8,3.9,3.72,3.8,228446,861
2006-06-22,3.82,3.82,3.7,3.72,96586,861
2006-06-23,3.74,3.74,3.58,3.58,46932,861
2006-06-26,3.48,3.76,3.46,3.72,108600,861
2006-06-27,3.7,3.76,3.4,3.48,76077,861
2006-06-28,3.48,3.48,3.36,3.44,16220,861
2006-06-29,3.44,3.7,3.4,3.5,74235,861
2006-06-30,3.5,3.68,3.42,3.5,115200,861
2006-07-03,3.48,3.52,3.4,3.46,71267,861
2006-07-05,3.52,3.52,3.3,3.42,57095,861
2006-07-06,3.42,3.54,3.32,3.5,86425,861
2006-07-07,3.6,4.2,3.52,3.74,1236184,861
2006-07-10,3.8,3.88,3.64,3.64,227495,861
2006-07-11,3.7,3.7,3.08,3.1,502768,861
2006-07-12,3.28,3.48,2.9,3.48,338547,861
2006-07-13,3.48,3.5,3.3,3.44,187534,861
2006-07-14,3.2,3.36,3.2,3.34,63117,861
2006-07-17,3.36,3.36,3.1,3.2,37447,861
2006-07-18,3.1,3.14,2.94,3.14,97269,861
2006-07-19,3.06,3.12,3.0,3.12,107192,861
2006-07-20,3.16,3.2,3.1,3.2,25004,861
2006-07-21,3.16,3.16,3.0,3.12,47211,861
2006-07-24,3.04,3.32,3.04,3.32,81659,861
2006-07-25,3.32,3.34,3.24,3.32,68330,861
2006-07-26,3.28,3.4,3.16,3.38,71557,861
2006-07-27,3.38,3.38,3.3,3.3,32795,861
2006-07-28,3.28,3.36,3.24,3.32,43050,861
2006-07-31,3.34,3.44,3.32,3.4,98261,861
2006-08-01,3.34,3.44,3.24,3.44,137707,861
2006-08-02,3.4,3.4,3.1,3.24,58705,861
2006-08-03,3.26,3.26,3.18,3.18,105887,861
2006-08-04,3.2,3.32,3.1,3.14,31812,861
2006-08-07,3.2,3.38,3.1,3.18,36242,861
2006-08-08,3.18,3.21,3.12,3.2,18955,861
2006-08-09,3.2,3.46,3.2,3.2,42075,861
2006-08-10,3.18,3.3,3.18,3.3,44664,861
2006-08-11,3.3,3.3,3.16,3.18,4834,861
2006-08-14,3.1,3.22,3.1,3.18,23200,861
2006-08-15,3.18,3.18,3.1,3.16,13500,861
2006-08-16,3.2,3.2,3.1,3.16,25832,861
2006-08-17,3.1,3.18,3.0,3.14,44301,861
2006-08-18,3.1,3.28,3.1,3.16,31295,861
2006-08-21,3.14,3.28,3.06,3.16,25380,861
2006-08-22,3.12,3.22,3.12,3.2,75578,861
2006-08-23,3.2,3.44,3.18,3.4,40442,861
2006-08-24,3.44,3.66,3.44,3.64,188111,861
2006-08-25,3.66,4.09,3.66,4.0,639722,861
2006-08-28,4.1,4.1,3.88,3.96,144164,861
2006-08-29,3.98,4.04,3.9,3.98,87269,861
2006-08-30,4.0,4.2,3.92,4.2,128151,861
2006-08-31,4.31,4.7,4.22,4.66,824011,861
2006-09-01,4.6,4.9,4.5,4.8,138093,861
2006-09-05,4.92,4.98,4.66,4.82,156956,861
2006-09-06,4.96,4.98,4.6,4.92,334709,861
2006-09-07,4.94,4.96,4.83,4.92,160100,861
2006-09-08,4.86,5.28,4.86,5.26,328669,861
2006-09-11,5.4,5.4,5.14,5.16,352686,861
2006-09-12,5.2,5.26,5.0,5.24,121461,861
2006-09-13,5.22,5.24,5.06,5.16,123147,861
2006-09-14,5.18,5.18,4.82,4.92,170776,861
2006-09-15,5.0,5.08,4.84,4.98,78093,861
2006-09-18,5.0,5.0,4.8,4.82,77771,861
2006-09-19,4.82,4.84,4.3,4.46,288347,861
2006-09-20,4.45,4.7,4.4,4.64,105038,861
2006-09-21,4.64,4.96,4.64,4.9,72165,861
2006-09-22,4.88,5.14,4.84,5.06,63932,861
2006-09-25,5.12,5.72,5.1,5.66,360030,861
2006-09-26,5.8,5.8,5.42,5.58,139771,861
2006-09-27,5.62,5.68,5.02,5.26,91066,861
2006-09-28,5.22,5.48,5.2,5.34,97605,861
2006-09-29,5.34,5.48,5.22,5.44,66002,861
2006-10-02,5.44,5.68,5.42,5.5,62237,861
2006-10-03,5.46,5.56,5.28,5.3,149952,861
2006-10-04,5.32,5.38,5.12,5.16,47413,861
2006-10-05,5.16,5.24,5.14,5.18,138332,861
2006-10-06,5.16,5.38,5.14,5.38,71017,861
2006-10-09,5.38,5.4,5.24,5.4,30457,861
2006-10-10,5.36,5.66,5.06,5.36,204767,861
2006-10-11,5.32,5.38,5.2,5.26,68552,861
2006-10-12,5.32,5.44,5.32,5.34,54400,861
2006-10-13,5.4,5.4,5.08,5.28,105770,861
2006-10-16,5.24,5.24,5.1,5.12,79165,861
2006-10-17,5.12,5.16,4.74,4.8,176182,861
2006-10-18,4.76,5.2,4.76,5.08,286871,861
2006-10-19,5.2,5.42,5.16,5.22,141145,861
2006-10-20,5.3,5.4,5.16,5.36,94170,861
2006-10-23,5.4,5.4,5.28,5.28,83325,861
2006-10-24,5.24,5.5,5.1,5.4,100222,861
2006-10-25,5.5,5.5,5.12,5.34,41900,861
2006-10-26,5.24,5.46,5.24,5.34,115534,861
2006-10-27,5.32,5.38,5.16,5.3,55923,861
2006-10-30,5.2,5.22,4.92,4.98,177199,861
2006-10-31,4.96,5.26,4.96,5.14,122085,861
2006-11-01,5.12,5.2,5.1,5.14,69577,861
