Date,Open,High,Low,Close,Volume,stock_id
2012-11-06,21.437,21.454,21.386,21.386,579619,5394
2012-11-07,21.411,21.42,21.273,21.317,796931,5394
2012-11-08,21.36,21.437,21.308,21.393,1022155,5394
2012-11-09,21.393,21.393,21.317,21.35,259157,5394
2012-11-12,21.393,21.402,21.333,21.393,150690,5394
2012-11-13,21.393,21.393,21.273,21.36,738860,5394
2012-11-14,21.36,21.369,21.213,21.23,293197,5394
2012-11-15,21.273,21.299,20.893,21.299,435806,5394
2012-11-16,21.273,21.447,21.23,21.393,198494,5394
2012-11-19,21.393,21.447,21.36,21.402,669887,5394
2012-11-20,21.29,21.532,21.29,21.462,628327,5394
2012-11-21,21.48,21.522,21.35,21.522,134960,5394
2012-11-23,21.522,21.541,21.49,21.522,43187,5394
2012-11-26,21.507,21.522,21.402,21.462,659401,5394
2012-11-27,21.49,21.559,21.393,21.541,449259,5394
2012-11-28,21.532,21.532,21.42,21.462,192425,5394
2012-11-29,21.402,21.42,21.281,21.299,149985,5394
2012-11-30,21.341,21.411,21.308,21.377,172854,5394
2012-12-03,21.429,21.429,21.325,21.402,118256,5394
2012-12-04,21.402,21.437,21.369,21.386,185733,5394
2012-12-05,21.402,21.447,21.36,21.447,114223,5394
2012-12-06,21.447,21.49,21.377,21.49,192996,5394
2012-12-07,21.42,21.454,21.369,21.369,109506,5394
2012-12-10,21.402,21.411,21.325,21.36,106151,5394
2012-12-11,21.386,21.402,21.308,21.317,254372,5394
2012-12-12,21.333,21.341,21.248,21.325,206208,5394
2012-12-13,21.29,21.341,21.22,21.22,165917,5394
2012-12-14,21.22,21.29,21.169,21.23,196305,5394
2012-12-17,21.23,21.264,21.188,21.23,123251,5394
2012-12-18,21.239,21.35,21.23,21.333,93423,5394
2012-12-19,21.317,21.393,21.281,21.36,141724,5394
2012-12-20,21.377,21.437,21.317,21.437,131192,5394
2012-12-21,21.369,21.48,21.369,21.462,98240,5394
2012-12-24,21.411,21.471,21.369,21.369,55906,5394
2012-12-26,21.317,21.393,21.317,21.341,137178,5394
2012-12-27,21.333,21.386,21.317,21.341,122919,5394
2012-12-28,21.308,21.35,21.23,21.281,134391,5394
2012-12-31,21.333,21.36,21.256,21.35,68370,5394
2013-01-02,21.402,21.498,21.402,21.49,172528,5394
2013-01-03,21.498,21.652,21.49,21.627,298263,5394
2013-01-04,21.62,21.722,21.583,21.704,350690,5394
2013-01-07,21.704,21.731,21.68,21.696,452405,5394
2013-01-08,21.696,21.801,21.687,21.801,321499,5394
2013-01-09,21.808,21.886,21.764,21.886,284656,5394
2013-01-10,21.86,22.033,21.86,22.033,401113,5394
2013-01-11,22.006,22.257,22.006,22.111,358590,5394
2013-01-14,22.102,22.119,21.963,22.006,287430,5394
2013-01-15,21.99,22.006,21.92,22.006,232791,5394
2013-01-16,21.954,21.998,21.894,21.963,348454,5394
2013-01-17,21.998,21.998,21.878,21.912,296623,5394
2013-01-18,21.938,21.998,21.792,21.834,714644,5394
2013-01-22,21.773,21.773,21.575,21.704,222071,5394
2013-01-23,21.713,21.731,21.636,21.636,128620,5394
2013-01-24,21.652,21.687,21.636,21.636,202495,5394
2013-01-25,21.643,21.652,21.55,21.55,134987,5394
2013-01-28,21.601,21.636,21.532,21.532,149186,5394
2013-01-29,21.541,21.61,21.498,21.498,118883,5394
2013-01-30,21.514,21.532,21.447,21.454,88026,5394
2013-01-31,21.55,21.575,21.471,21.471,212750,5394
2013-02-01,21.62,21.731,21.514,21.601,66392,5394
2013-02-04,21.722,21.824,21.592,21.592,56185,5394
2013-02-05,21.592,21.643,21.583,21.636,92137,5394
2013-02-06,21.671,21.817,21.662,21.792,42815,5394
2013-02-07,21.808,21.86,21.748,21.86,77569,5394
2013-02-08,21.817,21.99,21.773,21.938,123893,5394
2013-02-11,21.903,21.903,21.748,21.834,72337,5394
2013-02-12,21.843,21.878,21.74,21.764,125735,5394
2013-02-13,21.764,21.834,21.731,21.808,95746,5394
2013-02-14,21.824,21.878,21.782,21.792,104476,5394
2013-02-15,21.86,21.903,21.773,21.843,72115,5394
2013-02-19,21.886,21.912,21.731,21.773,81229,5394
2013-02-20,21.782,21.868,21.773,21.834,50986,5394
2013-02-21,21.912,21.912,21.801,21.852,161865,5394
2013-02-22,21.86,21.998,21.808,21.981,102832,5394
2013-02-25,21.92,21.981,21.824,21.824,201626,5394
2013-02-26,21.92,21.93,21.801,21.886,116734,5394
2013-02-27,21.918,21.996,21.89,21.926,345450,5394
2013-02-28,21.943,21.996,21.89,21.909,231119,5394
2013-03-01,21.97,22.04,21.926,22.04,100619,5394
2013-03-04,22.04,22.302,22.013,22.206,499771,5394
2013-03-05,22.189,22.338,22.111,22.111,184610,5394
2013-03-06,22.119,22.312,22.119,22.312,145578,5394
2013-03-07,22.302,22.302,22.153,22.224,243297,5394
2013-03-08,22.224,22.276,22.145,22.215,96238,5394
2013-03-11,22.198,22.206,22.066,22.145,59693,5394
2013-03-12,22.111,22.172,22.075,22.163,156851,5394
2013-03-13,22.163,22.295,22.137,22.189,64081,5394
2013-03-14,22.215,22.233,22.119,22.137,73370,5394
2013-03-15,22.189,22.206,22.101,22.189,129987,5394
2013-03-18,22.268,22.268,22.153,22.189,43957,5394
2013-03-19,22.172,22.189,22.084,22.153,49702,5394
2013-03-20,22.137,22.233,22.119,22.224,113027,5394
2013-03-21,22.241,22.259,22.111,22.111,65802,5394
2013-03-22,22.153,22.206,22.127,22.172,125806,5394
2013-03-25,22.172,22.189,22.111,22.179,48511,5394
2013-03-26,22.189,22.286,22.153,22.233,86400,5394
2013-03-27,22.189,22.312,22.189,22.276,85778,5394
2013-03-28,22.312,22.434,22.295,22.39,60188,5394
2013-04-01,22.425,22.425,22.25,22.302,53270,5394
2013-04-02,22.312,22.338,22.198,22.206,67793,5394
2013-04-03,22.241,22.276,22.189,22.241,59060,5394
2013-04-04,22.206,22.276,22.206,22.276,29942,5394
2013-04-05,22.276,22.295,22.198,22.286,41894,5394
2013-04-08,22.276,22.328,22.259,22.286,44520,5394
2013-04-09,22.295,22.356,22.259,22.259,36206,5394
2013-04-10,22.338,22.338,22.25,22.276,107971,5394
2013-04-11,22.268,22.328,22.268,22.302,45605,5394
2013-04-12,22.286,22.338,22.259,22.321,37398,5394
2013-04-15,22.347,22.347,22.268,22.276,69844,5394
2013-04-16,22.328,22.418,22.276,22.373,67522,5394
2013-04-17,22.418,22.444,22.373,22.39,47106,5394
2013-04-18,22.47,22.496,22.356,22.487,53513,5394
2013-04-19,22.496,22.575,22.312,22.356,103754,5394
2013-04-22,22.408,22.444,22.356,22.364,52591,5394
2013-04-23,22.364,22.61,22.328,22.356,128850,5394
2013-04-24,22.408,22.408,22.312,22.373,110138,5394
2013-04-25,22.408,22.408,22.312,22.347,185795,5394
2013-04-26,22.364,22.408,22.295,22.399,228850,5394
2013-04-29,22.399,22.479,22.321,22.338,211962,5394
2013-04-30,22.364,22.505,22.347,22.505,121373,5394
2013-05-01,22.505,22.627,22.418,22.54,238759,5394
2013-05-02,22.54,22.601,22.479,22.557,200094,5394
2013-05-03,22.575,22.627,22.505,22.627,115247,5394
2013-05-06,22.583,22.802,22.575,22.741,173828,5394
2013-05-07,22.795,22.97,22.706,22.952,68928,5394
2013-05-08,22.952,23.153,22.863,23.101,76279,5394
2013-05-09,23.066,23.109,22.934,23.005,107436,5394
2013-05-10,23.092,23.101,22.934,22.996,210837,5394
2013-05-13,23.005,23.005,22.829,22.908,64549,5394
2013-05-14,22.89,22.925,22.741,22.802,56933,5394
2013-05-15,22.759,22.795,22.645,22.672,82752,5394
2013-05-16,22.741,22.944,22.68,22.863,71475,5394
2013-05-17,22.934,22.934,22.829,22.829,36080,5394
2013-05-20,22.802,22.952,22.759,22.952,35694,5394
2013-05-21,22.934,23.057,22.9,23.057,41458,5394
2013-05-22,23.057,23.145,22.838,22.838,75503,5394
2013-05-23,22.838,22.925,22.698,22.882,74583,5394
2013-05-24,22.917,22.917,22.768,22.856,42740,5394
2013-05-28,22.908,22.908,22.636,22.75,92137,5394
2013-05-29,22.808,22.871,22.55,22.612,94495,5394
2013-05-30,22.63,22.701,22.612,22.612,58460,5394
2013-05-31,22.586,22.666,22.559,22.604,264578,5394
2013-06-03,22.604,22.612,21.856,22.273,211148,5394
2013-06-04,22.363,22.363,21.882,21.89,434620,5394
2013-06-05,21.927,22.122,21.882,22.122,341746,5394
2013-06-06,22.052,22.408,22.007,22.389,113636,5394
2013-06-07,22.389,22.48,22.309,22.363,107995,5394
2013-06-10,22.336,22.372,22.247,22.363,420698,5394
2013-06-11,22.273,22.273,22.015,22.185,186439,5394
2013-06-12,22.115,22.23,21.695,21.741,171854,5394
2013-06-13,21.624,22.096,21.384,22.096,151968,5394
2013-06-14,22.185,22.273,22.177,22.273,102669,5394
2013-06-17,22.202,22.47,22.096,22.096,91106,5394
2013-06-18,22.273,22.273,22.132,22.177,95585,5394
2013-06-19,22.185,22.211,21.703,21.927,102463,5394
2013-06-20,21.802,21.802,21.534,21.703,110218,5394
2013-06-21,21.828,21.828,21.65,21.712,116623,5394
