Date,Open,High,Low,Close,Volume,stock_id
2005-02-28,30.0,30.0,30.0,30.0,50,5700
2005-03-01,30.0,30.0,30.0,30.0,60,5700
2005-03-03,25.0,25.0,25.0,25.0,40,5700
2005-03-09,25.0,25.0,25.0,25.0,25,5700
2005-03-10,25.0,25.0,25.0,25.0,5,5700
2005-03-23,25.0,25.0,25.0,25.0,6,5700
2005-03-31,25.0,25.0,25.0,25.0,5,5700
2005-05-04,30.0,30.0,30.0,30.0,50,5700
2005-05-09,25.0,25.0,25.0,25.0,15,5700
2005-05-13,30.0,30.0,15.0,15.0,35,5700
2005-05-23,40.0,40.0,30.0,30.0,60,5700
2005-05-24,30.0,30.0,30.0,30.0,100,5700
2005-05-25,25.0,30.0,25.0,30.0,745,5700
2005-05-26,30.0,30.0,25.0,25.0,400,5700
2005-06-01,30.0,30.0,30.0,30.0,10,5700
2005-06-07,25.0,25.0,25.0,25.0,140,5700
2005-06-09,25.0,25.0,25.0,25.0,10,5700
2005-06-13,30.0,30.0,30.0,30.0,100,5700
2005-06-16,32.0,32.0,30.0,30.0,310,5700
2005-06-22,33.0,33.5,32.5,32.5,400,5700
2005-07-14,25.0,25.0,25.0,25.0,10,5700
2005-07-27,35.0,45.0,35.0,35.0,196,5700
2005-07-28,45.0,45.0,45.0,45.0,20,5700
2005-08-25,45.5,46.0,45.5,46.0,100,5700
2005-08-26,40.0,40.0,36.0,36.0,200,5700
2005-09-01,30.0,40.0,30.0,32.5,320,5700
2005-09-06,30.0,30.0,30.0,30.0,50,5700
2005-09-12,28.0,35.0,28.0,30.0,250,5700
2005-09-13,31.0,31.0,30.0,30.0,370,5700
2005-09-30,30.0,30.0,30.0,30.0,10,5700
2005-10-03,32.0,32.5,30.0,30.0,500,5700
2005-10-27,27.5,27.5,27.5,27.5,50,5700
2005-11-07,25.0,26.0,21.0,24.0,605,5700
2005-11-08,26.0,26.0,25.0,25.0,120,5700
2005-11-09,21.0,21.0,21.0,21.0,100,5700
2005-11-10,25.5,25.5,21.0,22.5,213,5700
2005-11-29,21.0,21.0,15.0,18.0,628,5700
2005-11-30,15.0,25.0,15.0,25.0,160,5700
2005-12-01,18.0,20.5,18.0,20.0,208,5700
2005-12-05,20.0,20.0,20.0,20.0,148,5700
2005-12-07,22.0,22.0,20.2,20.2,300,5700
2005-12-14,20.0,20.0,20.0,20.0,200,5700
2006-01-06,21.0,21.0,21.0,21.0,28,5700
2006-01-11,17.5,17.5,17.5,17.5,20,5700
2006-01-12,17.5,17.5,17.5,17.5,10,5700
2006-02-06,22.5,22.5,22.5,22.5,100,5700
2006-02-07,22.5,22.5,22.5,22.5,50,5700
2006-02-08,22.0,22.0,21.0,21.0,200,5700
2006-02-09,22.0,22.0,21.0,21.0,500,5700
2006-02-10,23.0,23.0,23.0,23.0,50,5700
2006-02-13,25.0,25.0,23.5,23.5,800,5700
2006-02-16,21.0,21.5,21.0,21.5,200,5700
2006-02-22,21.5,21.5,21.5,21.5,550,5700
2006-02-23,21.0,21.0,21.0,21.0,100,5700
2006-03-10,21.0,21.0,21.0,21.0,75,5700
2006-03-17,24.0,24.0,24.0,24.0,150,5700
2006-03-20,22.0,22.0,22.0,22.0,150,5700
2006-03-21,15.0,17.0,11.1,17.0,1067,5700
2006-03-22,16.2,16.2,15.5,15.5,2512,5700
2006-03-23,16.0,16.0,15.5,16.0,250,5700
2006-03-24,16.0,16.0,16.0,16.0,100,5700
2006-03-28,16.0,16.0,16.0,16.0,100,5700
2006-03-31,15.5,15.5,15.5,15.5,35,5700
2006-04-04,15.5,15.5,15.0,15.0,150,5700
2006-04-05,15.0,15.0,14.5,14.5,1500,5700
2006-04-13,15.0,20.0,15.0,17.9,265,5700
2006-04-17,18.0,18.0,18.0,18.0,90,5700
2006-04-24,20.0,20.0,20.0,20.0,160,5700
2006-04-25,14.0,14.0,12.0,12.0,150,5700
2006-05-03,13.0,13.0,13.0,13.0,10,5700
2006-05-05,19.5,19.5,19.5,19.5,100,5700
2006-05-08,15.5,17.5,15.5,16.5,550,5700
2006-05-09,17.0,19.5,17.0,19.5,300,5700
2006-05-16,13.0,17.5,13.0,17.5,60,5700
2006-05-19,15.0,20.0,13.0,20.0,241,5700
2006-05-24,15.0,15.0,15.0,15.0,70,5700
2006-05-30,17.0,17.0,17.0,17.0,10,5700
2006-06-06,12.0,16.0,12.0,16.0,260,5700
2006-06-15,14.0,16.8,14.0,16.8,809,5700
2006-06-19,16.8,20.0,16.8,20.0,30,5700
2006-06-20,20.0,20.0,20.0,20.0,15,5700
2006-06-27,11.5,11.5,11.5,11.5,15,5700
2006-06-28,20.0,20.0,20.0,20.0,10,5700
2006-07-12,22.5,22.5,22.5,22.5,10,5700
2006-07-24,20.0,20.0,19.0,19.0,1070,5700
2006-07-26,22.5,22.5,22.5,22.5,10,5700
2006-07-31,15.0,22.5,15.0,22.5,67,5700
2006-08-08,20.0,20.0,20.0,20.0,200,5700
2006-08-09,22.5,22.5,22.5,22.5,10,5700
2006-08-22,22.5,40.0,22.5,37.5,350,5700
2006-08-24,27.5,27.5,27.5,27.5,72,5700
2006-08-25,27.5,30.0,27.5,30.0,121,5700
2006-08-29,50.0,50.0,50.0,50.0,10,5700
2006-08-30,22.5,50.0,22.5,50.0,20,5700
2006-08-31,50.0,50.0,50.0,50.0,20,5700
2006-09-25,30.0,45.0,30.0,30.0,200,5700
2006-09-28,27.5,27.5,22.5,22.5,156,5700
