Date,Open,High,Low,Close,Volume,stock_id
2010-08-23,19.721,19.861,19.558,19.697,24775,5181
2010-08-24,19.227,19.827,19.227,19.609,18079,5181
2010-08-25,19.591,19.896,19.591,19.765,52005,5181
2010-08-26,19.643,19.948,19.643,19.782,11929,5181
2010-08-27,19.591,19.73,19.558,19.6,12421,5181
2010-08-30,19.661,19.852,19.661,19.8,17867,5181
2010-08-31,19.8,19.896,19.74,19.773,24699,5181
2010-09-01,19.643,19.81,19.643,19.773,55121,5181
2010-09-02,19.773,19.773,19.628,19.688,19673,5181
2010-09-03,19.757,19.757,19.469,19.581,9025,5181
2010-09-07,19.558,19.773,19.558,19.773,29737,5181
2010-09-08,19.773,19.878,19.712,19.818,12958,5181
2010-09-09,19.791,19.992,19.791,19.992,18104,5181
2010-09-10,19.982,20.182,19.931,20.182,39990,5181
2010-09-13,20.164,20.426,20.164,20.417,18805,5181
2010-09-14,20.321,20.695,20.312,20.634,21967,5181
2010-09-15,20.548,20.548,20.304,20.331,46054,5181
2010-09-16,20.382,20.513,20.243,20.426,19849,5181
2010-09-17,20.261,20.503,20.113,20.113,37601,5181
2010-09-20,20.252,20.382,20.079,20.286,33617,5181
2010-09-21,20.391,20.643,20.373,20.556,14180,5181
2010-09-22,20.634,20.843,20.513,20.774,93863,5181
2010-09-23,20.677,20.799,20.548,20.704,284947,5181
2010-09-24,20.817,21.069,20.652,21.008,41991,5181
2010-09-27,20.904,21.044,20.625,20.643,35354,5181
2010-09-28,20.817,20.868,20.487,20.487,32546,5181
2010-09-29,20.54,20.834,20.503,20.592,12299,5181
2010-09-30,20.47,20.601,20.401,20.401,29418,5181
2010-10-01,20.487,20.487,20.321,20.321,23350,5181
2010-10-04,20.365,20.461,20.164,20.2,44780,5181
2010-10-05,20.296,20.426,20.191,20.209,37999,5181
2010-10-06,20.365,20.677,20.356,20.643,16020,5181
2010-10-07,20.783,20.783,20.479,20.662,21273,5181
2010-10-08,20.792,20.817,20.443,20.513,20552,5181
2010-10-11,20.713,20.713,20.531,20.601,27598,5181
2010-10-12,20.652,20.713,20.601,20.662,19732,5181
2010-10-13,20.774,20.861,20.662,20.861,23497,5181
2010-10-14,20.861,20.904,20.817,20.904,16519,5181
2010-10-15,20.834,20.853,20.556,20.556,28153,5181
2010-10-18,20.556,20.774,20.556,20.722,17832,5181
2010-10-19,20.783,20.825,20.513,20.513,15611,5181
2010-10-20,20.625,20.625,20.531,20.556,11387,5181
2010-10-21,20.522,20.643,20.312,20.312,26227,5181
2010-10-22,20.401,20.531,20.356,20.356,19042,5181
2010-10-25,20.426,20.677,20.417,20.522,11765,5181
2010-10-26,20.494,20.731,20.494,20.573,7584,5181
2010-10-27,20.522,20.877,20.522,20.764,26395,5181
2010-10-28,20.956,21.017,20.722,20.93,21510,5181
2010-10-29,20.868,20.974,20.792,20.799,11709,5181
2010-11-01,20.764,20.877,20.713,20.861,37067,5181
2010-11-02,20.999,20.999,20.704,20.704,24859,5181
2010-11-03,20.722,20.808,20.573,20.616,16399,5181
2010-11-04,20.616,20.747,20.601,20.601,13362,5181
2010-11-05,20.634,20.722,20.531,20.564,15616,5181
2010-11-08,20.556,20.853,20.556,20.704,9287,5181
2010-11-09,20.695,20.738,20.616,20.686,15158,5181
2010-11-10,20.756,20.764,20.67,20.731,12163,5181
2010-11-11,20.67,20.731,20.531,20.731,18068,5181
2010-11-12,20.564,20.825,20.564,20.799,12483,5181
2010-11-15,20.738,21.025,20.722,20.947,16499,5181
2010-11-16,20.861,21.035,20.601,20.731,25444,5181
2010-11-17,20.652,20.938,20.601,20.601,14641,5181
2010-11-18,20.601,20.764,20.556,20.573,8678,5181
2010-11-19,20.592,20.592,20.373,20.382,16305,5181
2010-11-22,20.27,20.904,20.149,20.173,28464,5181
2010-11-23,20.07,20.209,20.052,20.13,14382,5181
2010-11-24,20.043,20.401,20.043,20.365,10190,5181
2010-11-26,19.878,20.296,19.878,20.164,10641,5181
2010-11-29,20.182,20.243,19.912,19.912,12142,5181
2010-11-30,19.992,20.079,19.888,19.948,5251,5181
2010-12-01,19.992,20.173,19.948,20.034,14867,5181
2010-12-02,19.922,20.043,19.679,19.679,42455,5181
2010-12-03,19.521,19.721,19.443,19.643,34299,5181
2010-12-06,19.643,20.13,19.643,19.903,29906,5181
2010-12-07,19.958,20.104,19.903,19.903,11837,5181
2010-12-08,19.843,19.982,19.8,19.861,17474,5181
2010-12-09,19.965,19.965,19.661,19.73,15022,5181
2010-12-10,19.782,19.782,19.488,19.488,18132,5181
2010-12-13,19.573,19.818,19.53,19.782,17876,5181
2010-12-14,19.688,19.878,19.539,19.549,7974,5181
2010-12-15,19.497,19.704,19.357,19.53,25978,5181
2010-12-16,19.39,19.427,19.122,19.122,29470,5181
2010-12-17,19.236,19.287,19.087,19.253,15551,5181
2010-12-20,19.001,19.297,18.748,19.297,16433,5181
2010-12-21,19.427,19.427,19.192,19.4,32630,5181
2010-12-22,19.567,19.835,19.339,19.339,23526,5181
2010-12-23,19.558,19.651,19.409,19.618,12339,5181
2010-12-27,19.661,19.688,19.558,19.679,13948,5181
2010-12-28,19.67,19.818,19.573,19.74,15503,5181
2010-12-29,19.74,19.757,19.558,19.635,14317,5181
2010-12-30,19.628,19.688,19.567,19.688,5435,5181
2010-12-31,19.591,19.765,19.591,19.765,7850,5181
2011-01-03,19.888,19.922,19.749,19.749,15992,5181
2011-01-04,19.757,19.861,19.558,19.827,431631,5181
2011-01-05,19.765,19.818,19.74,19.74,10667,5181
2011-01-06,19.712,19.835,19.688,19.73,11741,5181
2011-01-07,19.81,19.852,19.81,19.818,4184,5181
2011-01-10,19.773,19.878,19.697,19.87,20415,5181
2011-01-11,19.912,19.992,19.697,19.697,18181,5181
2011-01-12,19.861,19.861,19.643,19.679,6650,5181
2011-01-13,19.765,19.827,19.697,19.8,15834,5181
2011-01-14,19.773,19.843,19.749,19.749,15575,5181
2011-01-18,19.773,20.113,19.73,19.965,11468,5181
2011-01-19,20.034,20.088,19.87,20.0,12758,5181
2011-01-20,19.903,20.079,19.903,20.009,12036,5181
2011-01-21,20.079,20.088,19.791,19.791,11245,5181
2011-01-24,19.87,20.079,19.843,19.922,17989,5181
2011-01-25,19.992,20.088,19.8,19.931,33445,5181
2011-01-26,19.912,20.043,19.878,19.878,9039,5181
2011-01-27,19.903,20.121,19.903,20.088,19533,5181
2011-01-28,20.088,20.209,20.088,20.113,13978,5181
2011-01-31,20.173,20.296,20.113,20.296,17197,5181
2011-02-01,20.261,20.503,20.209,20.331,16971,5181
2011-02-02,20.27,20.774,20.27,20.774,33341,5181
2011-02-03,20.93,20.93,20.391,20.391,15250,5181
2011-02-04,20.487,20.487,20.226,20.226,27897,5181
2011-02-07,20.226,20.452,20.226,20.401,17538,5181
2011-02-08,20.382,20.47,20.382,20.452,134216,5181
2011-02-09,20.41,20.479,20.296,20.296,24862,5181
2011-02-10,20.373,20.373,20.296,20.34,12426,5181
2011-02-11,20.331,20.479,20.331,20.47,44336,5181
2011-02-14,20.479,20.548,20.382,20.548,18450,5181
2011-02-15,20.487,20.601,20.41,20.503,130384,5181
2011-02-16,20.54,20.548,20.47,20.47,8480,5181
2011-02-18,20.548,21.069,20.548,20.904,45211,5181
2011-02-22,20.956,20.974,20.774,20.792,45256,5181
2011-02-23,20.825,20.895,20.722,20.783,22477,5181
2011-02-24,20.513,20.54,20.426,20.461,18154,5181
