Date,Open,High,Low,Close,Volume,stock_id
2007-10-30,6.9518,6.9979,6.9518,6.9904,2030466,4884
2007-10-31,6.9904,6.9904,6.9904,6.9904,770598,4884
2007-11-01,6.9904,6.9979,6.9904,6.9904,13060,4884
2007-11-02,6.9904,7.0055,6.9827,6.9904,1113976,4884
2007-11-05,6.9827,6.9904,6.9827,6.9904,125513,4884
2007-11-06,6.9904,6.9904,6.9827,6.9904,220862,4884
2007-11-07,6.9904,6.9979,6.9827,6.9827,206756,4884
2007-11-08,6.9904,6.9904,6.9827,6.9827,57988,4884
2007-11-09,6.9904,7.0055,6.9827,7.0055,24685,4884
2007-11-12,6.9827,7.0055,6.9827,6.9827,7968,4884
2007-11-13,6.9827,6.9827,6.9827,6.9827,13716,4884
2007-11-14,6.9904,6.9904,6.9904,6.9904,14367,4884
2007-11-15,6.9904,6.9904,6.9904,6.9904,11755,4884
2007-11-16,6.9904,6.9904,6.9748,6.9904,351993,4884
2007-11-19,6.9827,6.9827,6.9827,6.9827,127,4884
2007-11-20,6.9827,6.9827,6.9827,6.9827,7573,4884
2007-11-23,7.0055,7.0363,7.0055,7.0363,396,4884
2007-11-26,7.044,7.044,6.9979,6.9979,7968,4884
2007-11-27,6.9748,6.9827,6.9672,6.9672,176715,4884
2007-11-28,6.9672,6.9827,6.9672,6.9827,7184,4884
2007-11-29,6.9672,6.9827,6.9672,6.9748,11492,4884
2007-11-30,6.9672,6.9672,6.9672,6.9672,177108,4884
2007-12-03,6.9672,6.9672,6.9672,6.9672,179460,4884
2007-12-05,6.9672,7.0055,6.9672,7.0055,14237,4884
2007-12-06,7.0055,7.0055,6.9979,7.0055,16069,4884
2007-12-07,6.9748,6.9748,6.9748,6.9748,10449,4884
2007-12-10,7.0055,7.0055,6.9672,6.9748,17373,4884
2007-12-11,6.9672,6.9672,6.9672,6.9672,13321,4884
2007-12-12,6.9672,6.9672,6.9672,6.9672,3262,4884
2007-12-13,6.9672,6.9672,6.9672,6.9672,127,4884
2007-12-14,7.0055,7.0055,6.9748,6.9979,3916,4884
2007-12-18,7.0055,7.044,7.0055,7.044,55118,4884
2007-12-19,6.9672,6.9748,6.8985,6.9672,54074,4884
2007-12-20,6.9672,7.1586,6.9672,7.151,85157,4884
2007-12-21,7.151,7.1586,6.9672,7.1586,2435615,4884
2007-12-24,7.0822,7.151,6.9672,7.1357,99001,4884
2007-12-26,7.0055,7.1586,6.9904,7.1586,268374,4884
2007-12-27,7.0363,7.1205,6.9672,6.9672,93386,4884
2007-12-28,6.9979,7.0822,6.9672,6.9827,42971,4884
2007-12-31,6.9672,7.044,6.9672,7.021,104271,4884
2008-01-02,6.9748,7.0593,6.9672,6.9748,111212,4884
2008-01-03,6.9979,7.0055,6.9441,6.9979,263960,4884
2008-01-04,6.9904,7.044,6.9904,6.9979,93779,4884
2008-01-07,7.0286,7.1586,6.9979,7.0897,109583,4884
2008-01-08,7.0973,7.1126,6.9904,7.0286,73274,4884
2008-01-09,7.0055,7.1205,6.9518,7.021,427618,4884
2008-01-10,6.9904,7.1205,6.9827,7.0822,61648,4884
2008-01-11,7.021,7.0593,6.9904,7.0055,51592,4884
2008-01-14,7.0515,7.1052,6.9672,7.1052,72101,4884
2008-01-15,7.0055,7.1126,6.9827,7.1126,24425,4884
2008-01-16,7.1052,7.1205,7.044,7.1126,65043,4884
2008-01-17,7.1126,7.1126,7.0055,7.021,27687,4884
2008-01-18,6.9748,7.0668,6.9748,7.0286,127739,4884
2008-01-22,6.9292,7.1205,6.8985,7.0286,67523,4884
2008-01-23,6.9748,7.1052,6.9748,7.0515,105533,4884
2008-01-24,7.0822,7.0822,6.9672,6.9748,51853,4884
2008-01-25,7.0822,7.0897,6.9594,7.013,188079,4884
2008-01-28,6.9904,7.0593,6.9672,6.9979,28216,4884
2008-01-29,7.013,7.0286,6.9672,6.9904,98612,4884
2008-01-30,6.9748,7.1052,6.9672,6.9904,64128,4884
2008-01-31,6.9748,7.044,6.9594,7.013,336581,4884
2008-02-01,7.021,7.0822,6.9748,7.0055,32523,4884
2008-02-04,6.9748,7.1126,6.9441,7.0515,57469,4884
2008-02-05,6.9748,7.0363,6.9748,6.9904,74446,4884
2008-02-06,7.0363,7.0822,6.9827,7.013,36047,4884
2008-02-07,6.9904,7.0745,6.9904,7.0515,38791,4884
2008-02-08,7.0515,7.0745,6.9979,7.013,264092,4884
2008-02-11,7.013,7.021,7.0055,7.013,39578,4884
2008-02-12,7.0286,7.0515,6.9748,7.021,53464,4884
2008-02-13,7.0973,7.1126,7.0286,7.0822,62600,4884
2008-02-14,7.1052,7.1052,6.9979,7.013,100502,4884
