Date,Open,High,Low,Close,Volume,stock_id
2011-08-05,198.0,216.0,180.0,181.8,183,4305
2011-08-08,189.0,189.0,163.8,169.2,79,4305
2011-08-09,180.0,192.6,167.4,181.8,262,4305
2011-08-10,180.0,192.6,180.0,192.6,55,4305
2011-08-11,189.0,194.4,189.0,194.4,29,4305
2011-08-12,196.2,205.2,196.2,205.2,57,4305
2011-08-15,203.4,226.8,203.4,216.0,141,4305
2011-08-16,216.0,216.0,216.0,216.0,124,4305
2011-08-17,203.4,214.2,199.8,207.0,130,4305
2011-08-18,208.8,225.0,199.8,217.8,162,4305
2011-08-19,221.4,226.8,207.0,214.2,70,4305
2011-08-22,216.0,226.8,201.6,205.2,45,4305
2011-08-23,205.2,248.4,205.2,243.0,413,4305
2011-08-24,250.2,282.6,243.0,282.6,381,4305
2011-08-25,293.4,320.4,255.6,270.0,257,4305
2011-08-26,262.8,277.2,262.8,273.6,42,4305
2011-08-29,280.8,289.8,275.4,282.6,66,4305
2011-08-30,300.6,309.6,291.6,298.8,37,4305
2011-08-31,307.8,307.8,275.4,275.4,31,4305
2011-09-01,270.0,270.0,259.2,259.2,38,4305
2011-09-02,261.0,261.0,244.58,244.58,52,4305
2011-09-06,239.4,246.6,226.8,226.8,63,4305
2011-09-07,225.0,255.6,221.4,225.0,96,4305
2011-09-08,234.0,234.0,232.2,234.0,1,4305
2011-09-09,239.4,248.4,228.6,230.4,38,4305
2011-09-12,225.0,230.4,217.8,217.8,45,4305
2011-09-13,212.4,221.4,208.8,208.8,69,4305
2011-09-14,208.8,225.0,208.8,219.6,96,4305
2011-09-15,205.2,216.0,205.2,216.0,51,4305
2011-09-16,216.0,216.0,201.6,205.2,53,4305
2011-09-19,225.0,225.0,189.0,192.6,157,4305
2011-09-20,198.0,216.0,190.8,207.0,218,4305
2011-09-21,201.6,208.8,199.8,199.8,71,4305
2011-09-22,187.2,212.4,180.0,185.4,144,4305
2011-09-23,189.0,201.6,180.0,181.8,166,4305
2011-09-26,183.6,183.6,180.0,181.8,38,4305
2011-09-27,189.0,212.4,189.0,212.4,34,4305
2011-09-28,207.0,210.6,194.4,194.4,33,4305
