Date,Open,High,Low,Close,Volume,stock_id
2017-10-27,25.32,25.3201,25.32,25.32,17751,1483
2017-10-30,25.32,25.35,25.32,25.33,36368,1483
2017-10-31,25.32,25.33,25.32,25.32,11333,1483
2017-11-01,25.32,25.32,25.315,25.32,617419,1483
2017-11-02,25.3456,25.3456,25.32,25.32,838911,1483
2017-11-03,25.32,25.32,25.32,25.32,54127,1483
2017-11-06,25.3248,25.33,25.32,25.32,854,1483
2017-11-07,25.32,25.38,25.32,25.38,63390,1483
2017-11-08,25.3305,25.3305,25.3305,25.3305,1138,1483
2017-11-09,25.33,25.33,25.32,25.32,2238,1483
2017-11-10,25.32,25.36,25.32,25.36,2204,1483
