Date,Open,High,Low,Close,Volume,stock_id
2005-08-08,15.65,15.65,15.65,15.65,0,6439
2005-08-09,17.216,20.049,16.522,17.995,13448723,6439
2005-08-10,18.466,19.522,18.364,18.568,2439985,6439
2005-08-11,18.955,19.132,17.995,18.281,1370962,6439
2005-08-12,18.43,18.539,18.04,18.252,541735,6439
2005-08-15,18.299,18.394,17.448,17.976,909224,6439
2005-08-16,17.651,18.272,17.262,17.698,556291,6439
2005-08-17,18.113,18.113,16.984,17.429,417349,6439
2005-08-18,17.391,17.476,16.844,17.3,487088,6439
2005-08-19,17.17,17.651,17.17,17.439,269912,6439
2005-08-22,17.623,17.781,17.281,17.364,216760,6439
2005-08-23,17.411,17.429,17.133,17.198,484910,6439
2005-08-24,17.3,17.391,16.16,16.735,1777273,6439
2005-08-25,17.325,17.995,17.04,17.846,2234434,6439
2005-08-26,17.995,18.189,17.411,18.189,601772,6439
2005-08-29,18.16,18.17,17.604,18.04,286865,6439
2005-08-30,18.104,18.104,17.226,17.29,773192,6439
2005-08-31,17.142,17.391,15.863,16.345,2125580,6439
2005-09-01,16.225,16.42,15.086,15.446,1543020,6439
2005-09-02,15.734,16.178,15.3,15.494,580673,6439
2005-09-06,15.763,16.039,15.65,15.854,695686,6439
2005-09-07,16.353,16.381,16.086,16.225,880872,6439
2005-09-08,16.345,16.391,15.753,15.976,499998,6439
2005-09-09,15.985,16.17,15.659,15.798,312386,6439
2005-09-12,15.919,16.428,15.854,16.262,492496,6439
2005-09-13,16.428,16.428,16.086,16.27,280163,6439
2005-09-14,16.381,16.381,15.837,15.891,261865,6439
2005-09-15,16.14,16.14,15.604,15.677,504515,6439
2005-09-16,15.863,16.467,15.744,16.309,993831,6439
2005-09-19,16.522,16.567,15.863,16.029,869667,6439
2005-09-20,16.503,16.503,15.781,15.863,545627,6439
2005-09-21,15.91,15.91,15.103,15.262,431124,6439
2005-09-22,15.151,15.189,14.427,14.983,1108635,6439
2005-09-23,14.828,15.522,14.828,15.365,206516,6439
2005-09-26,15.513,15.669,15.197,15.282,282360,6439
2005-09-27,15.197,15.391,14.862,15.03,186735,6439
2005-09-28,15.798,16.029,15.446,15.632,672343,6439
2005-09-29,15.717,16.216,15.604,16.17,368432,6439
2005-09-30,16.254,16.447,15.901,15.985,1381183,6439
2005-10-03,15.91,16.485,15.817,16.428,308632,6439
2005-10-04,16.345,16.584,15.827,15.957,342520,6439
