Date,Open,High,Low,Close,Volume,stock_id
2012-08-24,19.79,20.249,19.79,19.935,132648,1694
2012-08-27,19.935,20.027,19.805,19.944,76814,1694
2012-08-28,19.882,20.135,19.868,19.959,136527,1694
2012-08-29,20.027,20.327,19.959,20.098,119255,1694
2012-08-30,20.037,20.173,19.989,20.173,95003,1694
2012-08-31,20.135,20.628,20.135,20.58,233133,1694
2012-09-04,20.503,20.526,20.442,20.481,70756,1694
2012-09-05,20.496,20.518,20.442,20.512,51395,1694
2012-09-06,20.518,20.58,20.427,20.451,208052,1694
2012-09-07,20.572,20.572,20.481,20.558,12537,1694
2012-09-10,20.58,20.58,20.457,20.496,71101,1694
2012-09-11,20.558,20.558,20.442,20.518,408935,1694
2012-09-12,20.451,20.603,20.451,20.55,234614,1694
2012-09-13,20.587,20.634,20.442,20.518,325651,1694
2012-09-14,20.55,20.55,20.442,20.503,19377,1694
2012-09-17,20.518,20.518,20.357,20.404,39892,1694
2012-09-18,20.489,20.489,20.173,20.365,553042,1694
2012-09-19,20.365,20.365,20.166,20.214,56879,1694
2012-09-20,20.227,20.227,20.066,20.166,383539,1694
2012-09-21,20.196,20.196,20.082,20.082,92683,1694
2012-09-24,20.098,20.234,20.098,20.166,58855,1694
2012-09-25,20.166,20.214,20.135,20.158,98120,1694
2012-09-26,20.158,20.158,20.105,20.144,30975,1694
2012-09-27,20.144,20.258,20.144,20.221,137929,1694
2012-09-28,20.189,20.344,20.189,20.234,117242,1694
2012-10-01,20.295,20.312,20.09,20.196,51824,1694
2012-10-02,20.227,20.234,20.119,20.189,47570,1694
2012-10-03,20.242,20.319,20.227,20.289,75405,1694
2012-10-04,20.336,20.496,20.214,20.413,144559,1694
2012-10-05,20.518,20.518,20.397,20.404,99310,1694
2012-10-08,20.542,20.934,20.518,20.71,281913,1694
2012-10-09,20.811,21.125,20.648,21.125,192374,1694
2012-10-10,21.125,21.125,20.904,20.979,317567,1694
2012-10-11,21.071,21.164,20.887,20.934,37581,1694
2012-10-12,21.054,21.095,20.887,21.086,25841,1694
2012-10-15,21.171,21.171,21.002,21.132,97667,1694
2012-10-16,21.171,21.248,21.095,21.209,67120,1694
2012-10-17,21.309,21.309,21.132,21.178,583345,1694
2012-10-18,21.187,21.248,21.14,21.187,51201,1694
2012-10-19,21.317,21.438,21.034,21.178,683114,1694
2012-10-22,21.248,21.317,21.164,21.178,48515,1694
2012-10-23,21.233,21.233,20.965,21.002,40246,1694
2012-10-24,21.118,21.118,20.915,20.965,41846,1694
2012-10-25,21.08,21.08,20.949,20.985,71246,1694
2012-10-26,21.054,21.054,20.863,20.973,68124,1694
2012-10-31,21.086,21.086,20.803,20.957,18227,1694
2012-11-01,21.019,21.095,21.019,21.054,21671,1694
2012-11-02,21.086,21.086,20.873,21.041,26136,1694
2012-11-05,21.071,21.071,20.934,20.979,37491,1694
2012-11-06,21.011,21.011,20.925,20.949,36400,1694
2012-11-07,20.979,21.553,20.915,21.149,157260,1694
2012-11-08,21.132,21.239,20.965,20.965,39692,1694
2012-11-09,20.979,20.985,20.758,20.764,31022,1694
2012-11-12,21.08,21.08,20.819,20.863,10701,1694
2012-11-13,20.994,21.002,20.778,20.94,12259,1694
