Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,9.878,10.183,9.797,10.095,21385,5344
2005-02-28,10.064,10.064,9.878,10.002,21480,5344
2005-03-01,10.095,10.095,9.937,9.965,31834,5344
2005-03-02,9.917,10.046,9.811,9.917,33268,5344
2005-03-03,10.051,10.09,9.735,10.041,67522,5344
2005-03-04,10.275,10.325,10.051,10.189,28468,5344
2005-03-07,10.245,10.245,9.99,10.027,21886,5344
2005-03-08,9.959,10.084,9.883,10.078,26522,5344
2005-03-09,9.937,10.032,9.748,9.848,36340,5344
2005-03-10,9.79,10.078,9.79,10.064,36928,5344
2005-03-11,10.095,10.275,9.977,10.032,37988,5344
2005-03-14,10.158,10.233,10.014,10.158,38101,5344
2005-03-15,10.194,10.194,9.836,9.941,56107,5344
2005-03-16,9.79,9.929,9.79,9.929,16839,5344
2005-03-17,9.79,10.058,9.748,9.99,29129,5344
2005-03-18,10.183,10.183,9.655,9.842,101334,5344
2005-03-21,9.735,9.836,9.58,9.65,61904,5344
2005-03-22,9.741,9.785,9.433,9.4628,44384,5344
2005-03-23,9.557,9.586,9.3945,9.433,55611,5344
2005-03-24,9.4129,9.58,9.3394,9.4206,175007,5344
2005-03-28,9.3945,9.568,9.3945,9.563,63090,5344
2005-03-29,9.4687,9.65,9.4687,9.58,32255,5344
2005-03-30,9.65,9.953,9.592,9.937,50003,5344
2005-03-31,9.878,9.896,9.741,9.86,29326,5344
2005-04-01,9.86,9.86,9.4846,9.681,64559,5344
2005-04-04,9.532,9.724,9.532,9.613,21322,5344
2005-04-05,9.655,9.693,9.4935,9.557,16579,5344
2005-04-06,9.613,9.842,9.613,9.79,24882,5344
2005-04-07,9.636,10.084,9.636,10.027,28162,5344
2005-04-08,10.095,10.127,9.717,9.79,21586,5344
2005-04-11,9.655,10.064,9.52,9.773,23096,5344
2005-04-12,9.632,10.113,9.557,10.078,54305,5344
2005-04-13,10.158,10.158,9.773,9.937,22017,5344
2005-04-14,10.032,10.032,9.513,9.655,45698,5344
2005-04-15,9.655,9.655,9.3452,9.3452,23202,5344
2005-04-18,9.592,9.592,9.4129,9.505,18271,5344
2005-04-19,9.52,9.65,9.439,9.65,43477,5344
2005-04-20,9.539,9.592,9.2523,9.4071,48459,5344
2005-04-21,9.4519,9.929,9.3742,9.865,58422,5344
2005-04-22,9.79,9.872,9.52,9.865,43407,5344
2005-04-25,9.818,9.953,9.687,9.854,32588,5344
2005-04-26,9.71,9.929,9.3636,9.3636,29875,5344
2005-04-27,9.3161,9.4013,9.2271,9.2717,50207,5344
2005-04-28,9.2271,9.439,9.1538,9.1605,15636,5344
2005-04-29,9.3161,9.3636,8.9785,9.2959,35836,5344
2005-05-02,9.3452,9.4129,9.2406,9.4129,10210,5344
2005-05-03,9.2813,9.4588,9.1355,9.1971,8255,5344
2005-05-04,9.2406,9.693,9.2406,9.693,26921,5344
2005-05-05,9.731,9.731,9.439,9.65,20070,5344
2005-05-06,9.724,9.724,9.4129,9.557,35552,5344
2005-05-09,9.724,9.724,9.3452,9.4628,15715,5344
2005-05-10,9.4271,9.4271,9.1912,9.2078,20095,5344
2005-05-11,9.171,9.2339,8.9194,9.1164,35996,5344
2005-05-12,9.2145,9.2717,8.9119,8.9982,18602,5344
2005-05-13,9.105,9.1097,8.7691,9.0283,37334,5344
2005-05-16,9.0349,9.3742,9.0349,9.2145,26885,5344
2005-05-17,9.29,9.439,9.2271,9.2455,21831,5344
2005-05-18,9.4071,9.4747,9.3636,9.3693,34466,5344
2005-05-19,9.4129,9.4206,9.2959,9.3693,10872,5344
2005-05-20,9.3529,9.3529,9.2271,9.2523,9895,5344
2005-05-23,9.4479,9.4479,9.1605,9.2959,65236,5344
2005-05-24,9.3636,9.3693,9.3258,9.3326,8339,5344
2005-05-25,9.1662,9.29,9.148,9.2271,21659,5344
2005-05-26,9.2959,9.3693,9.2959,9.3529,12718,5344
2005-05-27,9.3742,9.3877,9.3258,9.3326,6977,5344
2005-05-31,9.3577,9.4129,9.2717,9.2959,5659,5344
2005-06-01,9.3742,9.3742,9.1778,9.3693,25358,5344
2005-06-02,9.3742,9.4628,9.3693,9.4271,26966,5344
2005-06-03,9.3577,9.4628,9.2455,9.4628,18980,5344
2005-06-06,9.3577,9.4628,9.3258,9.433,4587,5344
2005-06-07,9.3819,9.632,9.3016,9.544,45042,5344
2005-06-08,9.613,9.681,9.3742,9.3742,18424,5344
2005-06-09,9.3693,9.613,9.1355,9.586,32642,5344
2005-06-10,9.58,9.58,9.4071,9.4747,9369,5344
2005-06-13,9.505,9.505,9.2078,9.2523,15804,5344
2005-06-14,9.171,9.2959,9.1355,9.2717,19381,5344
2005-06-15,9.1538,9.3529,9.1538,9.3529,51463,5344
2005-06-16,9.2774,9.4995,9.2717,9.4995,23490,5344
2005-06-17,9.505,9.532,9.439,9.4628,65924,5344
2005-06-20,9.2774,9.4071,9.2774,9.3945,8536,5344
2005-06-21,9.3945,9.4747,9.3326,9.4747,19681,5344
2005-06-22,9.592,9.748,9.4206,9.748,21807,5344
2005-06-23,9.636,9.673,9.3945,9.4747,26451,5344
2005-06-24,9.4013,9.4588,9.1971,9.3529,222835,5344
2005-06-27,9.2959,9.4519,9.2959,9.3529,28124,5344
2005-06-28,9.3693,9.655,9.2774,9.655,17933,5344
2005-06-29,9.642,9.865,9.513,9.865,16968,5344
2005-06-30,9.818,10.032,9.699,9.699,26122,5344
2005-07-01,9.889,9.889,9.717,9.735,5411,5344
2005-07-05,9.699,10.041,9.699,10.041,19687,5344
2005-07-06,10.009,10.009,9.735,9.773,13722,5344
2005-07-07,9.699,9.946,9.544,9.865,20773,5344
2005-07-08,9.923,10.189,9.917,10.078,32972,5344
2005-07-11,10.032,10.424,10.032,10.335,55766,5344
2005-07-12,10.254,10.335,10.199,10.311,10215,5344
2005-07-13,10.311,10.335,10.158,10.254,4886,5344
2005-07-14,10.374,10.374,10.032,10.032,12951,5344
2005-07-15,10.113,10.113,9.681,9.865,86646,5344
2005-07-18,9.854,9.854,9.618,9.636,13850,5344
2005-07-19,9.735,10.058,9.735,9.937,24380,5344
2005-07-20,9.829,10.095,9.829,10.027,54863,5344
2005-07-21,10.1,10.176,9.748,9.829,13612,5344
2005-07-22,9.937,10.051,9.805,9.946,15109,5344
2005-07-25,10.009,10.009,9.805,9.872,18432,5344
2005-07-26,9.79,9.953,9.79,9.953,9712,5344
2005-07-27,9.889,9.937,9.699,9.937,15106,5344
2005-07-28,9.972,9.972,9.865,9.937,12151,5344
2005-07-29,9.984,9.984,9.836,9.883,19907,5344
2005-08-01,9.972,10.283,9.889,10.064,22027,5344
2005-08-02,9.996,10.233,9.865,9.959,55719,5344
2005-08-03,10.014,10.014,9.829,9.836,22808,5344
2005-08-04,9.818,9.842,9.557,9.557,18360,5344
2005-08-05,9.557,9.58,9.2339,9.3819,65958,5344
2005-08-08,9.4786,9.4786,9.2455,9.3636,148259,5344
2005-08-09,9.4129,9.4846,9.3219,9.4271,30811,5344
2005-08-10,9.557,9.785,9.3394,9.4846,23523,5344
2005-08-11,9.433,9.842,9.2717,9.613,47356,5344
2005-08-12,9.513,9.842,9.3258,9.655,42747,5344
2005-08-15,9.4519,9.58,9.433,9.58,41500,5344
2005-08-16,9.4935,9.52,9.29,9.3742,31928,5344
