Date,Open,High,Low,Close,Volume,stock_id
2014-05-02,9.75,9.84,8.63,9.0,856384,1633
2014-05-05,9.0,9.21,8.5,8.81,58523,1633
2014-05-06,8.81,8.81,8.35,8.4,12567,1633
2014-05-07,9.0,9.0,8.27,8.67,17250,1633
2014-05-08,8.55,8.84,8.07,8.59,71935,1633
2014-05-09,8.92,9.3,8.7,9.3,60346,1633
2014-05-12,9.4,9.499,9.05,9.29,33228,1633
2014-05-13,9.02,9.5,8.84,9.2,17861,1633
2014-05-14,9.05,9.205,8.8,9.01,14915,1633
2014-05-15,8.98,9.1,8.86,9.04,18065,1633
2014-05-16,9.03,9.03,8.97,9.0,11900,1633
2014-05-19,9.2,9.2,8.75,8.99,14025,1633
2014-05-20,8.91,9.51,8.91,9.47,28935,1633
2014-05-21,9.12,9.49,8.77,9.03,30350,1633
2014-05-22,9.03,9.28,8.9,8.9,24900,1633
2014-05-23,8.95,9.46,8.95,9.01,11225,1633
2014-05-27,9.0,9.21,8.76,8.85,15118,1633
2014-05-28,8.83,9.015,8.2,8.2,11929,1633
2014-05-29,8.7,8.98,7.92,8.04,66243,1633
2014-05-30,8.5,8.5,8.25,8.4,69991,1633
2014-06-02,8.35,8.69,8.35,8.5,15171,1633
2014-06-03,8.45,8.9,8.34,8.48,15519,1633
2014-06-04,8.41,8.87,8.41,8.45,6881,1633
2014-06-05,8.655,8.685,8.4,8.41,7642,1633
2014-06-06,8.42,8.58,8.3,8.35,5159,1633
2014-06-09,8.44,8.465,8.3,8.35,10471,1633
2014-06-10,8.4,8.87,8.35,8.78,66600,1633
2014-06-11,8.56,8.73,8.29,8.73,18132,1633
2014-06-12,8.75,9.26,8.69,9.1,25415,1633
2014-06-13,8.97,9.2,8.78,9.1,9474,1633
2014-06-16,9.1,9.74,9.01,9.74,40675,1633
2014-06-17,9.49,9.64,9.14,9.47,55525,1633
2014-06-18,9.56,9.7,9.21,9.64,23060,1633
2014-06-19,9.7,9.89,9.53,9.83,41255,1633
2014-06-20,9.83,9.89,7.81,7.81,165142,1633
2014-06-23,8.5,8.58,8.2,8.51,53609,1633
2014-06-24,8.4,8.4,7.7999,8.35,28116,1633
2014-06-25,8.22,8.35,8.1,8.1,3775,1633
2014-06-26,8.2376,8.2376,8.0003,8.08,7779,1633
2014-06-27,7.98,8.11,7.78,7.78,9250,1633
2014-06-30,8.0,8.21,7.95,8.02,9213,1633
2014-07-01,8.03,8.07,7.8,8.03,25640,1633
2014-07-02,8.04,8.34,8.02,8.28,8700,1633
2014-07-03,8.29,8.31,8.05,8.25,9451,1633
2014-07-07,8.06,8.3181,8.02,8.22,13081,1633
2014-07-08,8.27,8.27,7.8,7.8,12383,1633
2014-07-09,7.83,8.28,7.83,8.01,9980,1633
2014-07-10,8.01,8.01,7.51,7.51,2703,1633
2014-07-11,7.81,8.09,7.69,7.69,1841,1633
2014-07-14,7.8,7.94,7.8,7.94,3331,1633
2014-07-15,8.0,8.01,7.8,7.8,5484,1633
2014-07-16,7.8,8.0,7.8,7.96,3661,1633
2014-07-17,7.81,7.95,7.8,7.95,9781,1633
2014-07-18,7.81,8.05,7.8,8.0,6969,1633
2014-07-21,7.72,7.73,7.65,7.65,1618,1633
2014-07-22,7.87,7.98,6.67,6.78,23031,1633
2014-07-23,6.78,7.17,6.78,7.15,11767,1633
2014-07-25,7.0,7.1,6.91,7.0,12100,1633
2014-07-28,6.91,6.93,6.9,6.93,1989,1633
2014-07-29,6.92,7.254,6.9,7.254,1510,1633
