Date,Open,High,Low,Close,Volume,stock_id
2016-03-08,57.909,57.997,57.688,57.688,4345876,4381
2016-03-09,57.824,57.843,57.624,57.658,2343,4381
2016-03-10,58.007,58.007,57.279,57.643,6218,4381
2016-03-11,58.26,58.659,58.26,58.595,1603,4381
2016-03-14,58.705,58.732,58.521,58.591,6048,4381
2016-03-15,58.26,58.416,58.19,58.381,846,4381
2016-03-16,58.502,58.601,58.444,58.444,1523,4381
2016-03-17,58.967,59.318,58.648,59.162,9523,4381
2016-03-18,59.525,60.206,59.525,59.7,67878,4381
2016-03-21,59.69,59.726,59.467,59.661,6525,4381
2016-03-22,59.389,59.856,59.321,59.671,7794,4381
2016-03-23,59.398,59.398,59.321,59.321,1714,4381
2016-03-24,58.763,59.137,58.763,59.05,7675,4381
2016-03-28,59.448,59.448,59.204,59.204,1057,4381
2016-03-29,59.107,59.107,59.1,59.1,515,4381
2016-03-30,60.079,60.128,60.079,60.128,212,4381
2016-03-31,60.187,60.372,60.053,60.083,2242,4381
2016-04-01,59.818,60.387,59.818,60.254,1489,4381
2016-04-04,60.537,60.537,60.273,60.273,2582,4381
2016-04-05,59.953,59.953,59.642,59.642,778,4381
2016-04-06,59.72,60.25,59.72,60.25,446,4381
2016-04-07,60.089,60.089,59.497,59.497,841,4381
2016-04-08,59.973,59.992,59.497,59.594,1838,4381
2016-04-11,60.032,60.032,59.731,59.731,1515,4381
2016-04-12,59.72,60.032,59.525,60.032,1432,4381
2016-04-13,60.527,60.794,60.397,60.794,1394,4381
2016-04-14,60.721,60.721,60.721,60.721,147,4381
2016-04-15,60.837,60.837,60.692,60.751,2062,4381
2016-04-18,60.642,61.085,60.642,61.033,3067,4381
2016-04-19,61.451,61.498,61.451,61.457,678,4381
2016-04-20,61.625,61.759,61.382,61.684,6268,4381
2016-04-21,61.858,61.858,61.392,61.412,2858,4381
2016-04-25,61.309,61.309,61.276,61.276,294,4381
2016-04-26,61.576,61.772,61.538,61.664,1273,4381
2016-04-27,61.868,61.868,61.79,61.79,420,4381
2016-04-28,61.928,61.928,61.928,61.928,343,4381
2016-04-29,61.119,61.119,60.595,60.866,862,4381
2016-05-02,61.168,61.402,61.004,61.382,1336,4381
2016-05-03,60.984,60.984,60.8,60.8,483,4381
2016-05-04,60.468,60.497,60.358,60.438,2168,4381
2016-05-05,60.273,60.273,60.273,60.273,618,4381
2016-05-09,60.448,60.557,60.448,60.557,1524,4381
2016-05-10,60.974,61.07,60.974,61.07,361,4381
2016-05-11,60.974,61.052,60.974,61.014,887,4381
2016-05-12,60.555,60.555,60.187,60.187,315,4381
2016-05-13,60.34,60.34,59.865,59.865,658,4381
2016-05-16,60.068,60.068,60.068,60.068,278,4381
2016-05-17,60.4,60.4,59.769,59.769,689,4381
2016-05-18,59.545,60.079,59.545,60.079,392,4381
2016-05-19,59.302,59.389,59.184,59.389,852,4381
2016-05-20,59.759,59.944,59.759,59.884,1128,4381
2016-05-23,59.884,59.884,59.782,59.797,971,4381
2016-05-24,60.283,60.394,60.283,60.394,1104,4381
2016-05-25,60.652,60.652,60.652,60.652,106,4381
2016-05-26,60.836,60.836,60.79,60.79,392,4381
2016-05-27,60.896,60.896,60.896,60.896,165,4381
2016-05-31,61.237,61.237,60.994,60.994,861,4381
2016-06-02,61.372,61.372,61.372,61.372,287,4381
2016-06-03,61.089,61.089,61.089,61.089,202,4381
2016-06-07,61.848,61.848,61.834,61.834,589,4381
2016-06-09,61.608,61.608,61.608,61.608,462,4381
2016-06-10,61.303,61.303,61.109,61.109,323,4381
2016-06-13,60.711,60.711,60.711,60.711,102,4381
2016-06-14,60.273,60.273,60.273,60.273,106,4381
