Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,16.054,16.204,15.852,16.064,366940,5922
2005-02-28,16.102,16.297,15.786,15.805,485459,5922
2005-03-01,15.832,16.435,15.814,16.259,533714,5922
2005-03-02,16.138,16.378,15.786,15.805,421807,5922
2005-03-03,15.777,16.222,15.759,16.129,340077,5922
2005-03-04,16.241,16.593,16.222,16.492,436934,5922
2005-03-07,16.536,16.739,16.297,16.564,409937,5922
2005-03-08,16.639,16.758,16.519,16.683,674120,5922
2005-03-09,16.656,16.99,16.342,16.519,513217,5922
2005-03-10,16.444,16.519,16.083,16.306,668141,5922
2005-03-11,16.204,16.435,16.204,16.333,279968,5922
2005-03-14,16.333,16.536,16.204,16.323,315760,5922
2005-03-15,16.306,16.406,15.98,16.007,389828,5922
2005-03-16,15.953,16.185,15.906,16.054,720531,5922
2005-03-17,16.083,16.593,15.972,16.444,556546,5922
2005-03-18,16.249,16.693,16.222,16.444,764415,5922
2005-03-21,16.554,16.999,16.297,16.768,473558,5922
2005-03-22,16.933,17.471,16.872,16.971,661100,5922
2005-03-23,16.834,17.362,16.816,17.212,477121,5922
2005-03-24,17.269,17.6,17.231,17.372,735854,5922
2005-03-28,17.381,17.722,17.25,17.344,390328,5922
2005-03-29,17.39,17.39,16.923,17.128,528692,5922
2005-03-30,17.231,17.562,17.128,17.48,476714,5922
2005-03-31,17.571,17.571,16.99,17.212,630834,5922
2005-04-01,17.288,17.352,16.806,16.89,620601,5922
2005-04-04,16.739,17.231,16.61,17.111,518676,5922
2005-04-05,17.082,18.137,17.082,17.887,870973,5922
2005-04-06,18.037,18.416,17.833,18.165,747530,5922
2005-04-07,18.074,18.49,17.98,18.296,638684,5922
2005-04-08,17.806,18.047,17.534,17.647,966474,5922
2005-04-11,17.824,18.0,17.693,17.871,862521,5922
2005-04-12,17.76,18.332,17.731,18.203,557234,5922
2005-04-13,18.278,18.518,17.862,18.288,734896,5922
2005-04-14,18.305,18.406,18.047,18.146,504644,5922
2005-04-15,18.137,18.323,17.788,18.047,600414,5922
2005-04-18,18.047,18.315,17.693,17.815,731511,5922
2005-04-19,17.862,18.056,17.75,17.833,462327,5922
2005-04-20,17.925,18.018,17.552,17.6,552388,5922
2005-04-21,17.647,18.128,17.562,17.897,493456,5922
2005-04-22,17.4,17.49,16.454,16.758,880085,5922
2005-04-25,16.806,17.027,16.501,16.61,483704,5922
2005-04-26,16.629,16.758,16.435,16.51,513760,5922
2005-04-27,16.519,16.574,16.102,16.297,618532,5922
2005-04-28,16.306,17.128,16.073,16.664,655694,5922
2005-04-29,16.629,16.99,16.093,16.739,585657,5922
2005-05-02,16.942,17.175,16.721,16.923,350065,5922
2005-05-03,16.796,17.452,16.673,17.325,519959,5922
2005-05-04,17.278,17.897,17.231,17.887,624357,5922
2005-05-05,17.76,17.99,17.212,17.462,350673,5922
2005-05-06,17.591,17.685,17.128,17.39,210814,5922
2005-05-09,16.981,17.128,16.739,17.009,564860,5922
2005-05-10,16.768,16.923,16.593,16.777,347087,5922
2005-05-11,16.872,16.999,16.444,16.664,378457,5922
2005-05-12,16.603,16.872,16.406,16.444,383135,5922
2005-05-13,16.176,16.342,16.007,16.064,756193,5922
2005-05-16,16.147,16.593,16.12,16.593,432242,5922
2005-05-17,16.574,16.758,16.323,16.62,359558,5922
2005-05-18,16.739,17.24,16.656,17.128,364141,5922
2005-05-19,17.027,17.25,16.711,16.898,387004,5922
2005-05-20,16.89,17.064,16.683,16.89,281689,5922
