Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,6.37,6.44,6.25,6.35,26700,1974
2005-02-28,6.34,6.47,6.12,6.45,78299,1974
2005-03-01,6.3,6.47,6.3,6.35,45305,1974
2005-03-02,6.37,6.56,6.35,6.5,32250,1974
2005-03-03,6.45,6.45,6.25,6.3,45227,1974
2005-03-04,6.49,7.3,6.23,6.55,458720,1974
2005-03-07,6.39,6.45,6.11,6.12,160058,1974
2005-03-08,5.96,6.13,5.76,5.93,344552,1974
2005-03-09,6.0,6.06,5.75,5.93,146276,1974
2005-03-10,5.15,5.46,4.44,4.62,805610,1974
2005-03-11,4.36,4.88,4.31,4.55,407032,1974
2005-03-14,4.55,4.88,4.54,4.62,324562,1974
2005-03-15,4.61,4.66,4.12,4.32,219803,1974
2005-03-16,4.3,4.43,4.12,4.43,137227,1974
2005-03-17,4.17,4.6,4.12,4.42,141135,1974
2005-03-18,4.41,4.88,4.34,4.37,178963,1974
2005-03-21,4.43,4.43,4.12,4.13,179723,1974
2005-03-22,4.12,4.26,3.9,3.99,175608,1974
2005-03-23,3.97,4.02,3.9,3.97,94223,1974
2005-03-24,3.93,4.02,3.83,3.95,183365,1974
2005-03-28,3.85,3.91,3.71,3.73,104700,1974
2005-03-29,3.7,3.74,3.5,3.61,167424,1974
2005-03-30,3.68,4.05,3.6,4.0,143031,1974
2005-03-31,4.0,4.01,3.91,3.91,132541,1974
2005-04-01,4.17,4.21,3.91,4.1,258025,1974
2005-04-04,4.19,4.19,4.0,4.05,158811,1974
2005-04-05,4.09,4.34,3.91,3.93,70847,1974
2005-04-06,4.14,4.14,3.8,3.83,53873,1974
2005-04-07,3.8,4.05,3.8,3.95,17755,1974
2005-04-08,3.87,3.99,3.75,3.91,23510,1974
2005-04-11,3.91,4.1,3.9,3.95,28597,1974
2005-04-12,4.0,4.12,3.89,4.04,38545,1974
2005-04-13,4.02,4.03,3.94,3.99,42700,1974
2005-04-14,3.96,4.12,3.95,4.0,39604,1974
2005-04-15,3.94,4.13,3.94,4.12,28966,1974
2005-04-18,4.06,4.1,3.97,3.97,24750,1974
2005-04-19,3.97,4.1,3.97,4.06,43220,1974
2005-04-20,4.04,4.07,3.69,3.95,48760,1974
2005-04-21,3.98,3.98,3.8,3.92,52110,1974
2005-04-22,3.89,3.9,3.72,3.72,21150,1974
2005-04-25,4.0,4.0,3.69,3.72,43218,1974
2005-04-26,3.8,3.84,3.6,3.62,44670,1974
2005-04-27,3.91,3.91,3.71,3.77,25080,1974
2005-04-28,3.69,3.81,3.58,3.81,16120,1974
2005-04-29,3.8,4.0,3.78,3.89,46555,1974
2005-05-02,3.88,3.98,3.71,3.79,45728,1974
2005-05-03,3.95,3.96,3.88,3.89,20133,1974
2005-05-04,3.81,4.1,3.8,3.98,33831,1974
2005-05-05,4.06,4.1,3.82,3.83,670528,1974
2005-05-06,4.0,4.08,3.96,4.02,68756,1974
2005-05-09,4.0,4.05,3.82,3.85,111742,1974
