Date,Open,High,Low,Close,Volume,stock_id
2009-08-11,9.1668,9.1668,9.1668,9.1668,0,5569
2009-08-12,8.9367,9.1668,8.9291,9.1668,22368123,5569
2009-08-13,9.1582,9.1668,9.0735,9.1668,2152696,5569
2009-08-14,9.0978,9.1477,8.9911,9.0163,1379619,5569
2009-08-17,8.9367,8.9826,8.7343,8.8911,1749561,5569
2009-08-18,8.8075,9.0529,8.7663,8.9545,784634,5569
2009-08-19,8.7544,9.1247,8.7544,9.0735,833323,5569
2009-08-20,9.0735,9.2789,9.0116,9.185,2091475,5569
2009-08-21,9.1888,9.2759,8.931,9.1477,2116668,5569
2009-08-24,9.1477,9.185,9.0735,9.1668,487462,5569
2009-08-25,9.2683,9.2683,9.0529,9.0567,635207,5569
2009-08-26,9.1055,9.163,9.0848,9.1429,1210896,5569
2009-08-27,9.1429,9.1429,8.9958,9.0276,540413,5569
2009-08-28,9.0679,9.0735,9.0116,9.0229,210138,5569
2009-08-31,8.9498,9.0848,8.9498,9.0679,462241,5569
2009-09-01,9.0792,9.1429,8.9003,8.9826,276315,5569
2009-09-02,8.9826,9.1218,8.9826,9.1103,428600,5569
2009-09-03,9.1936,9.1936,9.0735,9.1333,332937,5569
2009-09-04,9.1429,9.163,9.0567,9.1333,82212,5569
2009-09-08,9.1429,9.1582,8.9911,9.0314,290487,5569
2009-09-09,9.006,9.1515,8.9911,9.0163,364332,5569
2009-09-10,9.0116,9.0941,8.9911,9.0116,618158,5569
2009-09-11,8.9602,9.0482,8.9003,9.006,664431,5569
2009-09-14,9.0276,9.0604,8.9461,9.0482,507981,5569
2009-09-15,9.006,9.0641,8.9694,8.9873,478269,5569
2009-09-16,8.9694,9.1668,8.9694,9.0978,943974,5569
2009-09-17,9.0529,9.1333,9.0276,9.1218,1067192,5569
2009-09-18,9.0529,9.139,8.9873,9.139,1647017,5569
2009-09-21,9.1582,9.1582,9.0314,9.1103,622990,5569
2009-09-22,9.0848,9.139,9.0013,9.1055,1106313,5569
2009-09-23,9.1218,9.1333,9.0529,9.0735,648607,5569
2009-09-24,9.1151,9.1218,9.0276,9.0567,628275,5569
