Date,Open,High,Low,Close,Volume,stock_id
2005-02-28,6.1,6.1,6.0,6.0,2000,1531
2005-03-03,6.0,6.0,5.5,5.7,3900,1531
2005-03-04,5.5,5.7,4.5,4.5,4700,1531
2005-03-07,5.0,5.0,4.95,5.0,200,1531
2005-03-11,6.0,6.0,6.0,6.0,775,1531
2005-03-15,6.0,6.0,6.0,6.0,1200,1531
2005-03-16,6.0,6.0,6.0,6.0,4000,1531
2005-03-18,6.0,6.0,5.95,5.95,10500,1531
2005-03-31,6.0,6.0,5.75,6.0,4600,1531
2005-04-04,6.0,6.0,5.0,5.0,435,1531
2005-04-05,6.0,6.0,5.0,5.0,1375,1531
2005-04-06,5.98,5.98,5.95,5.95,498,1531
2005-04-12,5.94,5.94,5.94,5.94,100,1531
2005-04-20,5.0,5.94,5.0,5.93,2200,1531
2005-04-27,4.5,5.95,4.5,5.93,300,1531
2005-06-06,5.25,5.25,4.75,4.75,200,1531
2005-06-15,5.95,5.95,5.95,5.95,100,1531
2005-07-26,5.95,5.95,5.9,5.95,1979,1531
2005-08-08,5.5,5.5,5.0,5.0,41000,1531
2005-08-10,4.75,5.0,4.75,5.0,3300,1531
2005-08-15,5.0,5.0,5.0,5.0,500,1531
2005-08-16,5.0,5.0,5.0,5.0,750,1531
2005-08-17,5.0,5.0,5.0,5.0,500,1531
2005-08-19,5.5,5.5,5.4,5.4,200,1531
2005-08-26,5.5,5.5,5.5,5.5,140,1531
2005-09-06,5.95,5.95,5.6,5.75,3200,1531
2005-09-15,5.6,5.6,5.6,5.6,1000,1531
2005-09-23,5.7,5.7,5.65,5.65,2000,1531
2005-09-26,5.65,5.8,5.65,5.75,1900,1531
2005-09-27,5.95,5.95,5.6,5.6,1950,1531
2005-10-03,5.6,5.6,5.6,5.6,1000,1531
2005-10-04,5.0,5.95,5.0,5.95,2900,1531
2005-10-07,5.95,5.95,5.95,5.95,500,1531
2005-10-12,5.5,5.95,5.5,5.5,2200,1531
2005-10-14,5.55,6.0,5.55,5.55,2000,1531
2005-10-17,5.8,5.85,5.8,5.85,2000,1531
2005-10-18,6.3,6.3,6.25,6.25,3320,1531
2005-10-19,6.25,6.5,6.25,6.5,24800,1531
2005-10-21,6.5,6.5,6.5,6.5,500,1531
2005-10-24,6.5,6.5,6.5,6.5,1500,1531
2005-10-28,6.25,6.3,6.25,6.3,1000,1531
2005-11-08,6.27,6.35,6.27,6.35,1000,1531
2005-11-09,7.0,7.0,6.25,7.0,1300,1531
2005-11-18,6.5,6.5,6.5,6.5,300,1531
2005-11-22,6.5,7.25,6.5,7.25,1700,1531
2005-11-30,6.5,7.5,6.5,7.5,200,1531
2005-12-01,6.5,7.0,6.5,6.5,800,1531
2005-12-12,6.5,6.5,6.5,6.5,1000,1531
2005-12-16,7.0,7.0,6.5,6.5,1500,1531
2005-12-19,6.0,7.5,6.0,6.0,4200,1531
2005-12-20,6.0,6.0,6.0,6.0,1400,1531
2005-12-23,6.0,6.0,6.0,6.0,500,1531
2005-12-30,7.5,7.5,7.5,7.5,600,1531
2006-01-11,5.0,5.0,5.0,5.0,400,1531
