Date,Open,High,Low,Close,Volume,stock_id
2007-02-14,7.8223,7.8223,7.8223,7.8223,0,3376
2007-02-15,7.8223,8.3422,7.4353,8.3422,988269,3376
2007-02-16,7.89,7.8955,7.7221,7.8223,32739,3376
2007-02-20,7.9168,8.0795,7.8793,7.9742,38932,3376
2007-02-21,8.0277,8.0277,7.8955,7.8955,63130,3376
2007-02-22,7.9484,7.9852,7.9217,7.9425,33888,3376
2007-02-23,7.9742,8.0277,7.6644,7.7695,92386,3376
2007-02-26,7.8119,7.8119,7.5967,7.5967,45319,3376
2007-02-27,7.5967,7.7443,7.4292,7.5612,44125,3376
2007-02-28,7.5612,7.7695,7.4292,7.6904,23374,3376
2007-03-01,7.6282,7.6282,7.4667,7.4667,12506,3376
2007-03-02,7.6858,7.6858,7.5178,7.5242,6488,3376
2007-03-05,7.6904,7.6904,7.5446,7.5446,20585,3376
2007-03-06,7.7181,7.7181,7.45,7.4616,6376,3376
2007-03-07,7.4816,7.5084,7.4553,7.4553,14020,3376
2007-03-08,7.5084,7.5612,7.3414,7.3414,23218,3376
2007-03-09,7.5548,7.5612,7.3414,7.3414,7815,3376
2007-03-12,7.3505,7.6644,7.2882,7.6644,31709,3376
2007-03-13,7.6589,7.6589,7.3243,7.3243,25676,3376
2007-03-14,7.3414,7.5446,7.3243,7.4753,15583,3376
2007-03-15,7.3983,7.4037,7.1673,7.3676,29123,3376
2007-03-16,7.3719,7.3759,7.2094,7.2726,7454,3376
2007-03-19,7.4238,7.4292,7.299,7.3759,4831,3376
2007-03-20,7.3505,7.4037,7.319,7.3352,9161,3376
2007-03-21,7.3086,7.3243,7.2306,7.3243,14083,3376
2007-03-22,7.2882,7.3243,7.2306,7.2306,16647,3376
2007-03-23,7.2516,7.299,7.1935,7.299,36262,3376
2007-03-26,7.299,7.299,7.1673,7.1832,9258,3376
2007-03-27,7.1726,7.299,7.0104,7.0104,33140,3376
2007-03-28,7.0893,7.299,7.0893,7.2457,29400,3376
2007-03-29,7.2882,7.2882,7.0732,7.0893,44090,3376
2007-03-30,7.2457,7.2929,7.1148,7.1148,6353,3376
2007-04-02,7.2882,7.4292,7.0783,7.3086,16070,3376
2007-04-03,7.1832,7.4238,7.1832,7.3505,33535,3376
2007-04-04,7.4076,7.4816,7.3874,7.3983,10898,3376
2007-04-05,7.4446,7.5612,7.314,7.314,12949,3376
2007-04-09,7.4353,7.5084,7.413,7.413,1336,3376
2007-04-10,7.5295,7.5715,7.4292,7.5715,33294,3376
2007-04-11,7.6282,7.8223,7.2358,7.6904,22384,3376
2007-04-12,7.6644,7.6644,7.2358,7.45,20600,3376
2007-04-13,7.3823,7.5612,7.3823,7.4931,6684,3376
2007-04-16,7.4353,7.6811,7.2409,7.5612,9818,3376
2007-04-17,7.5612,7.7809,7.5612,7.7695,25145,3376
2007-04-18,7.5763,7.7809,7.4398,7.6078,29442,3376
2007-04-19,7.7761,7.7809,7.45,7.5651,7378,3376
2007-04-20,7.7221,7.7761,7.708,7.708,6779,3376
2007-04-23,7.6858,7.6858,7.6078,7.655,4773,3376
2007-04-24,7.6589,7.7023,7.5391,7.644,9550,3376
2007-04-25,7.7181,7.7761,7.4076,7.5612,14042,3376
2007-04-26,7.5809,7.5864,7.5084,7.5084,5008,3376
2007-04-27,7.413,7.4292,7.1471,7.3034,62506,3376
2007-04-30,7.3034,7.5501,7.3034,7.356,8356,3376
2007-05-01,7.3414,7.5548,7.1777,7.3983,9924,3376
2007-05-02,7.5295,7.5612,7.1673,7.5336,15478,3376
2007-05-03,7.5612,7.5612,7.299,7.4988,21775,3376
2007-05-04,7.5336,7.6132,7.4816,7.4816,25413,3376
2007-05-07,7.5548,7.6132,7.4616,7.6132,12729,3376
2007-05-08,7.5084,7.6904,7.5084,7.5864,52429,3376
2007-05-09,7.6904,7.7126,7.6644,7.6644,18590,3376
2007-05-10,7.6904,7.7181,7.67,7.67,22158,3376
2007-05-11,7.7639,7.8223,7.7023,7.7443,65624,3376
2007-05-14,8.0795,8.0795,7.7956,7.7956,32965,3376
2007-05-15,7.8223,7.8223,7.708,7.7695,31916,3376
2007-05-16,7.7695,7.8223,7.7023,7.8223,40078,3376
2007-05-17,7.8223,8.2107,7.7695,7.7695,8798,3376
2007-05-18,7.8223,7.8223,7.6904,7.6904,7628,3376
2007-05-21,7.6904,7.6904,7.603,7.6132,39986,3376
2007-05-22,7.6132,7.6337,7.5131,7.5131,24868,3376
2007-05-23,7.5548,7.6495,7.5242,7.5501,23289,3376
2007-05-24,7.6644,7.7385,7.5612,7.5715,113564,3376
2007-05-25,7.7385,7.8166,7.5612,7.6132,18586,3376
2007-05-29,7.7639,7.7695,7.67,7.67,10999,3376
2007-05-30,7.7181,7.7582,7.6495,7.6495,6105,3376
2007-05-31,7.618,7.7443,7.6132,7.6644,9351,3376
2007-06-01,7.5864,7.7695,7.5651,7.5864,42465,3376
2007-06-04,7.7857,7.7897,7.3243,7.6385,80800,3376
2007-06-05,7.7443,7.7695,7.6904,7.6904,7269,3376
2007-06-06,7.8166,7.8223,7.5651,7.655,54559,3376
2007-06-07,7.6858,7.7181,7.6132,7.7023,14897,3376
2007-06-08,7.6589,7.708,7.6078,7.6078,15342,3376
2007-06-11,7.6589,7.67,7.5242,7.5242,21841,3376
2007-06-12,8.2305,8.2305,7.356,7.6132,34306,3376
2007-06-13,7.6132,7.618,7.5651,7.618,14595,3376
2007-06-14,7.6644,7.8223,7.6385,7.6811,57514,3376
2007-06-15,7.7639,7.8077,7.67,7.8077,97968,3376
2007-06-18,7.8223,7.8694,7.6282,7.7695,42831,3376
2007-06-19,7.6904,7.7695,7.6858,7.7443,22052,3376
2007-06-20,7.6904,7.7582,7.6282,7.7443,24700,3376
2007-06-21,7.7443,7.7443,7.6385,7.6495,17616,3376
2007-06-22,7.6644,7.6858,7.5612,7.5612,26343,3376
2007-06-25,7.6644,7.6644,7.4037,7.5084,35361,3376
2007-06-26,7.4931,7.6282,7.299,7.4037,76944,3376
2007-06-27,7.5084,7.5084,7.2042,7.356,74648,3376
2007-06-28,7.5027,7.5027,7.214,7.2929,91735,3376
2007-06-29,7.299,7.4988,7.2929,7.3874,29107,3376
2007-07-02,7.4037,7.6385,7.3505,7.5336,39707,3376
2007-07-03,7.5612,7.6132,7.5612,7.6078,2978,3376
2007-07-05,7.6132,7.6811,7.6132,7.6644,11330,3376
2007-07-06,7.7639,7.7639,7.6282,7.7443,13462,3376
2007-07-09,7.7281,7.8166,7.4292,7.5295,21930,3376
2007-07-10,7.4988,7.6132,7.3938,7.4931,21545,3376
2007-07-11,7.4076,7.6337,7.3505,7.4667,32846,3376
2007-07-12,7.4753,7.5612,7.3505,7.4868,26500,3376
2007-07-13,7.4753,7.5612,7.413,7.4191,12597,3376
2007-07-16,7.4816,7.5612,7.3352,7.5027,21323,3376
2007-07-17,7.5548,7.6385,7.413,7.4988,7542,3376
2007-07-18,7.4616,7.4667,7.2516,7.3505,18910,3376
2007-07-19,7.4353,7.5612,7.3622,7.4553,13551,3376
2007-07-20,7.5131,7.5131,7.299,7.4446,6871,3376
2007-07-23,7.3759,7.4931,7.3759,7.45,24430,3376
2007-07-24,7.4037,7.4191,7.299,7.299,12021,3376
2007-07-25,7.3086,7.3719,7.1308,7.1885,34300,3376
2007-07-26,7.2358,7.2358,7.0372,7.0783,14484,3376
2007-07-27,6.979,7.068,6.9577,6.9577,25615,3376
2007-07-30,7.1935,7.6904,6.937,6.9577,16938,3376
2007-07-31,7.2673,7.6904,6.7271,6.8846,45777,3376
2007-08-01,6.8524,6.8524,6.3344,6.5178,30858,3376
2007-08-02,6.9111,6.9111,6.6901,6.8425,49721,3376
2007-08-03,6.979,6.979,6.413,6.6754,56761,3376
2007-08-06,6.7798,6.7798,6.5964,6.6901,67169,3376
2007-08-07,6.6802,6.6802,6.4654,6.5178,35355,3376
2007-08-08,6.6437,6.9213,6.5281,6.7644,96785,3376
2007-08-09,6.9262,7.057,6.796,6.8267,55541,3376
2007-08-10,6.942,7.2673,6.5178,6.5178,82095,3376
2007-08-13,6.8476,6.8476,6.3868,6.4654,32431,3376
2007-08-14,6.7748,6.7748,6.3868,6.6069,22503,3376
2007-08-15,6.4444,6.7006,6.4392,6.5232,27916,3376
2007-08-16,6.8425,6.8425,6.2298,6.5389,52281,3376
2007-08-17,6.5809,6.6017,6.455,6.5232,21395,3376
2007-08-20,6.7223,6.7691,6.5546,6.6802,22538,3376
2007-08-21,6.7006,6.9628,6.5597,6.8161,38605,3376
2007-08-22,6.8476,7.0315,6.7798,6.9474,36681,3376
2007-08-23,6.9839,6.9839,6.8689,6.9687,20873,3376
2007-08-24,6.9839,7.1471,6.7531,7.0418,29567,3376
2007-08-27,7.0622,7.0893,6.9944,7.068,18395,3376
2007-08-28,7.0461,7.0783,6.5178,6.711,45316,3376
2007-08-29,7.0833,7.1148,6.5703,6.8955,46870,3376
2007-08-30,6.9062,6.9062,6.8267,6.8689,14675,3376
2007-08-31,6.8476,7.1148,6.8318,7.1148,19304,3376
2007-09-04,7.0461,7.1308,6.9161,7.0104,5631,3376
2007-09-05,7.1411,7.1411,6.937,7.0418,8630,3376
2007-09-06,7.0893,7.0893,7.0732,7.0833,8271,3376
2007-09-07,7.1148,7.136,7.0622,7.0943,8448,3376
2007-09-10,7.0783,7.1673,6.9474,7.1673,24431,3376
2007-09-11,7.2882,7.2929,6.9062,7.2779,16235,3376
2007-09-12,7.299,7.299,7.0622,7.0995,7060,3376
2007-09-13,7.1206,7.1206,7.0893,7.1148,20431,3376
2007-09-14,7.0783,7.1523,6.7854,6.9062,39624,3376
2007-09-17,7.1206,7.1206,6.8373,6.9891,109577,3376
2007-09-18,7.2358,7.2358,6.9313,7.1471,23545,3376
2007-09-19,7.2568,7.5336,7.1148,7.2882,57800,3376
2007-09-20,7.2779,7.3505,7.1046,7.2306,19034,3376
2007-09-21,7.413,7.413,7.2568,7.4076,24296,3376
2007-09-24,7.4238,7.4398,7.1411,7.1935,35396,3376
2007-09-25,7.299,7.3444,7.1614,7.3444,21183,3376
2007-09-26,7.3874,7.4931,7.3759,7.3874,16244,3376
2007-09-27,7.3823,7.4292,7.1832,7.2042,27685,3376
2007-09-28,7.2516,7.2516,7.0265,7.0893,45147,3376
2007-10-01,6.9161,7.3034,6.9161,7.2882,30984,3376
2007-10-02,7.319,7.319,7.0372,7.1777,20872,3376
2007-10-03,7.1046,7.5612,7.1046,7.2251,13916,3376
2007-10-04,7.2568,7.2568,7.0461,7.2042,10264,3376
2007-10-05,7.2251,7.2251,7.0418,7.1096,23224,3376
2007-10-08,7.1249,7.1411,7.0053,7.0418,26529,3376
2007-10-09,7.0461,7.2929,7.0461,7.2306,25576,3376
2007-10-10,7.2094,7.3874,7.0893,7.0995,24069,3376
2007-10-11,7.1249,7.1673,6.9839,7.0893,63271,3376
2007-10-12,7.052,7.1935,7.0372,7.1614,10720,3376
2007-10-15,7.2457,7.299,6.9062,6.9577,12500,3376
2007-10-16,7.0053,7.0206,6.9062,6.9062,11150,3376
2007-10-17,7.1308,7.1308,6.9062,6.9577,20434,3376
2007-10-18,7.136,7.136,6.9161,7.0001,15586,3376
2007-10-19,6.9944,6.9944,6.7006,6.8898,30313,3376
2007-10-22,6.9628,6.9628,6.8898,6.9111,16150,3376
2007-10-23,6.8583,6.9213,6.7644,6.8955,12322,3376
2007-10-24,6.8797,6.9003,6.7587,6.8955,22936,3376
2007-10-25,6.8846,6.8846,6.7798,6.8011,10204,3376
2007-10-26,6.8797,6.8797,6.6754,6.7587,15841,3376
2007-10-29,6.7798,6.8747,6.7798,6.8689,19233,3376
2007-10-30,6.8797,6.8797,6.6754,6.7901,18388,3376
2007-10-31,6.7901,6.8747,6.7223,6.8267,20353,3376
2007-11-01,6.9062,6.9062,6.7644,6.7748,21904,3376
2007-11-02,6.7377,6.7798,6.6857,6.7531,7453,3376
2007-11-05,6.6754,6.7748,6.4077,6.5389,74942,3376
2007-11-06,6.6486,6.7006,6.3501,6.6955,35702,3376
2007-11-07,6.6754,6.7329,6.2086,6.3606,61512,3376
2007-11-08,6.5809,6.7482,6.4708,6.5441,34191,3376
2007-11-09,6.6437,6.6901,6.2819,6.4864,19138,3376
2007-11-12,6.5232,6.6486,6.4916,6.5127,36829,3376
2007-11-13,6.5074,6.5703,6.2558,6.5651,84181,3376
2007-11-14,6.6173,6.6173,6.3711,6.4601,30918,3376
2007-11-15,6.6334,6.6334,6.3449,6.4708,16369,3376
2007-11-16,6.5021,6.5127,6.2715,6.2715,25148,3376
2007-11-19,6.3657,6.6069,5.8628,6.2298,100735,3376
2007-11-20,6.2558,6.3711,5.8681,6.2453,44631,3376
2007-11-21,6.2402,6.2558,5.9783,6.2298,12421,3376
2007-11-23,6.2033,6.2715,6.2033,6.2715,1219,3376
2007-11-26,6.2613,6.2924,5.9941,6.2558,36749,3376
2007-11-27,6.2243,6.3711,5.9941,5.999,53511,3376
2007-11-28,6.0515,6.0724,5.9835,5.9941,24809,3376
2007-11-29,5.8681,5.9257,5.6587,5.7844,34658,3376
2007-11-30,5.8944,5.8995,5.737,5.8628,11087,3376
2007-12-03,5.7424,5.8263,5.606,5.8104,22031,3376
2007-12-04,5.8157,5.9835,5.711,5.7788,50238,3376
2007-12-05,5.737,5.8263,5.6324,5.7894,40386,3376
2007-12-06,5.7844,5.9102,5.737,5.9102,70459,3376
2007-12-07,5.8628,6.0778,5.737,6.0463,46368,3376
2007-12-10,6.2192,6.5178,6.1512,6.4708,101166,3376
2007-12-11,6.5178,6.5178,6.2768,6.3395,27776,3376
2007-12-12,6.4916,6.5232,6.2139,6.2558,39011,3376
2007-12-13,6.2613,6.2661,6.1512,6.1721,12258,3376
2007-12-14,6.2558,6.2558,5.8628,5.8628,34257,3376
2007-12-17,6.0673,6.2558,5.737,5.737,46553,3376
2007-12-18,5.8681,6.2453,5.7266,6.1512,43508,3376
2007-12-19,6.2558,6.2558,5.7894,5.8733,32906,3376
2007-12-20,6.0778,6.0778,5.758,5.9783,34353,3376
2007-12-21,5.9783,5.9783,5.669,5.8104,78628,3376
2007-12-24,5.8944,6.0673,5.758,5.9885,17827,3376
2007-12-26,5.9885,6.2505,5.8628,6.1459,69201,3376
2007-12-27,6.1302,6.2453,6.0724,6.1875,91467,3376
2007-12-28,6.1092,6.2505,6.0673,6.0673,76309,3376
2007-12-31,5.9728,6.4654,5.9573,6.4654,99994,3376
2008-01-02,6.4654,6.7006,6.0463,6.5703,57824,3376
