Date,Open,High,Low,Close,Volume,stock_id
2010-08-23,18.006,18.015,17.893,18.015,8444,6199
2010-08-24,17.964,18.086,17.893,17.949,8412,6199
2010-08-25,17.792,17.964,17.792,17.87,7371,6199
2010-08-26,17.769,17.957,17.769,17.957,3361,6199
2010-08-27,17.885,18.051,17.769,18.023,9598,6199
2010-08-30,18.001,18.043,17.926,18.043,4698,6199
2010-08-31,17.827,18.006,17.819,17.943,5979,6199
2010-09-01,17.949,17.994,17.92,17.985,2735,6199
2010-09-02,17.949,18.051,17.898,18.051,9756,6199
2010-09-03,17.994,18.029,17.834,17.957,25308,6199
2010-09-07,17.906,18.086,17.877,18.086,7230,6199
2010-09-08,18.023,18.244,18.006,18.244,19397,6199
2010-09-09,18.214,18.338,18.145,18.338,16434,6199
2010-09-10,18.324,18.338,18.288,18.338,72725,6199
2010-09-13,18.331,18.374,18.072,18.338,42700,6199
2010-09-14,18.1,18.316,18.1,18.301,22410,6199
2010-09-15,18.252,18.432,18.237,18.309,18023,6199
2010-09-16,18.309,18.401,18.13,18.267,17600,6199
2010-09-17,18.214,18.374,18.179,18.187,13703,6199
2010-09-20,18.121,18.301,18.121,18.171,9227,6199
2010-09-21,18.401,18.447,18.26,18.273,9008,6199
2010-09-22,18.382,18.441,18.273,18.35,20714,6199
2010-09-23,18.244,18.26,18.156,18.187,13732,6199
2010-09-24,18.179,18.309,18.072,18.072,8602,6199
2010-09-27,18.056,18.202,17.856,18.151,16228,6199
2010-09-28,18.195,18.195,17.935,18.113,3106,6199
2010-09-29,18.029,18.138,17.87,17.906,12302,6199
2010-09-30,18.081,18.081,17.957,17.978,6379,6199
2010-10-01,17.877,18.015,17.877,17.949,8184,6199
2010-10-04,18.034,18.034,17.957,17.978,6340,6199
2010-10-05,18.043,18.043,17.92,17.957,5577,6199
2010-10-06,17.978,18.029,17.856,17.856,24766,6199
2010-10-07,17.972,17.978,17.943,17.978,33278,6199
2010-10-08,17.926,18.015,17.885,18.015,4849,6199
2010-10-11,17.906,18.064,17.885,18.064,37174,6199
2010-10-12,17.943,18.072,17.943,18.001,9720,6199
2010-10-13,18.043,18.043,17.985,17.994,45990,6199
2010-10-14,18.051,18.051,17.848,17.926,52850,6199
2010-10-15,17.92,18.064,17.814,18.064,31364,6199
2010-10-18,18.051,18.051,17.913,18.043,3335,6199
2010-10-19,17.978,18.001,17.906,17.935,4997,6199
2010-10-20,18.015,18.015,17.913,17.935,3031,6199
2010-10-21,17.943,17.972,17.374,17.439,51910,6199
2010-10-22,17.475,17.569,17.467,17.482,11090,6199
2010-10-25,17.611,17.619,17.489,17.525,11752,6199
2010-10-26,17.489,17.675,17.475,17.611,19140,6199
2010-10-27,17.605,17.619,17.548,17.548,10249,6199
2010-10-28,17.655,17.655,17.51,17.51,7773,6199
2010-10-29,17.51,17.597,17.446,17.446,8111,6199
2010-11-01,17.569,17.575,17.425,17.425,6390,6199
2010-11-02,17.453,17.525,17.396,17.396,18085,6199
2010-11-03,17.259,17.359,17.215,17.273,12147,6199
2010-11-04,17.418,17.475,17.329,17.402,15581,6199
2010-11-05,17.453,17.453,17.347,17.368,7228,6199
2010-11-08,17.402,17.583,17.396,17.54,23298,6199
2010-11-09,17.663,17.663,17.575,17.575,4237,6199
2010-11-10,17.611,17.611,17.525,17.583,6441,6199
2010-11-11,17.46,17.51,17.46,17.51,6542,6199
2010-11-12,17.467,17.533,17.467,17.518,3439,6199
2010-11-15,17.569,17.655,17.525,17.619,7505,6199
2010-11-16,17.682,17.682,17.418,17.59,3764,6199
2010-11-17,17.475,17.675,17.475,17.489,3735,6199
2010-11-18,17.51,17.647,17.51,17.647,5038,6199
2010-11-19,17.633,17.682,17.59,17.682,9043,6199
2010-11-22,17.682,17.748,17.533,17.732,5386,6199
2010-11-23,17.842,17.842,17.719,17.732,4430,6199
2010-11-24,17.863,17.863,17.633,17.834,9589,6199
2010-11-26,17.848,17.877,17.797,17.877,1668,6199
2010-11-29,17.978,17.978,17.663,17.74,13924,6199
2010-11-30,17.848,18.006,17.764,18.006,6820,6199
2010-12-01,17.994,18.006,17.906,17.972,4336,6199
2010-12-02,17.978,17.978,17.906,17.92,2846,6199
2010-12-03,17.964,18.006,17.943,17.943,2102,6199
2010-12-06,18.051,18.051,17.842,17.877,4185,6199
2010-12-07,17.994,17.994,17.856,17.949,2222,6199
2010-12-08,17.994,17.994,17.842,17.842,7385,6199
2010-12-09,17.994,17.994,17.797,17.797,3037,6199
2010-12-10,17.797,17.797,17.329,17.329,5000,6199
2010-12-13,17.705,17.792,17.619,17.748,1496,6199
2010-12-14,17.797,17.814,17.597,17.814,4344,6199
2010-12-15,17.814,17.863,17.633,17.856,6643,6199
2010-12-16,17.863,17.863,17.698,17.863,3568,6199
2010-12-17,17.87,17.87,17.633,17.719,3490,6199
2010-12-20,17.682,17.906,17.655,17.906,4350,6199
2010-12-21,17.949,17.949,17.725,17.725,2711,6199
2010-12-22,17.655,17.814,17.583,17.619,2686,6199
2010-12-23,17.725,17.777,17.619,17.777,4587,6199
2010-12-27,17.827,17.834,17.554,17.792,8385,6199
2010-12-28,17.619,17.806,17.431,17.503,3969,6199
2010-12-29,17.943,17.943,17.453,17.757,4982,6199
2010-12-30,17.764,17.949,17.56,17.949,4492,6199
2010-12-31,17.575,17.943,17.575,17.87,5481,6199
2011-01-03,17.863,17.972,17.827,17.972,5684,6199
2011-01-04,17.972,17.972,17.913,17.913,1582,6199
2011-01-05,17.964,17.972,17.819,17.972,7919,6199
2011-01-06,17.957,17.978,17.806,17.978,13288,6199
2011-01-07,17.906,17.943,17.906,17.906,4449,6199
2011-01-10,17.906,17.906,17.663,17.842,9799,6199
2011-01-11,17.906,17.906,17.59,17.59,11987,6199
2011-01-12,17.848,17.848,17.663,17.668,1989,6199
2011-01-13,17.806,17.806,17.655,17.655,5032,6199
2011-01-14,17.655,17.764,17.655,17.764,2086,6199
2011-01-18,17.764,17.806,17.69,17.69,3332,6199
2011-01-19,17.806,17.806,17.698,17.777,5187,6199
2011-01-20,17.705,17.764,17.655,17.663,9105,6199
2011-01-21,17.663,17.663,17.554,17.583,12727,6199
2011-01-24,17.698,17.698,17.548,17.548,5686,6199
2011-01-25,17.554,17.69,17.548,17.56,3301,6199
2011-01-26,17.655,17.655,17.368,17.611,5173,6199
2011-01-27,17.548,17.682,17.548,17.675,7816,6199
2011-01-28,17.682,17.698,17.518,17.518,6695,6199
2011-01-31,17.769,17.769,17.619,17.725,4332,6199
