Date,Open,High,Low,Close,Volume,stock_id
2005-03-23,0.27,0.27,0.27,0.27,500,4957
2005-04-07,0.27,0.27,0.27,0.27,235,4957
2005-04-26,0.27,0.27,0.27,0.27,5000,4957
2005-06-28,0.26,0.26,0.26,0.26,1500,4957
2005-11-04,0.12,0.12,0.12,0.12,118,4957
2005-11-07,0.22,0.22,0.22,0.22,18000,4957
2005-11-09,0.22,0.22,0.22,0.22,5000,4957
2005-12-22,0.22,0.22,0.22,0.22,5000,4957
2005-12-23,0.11,0.11,0.11,0.11,2000,4957
2006-01-03,0.23,0.23,0.23,0.23,10000,4957
2006-01-13,0.23,0.23,0.23,0.23,5000,4957
2006-04-05,0.23,0.23,0.23,0.23,16000,4957
2006-06-15,0.64,0.64,0.64,0.64,2500,4957
2006-06-21,1.4,1.4,1.17,1.4,1942,4957
2006-06-23,1.33,1.33,1.33,1.33,1000,4957
2006-06-26,1.4,1.44,1.4,1.44,4100,4957
2006-06-27,1.44,1.44,1.44,1.44,1000,4957
2006-06-29,1.38,1.38,1.37,1.37,1500,4957
2006-07-26,1.56,1.56,1.53,1.53,6500,4957
2006-07-27,1.58,1.58,1.53,1.53,3000,4957
2006-07-28,1.76,1.76,1.76,1.76,500,4957
2006-08-03,1.8,1.8,1.8,1.8,1000,4957
2006-08-09,1.96,2.05,1.96,2.05,11000,4957
2006-08-10,2.07,2.17,2.07,2.17,2500,4957
2006-08-11,2.17,2.43,2.17,2.43,4000,4957
2006-08-14,1.52,2.37,1.52,2.36,12500,4957
2006-08-15,2.33,2.39,2.31,2.37,43300,4957
2006-08-17,2.35,2.48,2.35,2.48,8900,4957
2006-08-18,2.48,2.5,2.42,2.5,11000,4957
2006-08-31,1.71,2.25,1.71,2.25,5000,4957
2006-09-01,2.25,2.25,2.25,2.25,500,4957
2006-09-11,2.43,2.61,2.43,2.61,6500,4957
2006-09-25,2.61,2.7,2.51,2.7,9870,4957
2006-09-26,2.7,2.7,2.7,2.7,2235,4957
2006-09-29,2.62,2.7,2.62,2.7,12626,4957
2006-10-02,2.7,2.7,2.35,2.52,20300,4957
2006-10-03,2.61,2.61,2.61,2.61,3650,4957
2006-10-04,2.7,2.7,2.7,2.7,700,4957
2006-10-06,2.48,2.48,2.31,2.31,2000,4957
2006-10-11,2.25,2.25,2.25,2.25,100,4957
2006-10-13,2.57,2.57,2.57,2.57,1000,4957
