Date,Open,High,Low,Close,Volume,stock_id
2016-07-22,13.56,13.83,13.56,13.56,3035282,5710
2016-07-25,14.1,14.22,13.07,13.25,329478,5710
2016-07-26,13.07,13.9,13.07,13.83,198090,5710
2016-07-27,13.85,14.425,13.85,14.31,347346,5710
2016-07-28,14.49,14.5699,13.61,14.23,220260,5710
2016-07-29,14.07,14.65,14.07,14.625,275341,5710
2016-08-01,14.95,15.49,14.79,14.885,278284,5710
2016-08-02,14.9,15.081,14.25,14.685,164287,5710
2016-08-03,15.17,15.2,14.51,14.79,177795,5710
2016-08-04,14.79,16.0,14.524,15.8,257313,5710
2016-08-05,16.0,16.0,15.39,15.5,228906,5710
2016-08-08,16.03,16.03,14.91,14.95,209541,5710
2016-08-09,14.82,15.24,14.82,14.94,159525,5710
2016-08-10,15.04,15.16,14.89,15.05,176732,5710
2016-08-11,15.9,16.48,15.5001,16.29,495430,5710
2016-08-12,16.08,16.56,16.07,16.25,194400,5710
2016-08-15,16.43,17.3,16.26,16.97,356243,5710
2016-08-16,17.33,18.995,17.05,18.55,848148,5710
2016-08-17,18.9,19.19,18.3,18.89,285189,5710
2016-08-18,19.25,19.45,18.55,19.2,370374,5710
2016-08-19,19.12,19.24,18.76,18.95,94146,5710
2016-08-22,19.0,19.4,18.85,18.93,153731,5710
2016-08-23,19.11,19.27,18.1,18.57,273967,5710
2016-08-24,18.48,18.81,17.97,18.07,183006,5710
2016-08-25,17.93,18.07,17.38,17.68,93344,5710
2016-08-26,17.67,17.9,17.4,17.53,99987,5710
2016-08-29,17.74,20.97,17.68,20.45,1305592,5710
2016-08-30,20.63,20.92,19.67,20.32,290999,5710
2016-08-31,20.38,20.62,19.23,19.89,236819,5710
2016-09-01,19.95,20.439,19.44,19.79,112146,5710
2016-09-02,19.98,20.75,19.3508,19.52,258546,5710
2016-09-06,19.66,19.75,19.3,19.54,103280,5710
2016-09-07,19.46,20.3,19.31,19.78,237802,5710
2016-09-08,19.95,21.45,19.6201,20.31,604862,5710
2016-09-09,20.3,20.3,18.0,18.15,443342,5710
2016-09-12,17.76,18.9399,17.68,18.71,215799,5710
2016-09-13,18.42,18.94,17.93,18.35,96947,5710
2016-09-14,18.29,18.65,18.009,18.44,120888,5710
2016-09-15,18.64,18.9399,18.48,18.54,166284,5710
2016-09-16,18.61,19.9,18.34,19.73,594389,5710
2016-09-19,19.9,21.8,19.725,20.73,451055,5710
2016-09-20,20.85,21.2,19.99,20.06,146244,5710
2016-09-21,20.29,20.77,19.9949,20.74,139222,5710
2016-09-22,21.0,21.48,20.22,21.06,418566,5710
2016-09-23,21.1,21.74,20.96,21.32,224757,5710
2016-09-26,21.3,21.3,20.35,20.66,153908,5710
2016-09-27,20.71,21.608,20.43,21.29,318477,5710
2016-09-28,21.45,22.72,21.03,22.11,559048,5710
2016-09-29,22.07,22.65,20.54,20.97,387296,5710
2016-09-30,21.02,22.0,20.7,21.26,311233,5710
2016-10-03,21.33,21.5377,20.731,20.89,110314,5710
2016-10-04,21.04,22.07,20.99,21.85,187774,5710
2016-10-05,22.0,22.0,21.26,21.38,148756,5710
2016-10-06,21.25,21.91,21.25,21.77,89837,5710
2016-10-07,21.77,23.3,21.5001,22.67,286438,5710
2016-10-10,22.95,23.0,21.8178,22.44,141640,5710
2016-10-11,22.4,22.48,18.07,18.48,1235077,5710
2016-10-12,18.67,18.88,16.61,17.48,622570,5710
2016-10-13,17.34,17.56,16.7318,17.43,232620,5710
2016-10-14,17.5,18.16,17.2901,17.99,319882,5710
2016-10-17,18.05,18.07,17.5,17.76,146658,5710
2016-10-18,17.94,18.44,17.6,17.71,236127,5710
2016-10-19,17.69,18.35,17.1,18.2,156413,5710
2016-10-20,18.12,18.28,17.69,17.84,185133,5710
2016-10-21,17.69,18.2499,17.69,17.91,128102,5710
2016-10-24,18.0,18.24,17.75,17.91,89890,5710
2016-10-25,17.95,17.95,17.5,17.68,56732,5710
2016-10-26,17.49,17.64,16.93,16.96,240440,5710
2016-10-27,17.11,17.11,14.99,15.31,571055,5710
2016-10-28,15.35,16.28,15.35,16.15,554565,5710
2016-10-31,16.13,16.38,15.46,15.92,247939,5710
2016-11-01,16.02,16.23,15.14,15.23,246630,5710
2016-11-02,15.23,15.23,14.45,14.55,122770,5710
2016-11-03,14.54,14.63,13.86,13.9,109702,5710
2016-11-04,13.9,14.8,13.9,14.72,186909,5710
2016-11-07,14.98,15.32,14.81,15.11,91883,5710
2016-11-08,15.19,15.36,14.8,15.23,96347,5710
2016-11-09,14.94,15.68,14.79,15.58,186425,5710
2016-11-10,16.22,16.995,14.85,14.97,444051,5710
2016-11-11,14.82,15.02,14.06,14.45,216480,5710
2016-11-14,14.45,14.82,13.86,13.89,180859,5710
2016-11-15,13.76,14.29,13.32,13.36,165412,5710
2016-11-16,13.34,14.1,13.2711,13.93,113295,5710
2016-11-17,13.89,14.63,13.756,14.48,223919,5710
2016-11-18,14.57,15.27,14.181,14.94,178809,5710
2016-11-21,15.0,15.35,14.19,14.23,114654,5710
2016-11-22,14.25,14.65,13.55,14.55,148387,5710
2016-11-23,14.51,14.87,14.335,14.77,80714,5710
2016-11-25,14.84,15.86,14.84,15.8,133271,5710
2016-11-28,15.71,15.75,14.971,15.21,83938,5710
2016-11-29,15.16,15.18,14.8058,14.91,26818,5710
2016-11-30,15.03,15.57,14.561,15.17,88754,5710
2016-12-01,15.39,15.715,14.59,14.83,135907,5710
2016-12-02,14.78,15.165,14.595,14.69,132295,5710
2016-12-05,14.77,15.2,14.59,14.69,66387,5710
2016-12-06,14.73,14.9126,14.71,14.76,52598,5710
2016-12-07,14.75,15.285,14.75,15.19,150073,5710
2016-12-08,15.1,15.68,15.1,15.13,135652,5710
2016-12-09,15.28,15.48,15.16,15.25,183680,5710
2016-12-12,15.15,15.24,14.22,14.38,136097,5710
2016-12-13,14.47,15.09,14.127,14.83,77333,5710
2016-12-14,14.76,15.04,14.64,14.9,102099,5710
2016-12-15,14.87,15.15,14.62,15.01,54256,5710
2016-12-16,15.06,15.31,14.9408,15.06,68086,5710
2016-12-19,15.02,15.092,14.58,14.85,257295,5710
2016-12-20,14.88,15.61,14.82,15.57,139680,5710
2016-12-21,15.43,15.43,14.95,15.12,92433,5710
2016-12-22,15.1,15.93,15.1,15.89,156160,5710
2016-12-23,15.85,16.21,15.5,15.64,105037,5710
2016-12-27,15.74,16.62,15.7,16.39,139711,5710
2016-12-28,16.45,16.9,16.33,16.4,174563,5710
2016-12-29,16.36,16.78,15.89,16.24,126233,5710
2016-12-30,16.27,16.62,15.58,16.04,128214,5710
2017-01-03,16.21,16.48,15.31,15.42,89507,5710
2017-01-04,15.51,15.93,15.42,15.83,95190,5710
2017-01-05,15.75,16.9,15.75,16.86,182740,5710
2017-01-06,16.99,17.05,16.37,16.69,96631,5710
2017-01-09,16.63,16.9,16.47,16.61,89140,5710
2017-01-10,16.62,17.35,16.62,17.26,124878,5710
2017-01-11,17.3,17.5342,17.02,17.41,88354,5710
2017-01-12,17.27,17.8,16.07,17.31,126467,5710
2017-01-13,17.28,17.59,17.24,17.47,35661,5710
2017-01-17,17.52,17.95,17.13,17.26,148911,5710
2017-01-18,17.35,17.94,16.91,17.85,77210,5710
2017-01-19,17.85,17.85,17.25,17.74,76507,5710
2017-01-20,17.8,17.91,17.46,17.62,49119,5710
2017-01-23,17.9,18.395,17.79,18.18,137238,5710
2017-01-24,18.24,18.4,18.13,18.21,55337,5710
2017-01-25,18.39,18.9,17.841,18.68,135017,5710
2017-01-26,18.68,19.25,18.415,19.01,119046,5710
2017-01-27,18.97,19.1,18.5,18.82,49271,5710
2017-01-30,18.66,18.66,18.06,18.16,46935,5710
2017-01-31,18.17,19.45,18.1512,19.41,209255,5710
2017-02-01,19.47,19.56,18.9,19.09,95627,5710
2017-02-02,19.18,19.18,18.67,18.79,44565,5710
2017-02-03,18.76,18.9423,18.33,18.63,40354,5710
2017-02-06,18.66,18.81,18.41,18.53,39531,5710
2017-02-07,18.6,18.84,18.27,18.45,70114,5710
2017-02-08,18.47,19.03,18.1,18.97,152071,5710
2017-02-09,19.0,19.4,18.91,19.3,125885,5710
2017-02-10,19.28,19.6,19.27,19.32,56919,5710
2017-02-13,19.4,19.783,18.855,19.25,39939,5710
2017-02-14,19.3,19.58,19.02,19.22,76230,5710
2017-02-15,19.16,19.3,19.01,19.2,74437,5710
2017-02-16,19.25,19.28,19.0,19.15,119845,5710
2017-02-17,18.99,19.28,18.0701,19.15,122812,5710
2017-02-21,19.39,19.98,19.2,19.84,94164,5710
2017-02-22,19.94,20.99,19.61,20.32,87310,5710
2017-02-23,20.55,20.55,19.05,19.34,135493,5710
2017-02-24,19.09,19.09,18.565,18.95,76678,5710
2017-02-27,18.81,19.16,17.95,18.12,145142,5710
2017-02-28,18.13,18.14,17.37,17.45,132684,5710
2017-03-01,17.9,17.91,17.54,17.85,148528,5710
2017-03-02,17.85,17.92,17.69,17.76,53707,5710
2017-03-03,17.71,19.3009,17.19,17.36,67589,5710
2017-03-06,17.31,17.31,16.78,17.2,95582,5710
2017-03-07,17.09,17.45,16.94,17.29,54501,5710
2017-03-08,17.37,18.1,17.21,17.44,73465,5710
2017-03-09,17.46,17.47,16.9587,17.1,22210,5710
2017-03-10,17.22,17.22,16.62,16.67,33255,5710
2017-03-13,16.84,17.03,16.42,16.6,38457,5710
2017-03-14,16.57,16.57,16.1101,16.3,79355,5710
2017-03-15,16.43,17.4,16.32,17.15,51559,5710
2017-03-16,17.3,17.35,17.01,17.24,46004,5710
2017-03-17,17.0,17.79,16.97,17.4,172324,5710
2017-03-20,17.35,17.65,16.82,16.99,46799,5710
2017-03-21,17.02,17.24,16.31,16.34,62457,5710
2017-03-22,16.35,16.88,16.2824,16.49,135510,5710
2017-03-23,16.5,16.94,16.36,16.5,137880,5710
2017-03-24,16.57,16.68,16.31,16.46,104400,5710
2017-03-27,16.3,16.46,15.89,16.06,80181,5710
2017-03-28,16.36,17.74,16.03,17.4,365045,5710
2017-03-29,17.55,18.8525,17.43,18.33,324261,5710
2017-03-30,18.59,18.9499,18.14,18.29,460176,5710
2017-03-31,20.0,20.0,18.465,19.01,196937,5710
2017-04-03,18.95,19.08,18.44,18.89,80166,5710
2017-04-04,18.76,19.46,18.744,19.35,87563,5710
2017-04-05,19.39,19.4,18.88,19.07,74393,5710
2017-04-06,19.15,19.84,18.88,19.43,105782,5710
2017-04-07,19.3,19.8,19.0,19.2,82562,5710
2017-04-10,19.25,20.37,19.25,19.98,154472,5710
2017-04-11,20.01,20.03,19.21,19.89,127832,5710
2017-04-12,19.9,19.96,19.23,19.36,132451,5710
2017-04-13,19.36,19.62,19.2,19.47,65248,5710
2017-04-17,19.68,20.0,19.36,19.73,49037,5710
2017-04-18,19.72,19.79,19.26,19.72,49138,5710
2017-04-19,19.98,20.69,19.82,20.35,165811,5710
2017-04-20,20.51,20.7,20.09,20.34,48057,5710
2017-04-21,20.34,20.34,19.98,20.25,38618,5710
2017-04-24,20.36,20.85,20.21,20.49,46386,5710
2017-04-25,20.73,20.73,19.98,20.13,151307,5710
2017-04-26,20.0,20.26,19.79,19.84,70395,5710
2017-04-27,19.87,19.88,19.35,19.57,58602,5710
2017-04-28,19.57,19.8,19.5,19.65,91205,5710
2017-05-01,19.65,19.83,19.08,19.17,89668,5710
2017-05-02,19.17,19.35,17.71,17.81,162881,5710
2017-05-03,17.7,17.95,17.5,17.52,81792,5710
2017-05-04,17.58,18.73,17.58,18.0,145769,5710
2017-05-05,18.07,18.505,17.84,17.97,102161,5710
2017-05-08,18.02,18.92,17.6,18.05,93414,5710
2017-05-09,18.24,18.8091,18.15,18.6,95676,5710
2017-05-10,18.36,18.36,16.61,16.8,217788,5710
2017-05-11,16.65,17.22,16.56,16.7,209043,5710
2017-05-12,16.26,17.06,15.91,16.32,2226910,5710
2017-05-15,16.35,16.84,16.35,16.73,571049,5710
2017-05-16,16.8,16.8,15.93,16.04,203349,5710
2017-05-17,15.86,16.13,15.45,15.57,282442,5710
2017-05-18,15.5,16.06,15.26,15.75,331897,5710
2017-05-19,15.9,16.2,15.64,15.87,208022,5710
2017-05-22,15.86,16.2,15.825,16.11,223272,5710
2017-05-23,16.25,16.51,15.99,16.24,141490,5710
2017-05-24,16.22,16.409,16.051,16.32,175948,5710
2017-05-25,16.32,16.39,16.05,16.36,171790,5710
2017-05-26,16.44,17.727,16.3,17.03,817683,5710
2017-05-30,16.98,17.1499,16.58,16.59,227450,5710
2017-05-31,16.82,17.03,16.1674,17.02,268327,5710
2017-06-01,17.04,17.172,16.67,17.0,145072,5710
2017-06-02,17.3,17.42,17.045,17.24,243380,5710
2017-06-05,17.15,17.32,16.679,16.89,228147,5710
2017-06-06,16.67,16.97,16.244,16.81,228132,5710
2017-06-07,16.8,16.92,16.62,16.73,128597,5710
2017-06-08,16.79,17.42,16.57,17.3,190508,5710
2017-06-09,17.2,17.69,17.1,17.27,224408,5710
2017-06-12,17.06,17.46,16.86,17.19,225383,5710
2017-06-13,17.21,17.305,16.87,17.17,111351,5710
2017-06-14,17.32,17.32,16.85,17.22,91680,5710
2017-06-15,16.96,17.95,16.9,17.88,130008,5710
2017-06-16,17.9,17.9,17.32,17.5,228587,5710
2017-06-19,17.66,17.78,17.35,17.41,134065,5710
2017-06-20,17.27,17.62,17.05,17.29,172058,5710
2017-06-21,17.24,17.68,17.23,17.66,248136,5710
2017-06-22,17.63,18.44,17.63,18.07,124487,5710
2017-06-23,18.15,18.83,17.99,18.6,904628,5710
2017-06-26,18.73,18.8,18.26,18.62,159940,5710
2017-06-27,18.56,18.56,18.16,18.18,114494,5710
2017-06-28,18.22,18.79,17.93,18.56,118564,5710
