Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,22.3,22.715,22.3,22.6,569400,4926
2005-02-28,22.845,23.275,22.6,22.755,276600,4926
2005-03-01,22.665,22.855,22.455,22.835,317000,4926
2005-03-02,22.85,22.95,22.77,22.775,285800,4926
2005-03-03,22.8,22.925,22.785,22.875,347400,4926
2005-03-04,22.97,23.225,22.85,23.225,226000,4926
2005-03-07,23.285,23.63,23.205,23.505,340600,4926
2005-03-08,23.465,23.475,23.25,23.355,304200,4926
2005-03-09,23.275,23.435,23.075,23.08,334600,4926
2005-03-10,22.975,23.03,22.06,22.32,510800,4926
2005-03-11,22.4,22.75,22.33,22.575,643400,4926
2005-03-14,22.685,22.94,22.63,22.925,293400,4926
2005-03-15,23.05,23.25,22.725,23.0,236800,4926
2005-03-16,22.93,22.96,22.75,22.845,251600,4926
2005-03-17,22.8,22.8,21.8,22.255,786000,4926
2005-03-18,22.875,22.9,22.375,22.465,323600,4926
2005-03-21,22.345,22.66,22.11,22.315,152800,4926
2005-03-22,22.3,23.0,22.3,22.715,240400,4926
2005-03-23,22.515,22.515,22.04,22.1,179800,4926
2005-03-24,22.2,22.275,22.035,22.185,334400,4926
2005-03-28,22.185,22.855,22.0,22.73,400800,4926
2005-03-29,22.7,22.8,22.085,22.1,366800,4926
2005-03-30,22.05,22.44,21.9,22.105,197600,4926
2005-03-31,22.0,22.48,21.925,22.205,158400,4926
2005-04-01,22.25,22.54,21.865,22.135,169200,4926
2005-04-04,22.11,22.29,22.005,22.14,199800,4926
2005-04-05,22.155,22.195,22.0,22.005,194200,4926
2005-04-06,22.24,22.37,22.0,22.095,119600,4926
2005-04-07,22.05,22.31,22.0,22.31,156200,4926
2005-04-08,21.55,21.575,20.25,20.75,1327200,4926
2005-04-11,20.755,21.535,20.53,21.14,555800,4926
2005-04-12,21.0,21.0,20.4,20.875,375200,4926
2005-04-13,20.825,20.825,20.165,20.355,200200,4926
2005-04-14,20.155,20.155,19.905,20.15,384000,4926
2005-04-15,20.15,20.575,19.5,19.715,449400,4926
2005-04-18,19.72,20.06,19.675,20.055,323800,4926
2005-04-19,20.13,20.6,20.105,20.55,220000,4926
2005-04-20,20.545,20.88,20.315,20.5,377800,4926
2005-04-21,20.545,20.85,20.545,20.85,191600,4926
2005-04-22,20.85,20.85,20.025,20.25,509200,4926
2005-04-25,20.275,20.87,20.275,20.755,287200,4926
2005-04-26,20.755,21.235,20.47,20.595,249600,4926
2005-04-27,20.525,20.575,19.85,20.225,225200,4926
2005-04-28,20.225,20.23,19.73,19.965,571600,4926
2005-04-29,19.975,20.175,19.815,20.09,488000,4926
2005-05-02,20.175,20.185,19.755,20.17,442200,4926
2005-05-03,20.005,20.01,19.75,19.81,395600,4926
2005-05-04,19.815,19.93,19.65,19.86,205800,4926
2005-05-05,19.775,20.0,19.735,19.955,185400,4926
2005-05-06,20.325,20.42,20.005,20.265,190600,4926
2005-05-09,20.225,20.225,19.875,20.135,241800,4926
2005-05-10,20.135,20.17,19.75,19.84,244200,4926
2005-05-11,19.8,19.925,19.7,19.785,198600,4926
2005-05-12,19.79,19.83,19.51,19.575,416600,4926
2005-05-13,19.5,19.5,18.97,19.13,285800,4926
2005-05-16,19.06,19.375,19.01,19.325,226000,4926
2005-05-17,19.345,19.5,19.255,19.495,213400,4926
2005-05-18,19.495,20.04,19.45,19.85,224200,4926
2005-05-19,19.875,20.055,19.575,19.635,170000,4926
2005-05-20,19.585,19.585,19.11,19.265,308000,4926
2005-05-23,19.275,19.575,19.225,19.24,328800,4926
2005-05-24,19.25,19.25,18.825,19.02,302200,4926
2005-05-25,18.91,18.91,18.235,18.38,478200,4926
2005-05-26,18.365,19.23,18.365,19.1,1044200,4926
2005-05-27,19.15,19.37,19.125,19.23,191000,4926
2005-05-31,19.235,19.275,19.105,19.275,295600,4926
2005-06-01,19.35,19.575,19.0,19.405,579600,4926
2005-06-02,19.45,19.995,19.45,19.785,609400,4926
2005-06-03,19.725,19.8,19.235,19.27,404200,4926
2005-06-06,19.275,19.275,18.77,18.97,515000,4926
2005-06-07,18.97,19.295,18.945,19.03,391600,4926
2005-06-08,19.03,19.13,18.98,19.025,331600,4926
2005-06-09,19.025,19.195,19.0,19.135,350200,4926
2005-06-10,19.14,19.485,19.14,19.385,309800,4926
2005-06-13,19.385,19.44,19.23,19.39,302000,4926
2005-06-14,19.415,19.68,19.33,19.665,483600,4926
2005-06-15,19.66,19.66,19.05,19.12,735000,4926
2005-06-16,19.125,19.34,19.075,19.33,374800,4926
2005-06-17,19.53,19.65,19.165,19.31,277600,4926
2005-06-20,19.15,19.165,18.69,18.74,314800,4926
2005-06-21,18.75,19.0,18.565,18.6,401600,4926
2005-06-22,18.675,18.715,17.835,17.85,521400,4926
2005-06-23,13.95,13.95,12.05,12.555,6884000,4926
2005-06-24,12.875,12.925,12.515,12.515,1874200,4926
2005-06-27,12.54,12.565,12.3,12.375,1158600,4926
2005-06-28,12.425,12.745,12.39,12.625,921600,4926
2005-06-29,12.7,13.105,12.675,12.975,942600,4926
2005-06-30,13.1,13.25,12.65,12.85,532600,4926
2005-07-01,12.865,12.865,12.575,12.645,555400,4926
2005-07-05,12.6,12.64,12.14,12.4,1243800,4926
2005-07-06,12.43,12.5,12.34,12.395,699000,4926
2005-07-07,12.38,12.4,12.225,12.37,902600,4926
2005-07-08,12.33,12.81,12.33,12.755,1709200,4926
2005-07-11,12.725,12.97,12.675,12.77,688000,4926
2005-07-12,12.625,12.705,12.56,12.625,550000,4926
