Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,16.212,16.425,16.132,16.369,386493,4705
2005-02-28,16.402,16.41,16.109,16.165,422491,4705
2005-03-01,16.165,16.394,16.101,16.345,497794,4705
2005-03-02,16.345,16.653,16.307,16.402,567003,4705
2005-03-03,16.44,16.646,16.274,16.646,469774,4705
2005-03-04,16.668,16.898,16.668,16.819,475098,4705
2005-03-07,16.866,16.874,16.464,16.615,509834,4705
2005-03-08,16.693,16.843,16.44,16.56,390169,4705
2005-03-09,16.337,16.36,16.078,16.212,444174,4705
2005-03-10,16.095,16.291,15.92,16.044,512367,4705
2005-03-11,16.069,16.156,15.936,16.022,336295,4705
2005-03-14,16.117,16.307,16.095,16.3,488151,4705
2005-03-15,16.386,16.41,16.109,16.219,331861,4705
2005-03-16,16.25,16.354,16.053,16.117,332998,4705
2005-03-17,16.125,16.172,15.975,16.087,448480,4705
2005-03-18,16.212,16.314,15.895,16.031,743708,4705
2005-03-21,16.038,16.044,15.912,16.014,235521,4705
2005-03-22,15.991,16.132,15.857,15.895,338451,4705
2005-03-23,15.857,15.991,15.825,15.881,418058,4705
2005-03-24,15.888,16.156,15.84,16.038,194704,4705
2005-03-28,16.044,16.14,15.904,15.975,284325,4705
2005-03-29,15.975,16.172,15.698,15.738,439225,4705
2005-03-30,15.777,16.14,15.777,16.14,372424,4705
2005-03-31,16.14,16.165,15.895,16.061,347452,4705
2005-04-01,16.069,16.172,15.705,15.84,448480,4705
2005-04-04,15.865,16.014,15.786,15.975,442649,4705
2005-04-05,16.038,16.132,15.92,16.087,376351,4705
2005-04-06,16.125,16.274,16.061,16.165,334268,4705
2005-04-07,16.187,16.378,16.061,16.354,333127,4705
2005-04-08,16.354,16.621,16.25,16.274,437199,4705
2005-04-11,16.33,16.337,16.219,16.274,322732,4705
2005-04-12,16.212,16.535,16.078,16.44,288254,4705
2005-04-13,16.402,16.447,15.888,16.053,581705,4705
2005-04-14,16.132,16.148,15.926,15.965,494873,4705
2005-04-15,15.965,16.053,15.738,15.777,562947,4705
2005-04-18,15.834,16.25,15.705,16.132,869075,4705
2005-04-19,16.132,16.323,15.952,16.078,467873,4705
2005-04-20,15.895,15.895,15.376,15.541,811396,4705
2005-04-21,15.581,15.975,15.541,15.857,591466,4705
2005-04-22,15.857,15.857,15.488,15.653,495511,4705
2005-04-25,15.683,15.952,15.604,15.777,408806,4705
2005-04-26,15.777,15.936,15.566,15.618,429720,4705
2005-04-27,16.763,17.75,16.132,17.063,4879024,4705
2005-04-28,16.882,17.166,16.685,16.747,1036016,4705
2005-04-29,16.747,16.969,16.488,16.646,1755639,4705
2005-05-02,16.646,16.954,16.455,16.567,908999,4705
2005-05-03,16.646,17.174,16.615,17.095,1519482,4705
2005-05-04,17.159,17.349,17.095,17.238,716198,4705
2005-05-05,17.246,17.496,17.063,17.174,590706,4705
2005-05-06,17.427,17.513,17.166,17.246,723932,4705
2005-05-09,17.291,17.394,17.149,17.378,735086,4705
2005-05-10,17.378,17.41,17.128,17.213,802396,4705
2005-05-11,17.277,17.284,16.969,17.149,1281172,4705
2005-05-12,17.213,17.394,17.0,17.12,523523,4705
2005-05-13,17.159,17.299,16.993,17.12,641280,4705
2005-05-16,17.078,17.506,16.976,17.473,1067962,4705
2005-05-17,17.488,17.577,17.27,17.418,692111,4705
2005-05-18,16.574,17.063,16.567,16.789,3830587,4705
2005-05-19,16.835,17.174,16.827,17.056,1839429,4705
2005-05-20,17.103,17.277,16.954,17.199,958439,4705
2005-05-23,17.199,17.546,17.174,17.513,1051607,4705
2005-05-24,17.521,17.907,17.349,17.9,1511368,4705
2005-05-25,17.844,17.844,17.656,17.701,966806,4705
2005-05-26,17.829,17.937,17.766,17.868,502607,4705
2005-05-27,17.815,17.859,17.744,17.829,683623,4705
2005-05-31,17.773,17.907,17.773,17.829,1157833,4705
2005-06-01,17.894,17.955,17.806,17.955,780214,4705
2005-06-02,17.955,17.955,17.766,17.877,590960,4705
2005-06-03,17.877,18.066,17.851,17.946,697059,4705
2005-06-06,18.025,18.025,17.823,17.973,530877,4705
2005-06-07,17.973,18.264,17.859,17.964,844480,4705
2005-06-08,18.025,18.066,17.773,17.837,719876,4705
2005-06-09,17.877,17.877,17.718,17.829,714297,4705
2005-06-10,17.727,17.789,17.521,17.709,523393,4705
2005-06-13,17.665,17.9,17.665,17.837,472186,4705
2005-06-14,17.806,18.193,17.758,18.144,783125,4705
2005-06-15,18.144,18.215,18.025,18.193,654847,4705
2005-06-16,18.16,18.273,18.066,18.247,379394,4705
2005-06-17,18.405,18.579,18.28,18.579,1247074,4705
2005-06-20,18.563,18.721,18.516,18.657,769310,4705
2005-06-21,18.579,18.758,18.545,18.714,703271,4705
2005-06-22,18.714,18.854,18.144,18.222,1101554,4705
2005-06-23,18.302,18.31,18.074,18.135,980873,4705
2005-06-24,18.066,18.144,17.851,18.128,1401342,4705
2005-06-27,18.082,18.135,17.915,18.025,543424,4705
2005-06-28,18.105,18.572,18.042,18.572,568014,4705
2005-06-29,18.672,18.672,18.484,18.494,379520,4705
2005-06-30,18.595,18.618,18.42,18.437,455832,4705
2005-07-01,18.445,18.595,18.286,18.452,351254,4705
2005-07-05,18.458,18.776,18.389,18.776,523775,4705
2005-07-06,18.776,18.776,18.539,18.618,295098,4705
2005-07-07,18.42,18.539,18.254,18.413,522759,4705
2005-07-08,18.389,18.689,18.359,18.618,521366,4705
2005-07-11,18.618,18.872,18.618,18.776,522634,4705
2005-07-12,18.706,18.863,18.563,18.61,401961,4705
2005-07-13,18.545,18.785,18.437,18.502,456089,4705
2005-07-14,18.458,18.651,18.405,18.508,407790,4705
2005-07-15,18.502,18.61,18.42,18.467,258847,4705
2005-07-18,18.445,18.785,18.437,18.767,670186,4705
2005-07-19,18.815,18.973,18.743,18.95,623285,4705
2005-07-20,18.95,19.099,18.941,19.075,524283,4705
2005-07-21,19.075,19.153,18.973,19.059,437834,4705
2005-07-22,19.029,19.169,19.012,19.029,443281,4705
2005-07-25,19.066,19.288,19.029,19.226,641668,4705
2005-07-26,19.161,19.469,19.004,19.132,732680,4705
2005-07-27,18.933,18.933,15.66,16.954,7885918,4705
2005-07-28,16.763,16.882,16.425,16.827,2241135,4705
2005-07-29,16.763,16.969,16.693,16.827,849169,4705
2005-08-01,16.78,16.882,16.416,16.481,1170765,4705
2005-08-02,16.416,16.582,16.323,16.464,835609,4705
2005-08-03,16.464,16.685,16.354,16.519,702635,4705
2005-08-04,16.41,16.541,16.307,16.481,995836,4705
2005-08-05,16.36,16.607,16.36,16.567,652821,4705
2005-08-08,16.615,16.945,16.607,16.668,839412,4705
2005-08-09,16.685,16.726,16.63,16.646,567003,4705
2005-08-10,18.144,19.321,17.894,17.996,4984870,4705
2005-08-11,18.034,18.128,17.063,17.357,2245060,4705
2005-08-12,17.371,17.41,17.103,17.252,719496,4705
2005-08-15,17.291,17.41,17.135,17.34,756128,4705
2005-08-16,17.238,17.357,16.922,16.954,616691,4705
2005-08-17,16.922,17.189,16.874,16.993,459763,4705
2005-08-18,16.81,17.056,16.804,16.96,580437,4705
2005-08-19,17.032,17.199,16.931,17.12,360252,4705
2005-08-22,17.12,17.27,17.088,17.206,396634,4705
2005-08-23,17.199,17.349,17.128,17.284,438596,4705
2005-08-24,17.291,17.307,16.954,17.143,488409,4705
2005-08-25,17.12,17.221,17.071,17.206,374454,4705
2005-08-26,17.12,17.189,16.922,17.095,392579,4705
2005-08-29,16.685,17.199,16.63,17.189,303718,4705
2005-08-30,17.213,17.246,16.969,17.078,302073,4705
2005-08-31,17.041,17.332,16.931,17.291,595777,4705
2005-09-01,17.317,17.45,17.221,17.378,262142,4705
2005-09-02,17.364,17.386,17.213,17.349,282805,4705
2005-09-06,17.349,17.789,17.349,17.789,480301,4705
2005-09-07,17.766,18.247,17.758,18.247,949188,4705
2005-09-08,18.184,18.247,18.066,18.193,457859,4705
2005-09-09,18.049,18.785,18.049,18.785,641789,4705
2005-09-12,18.601,18.776,18.389,18.714,414632,4705
2005-09-13,18.618,18.618,18.332,18.342,325903,4705
2005-09-14,18.317,18.437,18.144,18.215,283819,4705
2005-09-15,18.215,18.529,18.152,18.476,218031,4705
2005-09-16,18.625,19.044,18.554,18.863,946143,4705
2005-09-19,18.815,18.926,18.807,18.901,847779,4705
2005-09-20,18.872,19.053,18.697,18.776,462172,4705
2005-09-21,18.697,18.697,17.859,18.049,1603273,4705
2005-09-22,17.937,17.937,17.246,17.766,2024119,4705
2005-09-23,17.75,18.042,17.554,17.955,424775,4705
2005-09-26,18.057,18.152,17.806,18.034,266452,4705
2005-09-27,18.066,18.112,17.806,17.885,318427,4705
2005-09-28,17.987,18.128,17.78,17.868,417930,4705
2005-09-29,17.907,17.964,17.592,17.907,451776,4705
2005-09-30,17.907,18.002,17.727,17.973,570932,4705
2005-10-03,17.987,18.049,17.617,17.679,727608,4705
2005-10-04,17.679,17.75,17.357,17.608,656621,4705
2005-10-05,17.631,17.64,17.284,17.284,1069606,4705
2005-10-06,17.324,17.349,16.874,17.128,832692,4705
2005-10-07,17.238,17.317,17.0,17.017,482326,4705
2005-10-10,17.024,17.103,16.747,16.763,717846,4705
2005-10-11,16.843,17.032,16.519,16.551,752707,4705
2005-10-12,16.567,16.763,16.237,16.455,774256,4705
2005-10-13,16.496,16.639,16.354,16.567,515030,4705
2005-10-14,16.646,16.717,16.473,16.63,457483,4705
2005-10-17,16.653,16.851,16.615,16.827,339593,4705
2005-10-18,16.851,16.914,16.512,16.512,341491,4705
2005-10-19,16.519,16.993,16.504,16.985,408169,4705
2005-10-20,16.866,17.024,16.693,16.851,409435,4705
2005-10-21,16.851,17.371,16.851,17.071,600211,4705
2005-10-24,17.111,17.467,17.111,17.299,459001,4705
2005-10-25,17.199,17.946,17.149,17.773,984806,4705
2005-10-26,17.829,18.286,17.64,17.964,840173,4705
2005-10-27,18.025,18.025,17.617,17.701,583357,4705
2005-10-28,17.709,18.105,17.695,18.09,509324,4705
2005-10-31,18.144,18.445,18.025,18.09,419833,4705
2005-11-01,18.09,18.28,17.946,18.135,554198,4705
2005-11-02,18.135,18.588,18.09,18.554,363551,4705
2005-11-03,18.697,18.908,18.366,18.428,423888,4705
2005-11-04,18.539,18.758,18.264,18.452,416412,4705
2005-11-07,18.413,18.601,18.31,18.359,364944,4705
2005-11-08,18.222,18.332,18.074,18.199,277860,4705
2005-11-09,18.16,18.484,18.121,18.359,193561,4705
2005-11-10,18.359,18.697,18.049,18.689,337819,4705
2005-11-11,18.588,18.735,18.494,18.672,173915,4705
2005-11-14,18.697,18.714,18.42,18.61,535436,4705
2005-11-15,18.61,18.61,18.208,18.302,420212,4705
2005-11-16,18.31,18.484,18.222,18.389,228171,4705
2005-11-17,18.42,18.641,18.42,18.641,233619,4705
2005-11-18,18.735,18.887,18.494,18.863,277860,4705
2005-11-21,18.776,18.933,18.743,18.894,448099,4705
2005-11-22,18.901,18.901,18.665,18.729,394225,4705
2005-11-23,18.657,18.735,18.61,18.618,540258,4705
2005-11-25,18.618,18.894,18.539,18.863,78843,4705
2005-11-28,18.828,18.837,18.342,18.476,426172,4705
2005-11-29,18.554,18.651,18.222,18.286,426426,4705
2005-11-30,18.286,18.286,17.979,18.199,544440,4705
2005-12-01,18.208,18.793,18.184,18.793,590323,4705
2005-12-02,18.735,18.863,18.494,18.863,361649,4705
2005-12-05,18.767,18.854,18.484,18.618,462674,4705
2005-12-06,18.641,18.863,18.437,18.476,283058,4705
2005-12-07,18.494,18.508,18.169,18.239,291168,4705
2005-12-08,18.295,18.494,18.152,18.239,345934,4705
2005-12-09,18.295,18.359,18.184,18.23,364185,4705
2005-12-12,18.286,18.657,18.286,18.413,1384101,4705
2005-12-13,18.405,18.508,18.193,18.342,503239,4705
2005-12-14,18.351,18.539,18.222,18.405,385354,4705
2005-12-15,18.342,18.381,18.002,18.286,584368,4705
2005-12-16,18.302,18.437,18.144,18.193,834465,4705
2005-12-19,18.342,18.413,17.987,17.996,323367,4705
2005-12-20,18.018,18.121,17.686,17.9,268609,4705
2005-12-21,17.923,18.239,17.837,17.907,522000,4705
2005-12-22,17.946,17.987,17.823,17.907,755874,4705
2005-12-23,17.907,18.135,17.859,17.937,338199,4705
2005-12-27,18.057,18.184,17.837,17.837,240084,4705
2005-12-28,17.923,18.135,17.844,18.057,246422,4705
2005-12-29,18.066,18.121,17.851,17.946,228550,4705
2005-12-30,17.829,17.829,17.513,17.671,361520,4705
2006-01-03,17.796,18.042,17.546,18.018,407539,4705
2006-01-04,18.018,18.121,17.915,17.987,283058,4705
2006-01-05,17.996,18.128,17.923,17.964,265440,4705
2006-01-06,18.066,18.264,17.946,18.105,423761,4705
2006-01-09,18.128,18.359,18.09,18.247,350493,4705
2006-01-10,18.16,18.31,18.09,18.302,210169,4705
2006-01-11,18.342,18.351,18.082,18.135,334777,4705
2006-01-12,18.135,18.177,17.955,18.034,205608,4705
2006-01-13,18.049,18.359,18.002,18.066,235265,4705
2006-01-17,17.987,18.066,17.877,17.946,427312,4705
2006-01-18,17.829,18.199,17.829,18.034,222213,4705
2006-01-19,18.066,18.28,17.946,18.177,192169,4705
2006-01-20,18.254,18.254,17.907,18.002,406520,4705
2006-01-23,17.946,18.325,17.946,18.177,232733,4705
2006-01-24,18.208,18.516,18.16,18.31,215370,4705
2006-01-25,18.351,18.405,18.135,18.254,354551,4705
2006-01-26,18.372,18.588,18.273,18.467,381042,4705
2006-01-27,18.563,18.618,18.342,18.413,245410,4705
2006-01-30,18.381,18.539,18.082,18.144,280647,4705
2006-01-31,17.041,17.554,16.33,17.513,2185358,4705
2006-02-01,17.496,17.701,17.418,17.608,694522,4705
2006-02-02,17.631,17.718,17.357,17.567,483468,4705
2006-02-03,17.488,17.592,17.357,17.459,314748,4705
2006-02-06,17.459,17.467,17.128,17.349,381803,4705
2006-02-07,17.357,17.402,16.898,16.905,798087,4705
2006-02-08,16.931,16.976,16.78,16.937,443281,4705
2006-02-09,16.954,17.111,16.859,16.882,299790,4705
2006-02-10,16.914,16.922,16.71,16.726,377494,4705
2006-02-13,16.726,16.726,16.504,16.551,445311,4705
2006-02-14,16.582,16.985,16.567,16.796,328690,4705
2006-02-15,16.755,16.851,16.615,16.747,416029,4705
2006-02-16,16.827,16.905,16.661,16.882,474593,4705
2006-02-17,16.378,16.914,16.378,16.835,200407,4705
2006-02-21,16.81,16.81,16.337,16.512,746494,4705
2006-02-22,16.535,16.819,16.496,16.789,434536,4705
2006-02-23,16.717,16.866,16.607,16.685,285338,4705
2006-02-24,16.685,16.945,16.567,16.859,466605,4705
2006-02-27,16.905,17.078,16.827,17.056,802141,4705
2006-02-28,17.056,17.199,16.702,16.717,539493,4705
2006-03-01,16.763,16.914,16.685,16.74,348973,4705
2006-03-02,16.702,16.874,16.607,16.78,661944,4705
2006-03-03,16.598,16.985,16.598,16.717,893666,4705
2006-03-06,16.755,16.763,16.473,16.519,450888,4705
2006-03-07,16.447,16.512,16.187,16.274,514522,4705
2006-03-08,16.132,16.274,15.999,16.078,577903,4705
2006-03-09,16.087,16.274,15.991,16.078,529734,4705
2006-03-10,16.069,16.314,15.96,16.283,520227,4705
2006-03-13,16.241,16.504,16.156,16.204,507805,4705
2006-03-14,16.132,16.156,15.904,15.999,573593,4705
2006-03-15,15.936,16.109,15.777,16.053,605412,4705
2006-03-16,16.078,16.237,16.044,16.14,258591,4705
2006-03-17,16.212,16.378,16.125,16.204,758408,4705
2006-03-20,16.212,16.354,16.061,16.109,444297,4705
2006-03-21,16.078,16.172,15.628,15.755,564212,4705
2006-03-22,15.755,16.038,15.689,15.96,388394,4705
2006-03-23,15.936,16.053,15.816,15.975,799102,4705
2006-03-24,15.965,16.156,15.936,16.095,511606,4705
2006-03-27,16.095,16.237,16.087,16.125,528721,4705
2006-03-28,16.148,16.386,16.031,16.3,733947,4705
2006-03-29,16.291,16.291,15.96,16.14,833201,4705
2006-03-30,16.219,16.237,15.991,16.148,364817,4705
2006-03-31,16.187,16.323,16.031,16.241,531507,4705
2006-04-03,16.96,17.444,16.914,17.128,1292581,4705
2006-04-04,17.221,17.357,17.009,17.12,860324,4705
2006-04-05,17.221,17.435,17.009,17.12,703395,4705
2006-04-06,17.128,17.467,17.056,17.317,674493,4705
2006-04-07,17.435,17.537,17.041,17.078,586397,4705
2006-04-10,17.174,17.252,16.96,17.159,921808,4705
2006-04-11,17.213,17.284,16.819,16.851,477889,4705
2006-04-12,16.772,16.931,16.732,16.874,349226,4705
2006-04-13,16.874,17.159,16.827,17.078,432381,4705
2006-04-17,17.143,17.149,16.914,16.976,450002,4705
2006-04-18,17.149,17.859,17.103,17.851,679312,4705
2006-04-19,17.937,18.057,17.679,17.823,511989,4705
2006-04-20,17.844,17.894,17.648,17.806,406776,4705
2006-04-21,17.915,17.915,17.496,17.701,427947,4705
2006-04-24,17.686,17.894,17.394,17.815,604139,4705
2006-04-25,17.894,17.946,17.695,17.9,510086,4705
2006-04-26,17.671,17.695,16.582,16.693,1799372,4705
2006-04-27,16.702,17.0,16.464,16.488,1397919,4705
2006-04-28,16.504,16.945,16.378,16.646,672467,4705
2006-05-01,16.676,16.89,16.3,16.314,839660,4705
2006-05-02,16.41,16.551,16.291,16.551,750932,4705
2006-05-03,16.551,16.551,16.259,16.481,454057,4705
2006-05-04,16.567,16.726,16.541,16.589,421602,4705
2006-05-05,16.646,16.882,16.615,16.827,478650,4705
2006-05-08,16.851,16.882,16.676,16.835,311072,4705
2006-05-09,16.804,16.914,16.607,16.717,668665,4705
2006-05-10,16.653,16.835,16.567,16.804,673607,4705
2006-05-11,16.81,16.81,16.567,16.685,686663,4705
2006-05-12,16.702,16.796,16.574,16.582,696807,4705
2006-05-15,16.56,16.685,16.455,16.621,378507,4705
2006-05-16,16.621,16.646,16.41,16.582,440745,4705
2006-05-17,16.488,16.535,16.259,16.291,333255,4705
2006-05-18,16.227,16.41,16.187,16.25,333891,4705
2006-05-19,16.25,16.307,15.975,16.187,809496,4705
2006-05-22,16.053,16.314,15.975,16.25,459125,4705
2006-05-23,16.41,16.496,16.148,16.227,458114,4705
2006-05-24,16.172,16.416,15.944,16.41,743577,4705
2006-05-25,16.567,16.607,16.314,16.527,619860,4705
2006-05-26,16.598,16.598,16.394,16.402,339215,4705
2006-05-30,16.354,16.354,16.007,16.053,445311,4705
2006-05-31,16.156,16.33,16.061,16.227,451391,4705
2006-06-01,16.237,16.345,16.069,16.291,800116,4705
2006-06-02,16.369,16.416,15.848,16.219,876930,4705
2006-06-05,16.156,16.345,15.825,15.912,677918,4705
2006-06-06,15.936,16.069,15.834,16.031,577649,4705
2006-06-07,16.031,16.3,15.84,15.857,483719,4705
2006-06-08,15.857,16.007,15.549,15.865,888720,4705
2006-06-09,15.92,16.031,15.668,15.904,961608,4705
2006-06-12,15.786,15.834,15.464,15.48,428961,4705
2006-06-13,15.446,15.77,15.352,15.384,455202,4705
2006-06-14,15.399,15.581,15.013,15.171,655226,4705
2006-06-15,15.281,15.336,15.013,15.281,625311,4705
2006-06-16,15.146,15.336,15.03,15.138,1307157,4705
2006-06-19,15.186,15.336,15.02,15.051,824832,4705
2006-06-20,15.013,15.25,14.996,15.138,762465,4705
2006-06-21,15.138,15.313,15.138,15.234,683623,4705
2006-06-22,15.194,15.288,15.037,15.217,509453,4705
2006-06-23,15.109,15.281,15.013,15.146,396254,4705
2006-06-26,15.171,15.376,15.171,15.36,254913,4705
2006-06-27,15.384,15.438,15.066,15.13,297001,4705
2006-06-28,15.186,15.266,15.037,15.202,392326,4705
2006-06-29,15.296,15.637,15.272,15.637,436182,4705
2006-06-30,15.705,15.738,15.501,15.533,1013961,4705
2006-07-03,15.533,15.786,15.464,15.786,322607,4705
2006-07-05,15.786,15.786,15.507,15.596,815961,4705
2006-07-06,15.912,15.912,15.517,15.596,587918,4705
2006-07-07,15.612,15.748,15.408,15.422,489297,4705
2006-07-10,15.494,15.66,15.399,15.446,425029,4705
2006-07-11,15.391,15.525,15.259,15.48,368114,4705
2006-07-12,15.36,15.47,15.202,15.225,423888,4705
2006-07-13,15.202,15.272,15.092,15.146,391947,4705
2006-07-14,15.171,15.384,14.98,15.234,1018018,4705
2006-07-17,15.186,15.36,15.092,15.115,563326,4705
2006-07-18,15.194,15.296,15.083,15.217,441508,4705
2006-07-19,15.225,15.612,15.225,15.384,446575,4705
2006-07-20,15.413,15.446,15.051,15.059,346438,4705
2006-07-21,15.059,15.092,14.871,14.926,422244,4705
2006-07-24,14.988,15.336,14.959,15.281,408169,4705
2006-07-25,14.792,14.98,13.986,14.081,1928668,4705
2006-07-26,14.081,14.081,13.459,13.498,1365469,4705
2006-07-27,13.594,13.879,13.507,13.522,997736,4705
2006-07-28,13.528,13.814,13.514,13.742,1197382,4705
2006-07-31,13.782,13.887,13.561,13.616,1555353,4705
2006-08-01,13.602,13.766,13.489,13.678,586648,4705
2006-08-02,13.766,13.915,13.602,13.75,798466,4705
2006-08-03,13.687,13.964,13.648,13.879,982779,4705
2006-08-04,14.042,14.146,13.75,13.899,421355,4705
2006-08-07,13.899,14.001,13.774,13.879,474465,4705
2006-08-08,13.894,13.964,13.726,13.766,633048,4705
2006-08-09,13.899,14.042,13.72,13.726,533789,4705
2006-08-10,13.655,13.956,13.631,13.799,385729,4705
2006-08-11,13.726,13.726,13.577,13.616,326661,4705
2006-08-14,13.577,13.806,13.545,13.664,342254,4705
2006-08-15,13.869,13.887,13.545,13.774,521496,4705
