Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,13.4,13.78,13.2,13.56,241510,6219
2005-02-28,13.24,13.57,13.0,13.33,209802,6219
2005-03-01,13.49,13.77,13.25,13.56,219774,6219
2005-03-02,13.74,14.0,13.26,13.7,236727,6219
2005-03-03,13.83,13.99,13.26,13.5,218558,6219
2005-03-04,14.06,14.1,13.56,13.9,160655,6219
2005-03-07,13.98,14.03,13.76,13.77,183284,6219
2005-03-08,13.72,13.88,13.34,13.53,185952,6219
2005-03-09,13.56,13.7,13.17,13.27,131546,6219
2005-03-10,13.38,13.51,13.0,13.24,172470,6219
2005-03-11,13.18,13.39,13.0,13.07,134430,6219
2005-03-14,13.15,13.2,12.1,12.19,464157,6219
2005-03-15,12.26,12.62,12.0,12.11,318371,6219
2005-03-16,12.07,12.35,11.62,11.96,353509,6219
2005-03-17,12.0,12.14,11.66,12.01,299965,6219
2005-03-18,12.1,12.22,11.84,11.98,346422,6219
2005-03-21,11.95,12.1,11.3,11.7,409907,6219
2005-03-22,11.81,12.19,11.6,11.77,316648,6219
2005-03-23,11.94,11.94,11.37,11.5,182343,6219
2005-03-24,11.51,11.75,11.38,11.44,129567,6219
2005-03-28,11.61,12.04,11.46,11.7,211814,6219
2005-03-29,11.88,12.4,11.6,11.73,336381,6219
2005-03-30,11.64,12.27,11.64,12.17,300085,6219
2005-03-31,12.2,12.46,11.76,12.04,162003,6219
2005-04-01,11.96,12.3,11.52,11.72,204114,6219
2005-04-04,11.52,11.86,11.11,11.69,346662,6219
2005-04-05,11.85,11.9,11.5,11.61,108173,6219
2005-04-06,11.5,11.99,11.42,11.65,166873,6219
2005-04-07,11.71,12.07,11.5,11.99,143630,6219
2005-04-08,11.9,12.01,11.5,11.75,120207,6219
2005-04-11,11.62,11.74,11.25,11.36,130655,6219
2005-04-12,11.37,11.44,10.76,11.35,388864,6219
2005-04-13,11.28,11.51,10.89,11.05,226668,6219
2005-04-14,11.15,11.17,10.3,10.56,274970,6219
2005-04-15,10.66,10.75,10.01,10.2,227930,6219
2005-04-18,10.01,10.57,10.01,10.22,212878,6219
2005-04-19,10.3,10.72,10.16,10.72,146102,6219
2005-04-20,10.7,10.8,10.11,10.14,136158,6219
2005-04-21,10.36,10.47,10.06,10.47,219988,6219
2005-04-22,10.55,10.62,10.21,10.42,167422,6219
2005-04-25,10.47,10.97,10.44,10.85,143148,6219
2005-04-26,10.9,11.11,10.6,10.6,208958,6219
2005-04-27,10.67,10.7,10.32,10.46,85244,6219
2005-04-28,10.19,10.55,10.1,10.13,156274,6219
2005-04-29,10.25,10.6,10.1,10.48,170122,6219
2005-05-02,10.53,10.75,10.41,10.68,73962,6219
2005-05-03,10.75,10.75,10.25,10.32,144324,6219
2005-05-04,10.66,10.71,10.3,10.62,188777,6219
2005-05-05,11.03,11.35,10.69,10.85,275287,6219
2005-05-06,10.93,11.03,10.81,10.86,88434,6219
2005-05-09,10.97,11.0,10.72,11.0,183124,6219
