Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,20.177,20.177,20.078,20.177,31523,513
2005-02-28,20.19,20.422,20.078,20.235,18021,513
2005-03-01,20.422,20.493,20.085,20.085,8673,513
2005-03-02,20.063,20.43,20.063,20.206,12463,513
2005-03-03,20.055,20.221,19.851,19.851,2782,513
2005-03-04,20.221,20.221,20.001,20.001,2592,513
2005-03-07,19.905,20.153,19.905,20.078,9895,513
2005-03-08,20.071,20.295,20.055,20.295,18576,513
2005-03-09,20.055,20.319,19.899,20.001,16610,513
2005-03-10,19.95,20.177,19.95,20.1,13790,513
2005-03-11,20.227,20.227,19.981,20.197,20438,513
2005-03-14,20.197,20.447,20.055,20.1,21990,513
2005-03-15,20.311,20.311,20.025,20.025,6327,513
2005-03-16,20.326,20.326,20.025,20.227,11471,513
2005-03-17,20.025,20.227,20.001,20.227,9724,513
2005-03-18,20.303,20.303,19.92,20.025,67481,513
2005-03-21,20.311,20.311,19.95,20.177,53918,513
2005-03-22,20.273,20.273,19.926,20.025,47264,513
2005-03-23,19.934,20.153,19.934,19.934,27999,513
2005-03-24,19.995,20.017,19.934,19.934,9138,513
2005-03-28,20.017,20.055,19.926,19.943,25083,513
2005-03-29,20.055,20.055,19.851,19.851,13040,513
2005-03-30,20.04,20.048,19.875,20.025,16840,513
2005-03-31,20.025,20.078,19.801,19.958,82985,513
2005-04-01,19.913,19.965,19.265,19.302,57781,513
2005-04-04,19.295,19.424,18.611,18.822,35259,513
2005-04-05,18.724,19.175,18.724,19.175,28749,513
2005-04-06,19.302,19.543,19.078,19.453,7719,513
2005-04-07,19.379,19.77,19.335,19.648,3153,513
2005-04-08,19.606,19.77,19.551,19.753,38923,513
2005-04-11,19.627,19.71,19.621,19.71,22053,513
2005-04-12,19.627,20.055,19.499,20.025,63752,513
2005-04-13,20.1,20.129,19.737,19.882,76558,513
2005-04-14,19.71,19.71,18.437,18.595,47662,513
2005-04-15,18.971,18.971,18.115,18.552,51074,513
2005-04-18,18.716,19.543,18.566,19.392,7576,513
2005-04-19,19.273,19.71,19.273,19.71,9465,513
2005-04-20,19.349,19.433,18.603,18.603,10236,513
2005-04-21,19.019,19.453,18.763,19.453,5974,513
2005-04-22,19.529,19.529,18.4,18.905,19371,513
2005-04-25,19.078,19.335,18.679,19.13,7344,513
2005-04-26,18.881,19.116,18.259,18.326,16135,513
2005-04-27,18.175,18.251,17.295,17.364,130114,513
2005-04-28,17.084,17.422,17.048,17.198,22913,513
2005-04-29,17.371,17.559,17.323,17.559,7608,513
2005-05-02,18.739,18.881,18.047,18.552,24855,513
2005-05-03,18.4,18.543,18.094,18.094,5034,513
2005-05-04,18.595,18.595,18.19,18.543,11751,513
2005-05-05,18.559,18.559,17.275,17.73,30012,513
2005-05-06,18.144,18.279,17.422,17.753,15628,513
2005-05-09,17.618,17.83,17.513,17.71,18076,513
2005-05-10,17.485,17.485,17.107,17.213,8789,513
2005-05-11,17.189,17.31,16.934,16.973,25525,513
2005-05-12,16.973,17.281,16.973,17.146,23546,513
2005-05-13,17.234,17.529,17.107,17.107,33629,513
2005-05-16,17.124,18.056,17.124,18.016,14491,513
2005-05-17,18.056,18.595,18.025,18.589,15971,513
2005-05-18,18.603,18.865,18.409,18.724,29620,513
2005-05-19,18.799,18.799,18.341,18.429,9339,513
2005-05-20,18.387,18.462,18.016,18.016,4121,513
2005-05-23,17.936,18.535,17.824,18.462,11670,513
2005-05-24,18.672,18.716,18.543,18.619,58979,513
2005-05-25,18.16,18.724,18.108,18.724,70122,513
2005-05-26,18.716,19.056,18.543,19.056,25517,513
2005-05-27,19.101,19.258,18.929,19.108,15121,513
2005-05-31,19.01,20.973,19.01,20.656,93381,513
2005-06-01,20.656,20.656,19.958,20.341,20000,513
2005-06-02,20.349,20.544,20.349,20.484,16622,513
2005-06-03,20.529,20.529,20.16,20.16,20535,513
2005-06-06,20.153,20.153,19.648,19.958,8968,513
2005-06-07,20.078,20.55,19.913,20.357,20311,513
2005-06-08,20.55,20.55,20.227,20.303,10197,513
2005-06-09,20.153,20.379,19.785,20.078,33936,513
2005-06-10,20.078,20.19,20.063,20.19,5463,513
2005-06-13,20.19,20.395,19.581,20.395,34956,513
2005-06-14,20.26,20.395,20.16,20.395,10532,513
2005-06-15,20.395,20.414,20.184,20.414,34041,513
2005-06-16,20.243,20.942,20.212,20.942,9272,513
