Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,9.714,9.722,9.685,9.714,49017,2926
2005-02-28,9.754,9.754,9.701,9.722,55026,2926
2005-03-01,9.722,9.742,9.701,9.714,39612,2926
2005-03-02,9.73,9.73,9.68,9.714,48554,2926
2005-03-03,9.714,9.773,9.708,9.759,43312,2926
2005-03-04,9.759,9.794,9.75,9.75,56878,2926
2005-03-07,9.754,9.773,9.735,9.742,43778,2926
2005-03-08,9.735,9.754,9.708,9.708,40540,2926
2005-03-09,9.649,9.693,9.631,9.631,51945,2926
2005-03-10,9.626,9.657,9.613,9.62,70594,2926
2005-03-11,9.603,9.603,9.524,9.559,38995,2926
2005-03-14,9.537,9.537,9.505,9.531,46706,2926
2005-03-15,9.537,9.559,9.4758,9.4758,67510,2926
2005-03-16,9.4698,9.4698,9.4155,9.4321,57800,2926
2005-03-17,9.4272,9.4827,9.4086,9.447,35912,2926
2005-03-18,9.4222,9.4272,9.4017,9.4155,32520,2926
2005-03-21,9.4155,9.44,9.3482,9.3482,77844,2926
2005-03-22,9.3403,9.4017,9.3336,9.3403,34524,2926
2005-03-23,9.3482,9.3482,9.1492,9.1794,55026,2926
2005-03-24,9.246,9.246,9.1425,9.1715,41922,2926
2005-03-28,9.1667,9.2319,9.1377,9.162,91398,2926
2005-03-29,9.162,9.1917,9.1166,9.1166,105268,2926
2005-03-30,9.1018,9.1667,9.095,9.1492,69668,2926
2005-03-31,9.2126,9.3403,9.1715,9.2871,77844,2926
2005-04-01,9.3336,9.4017,9.3144,9.3336,55949,2926
2005-04-04,9.3026,9.3336,9.2798,9.3144,51171,2926
2005-04-05,9.2978,9.3336,9.2978,9.3026,39455,2926
2005-04-06,9.3086,9.4155,9.3086,9.383,45311,2926
2005-04-07,9.3688,9.4321,9.3086,9.3144,36833,2926
2005-04-08,9.3026,9.3261,9.273,9.2871,21888,2926
2005-04-11,9.1018,9.2319,9.095,9.2254,164451,2926
2005-04-12,9.2398,9.3144,9.2319,9.3086,64575,2926
2005-04-13,9.2654,9.3026,9.2584,9.2584,51792,2926
2005-04-14,9.2507,9.2871,9.2398,9.246,45932,2926
2005-04-15,9.246,9.3026,9.246,9.3026,47319,2926
2005-04-18,9.273,9.3202,9.2584,9.3026,56562,2926
2005-04-19,9.3144,9.3571,9.3026,9.3336,58414,2926
2005-04-20,9.2978,9.3261,9.2978,9.3026,29285,2926
2005-04-21,9.3026,9.3482,9.3026,9.3144,34375,2926
2005-04-22,9.3144,9.3482,9.2978,9.3086,31450,2926
2005-04-25,9.2978,9.3482,9.293,9.3482,28974,2926
2005-04-26,9.3571,9.3629,9.3144,9.3202,58414,2926
2005-04-27,9.3261,9.3688,9.3261,9.3403,25120,2926
2005-04-28,9.3261,9.3888,9.3261,9.3888,26819,2926
2005-04-29,9.4155,9.4272,9.3888,9.4017,27741,2926
2005-05-02,9.383,9.44,9.383,9.4017,52405,2926
2005-05-03,9.4272,9.452,9.3888,9.452,38534,2926
2005-05-04,9.4222,9.447,9.3968,9.447,71827,2926
2005-05-05,9.4578,9.511,9.4578,9.505,61351,2926
2005-05-06,9.4578,9.4897,9.4222,9.4321,30057,2926
2005-05-09,9.4155,9.4758,9.4155,9.4758,30830,2926
2005-05-10,9.4321,9.524,9.4321,9.4897,37912,2926
2005-05-11,9.4897,9.511,9.44,9.4698,15570,2926
2005-05-12,9.511,9.531,9.4628,9.4758,46852,2926
2005-05-13,9.4827,9.559,9.4758,9.4897,51328,2926
2005-05-16,9.4628,9.518,9.4578,9.4827,83387,2926
2005-05-17,9.4758,9.511,9.4578,9.4758,51171,2926
2005-05-18,9.4977,9.559,9.4977,9.559,26356,2926
2005-05-19,9.574,9.574,9.518,9.518,29285,2926
2005-05-20,9.4977,9.553,9.4977,9.511,17410,2926
2005-05-23,9.546,9.559,9.511,9.511,34681,2926
2005-05-24,9.546,9.591,9.531,9.559,34219,2926
2005-05-25,9.585,9.591,9.518,9.537,43312,2926
2005-05-26,9.546,9.574,9.518,9.565,92172,2926
2005-05-27,9.559,9.579,9.524,9.531,31593,2926
2005-05-31,9.574,9.579,9.546,9.559,55949,2926
2005-06-01,9.579,9.62,9.565,9.585,56724,2926
2005-06-02,9.585,9.585,9.553,9.574,74909,2926
2005-06-03,9.579,9.62,9.559,9.565,103117,2926
2005-06-06,9.574,9.631,9.546,9.585,84157,2926
2005-06-07,9.574,9.631,9.574,9.603,38839,2926
2005-06-08,9.608,9.626,9.603,9.608,32831,2926
2005-06-09,9.613,9.613,9.579,9.608,68899,2926
2005-06-10,9.643,9.643,9.585,9.613,62581,2926
2005-06-13,9.546,9.565,9.4897,9.4897,51171,2926
2005-06-14,9.4897,9.4977,9.4628,9.4628,56724,2926
2005-06-15,9.4628,9.4758,9.4321,9.4628,49475,2926
2005-06-16,9.4628,9.4698,9.447,9.4578,47319,2926
2005-06-17,9.4578,9.4698,9.4578,9.4628,91087,2926
2005-06-20,9.447,9.4698,9.44,9.4578,76451,2926
2005-06-21,9.4628,9.4698,9.4321,9.4578,97725,2926
2005-06-22,9.4628,9.531,9.4578,9.4977,60577,2926
2005-06-23,9.4758,9.524,9.4758,9.524,45471,2926
2005-06-24,9.591,9.591,9.524,9.565,41612,2926
2005-06-27,9.585,9.585,9.574,9.579,39919,2926
2005-06-28,9.537,9.579,9.531,9.553,25280,2926
2005-06-29,9.585,9.608,9.511,9.531,92782,2926
2005-06-30,9.598,9.598,9.537,9.579,77681,2926
2005-07-01,9.546,9.585,9.524,9.553,21422,2926
2005-07-05,9.518,9.574,9.518,9.565,74443,2926
2005-07-06,9.546,9.608,9.537,9.591,53482,2926
2005-07-07,9.62,9.62,9.579,9.585,41458,2926
2005-07-08,9.565,9.603,9.553,9.603,73063,2926
2005-07-11,9.598,9.631,9.559,9.631,30830,2926
2005-07-12,9.608,9.643,9.591,9.643,38227,2926
2005-07-13,9.62,9.62,9.574,9.574,49785,2926
2005-07-14,9.608,9.608,9.553,9.565,55332,2926
2005-07-15,9.553,9.585,9.553,9.559,41151,2926
2005-07-18,9.559,9.559,9.4977,9.537,100339,2926
2005-07-19,9.546,9.546,9.505,9.546,21116,2926
2005-07-20,9.524,9.559,9.505,9.537,27438,2926
2005-07-21,9.553,9.559,9.4977,9.505,27586,2926
2005-07-22,9.4827,9.574,9.4827,9.546,18347,2926
2005-07-25,9.524,9.537,9.511,9.524,20193,2926
2005-07-26,9.537,9.579,9.511,9.559,41151,2926
2005-07-27,9.553,9.62,9.553,9.574,64430,2926
2005-07-28,9.559,9.637,9.559,9.626,22348,2926
2005-07-29,9.665,9.665,9.553,9.579,50097,2926
2005-08-01,9.579,9.591,9.559,9.574,37452,2926
2005-08-02,9.579,9.608,9.565,9.608,28208,2926
2005-08-03,9.613,9.665,9.603,9.62,28208,2926
2005-08-04,9.603,9.649,9.565,9.574,80620,2926
2005-08-05,9.537,9.591,9.524,9.574,60417,2926
2005-08-08,9.524,9.591,9.524,9.553,32674,2926
2005-08-09,9.518,9.559,9.518,9.531,35912,2926
2005-08-10,9.518,9.565,9.518,9.565,30365,2926
2005-08-11,9.4897,9.546,9.4897,9.531,28827,2926
2005-08-12,9.531,9.565,9.531,9.546,14332,2926
2005-08-15,9.531,9.565,9.531,9.559,20503,2926
2005-08-16,9.559,9.574,9.546,9.546,27281,2926
2005-08-17,9.546,9.591,9.546,9.574,27125,2926
2005-08-18,9.559,9.585,9.546,9.559,20346,2926
2005-08-19,9.546,9.574,9.537,9.553,33292,2926
2005-08-22,9.537,9.574,9.524,9.559,17571,2926
2005-08-23,9.553,9.598,9.531,9.598,47319,2926
2005-08-24,9.608,9.631,9.585,9.608,18963,2926
2005-08-25,9.603,9.657,9.603,9.631,41775,2926
2005-08-26,9.637,9.657,9.585,9.585,40540,2926
2005-08-29,9.608,9.657,9.585,9.598,52717,2926
2005-08-30,9.626,9.649,9.591,9.608,41612,2926
2005-08-31,9.631,9.649,9.613,9.626,36996,2926
2005-09-01,9.643,9.68,9.62,9.673,61963,2926
2005-09-02,9.649,9.68,9.643,9.673,62424,2926
2005-09-06,9.657,9.685,9.631,9.657,48241,2926
2005-09-07,9.643,9.68,9.631,9.657,28364,2926
2005-09-08,9.626,9.665,9.62,9.631,38995,2926
2005-09-09,9.665,9.68,9.649,9.657,30521,2926
2005-09-12,9.649,9.685,9.643,9.68,19885,2926
2005-09-13,9.631,9.665,9.631,9.637,51481,2926
2005-09-14,9.62,9.637,9.598,9.613,54249,2926
2005-09-15,9.598,9.626,9.591,9.591,55183,2926
2005-09-16,9.591,9.613,9.585,9.608,44849,2926
2005-09-19,9.608,9.62,9.559,9.598,46706,2926
2005-09-20,9.579,9.608,9.565,9.565,23123,2926
2005-09-21,9.574,9.603,9.574,9.603,18806,2926
2005-09-22,9.603,9.62,9.574,9.574,29745,2926
2005-09-23,9.579,9.579,9.4977,9.531,58414,2926
2005-09-26,9.505,9.505,9.4155,9.4827,55643,2926
2005-09-27,9.4698,9.4977,9.4321,9.4321,48088,2926
2005-09-28,9.4086,9.4897,9.4086,9.4897,29437,2926
2005-09-29,9.4897,9.4897,9.4321,9.44,55183,2926
2005-09-30,9.4698,9.4977,9.4578,9.4977,33906,2926
2005-10-03,9.505,9.537,9.447,9.4628,32216,2926
2005-10-04,9.44,9.4758,9.44,9.4578,28208,2926
2005-10-05,9.452,9.4897,9.452,9.4578,26052,2926
2005-10-06,9.4321,9.4698,9.4155,9.4155,35756,2926
2005-10-07,9.3888,9.447,9.3888,9.44,13255,2926
2005-10-10,9.4086,9.4272,9.3968,9.4017,13410,2926
2005-10-11,9.3741,9.4578,9.3741,9.447,24045,2926
2005-10-12,9.2978,9.3403,9.2798,9.2978,118063,2926
2005-10-13,9.2798,9.2978,9.1425,9.1917,84927,2926
2005-10-14,9.1552,9.2584,9.1166,9.1492,62886,2926
2005-10-17,9.1492,9.2002,9.1492,9.1552,130393,2926
2005-10-18,9.162,9.2069,9.1377,9.1667,105731,2926
2005-10-19,9.1425,9.2069,9.1166,9.1917,84770,2926
2005-10-20,9.1377,9.2126,9.1377,9.1552,57952,2926
2005-10-21,9.162,9.2398,9.162,9.2398,38071,2926
2005-10-24,9.246,9.2654,9.1715,9.2175,60577,2926
2005-10-25,9.2126,9.2398,9.1715,9.2175,83387,2926
2005-10-26,9.2126,9.2254,9.162,9.162,53176,2926
2005-10-27,9.1243,9.2069,9.1243,9.1917,51481,2926
2005-10-28,9.1794,9.2254,9.1715,9.2254,68277,2926
2005-10-31,9.293,9.3403,9.273,9.3086,281750,2926
2005-11-01,9.3336,9.3629,9.273,9.273,320752,2926
2005-11-02,9.3026,9.3261,9.2584,9.293,199136,2926
2005-11-03,9.3026,9.3336,9.2871,9.3144,125619,2926
2005-11-04,9.3202,9.4086,9.293,9.3261,203146,2926
2005-11-07,9.4222,9.4222,9.3144,9.3336,256937,2926
2005-11-08,9.3261,9.3629,9.3144,9.3482,185117,2926
2005-11-09,9.3741,9.3741,9.2798,9.3202,255550,2926
2005-11-10,9.3026,9.3336,9.1794,9.2002,281600,2926
2005-11-11,9.246,9.2584,9.1492,9.1667,200058,2926
2005-11-14,9.2507,9.2507,9.1552,9.162,315352,2926
2005-11-15,9.2254,9.2319,9.162,9.1861,137020,2926
2005-11-16,9.1917,9.2871,9.1794,9.2398,162458,2926
2005-11-17,9.3026,9.3026,9.2398,9.273,82925,2926
2005-11-18,9.2254,9.273,9.1861,9.2507,136097,2926
2005-11-21,9.3403,9.3403,9.1794,9.1917,198678,2926
2005-11-22,9.1794,9.2175,9.1552,9.2002,96945,2926
2005-11-23,9.2126,9.2584,9.1861,9.2398,90328,2926
2005-11-25,9.2398,9.2798,9.1794,9.2002,80149,2926
2005-11-28,9.2254,9.2584,9.2002,9.2507,102338,2926
2005-11-29,9.2584,9.2871,9.2002,9.2584,127464,2926
2005-11-30,9.3403,9.3968,9.273,9.2871,180793,2926
2005-12-01,9.2871,9.3261,9.2507,9.2978,82767,2926
2005-12-02,9.2871,9.3629,9.2871,9.3403,81536,2926
2005-12-05,9.3026,9.3336,9.2507,9.3026,84157,2926
2005-12-06,9.273,9.3261,9.273,9.273,62270,2926
2005-12-07,9.273,9.3403,9.273,9.3336,71513,2926
2005-12-08,9.3336,9.3336,9.2654,9.3336,112205,2926
2005-12-09,9.3336,9.3336,9.2507,9.2654,94328,2926
2005-12-12,9.2584,9.2978,9.246,9.2507,112053,2926
2005-12-13,9.2319,9.2871,9.1861,9.2398,182344,2926
2005-12-14,9.2319,9.2654,9.2126,9.2398,118685,2926
2005-12-15,9.2654,9.3261,9.2319,9.2507,102194,2926
2005-12-16,9.2126,9.2978,9.2126,9.2507,83693,2926
2005-12-19,9.2254,9.2871,9.2069,9.2069,167541,2926
2005-12-20,9.2002,9.2798,9.162,9.2175,187427,2926
2005-12-21,9.2507,9.2584,9.1794,9.1794,108975,2926
2005-12-22,9.2175,9.2398,9.1715,9.2254,144419,2926
2005-12-23,9.2175,9.2978,9.2175,9.293,90938,2926
2005-12-27,9.293,9.3741,9.273,9.3403,212550,2926
2005-12-28,9.3261,9.3888,9.3086,9.3888,180335,2926
2005-12-29,9.3403,9.3888,9.3202,9.3629,205766,2926
2005-12-30,9.4628,9.4827,9.3482,9.3741,186040,2926
2006-01-03,9.3688,9.4698,9.3482,9.44,201293,2926
2006-01-04,9.4155,9.546,9.4086,9.4977,141645,2926
2006-01-05,9.537,9.537,9.4897,9.524,100339,2926
2006-01-06,9.524,9.546,9.4897,9.505,56724,2926
2006-01-09,9.505,9.626,9.505,9.603,84157,2926
2006-01-10,9.649,9.665,9.579,9.603,133167,2926
2006-01-11,9.518,9.603,9.511,9.574,118063,2926
2006-01-12,9.598,9.657,9.537,9.613,96028,2926
2006-01-13,9.603,9.637,9.579,9.598,68277,2926
2006-01-17,9.637,9.637,9.591,9.613,42384,2926
2006-01-18,9.68,9.685,9.579,9.603,59032,2926
2006-01-19,9.585,9.649,9.585,9.62,38380,2926
2006-01-20,9.643,9.68,9.598,9.62,70898,2926
2006-01-23,9.62,9.673,9.62,9.649,64891,2926
2006-01-24,9.626,9.673,9.626,9.637,39612,2926
2006-01-25,9.68,9.68,9.62,9.631,67510,2926
2006-01-26,9.665,9.68,9.608,9.626,141645,2926
2006-01-27,9.603,9.643,9.591,9.608,47627,2926
2006-01-30,9.62,9.649,9.591,9.631,117756,2926
2006-01-31,9.701,9.701,9.591,9.603,67510,2926
2006-02-01,9.603,9.649,9.591,9.631,67355,2926
2006-02-02,9.631,9.631,9.565,9.579,91087,2926
2006-02-03,9.565,9.637,9.524,9.608,244302,2926
2006-02-06,9.643,9.643,9.608,9.613,63194,2926
2006-02-07,9.585,9.657,9.585,9.62,58414,2926
2006-02-08,9.603,9.643,9.603,9.631,158910,2926
2006-02-09,9.637,9.649,9.603,9.613,47627,2926
2006-02-10,9.608,9.649,9.591,9.603,69509,2926
2006-02-13,9.574,9.603,9.546,9.574,68435,2926
2006-02-14,9.524,9.574,9.4977,9.4977,73978,2926
2006-02-15,9.4758,9.553,9.4698,9.546,66433,2926
2006-02-16,9.531,9.559,9.524,9.559,61351,2926
2006-02-17,9.559,9.603,9.559,9.591,56878,2926
2006-02-21,9.579,9.613,9.574,9.603,117141,2926
2006-02-22,9.574,9.657,9.574,9.613,69509,2926
2006-02-23,9.637,9.657,9.598,9.603,101881,2926
2006-02-24,9.603,9.626,9.591,9.598,116063,2926
2006-02-27,9.608,9.608,9.598,9.598,141345,2926
2006-02-28,9.608,9.631,9.591,9.62,129468,2926
2006-03-01,9.643,9.643,9.603,9.613,116837,2926
2006-03-02,9.598,9.631,9.598,9.608,56415,2926
2006-03-03,9.603,9.626,9.591,9.591,149053,2926
2006-03-06,9.591,9.626,9.546,9.579,123617,2926
2006-03-07,9.559,9.608,9.524,9.565,55795,2926
2006-03-08,9.565,9.608,9.531,9.608,149349,2926
2006-03-09,9.603,9.608,9.553,9.574,94636,2926
2006-03-10,9.565,9.608,9.565,9.591,75676,2926
2006-03-13,9.559,9.574,9.524,9.524,125928,2926
2006-03-14,9.518,9.559,9.4977,9.511,78914,2926
2006-03-15,9.505,9.553,9.4897,9.4977,96175,2926
2006-03-16,9.537,9.546,9.4897,9.537,299937,2926
2006-03-17,9.537,9.553,9.4897,9.524,62424,2926
2006-03-20,9.505,9.598,9.505,9.574,102497,2926
2006-03-21,9.546,9.608,9.524,9.574,94948,2926
2006-03-22,9.559,9.598,9.553,9.565,36069,2926
2006-03-23,9.565,9.62,9.546,9.585,120377,2926
2006-03-24,9.603,9.62,9.574,9.579,146577,2926
2006-03-27,9.585,9.626,9.574,9.579,77221,2926
2006-03-28,9.574,9.603,9.553,9.574,86011,2926
2006-03-29,9.565,9.631,9.565,9.608,76140,2926
2006-03-30,9.62,9.637,9.537,9.574,108975,2926
2006-03-31,9.631,9.631,9.553,9.579,96028,2926
2006-04-03,9.579,9.62,9.553,9.585,176943,2926
2006-04-04,9.559,9.613,9.553,9.565,89704,2926
2006-04-05,9.553,9.598,9.553,9.585,61187,2926
2006-04-06,9.553,9.603,9.553,9.574,85697,2926
2006-04-07,9.591,9.603,9.531,9.537,100185,2926
2006-04-10,9.559,9.574,9.524,9.559,87548,2926
2006-04-11,9.4827,9.518,9.4758,9.511,65197,2926
2006-04-12,9.511,9.518,9.4272,9.452,65967,2926
2006-04-13,9.505,9.511,9.4222,9.4321,96487,2926
