Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,14.76,14.788,14.644,14.728,2990,410
2005-02-28,14.847,14.932,14.819,14.879,3369,410
2005-03-01,14.905,15.052,14.905,15.052,713,410
2005-03-02,14.879,14.996,14.819,14.905,2754,410
2005-03-03,14.819,14.879,14.699,14.699,1565,410
2005-03-04,14.728,14.788,14.644,14.644,2583,410
2005-03-07,14.932,14.964,14.644,14.819,2897,410
2005-03-08,14.76,14.847,14.699,14.819,7419,410
2005-03-09,14.671,14.76,14.61,14.699,3505,410
2005-03-10,14.551,14.76,14.374,14.699,6326,410
2005-03-11,14.344,14.494,14.292,14.318,3464,410
2005-03-14,14.258,14.374,14.112,14.374,4728,410
2005-03-15,14.201,14.407,14.201,14.407,923,410
2005-03-16,14.139,14.226,14.054,14.054,2007,410
2005-03-17,14.054,14.201,13.639,13.849,11396,410
2005-03-18,13.849,13.939,13.669,13.669,3195,410
2005-03-21,13.639,13.669,13.553,13.669,6265,410
2005-03-22,13.315,13.315,12.967,13.087,12419,410
2005-03-23,13.024,13.112,13.024,13.081,7962,410
2005-03-24,13.054,13.171,13.024,13.112,5410,410
2005-03-28,13.112,13.197,13.024,13.197,1774,410
2005-03-29,13.197,13.232,13.024,13.024,4822,410
2005-03-30,13.171,13.669,13.171,13.289,4589,410
2005-03-31,13.433,13.903,13.263,13.669,5914,410
2005-04-01,13.757,13.939,13.669,13.787,1834,410
2005-04-04,13.787,14.112,13.669,14.112,1458,410
2005-04-05,13.903,13.966,13.669,13.966,1536,410
2005-04-06,13.819,13.882,13.819,13.819,473,410
2005-04-07,13.669,13.819,13.553,13.553,3545,410
2005-04-08,13.639,13.639,13.524,13.553,2583,410
2005-04-11,13.524,13.586,13.524,13.586,948,410
2005-04-12,13.408,13.524,13.263,13.379,1834,410
2005-04-13,13.171,13.379,13.171,13.379,1388,410
2005-04-14,13.197,13.232,12.967,13.081,5201,410
2005-04-15,12.996,12.996,12.789,12.82,5947,410
2005-04-18,12.73,12.874,12.639,12.874,6089,410
2005-04-19,13.171,13.232,12.936,12.996,6562,410
2005-04-20,13.171,13.171,12.996,13.112,2656,410
2005-04-21,12.967,13.081,12.874,12.967,3805,410
2005-04-22,12.874,13.112,12.874,13.112,1742,410
2005-04-25,13.054,13.263,13.054,13.054,2390,410
2005-04-26,13.054,13.171,12.996,13.171,2687,410
2005-04-27,12.996,13.197,12.996,13.197,680,410
2005-04-28,13.232,13.289,13.054,13.289,2007,410
2005-04-29,13.289,13.494,13.112,13.433,5473,410
2005-05-02,13.433,13.433,13.289,13.289,1301,410
2005-05-03,13.263,13.433,13.263,13.433,1126,410
2005-05-04,13.289,13.433,13.289,13.315,4289,410
2005-05-05,13.263,13.464,13.232,13.315,3634,410
2005-05-06,13.315,13.494,13.315,13.315,3195,410
2005-05-09,13.145,13.464,13.112,13.464,2390,410
2005-05-10,13.494,13.787,13.494,13.757,2183,410
2005-05-11,13.433,13.524,13.379,13.524,11736,410
2005-05-12,13.433,13.494,13.379,13.494,1632,410
2005-05-13,13.379,13.433,13.347,13.433,3946,410
2005-05-16,13.347,13.408,13.347,13.379,2070,410
2005-05-17,13.494,13.613,13.293,13.464,4289,410
2005-05-18,13.379,13.379,13.315,13.347,1503,410
2005-05-19,13.347,13.494,13.347,13.464,862,410
2005-05-20,13.347,13.586,13.315,13.315,2183,410
2005-05-23,13.347,13.639,13.347,13.639,2445,410
2005-05-24,13.433,13.524,13.433,13.464,2271,410
2005-05-25,13.464,13.639,13.464,13.586,1388,410
2005-05-26,13.586,13.639,13.408,13.464,1062,410
2005-05-27,13.639,13.787,13.408,13.787,1657,410
2005-05-31,14.112,14.494,13.819,13.903,10753,410
2005-06-01,13.787,14.374,13.787,14.258,2858,410
2005-06-02,14.082,14.112,13.939,14.112,1181,410
2005-06-03,14.112,14.699,14.112,14.699,4289,410
2005-06-06,14.525,14.76,14.525,14.699,4526,410
2005-06-07,14.699,14.728,14.551,14.551,1632,410
2005-06-08,14.494,14.525,14.494,14.494,971,410
2005-06-09,14.671,14.671,14.112,14.463,7275,410
2005-06-10,14.61,14.61,14.258,14.258,2786,410
