Date,Open,High,Low,Close,Volume,stock_id
2015-07-07,25.05,25.07,24.95,25.02,40777,535
2015-07-08,25.05,25.08,25.0,25.04,53028,535
2015-07-09,25.15,25.15,24.9,24.99,31812,535
2015-07-10,25.05,25.1,24.98,25.0,44588,535
2015-07-13,25.04,25.2,25.01,25.12,69365,535
2015-07-14,25.11,25.35,25.11,25.35,20687,535
2015-07-15,25.42,25.45,25.25,25.45,22929,535
2015-07-16,25.57,25.6,25.5,25.54,31579,535
2015-07-17,25.68,25.68,25.55,25.55,14407,535
2015-07-20,25.64,25.64,25.57,25.61,11495,535
2015-07-21,25.71,25.71,25.56,25.6,9405,535
2015-07-22,25.55,25.65,25.5,25.585,116708,535
2015-07-23,25.46,25.6,25.46,25.55,5550,535
2015-07-24,25.47,25.5,25.47,25.47,6077,535
2015-07-27,25.5,25.5,25.26,25.44,9549,535
2015-07-28,25.51,25.69,25.51,25.6,11746,535
2015-07-29,25.6,25.6,25.48,25.51,269017,535
2015-07-30,25.68,25.75,25.6,25.75,90053,535
2015-07-31,25.7,25.8,25.6,25.75,4696,535
2015-08-03,25.63,25.63,25.63,25.63,2000,535
2015-08-04,25.75,25.75,25.63,25.7,3957,535
2015-08-05,25.661,25.7,25.61,25.61,6782,535
2015-08-06,25.7,25.7,25.59,25.69,8708,535
2015-08-07,25.6,25.74,25.54,25.74,3707,535
2015-08-10,25.64,25.7,25.52,25.53,5248,535
2015-08-11,25.63,25.63,25.55,25.58,9557,535
2015-08-12,25.6,25.602,25.51,25.53,14026,535
2015-08-13,25.576,25.59,25.53,25.55,4547,535
2015-08-14,25.62,25.7,25.59,25.65,12143,535
2015-08-17,25.7,25.7,25.65,25.65,15195,535
2015-08-18,25.75,25.75,25.7,25.7,4272,535
2015-08-19,25.75,25.75,25.65,25.65,37060,535
2015-08-20,25.71,25.71,25.65,25.65,5109,535
2015-08-21,25.72,25.72,25.51,25.51,6329,535
2015-08-24,25.32,25.498,25.3,25.32,11508,535
2015-08-25,25.55,25.55,25.24,25.49,8094,535
2015-08-26,25.6,25.66,25.19,25.32,12203,535
2015-08-27,25.259,25.5,25.259,25.42,2617,535
2015-08-28,25.55,25.55,25.55,25.55,1348,535
2015-08-31,25.54,25.78,25.45,25.78,14032,535
2015-09-01,25.77,25.82,25.761,25.8,1122,535
2015-09-02,25.85,25.85,25.61,25.75,3293,535
2015-09-03,25.85,25.85,25.68,25.68,921,535
2015-09-04,25.83,25.9,25.82,25.9,2267,535
2015-09-08,25.83,25.83,25.52,25.52,8124,535
2015-09-09,25.11,25.62,25.11,25.5,13528,535
2015-09-10,25.6,25.6,25.32,25.48,10644,535
2015-09-11,25.5,25.5,25.352,25.5,3191,535
2015-09-14,25.59,28.31,25.4,25.44,21862,535
2015-09-15,25.4,25.42,25.4,25.4,8001,535
2015-09-16,25.5,25.65,25.47,25.65,9832,535
2015-09-17,25.95,25.95,25.45,25.64,10736,535
2015-09-18,26.05,26.05,25.55,25.7,4169,535
2015-09-21,25.95,26.13,25.65,25.75,18828,535
2015-09-22,25.98,25.98,25.58,25.97,6318,535
2015-09-23,26.0,26.0,25.64,25.79,8066,535
2015-09-24,25.88,25.88,25.51,25.56,6698,535
2015-09-25,25.67,25.99,25.601,25.99,14038,535
2015-09-28,25.98,26.232,25.79,26.06,35572,535
2015-09-29,26.32,26.32,25.91,26.05,10657,535
2015-09-30,26.33,26.33,25.61,25.62,19031,535
2015-10-01,25.8,25.99,25.74,25.91,4466,535
2015-10-02,25.9,26.0,25.55,25.98,15795,535
2015-10-05,25.89,26.04,25.8,26.0,2644,535
2015-10-06,25.87,26.07,25.82,26.04,10281,535
2015-10-07,26.21,26.25,25.73,25.73,15619,535
2015-10-08,25.84,25.92,25.72,25.89,2517,535
2015-10-09,25.9,25.95,25.75,25.85,6519,535
2015-10-12,25.76,25.94,25.76,25.94,511,535
2015-10-13,25.93,26.11,25.9,26.1,4307,535
2015-10-14,26.1,26.12,25.85,25.86,4321,535
2015-10-15,25.96,26.05,25.87,25.99,13134,535
2015-10-16,26.0,26.09,25.94,26.06,4500,535
2015-10-19,26.06,26.141,25.985,26.1,7953,535
2015-10-20,26.17,26.287,26.1,26.23,10195,535
2015-10-21,26.33,26.33,26.14,26.16,2491,535
2015-10-22,26.3,26.33,25.9,26.1,68907,535
2015-10-23,26.23,26.23,26.14,26.19,1280,535
2015-10-26,26.15,26.21,26.11,26.111,2955,535
2015-10-27,26.16,26.16,25.99,25.99,7465,535
2015-10-28,25.99,26.13,25.99,26.095,6216,535
2015-10-29,26.12,26.25,26.06,26.23,64994,535
2015-10-30,26.193,26.25,26.17,26.241,2709,535
2015-11-02,26.25,26.75,26.17,26.66,4460,535
2015-11-03,26.82,26.82,26.51,26.51,2867,535
2015-11-04,26.79,26.79,26.45,26.608,1897,535
2015-11-05,26.76,26.79,26.25,26.53,25381,535
2015-11-06,26.75,26.75,26.22,26.3,2873,535
2015-11-09,26.24,26.52,26.16,26.32,8060,535
2015-11-10,26.46,26.55,26.348,26.55,2652,535
2015-11-11,26.75,26.75,26.151,26.33,7927,535
2015-11-12,26.4,26.46,26.315,26.35,2920,535
2015-11-13,26.42,26.53,26.42,26.53,17007,535
2015-11-16,26.4,26.4,26.23,26.4,1794,535
2015-11-17,26.4,26.55,26.4,26.55,10808,535
2015-11-18,26.54,26.63,26.45,26.63,23448,535
2015-11-19,26.65,26.65,26.5,26.6,20768,535
2015-11-20,26.78,26.799,26.61,26.77,5864,535
2015-11-23,27.05,27.05,26.911,26.96,4178,535
2015-11-24,27.7,27.7,26.95,27.09,15062,535
2015-11-25,27.15,27.15,26.922,26.972,2791,535
2015-11-27,27.15,27.15,26.72,27.1,1173,535
2015-11-30,27.15,27.15,26.71,26.85,4934,535
2015-12-01,27.15,27.15,26.861,27.05,6507,535
2015-12-02,27.15,27.15,27.05,27.1,2529,535
2015-12-03,27.13,27.13,26.9,27.095,3938,535
2015-12-04,27.14,27.14,26.84,27.05,5582,535
2015-12-07,27.05,27.1,26.71,27.08,4101,535
2015-12-08,27.07,27.1,26.72,26.93,10789,535
2015-12-09,26.8,26.87,26.38,26.6,10959,535
2015-12-10,26.77,26.77,26.5,26.55,9348,535
2015-12-11,26.63,26.63,26.33,26.5,3437,535
2015-12-14,26.5,26.5,26.07,26.17,5725,535
2015-12-15,26.31,26.32,25.99,26.22,16203,535
2015-12-16,26.45,26.5,26.141,26.49,2591,535
2015-12-17,26.59,26.65,26.192,26.47,8184,535
2015-12-18,26.55,26.6,26.5,26.6,4278,535
2015-12-21,26.7,26.7,26.45,26.58,5626,535
2015-12-22,26.7,26.7,26.35,26.36,6249,535
2015-12-23,26.66,26.79,26.5,26.62,9435,535
2015-12-24,26.78,26.78,26.646,26.65,2663,535
2015-12-28,26.86,26.88,26.65,26.87,3487,535
2015-12-29,27.025,27.14,26.85,26.94,7442,535
2015-12-30,27.2,27.27,27.19,27.27,4917,535
2015-12-31,27.27,27.75,27.27,27.4,5298,535
2016-01-04,27.55,27.75,27.05,27.69,14796,535
2016-01-05,27.73,27.82,27.5,27.5,8991,535
2016-01-06,27.68,27.8099,27.5,27.78,2198,535
2016-01-07,27.25,27.77,27.07,27.77,5691,535
2016-01-08,27.95,27.95,27.5001,27.51,5913,535
2016-01-11,27.78,27.78,27.68,27.74,3044,535
2016-01-12,28.07,28.07,27.57,27.6,9926,535
2016-01-13,27.65,27.65,27.02,27.65,8637,535
2016-01-14,27.84,27.84,27.5201,27.7136,4760,535
2016-01-15,27.73,27.73,26.86,27.55,6568,535
2016-01-19,26.56,26.56,26.56,26.56,0,535
2016-01-20,26.95,27.16,25.99,26.64,11523,535
2016-01-21,26.73,26.8,26.0,26.49,13563,535
2016-01-22,26.45,26.45,26.01,26.06,13866,535
2016-01-25,26.22,26.279,25.94,26.196,4210,535
2016-01-26,26.19,26.63,25.86,26.5,12239,535
2016-01-27,26.5,27.18,26.4,26.93,10959,535
2016-01-28,27.21,27.4,27.0472,27.2299,4452,535
2016-01-29,27.25,27.25,26.5801,26.92,15648,535
2016-02-01,27.17,27.34,26.81,27.3,12821,535
2016-02-02,27.35,27.48,26.8101,27.48,7676,535
2016-02-03,27.5,27.5,26.65,27.121,13149,535
2016-02-04,27.36,27.36,27.02,27.1116,6464,535
2016-02-05,27.4,27.5,27.35,27.35,9552,535
2016-02-08,27.56,27.58,27.2,27.35,6446,535
2016-02-09,27.35,27.42,26.42,27.2922,9167,535
2016-02-10,27.47,27.47,26.251,26.55,14579,535
2016-02-11,26.88,26.88,25.75,25.75,8779,535
2016-02-12,26.7,26.9,25.46,25.69,9216,535
2016-02-16,26.0,26.24,25.16,25.46,12349,535
2016-02-17,25.8,26.19,25.6849,25.88,7337,535
2016-02-18,25.99,25.9979,25.6601,25.84,5110,535
2016-02-19,25.95,26.29,25.8301,26.16,10871,535
2016-02-22,26.5,26.88,26.24,26.5,6497,535
2016-02-23,26.6,26.85,26.2,26.8,7594,535
2016-02-24,27.02,27.07,26.31,26.5,6190,535
2016-02-25,26.88,27.0,26.5,27.0,8055,535
2016-02-26,27.15,27.359,26.6,27.22,5477,535
2016-02-29,26.95,27.55,26.95,27.36,12100,535
2016-03-01,27.34,27.6,27.0501,27.1001,11807,535
2016-03-02,27.4,27.496,26.92,26.9849,3376,535
2016-03-03,27.3,27.3,26.66,27.0,6280,535
