Date,Open,High,Low,Close,Volume,stock_id
2016-05-27,9.694,9.848,9.603,9.848,17326,6897
2016-05-31,9.912,9.912,9.556,9.835,6479,6897
2016-06-01,9.687,9.989,9.569,9.982,9026,6897
2016-06-02,10.257,10.257,9.717,10.237,7175,6897
2016-06-03,10.12,10.12,10.12,10.12,684,6897
2016-06-06,10.315,10.452,10.261,10.402,45800,6897
2016-06-07,10.549,10.59,10.549,10.59,18260,6897
2016-06-08,10.241,10.257,10.201,10.257,23239,6897
2016-06-09,9.883,9.883,9.878,9.882,13701,6897
2016-06-10,9.522,9.522,8.7805,8.8483,59614,6897
2016-06-13,8.14,8.5889,7.4007,7.4007,107883,6897
2016-06-14,7.3846,7.5015,7.1931,7.4948,169571,6897
2016-06-15,7.6359,7.8275,7.5755,7.5755,62530,6897
2016-06-16,7.5587,7.8577,6.9316,7.8577,130218,6897
2016-06-17,7.8208,7.8577,7.6628,7.7267,149993,6897
2016-06-20,8.2435,8.5862,8.2435,8.3174,87370,6897
2016-06-21,8.3947,8.3947,8.1528,8.1528,41934,6897
2016-06-22,8.2065,8.4787,7.8483,7.8483,29096,6897
2016-06-23,8.2851,8.6602,8.2851,8.6602,47529,6897
2016-06-24,7.1158,7.7435,5.9981,6.186,49823,6897
2016-06-27,6.4645,6.4813,5.737,5.9477,70732,6897
2016-06-28,6.2465,6.8308,6.2465,6.7797,46305,6897
2016-06-29,7.062,7.3194,7.062,7.2502,25545,6897
2016-06-30,7.2031,7.5082,7.1964,7.3685,42145,6897
2016-07-01,7.5351,7.7105,7.5351,7.7105,12118,6897
2016-07-05,7.4316,7.4316,7.3281,7.3281,15412,6897
2016-07-06,7.3806,7.7367,7.3268,7.7267,7342,6897
2016-07-07,7.9921,8.019,7.6124,7.7099,3306,6897
2016-07-08,8.2401,8.5486,8.2401,8.5486,16329,6897
2016-07-11,8.6198,8.6602,8.4915,8.5325,20751,6897
2016-07-12,8.7368,8.7368,8.6259,8.7005,4708,6897
2016-07-13,8.6964,8.7939,8.6696,8.7939,45800,6897
2016-07-14,8.8672,8.8672,8.8672,8.8672,1345,6897
2016-07-15,8.9545,8.9955,8.7637,8.9955,21712,6897
2016-07-18,9.0123,9.2623,9.0123,9.2623,3083,6897
2016-07-19,9.1696,9.1871,9.1602,9.1602,14362,6897
2016-07-20,9.4888,9.656,9.4888,9.6,26084,6897
2016-07-21,9.3981,9.3981,9.2375,9.3477,6675,6897
2016-07-22,9.4283,9.4283,9.4216,9.4216,1226,6897
2016-07-25,9.3242,9.4216,9.3242,9.4216,18177,6897
2016-07-26,9.653,9.734,9.59,9.68,12472,6897
2016-07-27,9.68,9.885,9.67,9.885,28602,6897
2016-07-28,9.869,10.257,9.869,10.257,2384,6897
2016-07-29,10.187,10.187,10.187,10.187,2994,6897
