Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,15.11,15.29,14.93,15.24,74858,2251
2005-02-28,15.2,15.25,14.81,14.91,114597,2251
2005-03-01,14.56,15.1,13.63,15.03,411864,2251
2005-03-02,14.85,15.26,14.77,14.95,215295,2251
2005-03-03,14.91,15.2,14.91,15.15,308476,2251
2005-03-04,15.29,15.41,15.06,15.3,102747,2251
2005-03-07,14.9,15.3,14.8,15.1,156599,2251
2005-03-08,14.79,14.93,14.05,14.5,390211,2251
2005-03-09,14.37,14.46,14.2,14.22,125633,2251
2005-03-10,14.0,14.14,13.7,14.01,149581,2251
2005-03-11,13.78,13.99,13.78,13.94,67507,2251
2005-03-14,13.84,14.36,13.84,14.35,80159,2251
2005-03-15,14.39,14.51,14.15,14.21,57288,2251
2005-03-16,14.16,14.3,13.89,13.93,144363,2251
2005-03-17,13.74,14.15,13.7,14.0,75249,2251
2005-03-18,14.31,14.32,12.56,13.25,348642,2251
2005-03-21,13.11,13.26,12.55,13.2,123851,2251
2005-03-22,12.94,13.41,12.83,12.85,66923,2251
2005-03-23,12.75,12.86,12.75,12.77,75211,2251
2005-03-24,12.76,13.48,12.76,13.1,128915,2251
2005-03-28,13.02,13.08,12.9,12.98,69313,2251
2005-03-29,13.01,13.05,12.37,12.54,120354,2251
2005-03-30,12.55,12.99,12.5,12.99,59876,2251
2005-03-31,12.99,12.99,12.45,12.74,119311,2251
2005-04-01,12.71,13.1,12.5,12.56,135314,2251
2005-04-04,12.31,13.01,12.31,12.8,136110,2251
2005-04-05,12.8,13.92,12.8,13.71,175226,2251
2005-04-06,13.98,14.0,13.53,13.65,310646,2251
2005-04-07,13.65,14.18,13.45,13.7,230217,2251
2005-04-08,13.97,13.99,13.37,13.54,179786,2251
2005-04-11,13.43,13.79,13.31,13.32,95518,2251
2005-04-12,13.02,13.85,12.49,13.75,168380,2251
2005-04-13,13.54,13.85,13.48,13.51,95246,2251
2005-04-14,13.64,13.9,12.92,12.99,90454,2251
2005-04-15,12.98,13.04,12.48,12.56,136621,2251
2005-04-18,12.56,13.59,12.56,13.52,206151,2251
2005-04-19,13.5,14.99,13.5,14.84,296062,2251
2005-04-20,14.68,14.68,13.56,13.62,201432,2251
2005-04-21,13.64,14.16,13.64,14.04,119295,2251
2005-04-22,13.99,14.02,12.87,13.09,182901,2251
2005-04-25,13.24,13.3,13.01,13.24,93011,2251
2005-04-26,13.1,13.24,12.95,13.08,120942,2251
2005-04-27,13.02,13.84,13.0,13.43,126053,2251
2005-04-28,13.36,13.36,12.69,12.78,76029,2251
2005-04-29,12.75,13.79,12.75,13.66,106496,2251
2005-05-02,13.74,14.0,13.7,14.0,141298,2251
2005-05-03,13.81,14.2,13.81,14.14,137236,2251
2005-05-04,14.08,14.57,14.05,14.28,105970,2251
2005-05-05,14.34,14.6,13.75,13.76,96758,2251
2005-05-06,13.67,14.45,13.67,14.25,78646,2251
2005-05-09,14.21,14.57,14.09,14.54,139865,2251
2005-05-10,14.3,14.38,13.8,14.0,69706,2251
2005-05-11,14.16,14.54,13.76,14.49,42130,2251
2005-05-12,14.52,14.75,14.27,14.27,49483,2251
2005-05-13,14.27,14.82,14.15,14.49,58805,2251
2005-05-16,14.35,16.32,14.35,15.08,279876,2251
2005-05-17,14.87,15.04,14.45,14.63,70595,2251
2005-05-18,14.26,14.96,14.26,14.93,64625,2251
2005-05-19,14.73,15.0,14.13,14.85,126863,2251
2005-05-20,14.59,15.73,14.58,15.11,147064,2251
2005-05-23,15.12,15.35,14.89,15.0,216374,2251
2005-05-24,15.0,15.09,14.82,14.82,51306,2251
2005-05-25,14.91,15.0,14.54,14.76,62484,2251
2005-05-26,14.77,14.9,14.77,14.85,50980,2251
2005-05-27,14.87,14.97,14.74,14.89,22295,2251
2005-05-31,14.71,14.9,14.62,14.63,46621,2251
2005-06-01,14.5,14.9,14.5,14.85,92965,2251
2005-06-02,14.83,14.92,14.72,14.9,164793,2251
2005-06-03,14.84,15.01,14.72,14.81,95744,2251
2005-06-06,14.79,14.9,14.5,14.81,70824,2251
2005-06-07,14.81,14.98,14.76,14.88,87920,2251
2005-06-08,14.89,14.99,14.76,14.92,63459,2251
2005-06-09,14.88,15.3,14.88,15.27,104472,2251
2005-06-10,15.33,15.47,15.0,15.22,79309,2251
2005-06-13,15.14,15.38,15.05,15.16,34822,2251
2005-06-14,14.9,15.44,14.9,15.44,83041,2251
2005-06-15,15.29,15.74,15.26,15.74,105204,2251
2005-06-16,15.75,15.94,15.51,15.92,55138,2251
2005-06-17,15.84,16.0,15.77,15.84,153768,2251
2005-06-20,15.72,15.98,15.65,15.72,72571,2251
2005-06-21,15.84,15.93,15.56,15.9,59362,2251
2005-06-22,15.87,15.97,15.69,15.9,25228,2251
2005-06-23,15.78,15.94,15.55,15.66,24620,2251
2005-06-24,15.58,15.77,15.3,15.55,258132,2251
2005-06-27,15.25,15.92,15.25,15.82,122502,2251
2005-06-28,15.89,15.97,15.69,15.9,83871,2251
