Date,Open,High,Low,Close,Volume,stock_id
2010-12-17,9.92,9.98,9.88,9.89,131351,684
2010-12-20,9.98,9.98,9.8,9.91,364834,684
2010-12-21,9.97,9.97,9.85,9.9,181343,684
2010-12-22,9.85,9.94,9.75,9.89,103365,684
2010-12-23,9.94,9.94,9.85,9.89,167068,684
2010-12-27,9.84,9.88,9.73,9.76,146417,684
2010-12-28,9.8,9.95,9.79,9.95,323625,684
2010-12-29,9.9,10.06,9.86,10.0,172995,684
2010-12-30,9.85,10.1,9.82,10.1,62901,684
2010-12-31,10.04,10.1,10.02,10.09,31679,684
2011-01-03,10.05,10.08,9.98,10.0,79416,684
2011-01-04,10.0,10.09,10.0,10.0,183294,684
2011-01-05,10.05,10.42,10.0,10.34,119050,684
2011-01-06,10.47,10.47,10.19,10.21,89575,684
2011-01-07,10.18,10.32,10.05,10.12,52210,684
2011-01-10,10.1,10.32,10.06,10.28,74672,684
2011-01-11,10.18,10.36,10.18,10.3,90146,684
2011-01-12,10.21,10.34,10.2,10.21,262730,684
2011-01-13,10.2,10.59,10.2,10.58,298977,684
2011-01-14,10.48,10.68,10.35,10.64,151263,684
2011-01-18,10.63,10.76,10.55,10.64,274736,684
2011-01-19,10.61,10.82,10.42,10.57,302957,684
2011-01-20,10.53,10.64,10.46,10.6,231700,684
2011-01-21,10.7,11.13,10.69,10.79,322035,684
2011-01-24,11.01,11.35,10.91,11.2,387833,684
2011-01-25,11.12,11.44,11.11,11.18,389843,684
2011-01-26,11.25,11.28,10.97,11.27,105431,684
2011-01-27,11.22,11.31,11.09,11.18,106421,684
2011-01-28,11.19,11.2,11.03,11.15,86515,684
2011-01-31,11.23,12.36,11.13,12.0,115687,684
2011-02-01,12.0,12.05,11.86,12.01,88053,684
2011-02-02,12.1,12.74,11.96,12.35,228004,684
2011-02-03,12.46,12.65,12.27,12.45,90090,684
2011-02-04,12.45,12.66,12.01,12.35,53421,684
2011-02-07,12.49,12.49,12.0,12.17,114137,684
2011-02-08,12.23,12.4,12.14,12.16,76802,684
2011-02-09,12.11,12.21,11.91,12.0,101951,684
2011-02-10,11.9,12.15,11.9,12.02,41225,684
2011-02-11,12.1,12.5,12.01,12.44,87485,684
2011-02-14,12.37,12.37,12.08,12.17,18172,684
2011-02-15,12.11,12.32,12.06,12.32,24549,684
2011-02-16,12.24,12.51,12.24,12.51,95993,684
2011-02-18,12.44,12.56,12.32,12.48,18809,684
2011-02-22,12.38,12.39,12.19,12.39,8759,684
2011-02-23,12.37,12.37,12.04,12.24,91874,684
2011-02-24,12.36,12.52,12.18,12.4,14500,684
2011-02-25,12.44,12.48,12.16,12.26,30920,684
2011-02-28,12.29,12.29,12.07,12.21,36300,684
2011-03-01,12.21,12.54,12.21,12.41,57799,684
2011-03-02,12.41,12.68,12.36,12.59,63413,684
2011-03-03,12.5,12.69,12.48,12.53,56253,684
2011-03-04,12.5,12.53,12.31,12.5,101013,684
2011-03-07,12.5,12.5,12.35,12.5,35458,684
2011-03-08,12.43,12.5,12.43,12.5,30307,684
2011-03-09,12.39,12.5,12.39,12.49,10787,684
2011-03-10,12.4,12.4,12.12,12.4,57054,684
2011-03-11,12.4,12.4,12.35,12.38,33484,684
2011-03-14,12.32,12.32,11.92,12.1,46925,684
2011-03-15,11.9,12.01,11.46,11.96,61818,684
2011-03-16,12.0,12.24,11.86,11.86,115476,684
2011-03-17,12.0,12.46,11.78,11.87,33715,684
2011-03-18,12.13,12.43,12.01,12.31,57776,684
2011-03-21,12.35,12.48,12.24,12.46,6017,684
2011-03-22,12.45,12.64,12.4,12.59,58708,684
2011-03-23,12.63,12.65,12.38,12.55,69636,684
2011-03-24,12.52,12.55,12.44,12.52,16551,684
2011-03-25,12.54,13.0,12.44,12.65,58393,684
2011-03-28,12.67,12.78,12.44,12.67,53833,684
2011-03-29,13.17,13.17,12.0,12.5,69377,684
2011-03-30,12.61,12.61,11.9,12.05,268005,684
2011-03-31,12.01,12.34,11.95,12.15,661348,684
2011-04-01,12.09,12.09,11.7,11.94,110397,684
2011-04-04,11.94,11.96,11.7,11.84,364327,684
2011-04-05,11.85,11.92,11.55,11.65,94754,684
2011-04-06,11.65,11.86,11.49,11.71,176068,684
2011-04-07,11.76,11.98,11.61,11.67,77375,684
2011-04-08,11.73,11.9,11.6,11.65,40422,684
2011-04-11,11.62,11.68,11.5,11.6,35896,684
2011-04-12,11.58,11.74,11.52,11.65,22820,684
