Date,Open,High,Low,Close,Volume,stock_id
2013-03-25,22.392,22.392,22.186,22.304,677611,5135
2013-03-26,22.348,22.392,22.312,22.392,699742,5135
2013-03-27,22.348,22.419,22.348,22.384,499340,5135
2013-03-28,22.384,22.527,22.357,22.527,943765,5135
2013-04-01,22.527,22.527,22.41,22.455,223314,5135
2013-04-02,22.437,22.482,22.429,22.464,393795,5135
2013-04-03,22.482,22.5,22.429,22.437,309002,5135
2013-04-04,22.473,22.5,22.455,22.482,218456,5135
2013-04-05,22.482,22.572,22.455,22.572,165930,5135
2013-04-08,22.616,22.616,22.527,22.572,308957,5135
2013-04-09,22.553,22.58,22.527,22.545,308228,5135
2013-04-10,22.58,22.598,22.553,22.572,263791,5135
2013-04-11,22.572,22.572,22.527,22.553,236739,5135
2013-04-12,22.553,22.572,22.527,22.553,131907,5135
2013-04-15,22.572,22.58,22.527,22.563,519890,5135
2013-04-16,22.589,22.75,22.58,22.715,810990,5135
2013-04-17,22.759,22.812,22.678,22.732,309243,5135
2013-04-18,22.732,22.769,22.678,22.723,431751,5135
2013-04-19,22.75,22.84,22.678,22.84,1431743,5135
2013-04-22,22.769,22.795,22.706,22.706,177865,5135
2013-04-23,22.75,22.759,22.715,22.74,119081,5135
2013-04-24,22.777,22.777,22.74,22.777,141121,5135
2013-04-25,22.777,22.777,22.66,22.66,154624,5135
2013-04-26,22.75,22.75,22.697,22.74,327502,5135
2013-04-29,22.75,22.777,22.66,22.777,273721,5135
2013-04-30,22.759,22.84,22.75,22.795,158587,5135
2013-05-01,22.84,22.993,22.821,22.858,211828,5135
2013-05-02,22.867,22.974,22.867,22.964,1033417,5135
2013-05-03,22.974,23.0,22.93,22.974,218414,5135
2013-05-06,22.993,23.064,22.993,23.045,160629,5135
2013-05-07,22.993,23.153,22.983,23.153,155157,5135
2013-05-08,23.126,23.241,23.064,23.232,122285,5135
2013-05-09,23.232,23.232,23.107,23.188,107693,5135
2013-05-10,23.188,23.188,23.107,23.153,155745,5135
2013-05-13,23.16,23.16,23.072,23.126,163546,5135
2013-05-14,23.153,23.153,22.947,22.947,165303,5135
2013-05-15,23.018,23.018,22.795,22.867,192012,5135
2013-05-16,22.849,22.912,22.812,22.867,154346,5135
2013-05-17,22.93,22.938,22.883,22.938,118975,5135
2013-05-20,22.93,22.983,22.93,22.955,96813,5135
2013-05-21,22.955,23.026,22.947,23.026,115490,5135
2013-05-22,23.081,23.081,22.993,23.018,159145,5135
2013-05-23,23.045,23.045,22.803,23.0,129824,5135
2013-05-24,22.993,23.045,22.93,23.01,106973,5135
2013-05-28,23.064,23.117,22.955,22.993,101411,5135
2013-05-29,23.057,23.12,22.667,22.722,174957,5135
2013-05-30,22.793,22.857,22.73,22.785,150552,5135
2013-05-31,22.793,22.802,22.25,22.25,209834,5135
2013-06-03,22.577,22.577,22.25,22.35,190328,5135
2013-06-04,22.441,22.486,22.35,22.378,153115,5135
2013-06-05,22.423,22.423,21.833,21.961,199455,5135
2013-06-06,22.259,22.259,21.843,21.88,305083,5135
2013-06-07,21.925,22.114,21.906,21.978,134390,5135
2013-06-10,21.997,22.114,21.744,21.78,200576,5135
2013-06-11,21.833,21.833,20.947,21.155,492197,5135
2013-06-12,21.256,21.427,20.441,20.994,460505,5135
2013-06-13,20.884,21.897,20.631,21.427,532925,5135
2013-06-14,21.78,21.78,21.527,21.744,101547,5135
2013-06-17,21.853,22.041,21.826,21.897,528806,5135
2013-06-18,21.88,21.897,21.671,21.789,128254,5135
2013-06-19,21.843,21.961,21.464,21.599,216106,5135
2013-06-20,21.219,21.219,20.848,21.129,143999,5135
2013-06-21,21.129,21.626,20.865,20.894,378922,5135
2013-06-24,20.768,20.884,19.988,20.768,226679,5135
2013-06-25,21.219,21.219,20.504,20.921,173239,5135
2013-06-26,21.291,21.626,21.0,21.337,130126,5135
2013-06-27,21.355,21.581,21.309,21.49,80453,5135
2013-06-28,21.86,21.86,21.585,21.63,160395,5135
2013-07-01,21.355,21.635,21.145,21.391,70501,5135
2013-07-02,21.401,21.716,21.401,21.563,122663,5135
2013-07-03,21.761,21.761,21.499,21.563,103977,5135
2013-07-05,21.418,21.418,21.01,21.019,94791,5135
2013-07-08,21.129,21.129,20.884,20.929,86451,5135
2013-07-09,21.038,21.227,20.985,21.155,139246,5135
2013-07-10,21.129,21.21,20.994,21.129,131781,5135
2013-07-11,21.49,21.581,21.265,21.337,86740,5135
2013-07-12,21.553,21.553,21.337,21.382,107436,5135
2013-07-15,21.49,21.546,21.019,21.038,302046,5135
2013-07-16,20.994,20.994,20.792,20.812,222500,5135
2013-07-17,20.913,21.048,20.884,20.937,153083,5135
2013-07-18,21.038,21.066,20.903,20.921,103616,5135
2013-07-19,20.985,20.985,20.768,20.768,125380,5135
2013-07-22,20.831,20.976,20.73,20.768,150445,5135
2013-07-23,20.802,20.802,20.657,20.667,146577,5135
2013-07-24,20.721,20.749,20.513,20.585,175590,5135
2013-07-25,20.541,20.623,20.459,20.567,133788,5135
2013-07-26,20.513,20.695,20.495,20.676,116980,5135
2013-07-29,20.667,20.676,20.468,20.468,88848,5135
2013-07-30,20.531,20.55,20.296,20.323,97462,5135
2013-07-31,20.323,20.487,20.07,20.233,203385,5135
2013-08-01,20.378,20.378,20.088,20.142,129214,5135
2013-08-02,20.17,20.396,20.151,20.251,68544,5135
2013-08-05,20.251,20.286,20.042,20.16,89156,5135
2013-08-06,20.16,20.16,20.016,20.106,91815,5135
2013-08-07,20.106,20.106,19.953,19.997,65710,5135
2013-08-08,20.006,20.088,19.907,19.979,82183,5135
2013-08-09,19.907,20.098,19.907,20.016,54876,5135
2013-08-12,19.997,20.042,19.925,20.006,97414,5135
2013-08-13,19.988,19.988,19.771,19.771,73463,5135
2013-08-14,19.88,19.88,19.454,19.599,65292,5135
2013-08-15,19.454,19.546,19.228,19.328,240444,5135
2013-08-16,19.364,19.454,19.138,19.138,76086,5135
2013-08-19,19.201,19.345,18.74,18.884,159143,5135
2013-08-20,19.074,19.301,18.722,19.164,95621,5135
2013-08-21,19.138,19.355,18.849,19.138,97171,5135
2013-08-22,19.183,19.454,19.183,19.454,69088,5135
2013-08-23,19.41,20.07,19.41,20.034,60745,5135
2013-08-26,20.034,20.215,19.997,20.088,121063,5135
2013-08-27,19.997,20.359,19.88,20.314,120401,5135
2013-08-28,20.464,20.464,20.124,20.299,53240,5135
2013-08-29,20.391,20.592,20.299,20.427,64469,5135
2013-08-30,20.565,20.656,20.262,20.28,115005,5135
2013-09-03,20.548,20.548,19.812,19.922,82573,5135
2013-09-04,19.922,20.198,19.711,19.729,103278,5135
2013-09-05,19.701,19.867,19.473,19.637,63538,5135
2013-09-06,19.711,19.757,19.564,19.637,66117,5135
2013-09-09,19.738,19.738,19.546,19.573,52518,5135
2013-09-10,19.886,19.904,19.628,19.656,67029,5135
2013-09-11,19.84,19.84,19.426,19.426,105831,5135
2013-09-12,19.62,19.62,19.197,19.344,99962,5135
2013-09-13,19.444,19.473,19.289,19.473,58336,5135
2013-09-16,19.932,20.024,19.573,19.684,102968,5135
2013-09-17,19.757,19.757,19.564,19.591,64642,5135
2013-09-18,19.684,19.977,19.6,19.977,60704,5135
2013-09-19,20.115,20.133,19.766,19.766,78120,5135
2013-09-20,19.701,19.803,19.509,19.564,119455,5135
2013-09-23,19.656,19.821,19.537,19.637,78978,5135
2013-09-24,19.692,19.821,19.583,19.812,91215,5135
2013-09-25,19.803,19.803,19.61,19.766,52294,5135
2013-09-26,19.656,19.904,19.656,19.748,59650,5135
2013-09-27,19.803,19.867,19.61,19.784,86587,5135
2013-09-30,19.674,20.059,19.647,19.794,125213,5135
2013-10-01,19.794,19.904,19.794,19.794,71223,5135
2013-10-02,19.803,20.024,19.803,20.024,65903,5135
2013-10-03,20.069,20.124,19.84,20.041,52151,5135
2013-10-04,20.051,20.354,19.95,20.115,150309,5135
2013-10-07,20.115,20.253,20.088,20.225,71723,5135
2013-10-08,20.198,20.198,20.051,20.069,40154,5135
2013-10-09,20.097,20.133,19.94,20.051,87751,5135
2013-10-10,20.115,20.225,20.078,20.198,37907,5135
2013-10-11,20.272,20.289,19.986,20.207,35575,5135
2013-10-14,20.115,20.18,19.876,19.876,59850,5135
2013-10-15,19.876,19.886,19.436,19.473,195352,5135
2013-10-16,19.527,19.527,19.353,19.453,135426,5135
2013-10-17,19.784,19.784,19.527,19.628,52539,5135
2013-10-18,19.692,19.711,19.49,19.711,131702,5135
2013-10-21,19.794,19.794,19.527,19.701,81173,5135
2013-10-22,19.803,19.996,19.803,19.913,66214,5135
2013-10-23,20.005,20.207,19.876,20.171,63021,5135
2013-10-24,20.225,20.51,19.977,20.124,69884,5135
2013-10-25,20.124,20.161,19.757,19.84,187836,5135
2013-10-28,19.83,19.904,19.821,19.848,95432,5135
2013-10-29,19.886,19.904,19.692,19.867,90313,5135
2013-10-30,19.895,19.913,19.748,19.84,72989,5135
2013-10-31,19.886,19.886,19.692,19.794,104835,5135
2013-11-01,19.775,19.867,19.684,19.684,64068,5135
2013-11-04,19.794,19.812,19.738,19.794,61913,5135
2013-11-05,19.766,19.766,19.628,19.711,62629,5135
2013-11-06,19.775,19.775,19.684,19.729,50961,5135
2013-11-07,19.721,19.848,19.664,19.729,66187,5135
2013-11-08,19.664,19.766,19.473,19.482,61759,5135
2013-11-11,19.473,19.537,19.473,19.473,43622,5135
2013-11-12,19.517,19.61,19.453,19.5,88930,5135
2013-11-13,19.5,19.546,19.289,19.325,66986,5135
2013-11-14,19.38,19.444,19.316,19.316,63948,5135
2013-11-15,19.344,19.362,19.16,19.252,58255,5135
2013-11-18,19.224,19.444,19.206,19.27,79948,5135
2013-11-19,19.38,19.38,19.206,19.206,50570,5135
2013-11-20,19.279,19.416,19.15,19.197,95807,5135
2013-11-21,19.197,19.325,19.059,19.279,125509,5135
2013-11-22,19.335,19.49,19.242,19.242,105761,5135
2013-11-25,19.316,19.591,19.252,19.509,105495,5135
2013-11-26,19.61,19.75,19.545,19.545,114096,5135
2013-11-27,19.62,19.685,19.46,19.47,75770,5135
2013-11-29,19.47,19.62,19.46,19.59,25270,5135
2013-12-02,19.59,19.59,19.358,19.413,107287,5135
2013-12-03,19.442,19.525,19.376,19.525,142549,5135
2013-12-04,19.433,19.45,19.191,19.293,126625,5135
2013-12-05,19.218,19.236,18.947,19.171,135572,5135
2013-12-06,18.966,19.162,18.929,19.041,121203,5135
2013-12-09,19.162,19.171,18.929,18.995,126822,5135
2013-12-10,19.022,19.116,18.845,18.947,124033,5135
2013-12-11,18.863,18.873,18.714,18.724,174426,5135
2013-12-12,18.518,18.714,18.472,18.714,186733,5135
2013-12-13,18.658,18.929,18.555,18.649,182148,5135
2013-12-16,18.873,18.873,18.612,18.704,198508,5135
2013-12-17,18.743,18.761,18.574,18.612,166268,5135
2013-12-18,18.593,18.789,18.49,18.649,255238,5135
2013-12-19,18.639,18.639,18.463,18.546,170511,5135
2013-12-20,18.564,18.761,18.564,18.658,138963,5135
2013-12-23,18.668,18.816,18.612,18.658,178904,5135
2013-12-24,18.687,18.687,18.518,18.518,94691,5135
2013-12-26,18.555,18.603,18.518,18.555,234032,5135
2013-12-27,18.593,18.714,18.564,18.658,178932,5135
2013-12-30,18.668,19.012,18.668,18.891,549719,5135
2013-12-31,18.901,18.976,18.658,18.779,213556,5135
2014-01-02,18.845,19.069,18.826,18.985,108136,5135
2014-01-03,19.069,19.413,19.069,19.33,114385,5135
2014-01-06,19.498,19.656,19.45,19.515,132810,5135
2014-01-07,19.582,19.759,19.525,19.647,135249,5135
2014-01-08,19.638,19.75,19.545,19.75,75472,5135
2014-01-09,19.796,20.048,19.712,20.002,139877,5135
2014-01-10,20.011,20.188,20.011,20.076,72330,5135
2014-01-13,20.067,20.29,20.067,20.179,83525,5135
2014-01-14,20.179,20.215,19.992,20.011,75786,5135
2014-01-15,20.058,20.058,19.917,19.927,86831,5135
2014-01-16,20.048,20.048,19.796,19.806,102087,5135
2014-01-17,19.787,20.095,19.777,19.777,116449,5135
2014-01-21,19.881,20.085,19.871,20.011,110308,5135
2014-01-22,20.058,20.31,20.058,20.3,86429,5135
2014-01-23,20.338,20.355,20.021,20.03,112342,5135
2014-01-24,19.964,20.002,19.825,20.002,125572,5135
2014-01-27,20.085,20.104,19.825,19.917,84458,5135
2014-01-28,19.964,20.215,19.917,20.132,122435,5135
2014-01-29,20.113,20.15,19.806,19.862,103633,5135
2014-01-30,19.852,20.048,19.852,19.927,87017,5135
2014-01-31,19.927,20.039,19.889,19.899,64364,5135
2014-02-03,19.956,19.983,19.74,19.862,146045,5135
2014-02-04,19.862,19.936,19.842,19.89,68093,5135
2014-02-05,19.927,19.964,19.881,19.927,90370,5135
2014-02-06,19.927,20.002,19.917,19.973,69531,5135
2014-02-07,20.011,20.058,19.983,20.038,63288,5135
2014-02-10,20.048,20.113,20.021,20.058,58952,5135
2014-02-11,20.113,20.235,20.076,20.17,60825,5135
2014-02-12,20.179,20.198,20.113,20.142,59627,5135
2014-02-13,20.142,20.562,20.142,20.412,115802,5135
2014-02-14,20.487,20.728,20.449,20.663,49605,5135
2014-02-18,20.738,20.953,20.738,20.823,109444,5135
2014-02-19,20.813,20.933,20.635,20.748,105579,5135
2014-02-20,20.758,20.85,20.654,20.803,97109,5135
2014-02-21,20.843,20.943,20.823,20.85,46450,5135
2014-02-24,20.868,20.973,20.843,20.843,77257,5135
2014-02-25,20.878,20.943,20.823,20.823,100366,5135
2014-02-26,20.943,20.943,20.811,20.841,48013,5135
2014-02-27,20.877,20.983,20.867,20.973,54289,5135
2014-02-28,20.973,21.125,20.897,21.085,47931,5135
2014-03-03,21.095,21.115,20.992,21.019,100935,5135
2014-03-04,21.075,21.151,21.009,21.009,102529,5135
2014-03-05,21.095,21.095,20.933,20.983,206415,5135
2014-03-06,20.973,20.983,20.858,20.877,198122,5135
2014-03-07,20.831,20.907,20.735,20.831,45283,5135
2014-03-10,20.897,20.897,20.547,20.745,110965,5135
2014-03-11,20.735,20.821,20.65,20.735,62502,5135
2014-03-12,20.745,20.811,20.623,20.801,72541,5135
2014-03-13,20.811,20.917,20.774,20.782,54227,5135
2014-03-14,20.821,20.953,20.603,20.849,166870,5135
2014-03-17,21.019,21.019,20.897,20.943,80320,5135
2014-03-18,20.953,20.953,20.765,20.877,69968,5135
2014-03-19,20.933,20.933,20.765,20.782,70651,5135
2014-03-20,20.782,20.821,20.706,20.782,37675,5135
2014-03-21,20.782,20.877,20.735,20.867,104239,5135
2014-03-24,20.867,20.867,20.755,20.774,61729,5135
2014-03-25,20.811,20.811,20.65,20.699,89593,5135
2014-03-26,20.735,20.755,20.623,20.716,61785,5135
2014-03-27,20.679,20.679,20.593,20.64,30388,5135
2014-03-28,20.659,20.689,20.547,20.689,52584,5135
2014-03-31,20.689,20.716,20.64,20.65,82581,5135
2014-04-01,20.669,20.706,20.64,20.65,163050,5135
2014-04-02,20.64,20.792,20.64,20.64,115810,5135
2014-04-03,20.659,20.774,20.65,20.706,64462,5135
2014-04-04,20.725,20.907,20.716,20.867,89150,5135
2014-04-07,20.867,20.943,20.821,20.897,71161,5135
2014-04-08,20.924,20.953,20.841,20.953,42337,5135
2014-04-09,20.963,21.067,20.943,21.009,69583,5135
2014-04-10,21.049,21.151,20.973,20.992,69226,5135
2014-04-11,21.049,21.067,20.992,20.992,42153,5135
2014-04-14,21.049,21.142,21.029,21.058,49266,5135
2014-04-15,21.134,21.257,21.134,21.151,56197,5135
2014-04-16,21.209,21.284,21.161,21.2,106668,5135
2014-04-17,21.284,21.351,20.963,20.963,139169,5135
2014-04-21,21.085,21.209,21.085,21.161,59585,5135
2014-04-22,21.161,21.293,21.142,21.227,81887,5135
2014-04-23,21.293,21.342,21.237,21.257,82696,5135
2014-04-24,21.342,21.483,21.276,21.313,149353,5135
2014-04-25,21.369,21.465,21.257,21.465,94449,5135
2014-04-28,21.541,21.663,21.502,21.607,95312,5135
