Date,Open,High,Low,Close,Volume,stock_id
2016-01-07,6.75,9.5,6.75,6.75,41687,4581
2016-01-08,7.0,7.0,6.5,6.5,22981,4581
2016-01-11,6.75,6.75,5.7501,5.8746,10216,4581
2016-01-12,5.8854,5.8854,5.0801,5.15,32577,4581
2016-01-13,5.45,5.45,5.0,5.0001,9954,4581
2016-01-14,4.66,5.2,4.37,5.2,14480,4581
2016-01-15,5.159,5.2,4.14,4.45,20318,4581
2016-01-19,5.0,5.0,4.43,4.43,16100,4581
2016-01-20,4.95,4.95,4.5,4.5,6710,4581
2016-01-21,4.5577,4.9999,4.55,4.9999,2975,4581
2016-01-22,5.25,5.3,5.13,5.2845,6405,4581
2016-01-25,5.54,5.54,5.233,5.49,7446,4581
2016-01-26,5.49,5.49,5.3757,5.4,1486,4581
2016-01-27,5.4,5.64,5.0,5.0,26790,4581
2016-01-28,5.2796,5.2796,5.1876,5.1876,800,4581
2016-01-29,5.0,5.0001,4.79,4.9001,9285,4581
2016-02-01,4.77,4.77,4.6541,4.678,2896,4581
2016-02-02,4.7001,5.0,4.7,4.99,5830,4581
2016-02-03,5.0,5.5,5.0,5.38,1670,4581
2016-02-04,5.4,5.5257,5.4,5.5257,2236,4581
2016-02-05,5.7499,5.75,5.58,5.58,2845,4581
2016-02-08,5.58,5.58,5.27,5.27,13004,4581
2016-02-09,5.2501,5.4,5.21,5.37,31835,4581
2016-02-10,5.47,5.47,5.0,5.0,2020,4581
2016-02-11,5.0,5.23,4.89,4.89,3274,4581
2016-02-12,4.9,4.96,4.89,4.94,10030,4581
2016-02-16,4.998,5.0,4.79,4.98,4545,4581
2016-02-17,5.0899,5.3,5.06,5.13,13203,4581
2016-02-18,5.191,5.4,5.05,5.4,13879,4581
2016-02-22,5.04,5.3152,5.02,5.3152,7647,4581
2016-02-23,5.16,5.38,5.16,5.3799,2185,4581
2016-02-24,5.3,5.37,5.15,5.25,6228,4581
2016-02-25,5.14,5.37,5.0801,5.23,8522,4581
2016-02-26,5.31,5.33,5.155,5.19,3001,4581
2016-02-29,5.28,5.28,5.1,5.14,6220,4581
2016-03-01,5.13,5.33,5.1,5.32,5179,4581
2016-03-02,5.25,5.38,5.25,5.35,11229,4581
2016-03-03,5.1,5.59,5.1,5.55,21429,4581
2016-03-04,5.76,6.25,5.76,6.2499,33964,4581
2016-03-07,6.25,7.5,6.18,7.1,27982,4581
2016-03-08,6.93,7.0,6.575,6.7599,23367,4581
2016-03-09,7.02,7.02,5.7942,6.45,40586,4581
2016-03-10,6.9,6.986,6.79,6.84,6569,4581
2016-03-11,7.28,7.38,6.5,6.8601,51553,4581
2016-03-14,6.956,8.35,6.8,8.22,89643,4581
2016-03-15,8.2,9.89,7.84,9.89,120338,4581
2016-03-16,9.28,11.2,8.9,10.57,148789,4581
2016-03-17,10.68,11.65,10.34,10.73,135761,4581
2016-03-18,10.98,11.0,9.0,9.14,211896,4581
2016-03-21,8.99,8.9999,8.01,8.05,101608,4581
2016-03-22,8.13,8.78,7.4,8.78,57387,4581
2016-03-23,8.7,8.88,7.85,8.44,42094,4581
2016-03-24,8.34,9.48,7.996,8.77,31366,4581
2016-03-28,8.74,9.09,8.2,8.59,29957,4581
2016-03-29,8.65,8.77,8.44,8.66,16388,4581
2016-03-30,8.89,9.4999,8.67,8.71,34786,4581
2016-03-31,8.78,9.41,8.6331,9.17,33402,4581
2016-04-01,9.11,9.5,9.05,9.41,94113,4581
2016-04-04,9.5,10.2,9.5,10.2,28784,4581
2016-04-05,10.11,10.25,9.9901,10.25,46624,4581
2016-04-06,10.25,10.38,9.81,10.04,45609,4581
2016-04-07,10.03,11.41,10.03,11.41,90366,4581
2016-04-08,11.41,11.7,10.9,11.1,100682,4581
2016-04-11,11.25,11.25,9.91,10.9,83106,4581
2016-04-12,11.27,11.27,10.25,10.7,53771,4581
2016-04-13,10.87,11.0,10.32,10.75,67323,4581
2016-04-14,10.99,10.99,10.11,10.25,71646,4581
2016-04-15,10.48,10.66,9.4,9.4,88346,4581
2016-04-18,9.54,9.66,8.74,8.81,113804,4581
2016-04-19,8.89,9.34,8.3201,8.47,99102,4581
2016-04-20,8.61,8.92,7.25,8.45,521231,4581
2016-04-21,8.32,8.32,7.5,7.64,136672,4581
2016-04-22,7.57,7.6,7.4425,7.56,86043,4581
2016-04-25,7.51,7.57,6.65,6.83,95701,4581
2016-04-26,6.99,7.46,6.55,7.46,132491,4581
2016-04-27,6.87,7.3,6.1005,7.12,253575,4581
2016-04-28,6.67,7.46,6.67,7.13,87975,4581
2016-04-29,7.13,7.77,7.06,7.73,60791,4581
2016-05-02,7.69,8.65,7.3552,8.3,82619,4581
2016-05-03,8.38,8.4,8.269,8.4,83226,4581
2016-05-04,8.41,8.49,8.31,8.4795,26009,4581
2016-05-05,8.45,8.45,7.7,7.8,44847,4581
2016-05-06,7.72,7.77,6.9601,7.23,119291,4581
2016-05-09,7.2,7.381,7.0,7.21,50938,4581
2016-05-10,7.22,7.49,7.12,7.22,34179,4581
2016-05-11,7.15,7.49,7.0,7.1,39059,4581
2016-05-12,7.19,7.74,7.11,7.47,24644,4581
2016-05-13,7.36,7.5,6.92,7.08,36090,4581
2016-05-16,7.03,7.34,7.03,7.24,12214,4581
2016-05-17,7.28,7.28,6.75,6.83,26322,4581
2016-05-18,6.87,7.09,6.66,6.72,35779,4581
2016-05-19,6.87,6.98,6.72,6.94,24993,4581
2016-05-20,6.75,7.0,6.75,6.96,42762,4581
2016-05-23,6.73,7.0,6.73,6.9,34906,4581
2016-05-24,6.87,7.2,6.74,7.15,38748,4581
2016-05-25,7.27,7.27,6.87,7.24,24483,4581
2016-05-26,7.2,7.2,6.82,7.18,18996,4581
2016-05-27,7.03,7.0968,6.91,6.99,10969,4581
2016-05-31,7.08,7.09,6.84,6.99,19953,4581
2016-06-01,7.0,7.0,6.8,6.95,15976,4581
2016-06-02,6.95,7.15,6.87,7.0,20913,4581
2016-06-03,6.89,7.0,6.72,6.89,9986,4581
2016-06-06,6.78,8.6,6.78,8.25,94586,4581
2016-06-07,8.4,8.4,6.94,8.18,117433,4581
2016-06-08,8.07,8.65,8.04,8.4,65581,4581
2016-06-09,8.08,8.6,8.08,8.35,69959,4581
2016-06-10,8.38,8.75,8.29,8.65,91940,4581
2016-06-13,8.3,8.75,7.02,7.04,117794,4581
2016-06-14,7.41,7.41,6.76,7.07,85968,4581
2016-06-15,7.03,7.2,6.88,6.93,70635,4581
2016-06-16,6.95,7.13,6.66,6.97,66427,4581
2016-06-17,7.0,7.0,6.65,6.6801,33436,4581
2016-06-20,6.8,6.99,6.68,6.91,49718,4581
2016-06-21,6.7,6.96,6.7,6.91,45217,4581
2016-06-22,6.85,6.94,6.65,6.91,58332,4581
2016-06-23,6.9,6.99,6.68,6.91,73816,4581
2016-06-24,6.65,7.31,6.65,7.25,140406,4581
2016-06-27,7.06,7.35,6.45,6.66,119132,4581
2016-06-28,7.19,7.19,6.28,6.33,132891,4581
2016-06-29,7.31,7.31,6.49,6.93,87025,4581
2016-06-30,6.93,6.93,6.32,6.85,54069,4581
2016-07-01,7.0,7.0,6.45,6.66,52775,4581
2016-07-05,6.75,6.99,6.605,6.83,43015,4581
2016-07-06,6.85,6.94,6.58,6.85,58414,4581
2016-07-07,6.91,7.38,6.8,7.23,120946,4581
2016-07-08,7.24,7.5,7.24,7.35,71824,4581
2016-07-11,7.4,7.4,6.75,7.01,67699,4581
2016-07-12,6.86,7.2,6.82,7.2,120663,4581
