Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,23.122,23.495,22.964,23.434,1799314,1487
2005-02-28,23.384,23.448,23.067,23.177,2267562,1487
2005-03-01,23.202,23.607,23.202,23.535,2072350,1487
2005-03-02,23.425,23.67,23.306,23.607,1777398,1487
2005-03-03,23.59,23.639,23.344,23.4,1584080,1487
2005-03-04,23.479,23.758,23.384,23.71,2219705,1487
2005-03-07,23.607,23.838,23.495,23.726,2171850,1487
2005-03-08,23.622,23.773,23.582,23.622,1619217,1487
2005-03-09,23.526,23.718,23.479,23.526,1803847,1487
2005-03-10,23.551,23.702,23.4,23.512,1983189,1487
2005-03-11,23.425,23.503,23.256,23.313,2013919,1487
2005-03-14,23.306,23.425,23.162,23.226,2047542,1487
2005-03-15,23.306,23.479,23.202,23.226,1867069,1487
2005-03-16,23.168,23.319,22.971,23.018,1325401,1487
2005-03-17,23.018,23.084,22.812,22.948,2403197,1487
2005-03-18,22.955,23.084,22.71,23.067,3722049,1487
2005-03-21,23.067,23.306,22.979,23.202,1632819,1487
2005-03-22,23.202,23.479,23.107,23.297,2556341,1487
2005-03-23,23.384,23.559,23.177,23.273,2083435,1487
2005-03-24,23.185,23.289,23.035,23.051,1514562,1487
2005-03-28,23.226,23.313,23.153,23.177,1119611,1487
2005-03-29,23.185,23.368,22.979,23.075,1889486,1487
2005-03-30,23.067,23.289,22.908,23.146,1919714,1487
2005-03-31,23.122,23.162,22.827,22.866,2391231,1487
2005-04-01,22.875,22.948,22.748,22.925,2217813,1487
2005-04-04,22.925,23.282,22.827,23.115,2503698,1487
2005-04-05,23.13,23.471,22.994,23.384,1882812,1487
2005-04-06,23.425,23.526,23.249,23.376,2076003,1487
2005-04-07,23.384,23.694,23.384,23.543,2128017,1487
2005-04-08,23.622,23.622,23.407,23.425,1743897,1487
2005-04-11,23.479,23.622,23.448,23.598,1308772,1487
2005-04-12,23.543,23.78,23.434,23.694,1577909,1487
2005-04-13,23.646,23.702,23.107,23.168,1989860,1487
2005-04-14,23.146,23.234,22.748,22.859,3310599,1487
2005-04-15,22.669,22.836,22.16,22.234,3072065,1487
2005-04-18,22.25,22.377,22.074,22.25,2573594,1487
2005-04-19,22.25,22.294,21.931,22.082,2005982,1487
2005-04-20,21.978,22.137,21.811,21.828,1881803,1487
2005-04-21,21.875,21.996,21.541,21.719,3176345,1487
2005-04-22,21.676,22.019,21.574,21.793,2520446,1487
2005-04-25,21.94,22.034,21.793,21.94,1631939,1487
2005-04-26,21.931,22.051,21.74,21.74,2329269,1487
2005-04-27,21.676,22.386,21.66,22.287,3425710,1487
2005-04-28,22.748,22.748,21.914,22.242,3170050,1487
2005-04-29,22.311,22.582,22.129,22.582,3812727,1487
2005-05-02,22.629,22.71,22.386,22.511,2327004,1487
2005-05-03,22.519,23.026,22.432,22.827,2566291,1487
2005-05-04,22.827,23.344,22.748,23.256,2629639,1487
2005-05-05,23.306,23.425,23.177,23.185,3163122,1487
2005-05-06,23.319,23.384,23.089,23.146,1962910,1487
2005-05-09,23.098,23.193,23.003,23.193,1478793,1487
2005-05-10,23.035,23.139,22.964,23.035,1837473,1487
2005-05-11,23.043,23.185,22.932,23.168,1799062,1487
2005-05-12,23.226,23.306,22.9,22.985,2381414,1487
2005-05-13,23.107,23.107,22.748,22.955,2111898,1487
2005-05-16,22.955,23.075,22.884,23.051,1456877,1487
2005-05-17,22.948,22.971,22.733,22.925,2480024,1487
2005-05-18,22.932,23.434,22.925,23.376,1590627,1487
2005-05-19,23.376,23.456,23.202,23.306,1117345,1487
2005-05-20,23.384,23.416,23.234,23.336,1236865,1487
2005-05-23,23.344,23.425,23.218,23.359,1542142,1487
2005-05-24,23.368,23.368,23.193,23.241,1332075,1487
2005-05-25,23.146,23.241,22.917,23.115,2086205,1487
2005-05-26,23.226,23.512,23.177,23.407,1670981,1487
2005-05-27,23.306,23.486,23.234,23.479,1899814,1487
2005-05-31,23.479,23.503,23.153,23.376,3395232,1487
2005-06-01,23.256,23.543,23.115,23.471,2517804,1487
2005-06-02,23.486,23.503,23.344,23.448,1989860,1487
2005-06-03,23.479,23.582,23.384,23.535,1194671,1487
2005-06-06,23.543,23.567,23.336,23.434,1194295,1487
2005-06-07,23.434,23.464,23.122,23.13,2162146,1487
2005-06-08,23.177,23.273,23.026,23.107,2775355,1487
2005-06-09,23.139,23.226,22.955,23.098,2107112,1487
2005-06-10,23.107,23.168,22.892,23.003,1378923,1487
2005-06-13,22.932,23.226,22.9,23.122,1125656,1487
2005-06-14,23.146,23.384,22.985,23.289,1291269,1487
2005-06-15,23.313,23.327,23.026,23.107,1207143,1487
2005-06-16,23.067,23.177,22.955,23.13,1179685,1487
2005-06-17,23.351,23.351,23.067,23.107,2639335,1487
2005-06-20,23.026,23.051,22.804,22.908,1800697,1487
2005-06-21,22.908,22.948,22.669,22.702,1423757,1487
2005-06-22,22.985,23.026,22.552,22.599,1429676,1487
2005-06-23,22.652,22.669,22.343,22.424,2254337,1487
2005-06-24,22.44,22.494,22.16,22.169,2695884,1487
2005-06-27,22.242,22.543,22.129,22.447,2278514,1487
2005-06-28,22.486,22.827,22.432,22.82,1980794,1487
2005-06-29,22.845,22.845,22.47,22.543,1701836,1487
2005-06-30,22.622,22.748,22.424,22.461,1796542,1487
2005-07-01,22.543,22.884,22.478,22.552,1337992,1487
2005-07-05,22.486,22.748,22.424,22.59,2258997,1487
2005-07-06,22.59,22.614,22.361,22.395,2169954,1487
2005-07-07,22.114,22.294,21.953,22.234,2299675,1487
2005-07-08,22.302,22.395,22.209,22.274,2509491,1487
2005-07-11,22.274,22.343,22.122,22.176,2522086,1487
2005-07-12,22.192,22.226,22.098,22.184,2187590,1487
2005-07-13,22.192,22.258,22.114,22.129,2360505,1487
2005-07-14,22.153,22.192,21.978,22.011,5058780,1487
2005-07-15,22.034,22.114,21.953,22.034,3803657,1487
2005-07-18,22.098,22.274,22.011,22.153,3361352,1487
2005-07-19,22.948,23.185,22.287,22.9,6181919,1487
2005-07-20,22.859,22.948,22.652,22.866,2337080,1487
2005-07-21,22.875,22.994,22.782,22.852,2804193,1487
2005-07-22,22.875,23.264,22.845,23.264,2340102,1487
2005-07-25,23.264,23.306,23.003,23.059,2500675,1487
2005-07-26,22.994,23.067,22.845,22.948,2519694,1487
2005-07-27,23.384,23.59,23.273,23.407,2624477,1487
2005-07-28,22.908,22.925,21.676,21.811,9889611,1487
2005-07-29,22.395,22.453,22.16,22.287,6348038,1487
2005-08-01,22.287,22.447,22.274,22.334,3325587,1487
2005-08-02,22.543,22.702,22.361,22.395,5348192,1487
2005-08-03,22.352,22.377,22.129,22.146,8009694,1487
2005-08-04,22.09,22.146,21.996,22.034,2913383,1487
2005-08-05,21.953,22.034,21.884,21.899,2050189,1487
2005-08-08,22.034,22.106,21.811,21.875,2636565,1487
2005-08-09,21.914,22.153,21.853,21.996,3012753,1487
2005-08-10,22.153,22.192,21.685,21.748,2825604,1487
2005-08-11,21.558,21.756,21.414,21.685,4815840,1487
2005-08-12,21.637,21.676,21.375,21.565,4294700,1487
2005-08-15,21.637,21.978,21.565,21.914,3628474,1487
2005-08-16,21.953,21.962,21.694,21.793,3597116,1487
2005-08-17,21.836,21.914,21.731,21.82,2102074,1487
2005-08-18,21.875,21.987,21.74,21.836,3629355,1487
2005-08-19,21.914,22.011,21.875,21.97,3747112,1487
2005-08-22,22.074,22.184,21.811,22.042,2651550,1487
2005-08-23,21.914,21.996,21.731,21.756,3662475,1487
2005-08-24,21.756,21.764,21.558,21.694,3065393,1487
2005-08-25,21.884,21.884,21.719,21.836,2812000,1487
2005-08-26,21.793,21.907,21.637,21.764,1948556,1487
2005-08-29,21.719,21.892,21.644,21.748,2602437,1487
2005-08-30,21.583,21.612,21.279,21.47,3453291,1487
2005-08-31,21.479,21.82,21.319,21.779,3025723,1487
2005-09-01,21.787,22.098,21.668,22.059,3036429,1487
2005-09-02,22.209,22.343,21.945,21.987,1975379,1487
2005-09-06,22.2,22.494,22.2,22.294,2044643,1487
2005-09-07,22.453,22.494,22.265,22.478,3336163,1487
2005-09-08,22.511,22.636,22.478,22.552,4225053,1487
2005-09-09,22.644,22.687,22.478,22.599,2536444,1487
2005-09-12,22.702,22.702,22.511,22.567,2179526,1487
2005-09-13,22.582,22.765,22.368,22.526,2496518,1487
2005-09-14,22.59,22.629,22.25,22.361,2506846,1487
2005-09-15,22.453,22.461,22.153,22.407,1859387,1487
2005-09-16,22.447,22.47,22.234,22.395,2470702,1487
2005-09-19,22.377,22.377,21.793,21.892,2204843,1487
2005-09-20,21.875,22.019,21.565,21.719,3153554,1487
2005-09-21,21.711,21.748,21.479,21.599,3000914,1487
2005-09-22,21.605,22.407,21.534,22.311,3650891,1487
2005-09-23,22.352,22.415,22.129,22.287,2363656,1487
2005-09-26,22.432,22.629,22.287,22.334,1972984,1487
2005-09-27,22.377,22.534,22.274,22.44,1605238,1487
2005-09-28,22.567,22.59,22.326,22.453,2558359,1487
2005-09-29,22.361,22.607,22.311,22.552,2211640,1487
2005-09-30,22.552,22.765,22.511,22.718,1985578,1487
2005-10-03,22.827,23.01,22.74,22.859,3772550,1487
2005-10-04,22.859,23.146,22.629,22.725,4027201,1487
2005-10-05,22.629,22.797,22.368,22.386,2588583,1487
2005-10-06,22.302,22.534,22.2,22.287,2673971,1487
2005-10-07,22.258,22.311,22.003,22.098,1982054,1487
2005-10-10,21.987,22.034,21.811,21.811,1588869,1487
2005-10-11,21.772,21.884,21.605,21.644,2720190,1487
2005-10-12,21.748,21.845,21.438,21.637,1960642,1487
2005-10-13,21.583,21.756,21.399,21.644,2921062,1487
2005-10-14,21.637,21.756,21.541,21.685,2139981,1487
2005-10-17,21.583,21.836,21.583,21.731,1730297,1487
2005-10-18,21.748,21.764,21.644,21.676,1614430,1487
2005-10-19,21.558,21.731,21.408,21.719,2217310,1487
2005-10-20,21.756,21.836,21.438,21.51,1651207,1487
2005-10-21,21.612,21.828,21.565,21.793,2274613,1487
2005-10-24,21.875,22.25,21.845,22.242,2027517,1487
2005-10-25,22.146,22.302,22.003,22.027,2927362,1487
2005-10-26,21.599,22.234,21.438,21.875,4525048,1487
2005-10-27,21.914,23.098,21.914,22.614,5564935,1487
2005-10-28,23.067,23.796,22.629,23.789,6058372,1487
2005-10-31,23.821,23.821,23.344,23.434,5396808,1487
2005-11-01,23.512,23.622,23.026,23.273,6877739,1487
2005-11-02,23.185,23.939,23.146,23.862,3445986,1487
2005-11-03,23.862,24.009,23.495,23.582,2574353,1487
2005-11-04,23.622,24.009,23.607,23.702,1907999,1487
2005-11-07,23.694,23.915,23.646,23.878,1551966,1487
2005-11-08,23.702,23.923,23.702,23.847,2666038,1487
2005-11-09,23.741,24.009,23.741,23.939,2051194,1487
2005-11-10,23.948,24.091,23.862,24.017,1707501,1487
2005-11-11,24.017,24.212,23.981,24.185,1028558,1487
2005-11-14,24.123,24.41,24.059,24.304,1690625,1487
2005-11-15,24.243,24.417,24.243,24.29,1546174,1487
2005-11-16,24.274,24.377,24.153,24.22,2247158,1487
2005-11-17,24.336,24.41,24.176,24.352,2241740,1487
2005-11-18,24.511,24.511,24.13,24.256,3211358,1487
2005-11-21,24.176,24.448,24.169,24.417,1593777,1487
2005-11-22,24.297,24.377,24.108,24.22,3496615,1487
2005-11-23,24.248,24.312,24.1,24.138,2284814,1487
2005-11-25,24.059,24.22,24.017,24.138,671139,1487
2005-11-28,24.256,24.297,23.981,23.981,3117659,1487
2005-11-29,24.059,24.083,23.957,23.965,1681182,1487
2005-11-30,23.965,24.035,23.749,23.749,1919208,1487
2005-12-01,23.948,24.22,23.821,24.13,3106328,1487
2005-12-02,24.017,24.256,23.989,24.185,1649947,1487
2005-12-05,24.004,24.004,23.654,23.78,1893393,1487
2005-12-06,23.965,24.203,23.758,24.091,1808253,1487
2005-12-07,24.1,24.153,23.878,23.915,1519852,1487
2005-12-08,23.973,24.017,23.559,23.67,1566322,1487
2005-12-09,23.758,23.907,23.616,23.803,1892258,1487
2005-12-12,23.812,23.923,23.574,23.734,1805355,1487
2005-12-13,23.694,24.004,23.67,23.812,2780641,1487
2005-12-14,23.923,24.576,23.923,24.471,3026856,1487
2005-12-15,24.456,24.528,24.281,24.439,2552689,1487
2005-12-16,24.487,24.638,24.456,24.622,3397122,1487
2005-12-19,24.551,24.583,24.417,24.432,2026256,1487
2005-12-20,24.536,24.576,24.281,24.304,2290732,1487
2005-12-21,24.456,24.456,24.274,24.274,1951828,1487
2005-12-22,24.329,24.417,24.203,24.248,1626399,1487
2005-12-23,24.265,24.439,24.169,24.384,861182,1487
2005-12-27,24.456,24.614,24.176,24.228,1359402,1487
2005-12-28,24.123,24.256,24.026,24.161,1584839,1487
2005-12-29,24.026,24.235,24.009,24.153,1288120,1487
2005-12-30,24.017,24.194,24.017,24.1,1462425,1487
2006-01-03,24.091,24.417,23.885,24.352,2177261,1487
2006-01-04,24.194,24.401,24.035,24.035,1914800,1487
2006-01-05,24.042,24.29,23.997,24.13,3127859,1487
2006-01-06,24.329,24.456,24.1,24.248,3966623,1487
2006-01-09,24.297,25.011,24.243,24.646,3569161,1487
2006-01-10,24.646,25.14,24.569,25.09,4073043,1487
2006-01-11,25.132,25.306,24.678,24.782,3052292,1487
2006-01-12,24.782,25.132,24.678,24.86,2384435,1487
2006-01-13,24.97,25.203,24.959,25.14,2111016,1487
2006-01-17,24.868,25.226,24.782,25.082,2670822,1487
2006-01-18,25.082,25.409,25.028,25.323,2709610,1487
2006-01-19,25.409,25.409,25.154,25.258,2400554,1487
2006-01-20,25.267,25.275,24.631,24.831,3149019,1487
2006-01-23,24.831,24.924,24.694,24.831,2359244,1487
2006-01-24,24.837,25.267,24.806,25.132,2150686,1487
2006-01-25,25.099,25.267,25.011,25.14,1809641,1487
2006-01-26,25.336,25.409,25.209,25.217,2355593,1487
2006-01-27,25.09,25.275,25.052,25.061,2165296,1487
2006-01-30,24.893,25.099,24.703,25.052,2251691,1487
2006-01-31,25.061,25.275,25.036,25.076,2207485,1487
2006-02-01,25.061,25.179,24.893,25.147,2078146,1487
2006-02-02,25.132,25.283,24.822,24.924,1904348,1487
2006-02-03,24.916,25.217,24.916,25.132,1969207,1487
2006-02-06,25.17,25.757,25.17,25.741,3447747,1487
