Date,Open,High,Low,Close,Volume,stock_id
2015-09-28,2.98,2.98,2.59,2.69,272932,1134
2015-09-29,2.74,2.74,2.55,2.65,360900,1134
2015-09-30,2.68,2.68,2.55,2.6,232300,1134
2015-10-01,2.55,2.62,2.55,2.57,80000,1134
2015-10-02,2.62,2.63,2.56,2.58,149700,1134
2015-10-05,2.57,2.6,2.57,2.57,133449,1134
2015-10-06,2.6,2.6,2.57,2.59,162900,1134
2015-10-07,2.6,2.6,2.57,2.59,328300,1134
2015-10-08,2.57,2.6,2.57,2.59,167900,1134
2015-10-09,2.6,2.6,2.57,2.58,99900,1134
2015-10-12,2.58,2.59,2.57,2.58,129915,1134
2015-10-13,2.57,2.59,2.53,2.59,149000,1134
2015-10-14,2.5,2.54,2.39,2.5,464000,1134
2015-10-15,2.51,2.51,2.42,2.46,587900,1134
2015-10-16,2.45,2.53,2.41,2.5,1198600,1134
2015-10-19,2.5,2.56,2.47,2.47,472900,1134
2015-10-20,2.46,2.46,2.4,2.43,235733,1134
2015-10-21,2.4,2.46,2.4,2.44,258700,1134
2015-10-22,2.42,2.47,2.42,2.45,646400,1134
2015-10-23,2.44,2.48,2.42,2.44,247800,1134
2015-10-26,2.41,2.44,2.4,2.43,270200,1134
2015-10-27,2.46,2.46,2.37,2.4,565400,1134
2015-10-28,2.4,2.42,2.35,2.37,494400,1134
2015-10-29,2.29,2.37,2.28,2.37,1021000,1134
2015-10-30,2.37,2.37,2.31,2.34,251700,1134
2015-11-02,2.31,2.35,2.31,2.35,214628,1134
2015-11-03,2.35,2.39,2.32,2.33,128800,1134
2015-11-04,2.32,2.35,2.31,2.34,90131,1134
2015-11-05,2.34,2.36,2.32,2.36,86800,1134
2015-11-06,2.36,2.4,2.32,2.34,103100,1134
2015-11-09,2.33,2.35,2.32,2.35,91894,1134
2015-11-10,2.31,2.33,2.26,2.33,244500,1134
2015-11-11,2.32,2.35,2.26,2.35,132300,1134
2015-11-12,2.3,2.32,2.28,2.31,94900,1134
2015-11-13,2.25,2.3,2.25,2.29,243700,1134
2015-11-16,2.29,2.4,2.29,2.35,177800,1134
2015-11-17,2.32,2.45,2.3,2.37,449900,1134
2015-11-18,2.35,2.4,2.34,2.4,285900,1134
2015-11-19,2.37,2.42,2.35,2.4,247100,1134
2015-11-20,2.4,2.45,2.35,2.43,170100,1134
2015-11-23,2.43,2.43,2.38,2.38,80800,1134
2015-11-24,2.4,2.43,2.32,2.37,289100,1134
2015-11-25,2.37,2.47,2.37,2.44,212600,1134
2015-11-27,2.41,2.44,2.4,2.44,77300,1134
