Date,Open,High,Low,Close,Volume,stock_id
2015-10-08,27.866,28.052,27.866,28.052,2154,5176
2015-10-09,28.043,28.043,27.912,28.004,4632,5176
2015-10-12,28.246,28.246,28.106,28.182,2424,5176
2015-10-13,28.004,28.004,28.004,28.004,539,5176
2015-10-15,27.886,27.921,27.886,27.921,2693,5176
2015-10-16,28.413,28.471,28.413,28.451,431,5176
2015-10-19,28.507,28.794,28.507,28.785,2154,5176
2015-10-20,29.118,29.118,28.775,28.775,2693,5176
2015-10-21,28.841,28.841,28.841,28.841,431,5176
2015-10-22,28.952,29.213,28.952,29.203,2261,5176
2015-10-23,28.831,28.85,28.73,28.85,3769,5176
2015-10-26,28.813,28.896,28.813,28.887,539,5176
2015-10-27,28.841,28.896,28.785,28.896,3554,5176
2015-10-28,29.006,29.092,28.794,28.794,3445,5176
2015-10-29,28.813,28.923,28.794,28.923,4200,5176
2015-10-30,28.738,28.738,28.738,28.738,216,5176
2015-11-02,28.738,28.738,28.738,28.738,36,5176
2015-11-03,29.341,29.341,29.082,29.11,539,5176
2015-11-04,29.268,29.268,28.99,28.99,1991,5176
2015-11-05,29.045,29.045,28.738,28.879,25631,5176
2015-11-06,28.208,28.208,27.808,27.808,9693,5176
2015-11-09,27.912,27.949,27.485,27.588,48951,5176
2015-11-10,27.959,27.959,27.718,27.886,29294,5176
2015-11-11,27.959,28.098,27.846,27.977,29186,5176
2015-11-12,27.726,27.93,27.726,27.808,68711,5176
2015-11-13,27.689,27.735,27.447,27.447,51262,5176
2015-11-16,27.42,27.504,27.42,27.42,4523,5176
2015-11-17,27.856,28.024,27.792,27.846,27569,5176
2015-11-18,27.521,28.172,24.793,28.172,30694,5176
2015-11-19,28.236,28.366,28.236,28.33,3769,5176
2015-11-20,28.516,28.571,28.516,28.562,539,5176
2015-11-23,28.756,28.794,28.711,28.711,2475,5176
2015-11-24,28.803,28.803,28.274,28.274,2693,5176
2015-11-25,28.274,28.274,28.274,28.274,109,5176
2015-11-30,28.785,28.785,28.524,28.552,1722,5176
2015-12-01,28.766,29.025,28.766,29.025,5984,5176
2015-12-02,28.887,28.99,28.431,28.431,4737,5176
2015-12-03,28.2,28.2,27.866,27.866,837,5176
2015-12-04,28.145,28.628,28.145,28.431,4632,5176
2015-12-07,28.431,28.431,28.431,28.431,109,5176
2015-12-08,28.116,28.562,27.783,28.524,5001,5176
2015-12-09,28.33,28.366,28.33,28.366,646,5176
2015-12-10,28.136,28.136,28.136,28.136,646,5176
2015-12-11,28.024,28.024,27.986,27.986,324,5176
2015-12-14,28.106,28.106,27.939,28.069,676,5176
2015-12-15,28.524,28.59,28.395,28.395,4416,5176
2015-12-16,28.654,28.904,28.654,28.904,1722,5176
2015-12-17,29.213,29.213,28.841,28.869,2585,5176
2015-12-18,28.693,28.718,28.494,28.494,1066,5176
2015-12-21,28.597,28.597,28.538,28.538,427,5176
2015-12-22,28.802,28.802,28.802,28.802,215,5176
2015-12-23,28.869,29.085,28.869,29.085,4688,5176
2015-12-24,28.969,29.112,28.969,29.112,352,5176
2015-12-28,29.131,29.131,29.027,29.034,2264,5176
2015-12-29,29.338,29.565,29.338,29.516,3683,5176
2015-12-30,29.638,29.657,29.516,29.516,2170,5176
2015-12-31,29.404,29.468,29.276,29.276,39133,5176
2016-01-04,29.085,29.085,28.505,28.597,2063,5176
2016-01-05,29.037,29.462,29.037,29.462,1611,5176
2016-01-06,28.934,29.277,28.934,29.178,3968,5176
2016-01-07,28.842,28.868,28.64,28.643,1648,5176
2016-01-08,28.643,28.652,28.239,28.268,4251,5176
2016-01-11,28.436,28.436,28.436,28.436,509,5176
2016-01-12,28.201,28.268,28.127,28.127,2388,5176
2016-01-13,28.39,28.436,27.835,27.835,3443,5176
2016-01-14,28.003,28.003,27.695,27.929,3949,5176
2016-01-15,27.363,27.507,27.363,27.459,1373,5176
2016-01-19,27.705,27.705,27.564,27.647,5005,5176
2016-01-20,26.907,27.122,26.399,26.907,4776,5176
2016-01-21,27.112,27.112,27.112,27.112,109,5176
2016-01-22,27.662,27.676,27.654,27.676,352,5176
2016-01-26,27.78,28.03,27.78,27.922,564,5176
2016-01-27,27.676,27.676,27.676,27.676,990,5176
2016-01-28,27.676,27.685,27.376,27.376,1761,5176
2016-01-29,27.236,27.413,27.236,27.405,557,5176
2016-02-01,27.796,27.986,27.796,27.986,793,5176
2016-02-02,27.864,27.864,27.628,27.628,1165,5176
2016-02-03,27.864,27.864,27.268,27.657,4027,5176
2016-02-04,27.642,27.831,27.642,27.823,1604,5176
2016-02-05,27.423,27.423,27.317,27.317,235,5176
2016-02-08,26.38,26.38,25.87,25.87,765,5176
2016-02-09,25.742,25.864,25.415,25.666,1441,5176
2016-02-10,26.212,26.212,26.212,26.212,313,5176
2016-02-11,25.629,25.629,25.554,25.554,819,5176
2016-02-12,25.554,25.824,25.554,25.808,1941,5176
2016-02-17,26.663,26.709,26.595,26.614,2812,5176
2016-02-18,26.737,26.944,26.737,26.944,4143,5176
2016-02-19,26.907,26.907,26.907,26.907,214,5176
2016-02-22,27.319,27.372,27.296,27.319,880,5176
2016-02-23,27.179,27.179,27.179,27.179,349,5176
2016-02-24,27.148,27.202,27.14,27.202,800,5176
2016-02-25,27.376,27.376,27.376,27.376,133,5176
2016-02-26,27.695,27.7,27.573,27.573,2667,5176
2016-02-29,27.813,27.835,27.535,27.535,728,5176
2016-03-01,27.977,28.201,27.967,28.193,906,5176
2016-03-02,28.38,28.503,28.343,28.503,1390,5176
2016-03-03,28.507,28.556,28.507,28.54,1149,5176
2016-03-04,28.633,28.662,28.578,28.625,1813,5176
2016-03-07,28.738,28.755,28.606,28.606,1552,5176
2016-03-08,28.582,28.582,28.562,28.562,641,5176
2016-03-09,28.587,28.65,28.399,28.475,3926,5176
2016-03-10,28.774,28.774,28.341,28.341,1067,5176
2016-03-11,28.896,29.0,28.896,29.0,352,5176
2016-03-14,29.139,29.195,29.095,29.095,3100,5176
2016-03-15,29.103,29.287,29.103,29.287,2405,5176
2016-03-16,29.292,29.294,29.066,29.066,1413,5176
2016-03-17,30.033,30.084,30.023,30.039,1064,5176
2016-03-18,30.035,30.121,29.79,29.826,143866,5176
2016-03-21,29.969,29.969,29.623,29.676,3601,5176
2016-03-22,29.589,29.77,29.584,29.623,1662,5176
2016-03-23,29.632,29.7,29.514,29.514,2787,5176
2016-03-24,29.391,29.563,29.359,29.563,2261,5176
2016-03-28,29.391,29.826,29.391,29.751,2725,5176
2016-03-29,30.064,30.394,29.864,30.394,18220,5176
2016-03-30,30.643,30.643,30.325,30.33,4394,5176
2016-03-31,30.33,30.482,30.33,30.482,11968,5176
2016-04-01,30.352,30.543,30.352,30.543,588,5176
2016-04-04,30.586,30.586,30.423,30.5,5533,5176
2016-04-05,30.234,30.234,30.212,30.227,328,5176
2016-04-06,30.263,30.31,30.186,30.31,620,5176
2016-04-07,30.361,30.361,30.065,30.065,2241,5176
2016-04-08,30.51,30.565,30.349,30.349,1990,5176
2016-04-11,30.383,30.524,30.324,30.33,3312,5176
2016-04-12,30.413,30.51,30.413,30.462,1394,5176
2016-04-13,30.462,30.482,30.281,30.345,2987,5176
2016-04-14,30.3,30.3,30.181,30.225,3815,5176
2016-04-15,30.225,30.433,30.225,30.433,772,5176
2016-04-18,30.452,30.546,30.186,30.546,1011,5176
2016-04-19,30.718,30.718,30.373,30.442,34563,5176
2016-04-20,30.339,30.349,30.102,30.14,1889,5176
2016-04-21,29.979,30.003,29.391,29.442,1365,5176
2016-04-22,29.751,29.95,29.686,29.817,2565,5176
2016-04-25,29.859,30.026,29.859,30.026,2357,5176
2016-04-26,30.307,30.307,30.112,30.112,2618,5176
2016-04-27,29.969,29.997,29.86,29.997,1225,5176
2016-04-28,31.42,31.42,30.028,30.028,1172,5176
2016-04-29,29.997,29.997,29.465,29.742,21164,5176
2016-05-02,29.563,30.148,29.563,30.054,3974,5176
2016-05-03,29.955,30.206,29.955,30.206,4849,5176
2016-05-04,30.02,30.643,30.02,30.643,1755,5176
2016-05-05,30.652,30.68,30.618,30.67,2787,5176
2016-05-06,30.571,30.963,30.55,30.832,3954,5176
2016-05-09,31.07,31.184,31.04,31.142,5498,5176
2016-05-10,31.457,31.457,31.195,31.258,8086,5176
2016-05-11,31.361,31.361,30.555,30.689,7534,5176
2016-05-12,30.774,30.902,30.5,30.794,3752,5176
2016-05-13,30.737,31.272,30.244,30.35,3861,5176
2016-05-16,30.442,30.803,30.442,30.763,7371,5176
2016-05-17,30.33,30.423,30.254,30.254,2477,5176
2016-05-18,30.273,30.273,29.507,29.507,6055,5176
2016-05-19,29.421,29.532,29.368,29.447,3136,5176
2016-05-20,29.618,29.666,29.593,29.648,2806,5176
2016-05-23,29.77,29.78,29.712,29.742,4399,5176
2016-05-24,30.045,30.064,29.94,29.94,3644,5176
2016-05-25,30.234,30.234,29.826,30.144,5931,5176
2016-05-26,30.026,30.13,30.026,30.121,1103,5176
2016-05-27,30.32,30.349,30.2,30.239,1545,5176
